"card-image href","logourl src","card-title","info-item 2","info-item 6","info-item 8","info-item 9","info-item 10"
"https://exhibitors.informamarkets-info.com/event/RACE2025/en-US/exhibitor/440186/sleekflow-technologies-limited","https://oemfile.informamarkets-info.com/FileUpload/RAE2025_41853/20250721111805844.png","SLEEKFLOW TECHNOLOGIES LIMITED","Hong Kong,S.A.R.,China","5G-G22","E-Commerce Solution, Business Intelligence / Business Analytics / Management System, Customer Service / Customer Relationship Management, Database Management / Database Marketing, Digital Marketing / Solution","",""
"https://exhibitors.informamarkets-info.com/event/RACE2025/en-US/exhibitor/440187/soepay-limited","https://oemfile.informamarkets-info.com/FileUpload/RAE2025_41853/20250729150903347.png","SoePay Limited","Hong Kong,S.A.R.,China","5G-F17","Food & Beverage Management Systems, E-Commerce Solution, Inventory / Logistic / Supply Chain Management, Mobile Apps & Website Solutions, Payment System,","Inventory / Logistic / Supply Chain Management, Point-of-Sales and Related Systems","etc..."
"https://exhibitors.informamarkets-info.com/event/RACE2025/en-US/exhibitor/440192/storeberry-limited","https://oemfile.informamarkets-info.com/FileUpload/RAE2025_41853/20250716114434444.png","STOREBERRY LIMITED","Hong Kong,S.A.R.,China","5G-E23","E-Commerce Solution, Mobile Apps & Website Solutions, Business Intelligence / Business Analytics / Management System, Database Management / Database Marketing","",""
"https://exhibitors.informamarkets-info.com/event/RACE2025/en-US/exhibitor/440253/tagteam-technologies-pte--ltd-","https://oemfile.informamarkets-info.com/FileUpload/RAE2025_41853/20250630164734371.png","TAGTEAM TECHNOLOGIES PTE. LTD.","SINGAPORE","5G-D27","Operations,  Safety and Quality Management, Security Systems, Building & Commercial Equipment & Systems, Consultancy & Professional Services,","Business Intelligence / Business Analytics / Management System, CCTV/ Surveillance System & Supplies, Communication / IT / IP / Network Security, Customer Service / Customer Relationship Management, Database Management / Database Marketing, Price Labelling / Tagging","etc..."
"https://exhibitors.informamarkets-info.com/event/RACE2025/en-US/exhibitor/444047/team-well-logistics-limited","https://oemfile.informamarkets-info.com/FileUpload/RAE2025_41853/20250722173420161.jpg","TEAM WELL LOGISTICS LIMITED","Hong Kong,S.A.R.,China","5G-F28","Inventory / Logistic / Supply Chain Management, Inventory / Logistic / Supply Chain Management","",""
"https://exhibitors.informamarkets-info.com/event/RACE2025/en-US/exhibitor/448570/techcon-solution-limited","https://oemfile.informamarkets-info.com/FileUpload/RAE2025_41853/20250818101933645.png","TECHCON SOLUTION LIMITED","Hong Kong,S.A.R.,China","5G-G01B","Electronic Labelling, Automation Technology, Bar Coding / Scanners, Advertising / Branding, Consultancy & Professional Services,","Display / Visual Merchandising / POP Marketing, Event Engineering / Production / Live Marketing (Services Company), Communication & Information Technology Equipment & Supplies, Digital Marketing / Solution, Inventory / Logistic / Supply Chain Management, Price Labelling / Tagging","etc..."
"https://exhibitors.informamarkets-info.com/event/RACE2025/en-US/exhibitor/440197/tencent-cloud","https://oemfile.informamarkets-info.com/FileUpload/RAE2025_41853/20250812235517181.png","Tencent Cloud","SINGAPORE","5G-D11","Security Systems, E-Commerce Solution, Mobile Apps & Website Solutions, Payment System, Business Intelligence / Business Analytics / Management System,","Communication / IT / IP / Network Security, Database Management / Database Marketing, Digital Marketing / Solution, General Security Facilities & Systems","etc..."
"https://exhibitors.informamarkets-info.com/event/RACE2025/en-US/exhibitor/448644/the-coronet-paper-company-limited","https://oemfile.informamarkets-info.com/FileUpload/RAE2025_41853/20250820152744574.jpg","The Coronet Paper Company Limited","Hong Kong,S.A.R.,China","5G-G06","Shop Fitting / Fixture, Inventory / Logistic / Supply Chain Management, Point-of-Sales and Related Systems, Price Labelling / Tagging","",""
"https://exhibitors.informamarkets-info.com/event/RACE2025/en-US/exhibitor/448337/wee-creation-company-limited","https://oemfile.informamarkets-info.com/FileUpload/RAE2025_41853/202508141422209.png","WEE CREATION COMPANY LIMITED","Hong Kong,S.A.R.,China","5G-F05","Mobile Apps & Website Solutions, Customer Service / Customer Relationship Management, Digital Marketing / Solution, Point-of-Sales and Related Systems","",""
"https://exhibitors.informamarkets-info.com/event/RACE2025/en-US/exhibitor/440181/yuan-pin-limited","https://oemfile.informamarkets-info.com/FileUpload/RAE2025_41853/20250731171341805.png","YUAN PIN LIMITED","Hong Kong,S.A.R.,China","5G-D13","Trade Publication, E-Commerce Solution, Advertising / Branding, Display / Visual Merchandising / POP Marketing","",""
"https://exhibitors.informamarkets-info.com/event/RACE2025/en-US/exhibitor/444046/zhe-jiang-lemon-information-technology-co--ltd","https://oemfile.informamarkets-info.com/FileUpload/RAE2025_41853/20250804110104067.png","ZHE JIANG LEMON INFORMATION TECHNOLOGY CO.,LTD","CHINA","5G-E11","Payment System, Customer Service / Customer Relationship Management, Database Management / Database Marketing, Digital Marketing / Solution, Inventory / Logistic / Supply Chain Management,","Point-of-Sales and Related Systems","etc..."
"https://exhibitors.informamarkets-info.com/event/RACE2025/en-US/exhibitor/440254/auphan-software-(hk)-limited","https://exhibitors.informamarkets-info.com/layout-fresh/assets/images/ads/RAE2021/RACE_logo_color.png","Auphan Software (HK) Limited","Hong Kong,S.A.R.,China","5G-E12","Food & Beverage Management Systems, Business Intelligence / Business Analytics / Management System, Customer Service / Customer Relationship Management, Digital Marketing / Solution, Inventory / Logistic / Supply Chain Management,","Point-of-Sales and Related Systems","etc..."
"https://exhibitors.informamarkets-info.com/event/RACE2025/en-US/exhibitor/440189/equal-rich-enterprise-limited","https://exhibitors.informamarkets-info.com/layout-fresh/assets/images/ads/RAE2021/RACE_logo_color.png","EQUAL RICH ENTERPRISE LIMITED","Hong Kong,S.A.R.,China","5G-F01","","",""
"https://exhibitors.informamarkets-info.com/event/RACE2025/en-US/exhibitor/449327/esg-brand-ambassador-association","https://exhibitors.informamarkets-info.com/layout-fresh/assets/images/ads/RAE2021/RACE_logo_color.png","ESG Brand Ambassador Association","Hong Kong,S.A.R.,China","5G-H07","","",""
"https://exhibitors.informamarkets-info.com/event/RACE2025/en-US/exhibitor/448684/experience-of-catering---retail-technology-council-(greater-bay-area)","https://exhibitors.informamarkets-info.com/layout-fresh/assets/images/ads/RAE2021/RACE_logo_color.png","Experience of Catering & Retail Technology Council (Greater Bay Area)","Hong Kong,S.A.R.,China","5G-H15","","",""
"https://exhibitors.informamarkets-info.com/event/RACE2025/en-US/exhibitor/448681/iot-hk-association","https://exhibitors.informamarkets-info.com/layout-fresh/assets/images/ads/RAE2021/RACE_logo_color.png","IOT HK ASSOCIATION","Hong Kong,S.A.R.,China","5G-H11","Automation Technology, Trade Organisation / Association, E-Commerce Solution, Advertising / Branding, Database Management / Database Marketing","",""
"https://exhibitors.informamarkets-info.com/event/RACE2025/en-US/exhibitor/448645/joinmax-display---productions-limited","https://exhibitors.informamarkets-info.com/layout-fresh/assets/images/ads/RAE2021/RACE_logo_color.png","Joinmax Display & Productions Limited","Hong Kong,S.A.R.,China","5G-H23","","",""
"https://exhibitors.informamarkets-info.com/event/RACE2025/en-US/exhibitor/448945/matrixsense-technology-group-limited","https://exhibitors.informamarkets-info.com/layout-fresh/assets/images/ads/RAE2021/RACE_logo_color.png","MatrixSense Technology Group Limited","Hong Kong,S.A.R.,China","5G-G26","Advertising / Branding, Decorations / Furnishings, Event Engineering / Production / Live Marketing (Services Company), Customer Service / Customer Relationship Management, Database Management / Database Marketing","",""
"https://exhibitors.informamarkets-info.com/event/RACE2025/en-US/exhibitor/440188/neuralnetics-pte--ltd","https://exhibitors.informamarkets-info.com/layout-fresh/assets/images/ads/RAE2021/RACE_logo_color.png","NEURALNETICS PTE. LTD","SINGAPORE","5G-E22","E-Commerce Solution, Digital Marketing / Solution","",""
"https://exhibitors.informamarkets-info.com/event/RACE2025/en-US/exhibitor/448682/nexx-innovation-alliance","https://exhibitors.informamarkets-info.com/layout-fresh/assets/images/ads/RAE2021/RACE_logo_color.png","NEXX Innovation Alliance","Hong Kong,S.A.R.,China","5G-H17","","",""
"https://exhibitors.informamarkets-info.com/event/RACE2025/en-US/exhibitor/447011/octanorm-system-technology-(suzhou)-company-limited","https://exhibitors.informamarkets-info.com/layout-fresh/assets/images/ads/RAE2021/RACE_logo_color.png","Octanorm System Technology (Suzhou) Company Limited","CHINA","5G-G05","Government Agencies, Trade Organisation / Association, Trade Publication, Advertising / Branding, Building & Commercial Lighting / Lamp,","Decorations / Furnishings, Design / Project Management, Display / Visual Merchandising / POP Marketing, Shop Fitting / Fixture, Event Engineering / Production / Live Marketing (Services Company)","etc..."
"https://exhibitors.informamarkets-info.com/event/RACE2025/en-US/exhibitor/448568/shanghai-onflying-expo-company-limited","https://exhibitors.informamarkets-info.com/layout-fresh/assets/images/ads/RAE2021/RACE_logo_color.png","Shanghai Onflying Expo Company Limited","CHINA","5G-H13","Trade Organisation / Association","",""
"https://exhibitors.informamarkets-info.com/event/RACE2025/en-US/exhibitor/449013/the-hong-kong-society-of-illustrators","https://exhibitors.informamarkets-info.com/layout-fresh/assets/images/ads/RAE2021/RACE_logo_color.png","THE HONG KONG SOCIETY OF ILLUSTRATORS","Hong Kong,S.A.R.,China","5G-H09","","",""
"https://exhibitors.informamarkets-info.com/event/RACE2025/en-US/exhibitor/445596/wati-io","https://exhibitors.informamarkets-info.com/layout-fresh/assets/images/ads/RAE2021/RACE_logo_color.png","WATI.IO","Hong Kong,S.A.R.,China","5G-F10","Automation Technology, E-Commerce Solution, Advertising / Branding, Access Management & Supplies, Business Intelligence / Business Analytics / Management System,","CCTV/ Surveillance System & Supplies, Communication & Information Technology Equipment & Supplies, Customer Service / Customer Relationship Management, Database Management / Database Marketing, Digital Marketing / Solution","etc..."
