"company","stand","category","country"
"DURHAM DUPLEX","C2-T70","PackagingTechAsia","UK"
"DURHAM DUPLEX SEA","C2-T70","PackagingTechAsia","THAILAND"
"DYEHOME INTELLIGENT EQUIPMENT  CO., LTD","C1-AA78","Digitalization","CHINA"
"DYNATRON PVT LTD","C1-C34","DrinkTechAsia","INDIA"
"DYNIC SHANGHAI/NICX","C1-C82","Digitalization","CHINA"
"DYNIC SINGAPORE PTE LTD","C1-C82","Digitalization","SINGAPORE"
"E80 GROUP S.P.A.","C2-AJ04","Coldchain,Logistics,Warehousing&FactoryAsia","ITALY"
"EASTSEA INTERNATIONAL (THAILAND) CO.,LTD","C1-L80","PackagingTechAsia","THAILAND"
"ECENG MACHINERY CO.,LTD.","C1-N84","PackagingTechAsia","CHINA"
"ECO PROMAX PACKAGING CO., LTD.","C1-G62","Coding,Marking&LabellingAsia","THAILAND"
"ECOLEAN INDONESIA","C2-Y78","PackagingTechAsia","INDONESIA"
"ECOLEAN PHILIPPINES","C2-Y78","PackagingTechAsia","PHILIPPINES"
"ECOLEAN SE ASIA SDN BHD","C2-Y78","PackagingTechAsia","MALAYSIA"
"ECOLEAN VIETNAM","C2-Y78","PackagingTechAsia","VIETNAM"
"ECORIGIN INVESTMENT PTE. LTD","C1-R83","PackagingTechAsia","SINGAPORE"
"EDITRICE ZEUS SRL (ITALY)","C1-AA55","N/A","Italy"
"EDM CORPORATION","C3-AX28","ProcessingTechAsia","JAPAN"
"EFICIENCIA Y TECNOLOG?A, S.A","C2-X16","PackagingTechAsia","SPAIN"
"EGILE MECHANICS, S.L.U","C2-Y86","PackagingTechAsia","SPAIN"
"EHEDG THAILAND","C3-AS57","N/A","THAILAND"
"EIAHE PACKING MACHINERY CO., LTD.","C1-M04","PackagingTechAsia","CHINA"
"EKA GLOBAL COMPANY LIMITED","C1-K78","PackagingSolutionsAsia","THAILAND"
"ELEKTRIM-CANTONI MOTOR CO., LTD.","C2-AD62","PhamaTechAsia","THAILAND"
"ELINPACK MACHINERY (HONGKONG) CO., LTD.","C1-R54","PackagingTechAsia","HONG KONG"
"ELRIED MARKIERUNGSSYSTEME GMBH","C2-U21","Coding,Marking&LabellingAsia","GERMANY"
"EMBASSY OF ITALY BANGKOK","C2-AJ46","PackagingTechAsia","THAILAND"
"EMEC SRL.","C3-AM50","ProcessingTechAsia","ITALY"
"EMERSON TECHNIK GMBH","C3-AR04","ProcessingTechAsia","GERMANY"
"EMINENCE INTERNATIONAL LTD.","C1-D04","Coldchain,Logistics,Warehousing&FactoryAsia","THAILAND"
"EMURA (THAILAND) CO., LTD.","C3-AS66","ProcessingTechAsia","THAILAND"
"EMURA FOOD MACHINE CO.,LTD.","C3-AS66","ProcessingTechAsia","JAPAN"
"ENCOTEC CO., LTD.","C3-AL54","PackagingTechAsia","THAILAND"
"ENDRESS+HAUSER (THAILAND) LTD.","C1-A54","Lab&TestAsia","THAILAND"
"ENVICCO LIMITED","C1-D48","Coldchain,Logistics,Warehousing&FactoryAsia","THAILAND"
"EPM INNOVATIONS PTE LTD","C2-Z29","PackagingTechAsia","SINGAPORE"
"ERAWAN UNION CO., LTD.","C3-AR28","ProcessingTechAsia","THAILAND"
"ERCA SA","C2-AJ16","PackagingSolutionsAsia","FRANCE"
"ERGOPACK DEUTSCHLAND GMBH","C2-U05","PackagingSolutionsAsia","GERMANY"
"ERRE ENNE S.R.L.","C3-AK46","PackagingTechAsia","ITALY"
"ESCO-THAI COMPANY LIMITED","C1-B55","Digitalization","THAILAND"
"ETERNA MACHINERY HONG KONG LIMITED","C1-E54","Coldchain,Logistics,Warehousing&FactoryAsia","HONG KONG"
"ETERNAL RISE AUTOMATION CO.,LTD.","C2-W83","PackagingTechAsia","THAILAND"
"ETIPROCES S.L.","C2-X16","PackagingTechAsia","SPAIN"
"EUROPAC CO., LTD.","C3-AL50","ProcessingTechAsia","THAILAND"
"EUROPEAN HYGIENIC ENGINEERING AND DESIGN GROUP (EHEDG)","C3-AS57","N/A","THAILAND"
"EUROSICMA SPA","C2-AJ16","PackagingSolutionsAsia","ITALY"
"EVER GREEN (ZHEJIANG) NEW MATERIAL CO., LTD.","C1-M67","PackagingTechAsia","CHINA"
"EVERSLEEVE ENTERPRISE CO., LTD.","C1-Q04","PackagingTechAsia","TAIWAN"
"EVERSUN MACHINERY(HENAN)CO.,LTD","C1-B26","Digitalization","CHINA"
"EXACT MIXING","C3-AZ39","ProcessingTechAsia","USA"
"EXILE TECHNOLOGY CO., LTD.","C1-G82","Coding,Marking&LabellingAsia","THAILAND"
"EXMACOM CO., LTD","","N/A","KOREA"
"FABCON INDIA","C3-BA19","ProcessingTechAsia","INDIA"
"FAM STUMABO","C3-AX54","ProcessingTechAsia","GERMANY"
"FBI PUBLICATIONS","C1-AA54","N/A","MALAYSIA"
"FBK APS","C3-BA15","ProcessingTechAsia","DENMARK"
"FENGTONG PUMP INDUSTRY(JIAXING) CO., LTD.","C3-AY46","ProcessingTechAsia","CHINA"
"FEYVAN PACKING MACHINERY CO.,LTD","C1-S79","PackagingTechAsia","CHINA"
"FIBRO CORPORATION","C1-E34","PackagingSolutionsAsia","USA"
"FILTEC","C1-E20","DrinkTechAsia","USA"
"FINOVA","C3-AR04","ProcessingTechAsia","SPAIN"
"FIVE CUBIC CO., LTD.","C2-U85","PackagingTechAsia","THAILAND"
"FLEXI-PACK LIMITED","C2-W66","PackagingTechAsia","THAILAND"
"FLOTTWEG SE","C2-U17","DrinkTechAsia","GERMANY"
"FLOWPAKASIA CONSULTING","C3-AV45","PhamaTechAsia","THAILAND"
"FLUID CONTROL & SOLUTION TECHNOLOGY CO., LTD.","C1-E66","Coding,Marking&LabellingAsia","THAILAND"
"FMT","C3-AW04","ProcessingTechAsia","ITALY"
"FMT S.R.L.","C3-AW04","PackagingTechAsia","ITALY"
"FOCKE MELER GLUING SOLUTIONS","C1-B59","PackagingSolutionsAsia","THAILAND"
"FOOD AND BEVERAGE TECH REVIEW APAC","C1-AA84","N/A","USA"
"FOOD CONTACT CENTER","C3-AL45","Lab&TestAsia","ITALY"
"FOOD MACHINERY CO., LTD.","C3-AM54","ProcessingTechAsia","THAILAND"
"FOOD SERVICE AND SOLUTION CO.,LTD.","C3-BA13","ProcessingTechAsia","THAILAND"
"FOOD TECH BIZ","C1-AA68","N/A","INDIA"
"FOOD TECHNO ENGINEERING CO., LTD.","C1-P49","PackagingTechAsia","JAPAN"
"FOOD TECHNO ENGINEERING(DALIAN) CO.,LTD","C1-P49","PackagingTechAsia","CHINA"
"FOODMAN OPTOELECTRONIC (ZHONGSHAN) CO., LTD","C2-AB66","PackagingTechAsia","CHINA"
"FOODMATE","C2-AA16","PackagingTechAsia","NETHERLANDS"
"FORBO SIEGLING (THAILAND) CO.,LTD.","C3-AM66","ProcessingTechAsia","THAILAND"
"FOREFRONT FOODTECH CO.,LTD.","C3-AM42","ProcessingTechAsia","THAILAND"
"FORTRESS TECHNOLOGY INC","C1-F33","Lab&TestAsia","CANADA"
"FOSHAN BAIJINYI PRECISE TECHNOLOGY CO., LTD","C2-AF62","PhamaTechAsia","CHINA"
"FOSHAN JINGYI IMPORT & EXPORT CO., LTD","C3-BA54","ProcessingTechAsia","CHINA"
"FOSHAN LIDINGFENG MACHINERY CO., LTD.","C2-AB86","PackagingTechAsia","CHINA"
"FOSHAN SOONTRUE-ZHUGUAN INTELLIGENT EQUIPMENT CO.,LTD","C1-R42","PackagingTechAsia","CHINA"
"FOSHAN SOONWIN MACHINERY TECHNOLOGY CO., LTD","C1-C29","Digitalization","CHINA"
"FOSHAN SOONWIN MACHINERY TECHNOLOGY CO., LTD.","C1-C29","Digitalization","CHINA"
"FOSHAN WANHE PACKAGING MATERIALS CO.,LTD.","C3-BA14","ProcessingTechAsia","CHINA"
"FOSHAN YONGYOUTE PRECISION MACHINERY CO.,LTD","C2-AE16, C2-AF28, C2-AF42","DrinkTechAsia","CHINA"
"FPE - FOOD PROCESSING EQUIPMENT","C2-AJ34","ProcessingTechAsia","ITALY"
"FPE-FOOD PROCESSING EQUIPMENT","C2-AJ36","PackagingTechAsia","ITALY"
"FPS FOOD PROCESS SOLUTIONS (THAILAND) LIMITED","C3-AM62","ProcessingTechAsia","THAILAND"
"FPT FOOD PROCESS TECHNOLOGY CO.,LTD.","C3-AP16","ProcessingTechAsia","THAILAND"
"FRAUGROUP S.R.L.","C2-AG50","DrinkTechAsia","ITALY"
"FRIGEL ASIA PACIFIC CO., LTD.","C2-AJ28","DrinkTechAsia","THAILAND"
"FROMM HOLDING AG","C2-W16","PackagingTechAsia","SWITZERLAND"
"FUJEE CO., LTD.","C2-AA28","PackagingTechAsia","KOREA"
"FUJI MACHINERY CO.,LTD.","C1-P13","PackagingTechAsia","JAPAN"
"FUJI PACKAGING MACHINES (THAILAND) CO., LTD.","C1-L04","PackagingTechAsia","THAILAND"
"FUJI SHOKO (THAILAND) CO.,LTD.","C1-J78","PackagingSolutionsAsia","THAILAND"
"FUJI SHOKO CO., LTD.","C1-J78","PackagingSolutionsAsia","JAPAN"
"FUJI YUSOKI (THAILAND) CO., LTD.","C2-X16","PackagingTechAsia","THAILAND"
"FUJIAN HIGH-MADE INTELLIGENT EQUIPMENT MANUFACTURING CO., LTD","C1-Q80","PackagingTechAsia","CHINA"
"FUJIAN JINGTAI EQUIPMENT CO.,LTD.","C1-F83","Coldchain,Logistics,Warehousing&FactoryAsia","CHINA"
"FUJIAN YORK NEW MATERIAL TECHNOLOGY CO., LTD. (YORK COLOUR)","C1-M82","PackagingTechAsia","CHINA"
"FUJISEIKI FOOD MACHINERY ASIA CO.,LTD.","C3-AP04","ProcessingTechAsia","THAILAND"
"FULL MORE PACKAGING MACHINE CO.,LTD","C3-AX62","ProcessingTechAsia","CHINA"
"FURUKAWA MFG.CO., LTD.","C1-N24","PackagingTechAsia","JAPAN"
"FUTAMURA AUSTRALIA PTY ,LTD.","C1-K20","PackagingSolutionsAsia","AUSTRALIA"
"FUTAMURA CHEMICAL CO., LTD.","C1-K20","PackagingSolutionsAsia","JAPAN"
"FUTAMURA CHEMICAL CO.,LTD.","C1-K20","PackagingSolutionsAsia","JAPAN"
"FUTEC INC.","C2-S28","PackagingTechAsia","JAPAN"
"FUTURE BOILER MANUFACTURE CO., LTD","C1-R80","PackagingTechAsia","CHINA"
"FUZHOU FEIDA PLASTIC PRODUCTION CO., LTD.","C2-AB85","PackagingTechAsia","CHINA"
"G HWA INDUSTRIES CO.,LTD.","C3-AX67","ProcessingTechAsia","THAILAND"
"GAI MACCHINE SPA","C2-AJ47","DrinkTechAsia","ITALY"
"GALDI S.R.L.","C2-AH42","PackagingTechAsia","ITALY"
"GARANT MASCHINENHANDEL GMBH","C1-H42","PackagingSolutionsAsia","GERMANY"
"GARD CHEMICALA LARRGARD LTD.","C1-H84","Lab&TestAsia",""
"GDXL PRECISE MACHINERY COMPANY LIMITED","C2-AD48","DrinkTechAsia","CHINA"
"GEA THAILAND","C3-AQ42","ProcessingTechAsia","THAILAND"
"GECITECH","C3-AV37","DrinkTechAsia","FRANCE"
"GELGOOG INTELLIGENT TECHNOLOGY CO. LTD.","C3-BA62","ProcessingTechAsia","CHINA"
"GEM NOVA PTE LTD","C2-Z21","PackagingTechAsia","SINGAPORE"
"GENERAL ASIA PACIFIC MARKETING SDN BHD","C1-M36","PackagingTechAsia","MALAYSIA"
"GENERAL CO., LTD","C1-M36","PackagingTechAsia","JAPAN"
"GENERAL PACKER CO., LTD.","C3-AW04","ProcessingTechAsia","JAPAN"
"GERHARD SCHUBERT GMBH","C2-T36","PackagingTechAsia","GERMANY"
"GERICKE PTE LTD.","C3-AP25","ProcessingTechAsia","SINGAPORE"
"GETABEC PUBLIC COMPANY LIMITED","C3-AM78","ProcessingTechAsia","THAILAND"
"GETRIEBEBAU NORD GMBH & CO KG","C3-AY38","ProcessingTechAsia","GERMANY"
"GIROTECH SRL","C3-AK32","PackagingTechAsia","ITALY"
"GLOBAL ASIA PACIFIC COMPANY LIMITED","C2-T84","PackagingTechAsia","THAILAND"
"GLOBIZ TECHWORKS PTE. LTD.","C3-AQ82","ProcessingTechAsia","SINGAPORE"
"GM GETR?NKETECHNIK & MACHINENBAU GMBH GERA","C2-AG04","DrinkTechAsia","GERMANY"
"GODEX INTERNATIONAL CO., LTD.","C1-Q48","PackagingTechAsia","TAIWAN"
"GOGLIO (TIANJIN) PACKAGING CO. LTD.","C3-AK45","PackagingSolutionsAsia","CHINA"
"GOLD GREAT GOOD MACHINERY CO., LTD.","C1-R43","PackagingTechAsia","TAIWAN"
"GOLDCHEER MACHINERY CO.,LTD.","C1-H04","Coding,Marking&LabellingAsia","CHINA"
"GOLDSTONE PACKAGING JIAXING CO., LTD.","C3-AT36","ProcessingTechAsia","CHINA"
"GOOD TIME IMPORT-EXPORT CO.,LTD.","C2-Z66","PackagingTechAsia","THAILAND"
"GRACO INC.","C1-F83","Coldchain,Logistics,Warehousing&FactoryAsia","CHINA"
"GRASSELLI S.P.A.","C3-AW04","ProcessingTechAsia","ITALY"
"GREEN INTLPAK CO. LTD.","C1-Q28","PackagingTechAsia","TAIWAN"
"GREEN INTLPAK CO., LTD.","C1-Q28-1","PackagingTechAsia","TAIWAN"
"GREEN PLUS (THAILAND) CO., LTD.","C1-F82","Coldchain,Logistics,Warehousing&FactoryAsia","THAILAND"
"GREGOR JONSSON INC.","C3-AX62","ProcessingTechAsia","USA"
"GREIF EASTERN PACKAGING PTE LTD","C2-Z25","PackagingTechAsia","SINGAPORE"
"GROW ENGINEERING CO.,LTD.","C3-AS66","ProcessingTechAsia","JAPAN"
"GRUETZNER GMBH","C3-AQ82","ProcessingTechAsia","GERMANY"
"GT-MAX PLASTIC INDUSTRIES (M) SDN BHD","C1-F11","Coding,Marking&LabellingAsia","MALAYSIA"
"GTP FOOD MACHINE AND SERVICE CO., LTD","C3-AX50","ProcessingTechAsia","THAILAND"
"GTS GMBH","C2-T18","PackagingTechAsia","GERMANY"
"GUALA CLOSURES (INDIA) PVT LTD","C1-A60","DrinkTechAsia","INDIA"
"GUAN YU MACHINERY FACTORY CO LTD","C3-AU43","PhamaTechAsia","TAIWAN"
"GUANG CHUAN MACHINERY CO., LTD","C3-AK66","ProcessingTechAsia","CHINA"
"GUANG DONG CHUANG CHENG YI PACK CO., LTD","C3-BA55","ProcessingTechAsia","CHINA"
"GUANG DONG LESHAN INTELLIGENT EQUIPMENT CORP., LTD","C1-M65","PackagingTechAsia","CHINA"
"GUANGDONG CAIXIN PLASTIC CO., LTD","C1-B28","Digitalization","CHINA"
"GUANGDONG CHAOQIANG ELECTRONIC TECHNOLOGY CO., LTD","C3-AZ48","ProcessingTechAsia","CHINA"
"GUANGDONG CHUANGJU COLOR PRINTING CO., LTD.","C2-X66","PackagingTechAsia","CHINA"
"GUANGDONG EASYWEIGH EQUIPMENT CO., LTD. (EASYWEIGH)","C2-AB66","PackagingTechAsia","CHINA"
"GUANGDONG GUOZHU INTELLIGENT EQUIPMENT CO., LTD","C2-AE16, C2-AF28, C2-AF42","DrinkTechAsia","CHINA"
"GUANGDONG HESHENG MACHINERY INDUSTIAL CO., LTD.","C3-AT82","ProcessingTechAsia","CHINA"
"GUANGDONG HIGH DREAM INTELLECTUALIZED MACHINERY CO., LTD","C1-H66","Lab&TestAsia","CHINA"
"GUANGDONG HUICHEN PACKAGING CO., LTD","C1-AA32","PackagingTechAsia","CHINA"
"GUANGDONG HUICHEN PACKAGING CO., LTD.","C1-AA32","PackagingTechAsia","CHINA"
"GUANGDONG JATEN ROBOT & AUTOMATION CO., LTD","C2-X16","PackagingTechAsia","CHINA"
"GUANGDONG JIARUICHENG PRINTING CO., LTD","C1-C33","Digitalization","CHINA"
"GUANGDONG JIARUICHENG PRINTING CO., LTD.","C1-C33","Digitalization","CHINA"
"GUANGDONG KINGHANLONG INTELLIGENT EQUIPMENT TECHNOLOGY CO., LTD.","C1-AA27","PackagingTechAsia","CHINA"
"GUANGDONG LIHONG INNOVATIVE MATERIALS CO.,LTD.","C3-AZ64","ProcessingTechAsia","CHINA"
"GUANGDONG MINI-CAP CREATIVE AND CULTURE CO., LTD.","C1-L78","PackagingTechAsia","CHINA"
"GUANGDONG OUDAYA PACKAGING CO.,LTD","C1-N78","PackagingTechAsia","CHINA"
"GUANGDONG RUICHI PACKAGING CO., LTD.","C1-A04","Digitalization","CHINA"
"GUANGDONG SHENGYE CHEMICAL TECHNOLOGY CO., LTD.","C1-Q78","PackagingTechAsia","CHINA"
"GUANGDONG SHUNFA COLOUR PRINTING CO., LTD","C1-R79","PackagingTechAsia","CHINA"
"GUANGDONG SIMCHENG PLASTICS MACHINERY CO.,LTD","C3-AQ60","ProcessingTechAsia","CHINA"
"GUANGDONG WANTTONE FOOD CO., LTD.","C3-AZ42","ProcessingTechAsia","CHINA"
"GUANGDONG WEIYA PACKAGING PRINTING CO., LTD","C1-L63","PackagingSolutionsAsia","CHINA"
"GUANGDONG XINCHENG MACHINERY CO., LTD","C1-L62","PackagingSolutionsAsia","CHINA"
"GUANGDONG XINCHENG MACHINERY CO., LTD.","C1-L62","PackagingTechAsia","CHINA"
"GUANGDONG XUSHENG PRINTING CO.,LTD","C3-AT86","ProcessingTechAsia","CHINA"
"GUANGDONG YUEDONG MECHANICAL INDUSTRIAL CO., LTD","C1-R62","PackagingTechAsia","CHINA"
"GUANGDONG ZHONGHUAN PRINTING CO., LTD.","C3-AS83","PackagingTechAsia","CHINA"
"GUANGZHOU ALL-BLOOM INTELLIGENT EQUIPMENT CO.,LTD","C3-AY68","PackagingTechAsia","CHINA"
"GUANGZHOU BIAOJI PACKAGING EQUIPMENT CO., LTD.","C1-B11","Digitalization","CHINA"
"GUANGZHOU BIAOJI PACKAGING EQUIPMENT CO.,LTD","C1-B11","Digitalization","CHINA"
"GUANGZHOU EC-PACK PACKAGING EQUIPMENT CO., LTD.","C1-D23","Coldchain,Logistics,Warehousing&FactoryAsia","CHINA"
"GUANGZHOU HEYI PACK CO., LTD","C3-AY18","ProcessingTechAsia","CHINA"
"GUANGZHOU HEYI PACK CO., LTD.","C3-AY18","ProcessingTechAsia","CHINA"
"GUANGZHOU HONGTAI AUTOMATION TGUANGZHOU HONGTAI AUTOMATION TECHNOLOGY CO., LTDECHNOLOGY CO., LTD","C2-Y04","PackagingTechAsia","CHINA"
"GUANGZHOU HUAYAN PRECISION MACHINERY CO., LTD","C2-AF54","DrinkTechAsia","CHINA"
"GUANGZHOU HUMAN NEW MATERIAL SCIENCE AND TECHNOLOGY CO., LTD","C3-AZ17","ProcessingTechAsia","CHINA"
"GUANGZHOU HUMAN NEW MATERIAL SCIENCE AND TECHNOLOGY CO., LTD.","C3-AZ17","ProcessingTechAsia","CHINA"
"GUANGZHOU ICESOURCE CO., LTD.","C2-S48","PackagingSolutionsAsia","CHINA"
"GUANGZHOU JEEPINE INTELLIGENT COMPRESSION MOLDING MACHINE CO,.LTD","C2-AG66","DrinkTechAsia","CHINA"
"GUANGZHOU KAINENG ELECTRIC EQUIPMENT CO., LTD.","C1-L70","PackagingSolutionsAsia","CHINA"
"GUANGZHOU LEIWEST PAK CO.,LTD.","C2-AC42","DrinkTechAsia","CHINA"
"GUANGZHOU LONG-PACK SCIENCE & TECHNOLOGY CO., LTD","C2-AB04","DrinkTechAsia","CHINA"
"GUANGZHOU NOVA INTELLIGENT EQUIPMENT CO., LTD","C3-AQ58","ProcessingTechAsia","CHINA"
"GUANGZHOU NOVA INTELLIGENT EQUIPMENT CO., LTD.","C3-AQ58","ProcessingTechAsia","CHINA"
"GUANGZHOU PROFOL FILMS CO., LTD.","C1-N80","PackagingTechAsia","CHINA"
"GUANGZHOU REYO MACHINERY CO., LTD","C2-AC28","DrinkTechAsia","CHINA"
"GUANGZHOU REYO MACHINERY CO.,LTD.","C2-AC28","DrinkTechAsia","CHINA"
"GUANGZHOU RIBO PRECISION MACHINERY CO.,LTD","C2-AD28","DrinkTechAsia","CHINA"
"GUANGZHOU SECURE PACKAGING CO., LTD.","C1-L23","PackagingSolutionsAsia","CHINA"
"GUANGZHOU SINPACK MACHINERY EQUIPMENT CO., LTD.","C1-AA42","ProcessingTechAsia","CHINA"
"GUANGZHOU SUNINE INTELLIGENT TECHNOLOGY CO.,LTD.","C1-D66","Coldchain,Logistics,Warehousing&FactoryAsia","CHINA"
"GUANGZHOU TECH-LONG PACKAGING MACHINERY CO., LTD.","C2-AB04","DrinkTechAsia","CHINA"
"GUANGZHOU TOP-TECH LIGHT INDUSTRIAL MACHINERY CO.,LTD","C2-AB04","DrinkTechAsia","CHINA"
"GUANGZHOU U-PACKER AUTOMATION EQUIPMENT CO.,LTD","C2-AG63","DrinkTechAsia","CHINA"
"GUANGZHOU WANLE COMMERCIAL AND INDUSTRIAL CO., LTD.","C3-AZ21","ProcessingTechAsia","CHINA"
"GUANGZHOU XILI MACHINERY CO., LTD","C1-M81","PackagingTechAsia","CHINA"
"GUANGZHOU XILI MACHINERY CO., LTD.","C1-M81","PackagingTechAsia","CHINA"
"GUANGZHOU YUQING MACHINERY MANUFACTURING CO.,LTD","C1-M57","PackagingTechAsia","CHINA"
"GUANGZHOUSHI LIXIN MECHANICAL TECHNOLOGY CO., LTD.","C2-AB04","DrinkTechAsia","CHINA"
"H.B. FULLER (THAILAND) CO.,LTD.","C1-H82","Lab&TestAsia","THAILAND"
"HAIDA EQUIPMENT CO.,LTD","C1-J09","Coding,Marking&LabellingAsia","CHINA"
"HAIKOU XINJIADA ELECTROMECHANICAL CO., LTD.","C3-BA57","ProcessingTechAsia","CHINA"
"HAMA CORPORATION","C2-W42","PackagingTechAsia","JAPAN"
"HAMBA-GASTI VERPACKUNGSMASCHINEN GMBH","C2-AJ16","PackagingSolutionsAsia","GERMANY"
"HANAGATA CORPORATION","C2-W42","PackagingTechAsia","JAPAN"
"HANDTMANN (THAILAND) CO., LTD","C3-AS42","ProcessingTechAsia","THAILAND"
"HANGZHOU HANSIN NEW PACKING MATERIAL CO., LTD.","C3-BA24","ProcessingTechAsia","CHINA"
"HANGZHOU KECHUANG MARK TECHNOLOGY CO., LTD","C1-C28","Coldchain,Logistics,Warehousing&FactoryAsia","CHINA"
"HANGZHOU KECHUANG MARK TECHNOLOGY CO.,LTD.","C1-C28","Coldchain,Logistics,Warehousing&FactoryAsia","CHINA"
"HANGZHOU MICROIMAGE INTELLIGENT TECHNOLOGY CO., LTD","C1-C67","Digitalization","CHINA"
"HANGZHOU ROBOTPHOENIX INDUSTRIAL ROBOTICS CO., LTD","C2-AA83","PackagingTechAsia","CHINA"
"HANGZHOU ROBOTPHOENIX INDUSTRIAL ROBOTICS CO., LTD.","C2-AA83","PackagingTechAsia","CHINA"
"HANGZHOU SOUTHPAK TECHNOLOGIES CO.,LTD.","C3-AZ08","ProcessingTechAsia","CHINA"
"HANGZHOU TODAYTEC DIGITAL CO., LTD.","C1-AA33","Digitalization","CHINA"
"HANGZHOU ZHENGJIU MACHINERY MANUFACTURING CO., LTD","C3-BA20","ProcessingTechAsia","CHINA"
"HANGZHOU ZHONGYA MACHINERY CO., LTD.","C1-L42","PackagingSolutionsAsia","CHINA"
"HANGZHOU ZON PACKAGING MACHINERY CO., LTD.","C3-AT32","ProcessingTechAsia","CHINA"
"HANGZHOU ZUYI IMPORT&EXPORT CO.,LTD","C1-R81","PackagingTechAsia","CHINA"
"HANSHIN METAL CO.,LTD","C3-AP66","ProcessingTechAsia","JAPAN"
"HANVAC GMBH","C1-D79","PackagingTechAsia","GERMANY"
"HARIR GROUP","C2-S48","PackagingSolutionsAsia","UNITED ARAB EMIRATES"
"HARLAND","C2-AJ49","PackagingTechAsia","UK"
"HARN ENGINEERING SOLUTIONS PUBLIC CO., LTD.","C3-AX28","ProcessingTechAsia","THAILAND"
"HASSIA VERPACKUNGSMASCHINEN GMBH","C2-AJ16","PackagingSolutionsAsia","GERMANY"
"HASSIA-REDATRON GMBH","C2-V79","PackagingTechAsia","GERMANY"
"HAYSSEN","C2-AJ49","PackagingTechAsia","USA"
"HDG VERPACKUNGSMASCHINEN GMBH","C2-X28","PackagingTechAsia","GERMANY"
"HEAT & CONTROL PTY LTD","C3-AU22","ProcessingTechAsia","AUSTRALIA"
"HEFEI YOUGAO TECHNOLOGY CO., LTD.","C2-AC83","PackagingTechAsia","CHINA"
"HEILONGJIANG ZHIYING MACHINERY EQUIPMENT CO LTD","C3-AZ16","ProcessingTechAsia","CHINA"
"HEMA","C2-AJ49","PackagingTechAsia","FRANCE"
"HENAN DONGFANG NOODLE MACHINE GROUP CO.,LTD.","C3-AZ30","ProcessingTechAsia","CHINA"
"HENAN GELGOOG MACHINERY CO., LTD.","C3-BA62","ProcessingTechAsia","CHINA"
"HENAN GUANFENG INNOVATIVE MATERIALS TECHNOLOGY CO.,LTD.","C1-AA30","Digitalization","CHINA"
"HENAN JINNIU NEW MATERIAL CO., LTD.","C1-C59","Digitalization","CHINA"
"HENKELMAN B.V","C3-AL50","ProcessingTechAsia","NETHERLANDS"
"HERMASA CANNING TECHNOLOGY S.A","C1-H22","PackagingTechAsia","SPAIN"
"HERRMANN ULTRASCHALLTECHNIK GMBH & CO. KG","C3-BA17","PackagingTechAsia","GERMANY"
"HEUFT (THAILAND) LIMITED","C2-T54","DrinkTechAsia","THAILAND"
"HEUFT SYSTEMTECHNIK GMBH","C2-T54","DrinkTechAsia","GERMANY"
"HI-COOK (THAILAND) CO., LTD.","C3-AN04","ProcessingTechAsia","THAILAND"
"HIPERMAK MAKINA SAN. VE TIC. A.S.","C2-S60","PackagingTechAsia","T?RK?YE"
"HITEC FOOD EQUIPMENT CO.,LTD.","C3-AS04","ProcessingTechAsia","THAILAND"
"HKKC GROUP CO.,LTD","C2-AG42","DrinkTechAsia","THAILAND"
"HOEI (THAILAND) CO., LTD.","C1-P62","PackagingTechAsia","THAILAND"
"HONDA SETSUBI (THAILAND) CO.,LTD.","C3-AP66","ProcessingTechAsia","THAILAND"
"HONG KONG E-MAP CO., LIMITED","C1-F04","PackagingTechAsia","HONG KONG"
"HONG KONG TECHSUN TECHNOLOGY CO., LIMITED.","C1-M66","PackagingTechAsia","HONG KONG"
"HONGCHUANG PACKAGING (ANHUI) CO., LTD.","C2-Z54","PackagingTechAsia","CHINA"
"HORNG TAIR INDUSTRIAL CO.,LTD","C2-AG42","DrinkTechAsia","CHINA"
"HOSE CENTER CO., LTD.","C3-BA35","ProcessingTechAsia","THAILAND"
"HOSOKAWA YOKO CO., LTD.","C1-L23","PackagingSolutionsAsia","JAPAN"
"HPH GENERAL TRADING COMPANY LIMITED","C2-AG62","DrinkTechAsia","VIETNAM"
"HRS HEAT EXCHANGERS SDN BHD","C3-AP37","ProcessingTechAsia","MALAYSIA"
"HSK GROUP LIMITED","C1-M63","PackagingTechAsia","HONG KONG"
"HUAFENG PRINTING MACHINERY","C2-AG42","DrinkTechAsia","CHINA"
"HUALIAN MACHINERY GROUP CO.,LTD","C1-K04A","PackagingSolutionsAsia","CHINA"
"HUALIAN MACHINERY GROUP WENZHOU IMPORT & EXPORT CO LTD","C1-K04B","PackagingSolutionsAsia","CHINA"
"HUALIANTHAI CO.,LTD.","C1-K04A","PackagingSolutionsAsia","THAILAND"
"HUANGSHAN NOVEL CO., LTD.","C1-C54","Coldchain,Logistics,Warehousing&FactoryAsia","CHINA"
"HUANGSHAN YUANDIAN NEW MATERIAL SCIENCE AND TECHNOLOGY CO., LTD.","C1-C54","Coding,Marking&LabellingAsia","CHINA"
"HUAYUAN MACHINERY TECHNOLOGY CO., LTD.","C1-B78","Digitalization","CHINA"
"HUBEI CHANGHUI PLASTIC INDUSTRY CO., LTD.","C1-B58","Digitalization","CHINA"
