,url,Nature of Business,Location,Main Categories,Brands,Contact Person,Office Address,Country/Region,Major Markets,Position,Year of Establishment,Total Employees,Annual Turnover
436,https://sourcing.hktdc.com/en/Supplier-Store/Profile/VD-JEWELS-ARTISON-PRIVATE-LIMITED/1S00OM099,,India View details Factory & Facility,,,Mr YASH DANGAYACH,,India,,,,,
437,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Valentine-Silver-International/1S00OMCYU,,India,,,Arjun Sonkia,"G-34-35, Special Economic Zone 2nd, Sitapura Industrial Area",India,,Director,,,
438,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Vrams-Pirlanta-Ticaret-Limited-Sirketi/1S00PA5OV,,Turkiye,,,HARDIKKUMAR KANTRODIA,"IC KAPI NO:401, CAD. NO: 12, ALEMDAR MAH. NUR-U OSMANIYE, TURKEY, ISTANBUL",Turkiye,,Manager,,,
439,https://sourcing.hktdc.com/en/Supplier-Store/Profile/World-Pearl/1X08E06U,,"Korea, Republic Of",,,Jae-Myoung Park,"25,1F ,Golden Tower,146,bongik-Dong, Jongro-Gu, seoul, Seoul","Korea, Republic Of",,,,,
440,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ycl-Jewellery/1X0B3A06,,Turkiye,,,Yüksel Arslan,"Yenibosna Mahalle 29 Ekim Caddesi, Ladin Sokak No:4 Kuyumcukent 1.Plaza 8. Kat 5. Ofi Cobancesme, Istanbul, Turkey",Turkiye,,Owner,,,
441,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yehuda-Diamond-Co/1X0B214T,,USA,,,Zaho Lu,"590 Fifth Avenue, 8th Floor, New York NY 10036, USA",USA,,,,,
442,https://sourcing.hktdc.com/en/Supplier-Store/Profile/b-b-Burkhardt-Bischoff-GmbH-Co-KG/1X0AMR2P,,Germany,Fine Jewellery,,Katharina Pechloff,Birkenfelderstrasse 1-3 75210 Keltern Germany,Germany,,,,,
443,https://sourcing.hktdc.com/en/Supplier-Store/Profile/egf---Eduard-G-Fidel-GmbH/1S00O7OAI,,Germany,"Fine Jewellery, Jewellery & Watch",,Olivier Rudelle,Reutlinger Str. 8 75179 Pforzheim Germany,Germany,,International Sales,,,
444,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Sunking-Global-Company-Limited/1X0B1UXL,Manufacturer,Hong Kong,"Clothing/ Garments, Costume & Fashion Jewellery, Fashion Accessories, Fashion, Eyewear & Accessories, Fine Jewellery, Gifts / Souvenirs, Jewellery & Watch, Synthetic Diamonds & Gemstones Jewellery",Sunking (Global) Company Limited stianless steel earrings stainless steel necklace stainless steel ring stainless steel bracelet stainless steel jewelry 316L Stainless Steel OEM&ODM Recycled Steel Certification Verified by Certificate Name Issued By Certificate Type Valid Date RSL Test Report BUREAU VERITAS Others - Environmental management system ACM (CHINA) LIMITED ISO 14001 25 Apr 2027 Occupational health and safety management system ACM (CHINA) LIMITED ISO 45001 25 Apr 2027 Energy management system ACM (CHINA) LIMITED ISO 50001 22 Apr 2027 Quality management system ACM (CHINA) LIMITED ISO 9001 08 Apr 2026 Show More View Details Company Information Verified on 21 Nov 2025 by Disclaimer Certification(s) Verified on 23 Apr 2025 by Disclaimer View details Factory & Facility Research & Development Quality Control,Mr Albert Chan,"Room 401, 4/F., Wanchai Central Building, 89 Lockhart Road, Wan Chai, Hong Kong.",Hong Kong,"Eastern Europe, Hong Kong, Middle East, North America, Scandinavia, Western Europe, Worldwide",Senior Project Manager,,51 - 100,
445,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Artful-Corporation-Limited/1S00O7AOQ,"Exporter, Manufacturer","Huai'An, Jiangsu, Chinese Mainland","Costume & Fashion Jewellery, Fashion Accessories, Fine Jewellery, Gifts / Souvenirs View Details Company Information Verified on 31 Oct 2025 by Disclaimer",,Ms Tao Wu,"No.1 Gongliu Road Xuyi County Economic Development Zone Huaian, Jiangsu Province Mainland China",Chinese Mainland,,Business Manager,,,
446,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangzhou-Arts-Jewellery-Co-Ltd/1X09DNDQ,"Exporter, Manufacturer","Guangzhou, Guangdong, Chinese Mainland","Clothing/ Garments, Costume & Fashion Jewellery, Fashion Accessories, Fashion, Eyewear & Accessories, Fine Jewellery, Jewellery & Watch, Loose Stones & Raw Materials, Synthetic Diamonds & Gemstones Jewellery",,Mr Peter Zhang,"1/F, Tower 1, No 31, XiangPing Rd, Xiaoping Village, Shatou St, Panyu, Guangzhou, China",Chinese Mainland,"Central & South America, Middle East, North America, Scandinavia, Southeast Asia, Worldwide",General Manager,2010.0,101 - 200 ODM OEM Certification Verified by Certificate Name Issued By Certificate Type Valid Date AEO CERTIFICATION Guangzhou Customs of the People's Republic of China Others - SGS AUDIT REPORT SGS Others - View Details Certification(s) Verified on 24 Apr 2025 by Disclaimer View details Factory & Facility New Necklace NEW JEWELRY SET,
447,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Maduro-Limited/1X00I8B1,"Exporter, Manufacturer",Hong Kong,"Costume & Fashion Jewellery, Jewellery & Watch, Watches & Clocks",,Mr Jason Chan,"Unit 06, 16/F, Tower One, Ever Gain Plaza, 88 Container Port Road, Kwai Chung, N.T., HongKong",Hong Kong,"Hong Kong, North America, Other Asian Countries, Southeast Asia, Western Europe",Assistant Sales Manager,2007.0,1 - 5,"US$ 1,000,000 - 4,999,999 ODM OEM Fashion View Details Company Information Verified on 10 Oct 2025 by Disclaimer 1003-0843-D51 1001-0782-154 1001-0788-02F1 1001-0832-152 1001-0832-D91 1001-1032-031 1003-1028-182 1003-0905-633"
448,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Crossfor-HK-Limited/1X042Q9L,Wholesaler,Hong Kong,"Fine Jewellery, Gifts / Souvenirs",,Ms Gloria Au,"Unit 211, 2/F., Mirror Tower, 61 Mody Road, TST East, Kowloon, Hong Kong",Hong Kong,Worldwide,Sales Manager,2007.0,1 - 5,
449,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Lili-Jewelry-Ltd/1X06DTUR,"Exporter, Importer, Manufacturer, Wholesaler",Hong Kong,"Fine Jewellery, Jewellery & Watch",Lili Jewelry ODM OEM Certificate Name Issued By Certificate Type Valid Date EC0015-CR6036 - - - EC0015-CR6782 - - - EL0068-LY2369 - - - EOR0025-OR1571 - - - EOR0025-OR1606 - - - Show More,Ms Cherry Chong,"Room 1004, China Building, 29 Queen's Road Central, Central, Hong Kong",Hong Kong,"Central & South America, Chinese Mainland, Eastern Europe, Hong Kong, Japan, Korea, Middle East, North America, Other Asian Countries, Southeast Asia, Taiwan, Western Europe, Worldwide",Managing Director,2006.0,6 - 10,"US$ 10,000,000 - 49,999,999"
450,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ariha-Diamond-Jewelry-Co-Ltd/1X00DXZA,Manufacturer,Thailand,"Fine Jewellery, Jewellery & Watch",,Mr Deven Harshad Kumar Doshi,"919-299 Silom Road, Silom, Bangkok 10500, Thailand",Thailand,"Eastern Europe, Other Asian Countries, Western Europe",Managing Director,,,
451,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Naturalpak-Ind-l-Co-Ltd/1X07FB5Y,"Exporter, Manufacturer","Dongguan, Guangdong, Chinese Mainland","Jewellery & Watch, Packaging & Displaying Materials","NATURALPAK ODM OEM Certification Verified by Certificate Name Issued By Certificate Type Valid Date FSC Extensive Standard Technical Services Co., Ltd. FSC 15 Apr 2026 ISO 9001 ACM (CHINA)LIMITED ISO 9001 19 Jan 2028 View Details Certification(s) Verified on 20 May 2025 by Disclaimer",Ms Sophie Lee,Xin Gu Yong Ind'l Zone Wan Jiang District Dong Guan City China,Chinese Mainland,"Central & South America, Middle East, Western Europe",General Manager,2007.0,101 - 200,
452,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Windsor-Jewelers-Inc/1X00A59C,"Exporter, Manufacturer","New York, USA",Jewellery & Watch,,Mr Hugo Foutermann,"Suite 201, 608 Fifth Avenue, New York, Ny10020, USA.",USA,"Chinese Mainland, Eastern Europe, Hong Kong, Japan, Korea, Middle East, North America, Southeast Asia, Western Europe, Worldwide",Vice-President,1986.0,11 - 15,"US$ 10,000,000 - 49,999,999 View details Factory & Facility"
453,https://sourcing.hktdc.com/en/Supplier-Store/Profile/A-1-Jewelry-Mfy-Ltd/1X001U4E,"Exporter, Manufacturer",Hong Kong,"Fine Jewellery, Jewellery & Watch",A-1 ODM OEM View details Factory & Facility,Cliff Lo,"Unit 19, 6/F, Block B, Focal Industrial Centre, 21 Man Lok Street, Hunghom, Kowloon, Hong Kong",Hong Kong,"Eastern Europe, Middle East, North America, Other Asian Countries, Western Europe",Managing Director,1993.0,101 - 200,"US$ 5,000,000 - 9,999,999"
454,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Asian-Star-Trading-Hong-Kong-Limited/1X0AANAT,"Exporter, Manufacturer",Hong Kong,Fine Jewellery,,Mr Kartik Mehta,"Room 1103, Guard Force Center, 3 Hok Yuen Street East, Hung Hom, Kowloon, Hong Kong",Hong Kong,,Vice President - Sales & Marketing,,,
