company_name,description,exhibit loc,url,full_url
"Hangzhou Huvis Yongsheng Dyeing And Finishing Co.,Ltd",,"8.1, E69",/shanghai/en/exhibitor-search.detail.html/hangzhou-huvis-yongsheng-dyeing-and-finishing-coltd.html#exhibitorheadline,https://intertextile-shanghai-apparel-fabrics-spring.hk.messefrankfurt.com/shanghai/en/shanghai/en/exhibitor-search.detail.html/hangzhou-huvis-yongsheng-dyeing-and-finishing-coltd.html#exhibitorheadline
"Hangzhou Inejay Textile Co., Ltd.",,"8.1, G76",/shanghai/en/exhibitor-search.detail.html/hangzhou-inejay-textile-co-ltd.html#exhibitorheadline,https://intertextile-shanghai-apparel-fabrics-spring.hk.messefrankfurt.com/shanghai/en/shanghai/en/exhibitor-search.detail.html/hangzhou-inejay-textile-co-ltd.html#exhibitorheadline
杭州江东花边服饰有限公司,,"1.2, A116",/shanghai/en/exhibitor-search.detail.html/hangzhou-jd-lace--cloth-co-ltd.html#exhibitorheadline,https://intertextile-shanghai-apparel-fabrics-spring.hk.messefrankfurt.com/shanghai/en/shanghai/en/exhibitor-search.detail.html/hangzhou-jd-lace--cloth-co-ltd.html#exhibitorheadline
Hangzhou Jimay Printing & Dyeing Co Ltd,,"6.1, E69",/shanghai/en/exhibitor-search.detail.html/hangzhou-jimay-printing--dyeing-co-ltd.html#exhibitorheadline,https://intertextile-shanghai-apparel-fabrics-spring.hk.messefrankfurt.com/shanghai/en/shanghai/en/exhibitor-search.detail.html/hangzhou-jimay-printing--dyeing-co-ltd.html#exhibitorheadline
杭州精昉纺织有限公司,,"8.1, G145",/shanghai/en/exhibitor-search.detail.html/hangzhou-jingfang-textile-coltd.html#exhibitorheadline,https://intertextile-shanghai-apparel-fabrics-spring.hk.messefrankfurt.com/shanghai/en/shanghai/en/exhibitor-search.detail.html/hangzhou-jingfang-textile-coltd.html#exhibitorheadline
杭州金蟒贸易有限公司,,"7.1, H131",/shanghai/en/exhibitor-search.detail.html/hangzhou-jinmang-foreign-trading-coltd.html#exhibitorheadline,https://intertextile-shanghai-apparel-fabrics-spring.hk.messefrankfurt.com/shanghai/en/shanghai/en/exhibitor-search.detail.html/hangzhou-jinmang-foreign-trading-coltd.html#exhibitorheadline
"HANGZHOU JINXINGCHENG IMP&EXP CO.,LTD.",,"7.1, J93",/shanghai/en/exhibitor-search.detail.html/hangzhou-jinxingcheng-impexp-coltd.html#exhibitorheadline,https://intertextile-shanghai-apparel-fabrics-spring.hk.messefrankfurt.com/shanghai/en/shanghai/en/exhibitor-search.detail.html/hangzhou-jinxingcheng-impexp-coltd.html#exhibitorheadline
"HANGZHOU JUNHAO NEW MATERIAL Co., Ltd.",,"8.1, A66",/shanghai/en/exhibitor-search.detail.html/hangzhou-junhao-new-material-co-ltd.html#exhibitorheadline,https://intertextile-shanghai-apparel-fabrics-spring.hk.messefrankfurt.com/shanghai/en/shanghai/en/exhibitor-search.detail.html/hangzhou-junhao-new-material-co-ltd.html#exhibitorheadline
"HANGZHOU KAIYUAN SILK CO., LTD.",,"8.1, K86",/shanghai/en/exhibitor-search.detail.html/hangzhou-kaiyuan-silk-co-ltd.html#exhibitorheadline,https://intertextile-shanghai-apparel-fabrics-spring.hk.messefrankfurt.com/shanghai/en/shanghai/en/exhibitor-search.detail.html/hangzhou-kaiyuan-silk-co-ltd.html#exhibitorheadline
"Hangzhou Mengbusi Textile Technology Co., Ltd.",,"8.1, K137",/shanghai/en/exhibitor-search.detail.html/hangzhou-mengbusi-textile-technology-co-ltd.html#exhibitorheadline,https://intertextile-shanghai-apparel-fabrics-spring.hk.messefrankfurt.com/shanghai/en/shanghai/en/exhibitor-search.detail.html/hangzhou-mengbusi-textile-technology-co-ltd.html#exhibitorheadline
"Hangzhou mengda Indnstry co.,LTD",,"6.1, H122",/shanghai/en/exhibitor-search.detail.html/hangzhou-mengda-indnstry-coltd.html#exhibitorheadline,https://intertextile-shanghai-apparel-fabrics-spring.hk.messefrankfurt.com/shanghai/en/shanghai/en/exhibitor-search.detail.html/hangzhou-mengda-indnstry-coltd.html#exhibitorheadline
杭州明晨纺织有限公司,,"6.1, C59",/shanghai/en/exhibitor-search.detail.html/hangzhou-mingchen-textile-coltd.html#exhibitorheadline,https://intertextile-shanghai-apparel-fabrics-spring.hk.messefrankfurt.com/shanghai/en/shanghai/en/exhibitor-search.detail.html/hangzhou-mingchen-textile-coltd.html#exhibitorheadline
杭州明昊纺织有限公司,,"6.1, K56",/shanghai/en/exhibitor-search.detail.html/hangzhou-minghao-textile-co-ltd.html#exhibitorheadline,https://intertextile-shanghai-apparel-fabrics-spring.hk.messefrankfurt.com/shanghai/en/shanghai/en/exhibitor-search.detail.html/hangzhou-minghao-textile-co-ltd.html#exhibitorheadline
杭州迷妮数码科技有限公司,,"8.1, K80",/shanghai/en/exhibitor-search.detail.html/hangzhou-mini-digital-technology-co-ltd.html#exhibitorheadline,https://intertextile-shanghai-apparel-fabrics-spring.hk.messefrankfurt.com/shanghai/en/shanghai/en/exhibitor-search.detail.html/hangzhou-mini-digital-technology-co-ltd.html#exhibitorheadline
"HANGZHOU MOKARU TEXTILE CO., LTD",,"6.1, B02",/shanghai/en/exhibitor-search.detail.html/hangzhou-mokaru-textile-co-ltd.html#exhibitorheadline,https://intertextile-shanghai-apparel-fabrics-spring.hk.messefrankfurt.com/shanghai/en/shanghai/en/exhibitor-search.detail.html/hangzhou-mokaru-textile-co-ltd.html#exhibitorheadline
"Hangzhou Nanwang Packaging Design Co., Ltd.",,"1.2, J36",/shanghai/en/exhibitor-search.detail.html/hangzhou-nanwang-packaging-design-co-ltd.html#exhibitorheadline,https://intertextile-shanghai-apparel-fabrics-spring.hk.messefrankfurt.com/shanghai/en/shanghai/en/exhibitor-search.detail.html/hangzhou-nanwang-packaging-design-co-ltd.html#exhibitorheadline
杭州纽威纺织有限公司,,"8.1, A36",/shanghai/en/exhibitor-search.detail.html/hangzhou-newwe-textile-coltd.html#exhibitorheadline,https://intertextile-shanghai-apparel-fabrics-spring.hk.messefrankfurt.com/shanghai/en/shanghai/en/exhibitor-search.detail.html/hangzhou-newwe-textile-coltd.html#exhibitorheadline
"Hangzhou Pengrun Import and Export Co., Ltd",,"6.1, K118",/shanghai/en/exhibitor-search.detail.html/hangzhou-pengrun-import-and-export-co-ltd.html#exhibitorheadline,https://intertextile-shanghai-apparel-fabrics-spring.hk.messefrankfurt.com/shanghai/en/shanghai/en/exhibitor-search.detail.html/hangzhou-pengrun-import-and-export-co-ltd.html#exhibitorheadline
Hangzhou Phk Knitting Co Ltd,,"7.1, G121",/shanghai/en/exhibitor-search.detail.html/hangzhou-phk-knitting-co-ltd.html#exhibitorheadline,https://intertextile-shanghai-apparel-fabrics-spring.hk.messefrankfurt.com/shanghai/en/shanghai/en/exhibitor-search.detail.html/hangzhou-phk-knitting-co-ltd.html#exhibitorheadline
杭州钱塘江纺织有限公司,,"7.1, K145",/shanghai/en/exhibitor-search.detail.html/hangzhou-qiantangjiang-textile-coltd.html#exhibitorheadline,https://intertextile-shanghai-apparel-fabrics-spring.hk.messefrankfurt.com/shanghai/en/shanghai/en/exhibitor-search.detail.html/hangzhou-qiantangjiang-textile-coltd.html#exhibitorheadline
Hangzhou Rongxin Textile Technology Co Ltd,,"1.2, A112",/shanghai/en/exhibitor-search.detail.html/hangzhou-rongxin-textile-technology-co-ltd.html#exhibitorheadline,https://intertextile-shanghai-apparel-fabrics-spring.hk.messefrankfurt.com/shanghai/en/shanghai/en/exhibitor-search.detail.html/hangzhou-rongxin-textile-technology-co-ltd.html#exhibitorheadline
"hangzhou ruili 1/E co.,ltd keqiao branch",,"7.1, G75",/shanghai/en/exhibitor-search.detail.html/hangzhou-ruili-1e-coltd-keqiao-branch.html#exhibitorheadline,https://intertextile-shanghai-apparel-fabrics-spring.hk.messefrankfurt.com/shanghai/en/shanghai/en/exhibitor-search.detail.html/hangzhou-ruili-1e-coltd-keqiao-branch.html#exhibitorheadline
"Hangzhou Saifu Silk Co.,Ltd",,"8.1, K115",/shanghai/en/exhibitor-search.detail.html/hangzhou-saifu-silk-coltd.html#exhibitorheadline,https://intertextile-shanghai-apparel-fabrics-spring.hk.messefrankfurt.com/shanghai/en/shanghai/en/exhibitor-search.detail.html/hangzhou-saifu-silk-coltd.html#exhibitorheadline
杭州尚谦服装辅料有限公司,,"1.2, J41",/shanghai/en/exhibitor-search.detail.html/hangzhou-shangqian-garment-accessories-co-ltd.html#exhibitorheadline,https://intertextile-shanghai-apparel-fabrics-spring.hk.messefrankfurt.com/shanghai/en/shanghai/en/exhibitor-search.detail.html/hangzhou-shangqian-garment-accessories-co-ltd.html#exhibitorheadline
河北星天纺织科技有限公司,,"6.1, B126",/shanghai/en/exhibitor-search.detail.html/hebei-xingtian-textile-technology-coltd.html#exhibitorheadline,https://intertextile-shanghai-apparel-fabrics-spring.hk.messefrankfurt.com/shanghai/en/shanghai/en/exhibitor-search.detail.html/hebei-xingtian-textile-technology-coltd.html#exhibitorheadline
"Hebei Xinyuan textile co., ltd",,"6.1, A119",/shanghai/en/exhibitor-search.detail.html/hebei-xinyuan-textile-co-ltd.html#exhibitorheadline,https://intertextile-shanghai-apparel-fabrics-spring.hk.messefrankfurt.com/shanghai/en/shanghai/en/exhibitor-search.detail.html/hebei-xinyuan-textile-co-ltd.html#exhibitorheadline
Hebei Xinyue Paper&Plastic Packaging Co Ltd,,"1.2, B20",/shanghai/en/exhibitor-search.detail.html/hebei-xinyue-paperplastic-packaging-co-ltd.html#exhibitorheadline,https://intertextile-shanghai-apparel-fabrics-spring.hk.messefrankfurt.com/shanghai/en/shanghai/en/exhibitor-search.detail.html/hebei-xinyue-paperplastic-packaging-co-ltd.html#exhibitorheadline
"Hebei Yingtong Textile Technology Co. , Ltd.",,"6.2, A10",/shanghai/en/exhibitor-search.detail.html/hebei-yingtong-textile-technology-co--ltd.html#exhibitorheadline,https://intertextile-shanghai-apparel-fabrics-spring.hk.messefrankfurt.com/shanghai/en/shanghai/en/exhibitor-search.detail.html/hebei-yingtong-textile-technology-co--ltd.html#exhibitorheadline
河北泽翔纺织有限公司,,"1.2, B136",/shanghai/en/exhibitor-search.detail.html/hebei-zexiang-textile-coltd.html#exhibitorheadline,https://intertextile-shanghai-apparel-fabrics-spring.hk.messefrankfurt.com/shanghai/en/shanghai/en/exhibitor-search.detail.html/hebei-zexiang-textile-coltd.html#exhibitorheadline
合肥承远纺织服装有限公司,,"7.2, K120",/shanghai/en/exhibitor-search.detail.html/hefei-chengyuan-textilegarment-co-ltd.html#exhibitorheadline,https://intertextile-shanghai-apparel-fabrics-spring.hk.messefrankfurt.com/shanghai/en/shanghai/en/exhibitor-search.detail.html/hefei-chengyuan-textilegarment-co-ltd.html#exhibitorheadline
合肥光谱新材料有限公司,,"1.2, G124",/shanghai/en/exhibitor-search.detail.html/hefei-spectral-new-materials-co-ltd.html#exhibitorheadline,https://intertextile-shanghai-apparel-fabrics-spring.hk.messefrankfurt.com/shanghai/en/shanghai/en/exhibitor-search.detail.html/hefei-spectral-new-materials-co-ltd.html#exhibitorheadline
黑龙江普洛普纺织有限公司,,"7.2, J105",/shanghai/en/exhibitor-search.detail.html/heilongjiang-propp-textile-co-ltd.html#exhibitorheadline,https://intertextile-shanghai-apparel-fabrics-spring.hk.messefrankfurt.com/shanghai/en/shanghai/en/exhibitor-search.detail.html/heilongjiang-propp-textile-co-ltd.html#exhibitorheadline
"HEILONGJIANG YANSHOU JIJIA FLAX TEXTILE CO.,LTD",,"7.2, J131",/shanghai/en/exhibitor-search.detail.html/heilongjiang-yanshou-jijia-flax-textile-coltd.html#exhibitorheadline,https://intertextile-shanghai-apparel-fabrics-spring.hk.messefrankfurt.com/shanghai/en/shanghai/en/exhibitor-search.detail.html/heilongjiang-yanshou-jijia-flax-textile-coltd.html#exhibitorheadline
威海汉泰大麻纤维科技有限公司,,"7.2, J135",/shanghai/en/exhibitor-search.detail.html/hemp-fortex-industries-ltd.html#exhibitorheadline,https://intertextile-shanghai-apparel-fabrics-spring.hk.messefrankfurt.com/shanghai/en/shanghai/en/exhibitor-search.detail.html/hemp-fortex-industries-ltd.html#exhibitorheadline
"Henan jiahui textile printing & Dyeing co.,ltd",,"6.2, J145",/shanghai/en/exhibitor-search.detail.html/henan-jiahui-textile-printing--dyeing-coltd.html#exhibitorheadline,https://intertextile-shanghai-apparel-fabrics-spring.hk.messefrankfurt.com/shanghai/en/shanghai/en/exhibitor-search.detail.html/henan-jiahui-textile-printing--dyeing-coltd.html#exhibitorheadline
