"a-link--no-focus href","ex-exhibitor-search-result-item__headline","ex-exhibitor-search-result-item__highlight-text"
"https://intertextile-shenzhen.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/shanghai-kuwamura-co-ltd.html#exhibitorheadline","Shanghai Kuwamura Co Ltd",""
"https://intertextile-shenzhen.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/shenzhen-tririvers-trading-co-ltd.html#exhibitorheadline","深圳市三江通产贸易有限公司",""
"https://intertextile-shenzhen.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/shibaya-co-ltd.html#exhibitorheadline","Shibaya Co Ltd",""
"","","Advert"
"https://intertextile-shenzhen.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/sojitz-fashion-co-ltd.html#exhibitorheadline","Sojitz Fashion Co Ltd",""
"https://intertextile-shenzhen.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/sojitz-vancet-shanghai-trading-co-ltd.html#exhibitorheadline","Sojitz Vancet (Shanghai) Trading Co Ltd",""
"https://intertextile-shenzhen.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/sunwell-co-ltd.html#exhibitorheadline","株式会社三维尔",""
"https://intertextile-shenzhen.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/toyoshima--co-ltd.html#exhibitorheadline","Toyoshima & Co Ltd",""
"https://intertextile-shenzhen.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/toyoshima-international-shanghai-co-ltd.html#exhibitorheadline","Toyoshima International (Shanghai) Co Ltd",""
"https://intertextile-shenzhen.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/trabaldo-togna-spa.html#exhibitorheadline","Trabaldo Togna SpA",""
"","","Advert"
"https://intertextile-shenzhen.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/uni-textile-co-ltd.html#exhibitorheadline","宇仁纤维株式会社",""
"https://intertextile-shenzhen.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/veraudine-shanghai-textile-technology-co-ltd.html#exhibitorheadline","Veraudine (Shanghai) Textile Technology Co Ltd",""
"https://intertextile-shenzhen.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/yadong-changzhou-science--technology-co-ltd.html#exhibitorheadline","亚东（常州 ）科技有限公司",""
"https://intertextile-shenzhen.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/ya-dong-hong-kong-international-trading-company-limited.html#exhibitorheadline","Ya Dong (Hong Kong) International Trading Company Limited",""
"https://intertextile-shenzhen.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/zhangjiagang-vcare-textile-co-ltd.html#exhibitorheadline","张家港华之彩纺织有限公司",""
"","","Advert"
