Company Name,Location,Booth,url
"Dongguan XinYu Tin Can Manufactory Co, Ltd",Chinese Mainland,['Booth: 3-A06   |   DeLuxe PrintPack Hong Kong   |   '],/event/deluxeprintpackhk/en/exhibitor/1S005L2CY
"Dongguan Zhizun Industrial Co., Ltd.",Chinese Mainland,['Booth: 3-A06   |   DeLuxe PrintPack Hong Kong   |   '],/event/deluxeprintpackhk/en/exhibitor/1S005LMMK
"Guangzhou Tianyi Metal Products Co., Ltd.",Chinese Mainland,['Booth: 3-A06   |   DeLuxe PrintPack Hong Kong   |   '],/event/deluxeprintpackhk/en/exhibitor/1S005L1UH
Guangzhou Yameva Leather Manufacturer,Chinese Mainland,['Booth: 3-A06   |   DeLuxe PrintPack Hong Kong   |   '],/event/deluxeprintpackhk/en/exhibitor/1S005L2FP
"Shanghai Xinxiang Package Co., Ltd.",Chinese Mainland,['Booth: 3-A06   |   DeLuxe PrintPack Hong Kong   |   '],/event/deluxeprintpackhk/en/exhibitor/1S005LMQ8
"Shantou GLD Arts & Crafts Co., Ltd.",Chinese Mainland,['Booth: 3-A06   |   DeLuxe PrintPack Hong Kong   |   '],/event/deluxeprintpackhk/en/exhibitor/1S005LRGX
"Shenzhen Xin Zesen Printing Co., Ltd.",Chinese Mainland,['Booth: 3-A06   |   DeLuxe PrintPack Hong Kong   |   '],/event/deluxeprintpackhk/en/exhibitor/1S005L28A
"XIAMEN BAG IMP. & EXP. CO., LTD.",Chinese Mainland,['Booth: 3-A06   |   DeLuxe PrintPack Hong Kong   |   '],/event/deluxeprintpackhk/en/exhibitor/1S005LRF0
"Xiamen Packrich Imp. and Exp. Co., Ltd.",Chinese Mainland,['Booth: 3-A06   |   DeLuxe PrintPack Hong Kong   |   '],/event/deluxeprintpackhk/en/exhibitor/1S005LRE3
Midas Printing International Limited,Hong Kong,['Booth: 3-A06   |   DeLuxe PrintPack Hong Kong   |   '],/event/deluxeprintpackhk/en/exhibitor/1S005IT07
DONGGUAN TAILIAN PACKING LIMITED,Chinese Mainland,['Booth: 3-A06   |   DeLuxe PrintPack Hong Kong   |   '],/event/deluxeprintpackhk/en/exhibitor/1S005L2HJ
"Dongguan Shishangmei Printing Co., Ltd.",Chinese Mainland,['Booth: 3-A06   |   DeLuxe PrintPack Hong Kong   |   '],/event/deluxeprintpackhk/en/exhibitor/1S005LRLI
"Guangdong Bosing Paper Packaging & Printing Co., Ltd.",Chinese Mainland,['Booth: 3-A06   |   DeLuxe PrintPack Hong Kong   |   '],/event/deluxeprintpackhk/en/exhibitor/1S005L1WB
Wenzhou Lovedoor Group Co Ltd,Chinese Mainland,['Booth: 3-A06   |   DeLuxe PrintPack Hong Kong   |   '],/event/deluxeprintpackhk/en/exhibitor/1S005LRC9
"Yiwu Bravo paper products Co., Ltd.",Chinese Mainland,['Booth: 3-A06   |   DeLuxe PrintPack Hong Kong   |   '],/event/deluxeprintpackhk/en/exhibitor/1S005LRNC
Zenith Packaging Industry Limited,Chinese Mainland,['Booth: 3-A06   |   DeLuxe PrintPack Hong Kong   |   '],/event/deluxeprintpackhk/en/exhibitor/1S005LMTZ
"DONGGUAN HEAO INDUSTRIAL INVESTMENT CO.,LTD",Chinese Mainland,['Booth: 3-A06   |   DeLuxe PrintPack Hong Kong   |   '],/event/deluxeprintpackhk/en/exhibitor/1S005LMVT
"Dongguan Changfa Craft Packing Products Co., Ltd.",Chinese Mainland,['Booth: 3-A06   |   DeLuxe PrintPack Hong Kong   |   '],/event/deluxeprintpackhk/en/exhibitor/1S005L1X8
"Dongguan DongHong Paper Products Co., Ltd.",Chinese Mainland,['Booth: 3-A06   |   DeLuxe PrintPack Hong Kong   |   '],/event/deluxeprintpackhk/en/exhibitor/1S005L2B1
"Dongguan Ganxing Gifts Co., Ltd",Chinese Mainland,['Booth: 3-A06   |   DeLuxe PrintPack Hong Kong   |   '],/event/deluxeprintpackhk/en/exhibitor/1S005LRSX
"Dongguan Jiurun Printing & Packaging Technology Co., Ltd.",Chinese Mainland,['Booth: 3-C01   |   DeLuxe PrintPack Hong Kong   |   Cantonese Business Go Global'],/event/deluxeprintpackhk/en/exhibitor/1S005LRO9
"Dongguan Xianjunlong Paper Products Co., Limited",Chinese Mainland,['Booth: 3-C01   |   DeLuxe PrintPack Hong Kong   |   Cantonese Business Go Global'],/event/deluxeprintpackhk/en/exhibitor/1S005LRR0
"Dongguan XinYuanjia Environmental Technology Co., Ltd",Chinese Mainland,['Booth: 3-C01   |   DeLuxe PrintPack Hong Kong   |   Cantonese Business Go Global'],/event/deluxeprintpackhk/en/exhibitor/1S005LR8L
"Fujian Jiamei Group Xiamen Import & Export Co,,Ltd.",Chinese Mainland,['Booth: 3-C01   |   DeLuxe PrintPack Hong Kong   |   Cantonese Business Go Global'],/event/deluxeprintpackhk/en/exhibitor/1S005M5TG
"Guangdong Huasheng Element Leather Co., Ltd.",Chinese Mainland,['Booth: 3-C01   |   DeLuxe PrintPack Hong Kong   |   Cantonese Business Go Global'],/event/deluxeprintpackhk/en/exhibitor/1S005LR9I
"Guangdong Sensheng Carbon Neutralization Technology Co., Ltd.",Chinese Mainland,['Booth: 3-C01   |   DeLuxe PrintPack Hong Kong   |   Cantonese Business Go Global'],/event/deluxeprintpackhk/en/exhibitor/1S005L23P
Guangzhou Emon Trading Company,Chinese Mainland,['Booth: 3-C01   |   DeLuxe PrintPack Hong Kong   |   Cantonese Business Go Global'],/event/deluxeprintpackhk/en/exhibitor/1S005LMPB
"Guilin Fadeli Packing Co.,Ltd",Chinese Mainland,['Booth: 3-C01   |   DeLuxe PrintPack Hong Kong   |   Cantonese Business Go Global'],/event/deluxeprintpackhk/en/exhibitor/1S005LMR5
"Huizhou Cailang Printing Products Co., Ltd.",Chinese Mainland,['Booth: 3-C01   |   DeLuxe PrintPack Hong Kong   |   Cantonese Business Go Global'],/event/deluxeprintpackhk/en/exhibitor/1S005L25J
"Ijen (Dongguan) Paper Products Co., Ltd.",Chinese Mainland,['Booth: 3-C01   |   DeLuxe PrintPack Hong Kong   |   Cantonese Business Go Global'],/event/deluxeprintpackhk/en/exhibitor/1S005L2DV
"Qingdao Perfect Luxury Packaging Co., Ltd.",Chinese Mainland,['Booth: 3-C01   |   DeLuxe PrintPack Hong Kong   |   Cantonese Business Go Global'],/event/deluxeprintpackhk/en/exhibitor/1S005LXKF
"Qingdao Yuanrong Packaging Co., Ltd.",Chinese Mainland,['Booth: 3-C01   |   DeLuxe PrintPack Hong Kong   |   Cantonese Business Go Global'],/event/deluxeprintpackhk/en/exhibitor/1S005L27D
"Quanzhou Haitong Electronic Equipment Co., Ltd.",Chinese Mainland,['Booth: 3-C01   |   DeLuxe PrintPack Hong Kong   |   Cantonese Business Go Global'],/event/deluxeprintpackhk/en/exhibitor/1S005L1Z2
SEISMO Packaging,Chinese Mainland,['Booth: 3-C01   |   DeLuxe PrintPack Hong Kong   |   Cantonese Business Go Global'],/event/deluxeprintpackhk/en/exhibitor/1S005LRP6
"Shenzhen CFY Paper Tube Co., Ltd.",Chinese Mainland,['Booth: 3-C01   |   DeLuxe PrintPack Hong Kong   |   Cantonese Business Go Global'],/event/deluxeprintpackhk/en/exhibitor/1S005L2GM
"Shenzhen Cote Cheng Electronic Co., Ltd.",Chinese Mainland,['Booth: 3-C01   |   DeLuxe PrintPack Hong Kong   |   Cantonese Business Go Global'],/event/deluxeprintpackhk/en/exhibitor/1S005LMUW
"Shenzhen Yuhua Packing Products Co., Ltd.",Chinese Mainland,['Booth: 3-C01   |   DeLuxe PrintPack Hong Kong   |   Cantonese Business Go Global'],/event/deluxeprintpackhk/en/exhibitor/1S005LRMF
Viet Style Service Trading Company Limited,Vietnam,['Booth: 3-C01   |   DeLuxe PrintPack Hong Kong   |   Cantonese Business Go Global'],/event/deluxeprintpackhk/en/exhibitor/1S005IY7H
"Wenzhou Haode Trading Co., Ltd.",Chinese Mainland,['Booth: 3-C01   |   DeLuxe PrintPack Hong Kong   |   Cantonese Business Go Global'],/event/deluxeprintpackhk/en/exhibitor/1S005LRHU
"Wenzhou Longyuan International Co., Ltd.",Chinese Mainland,['Booth: 3-C01   |   DeLuxe PrintPack Hong Kong   |   Cantonese Business Go Global'],/event/deluxeprintpackhk/en/exhibitor/1S005LRIR
"Wenzhou WINWIN Leather Products. Co., Ltd.",Chinese Mainland,['Booth: 3-C01   |   DeLuxe PrintPack Hong Kong   |   Cantonese Business Go Global'],/event/deluxeprintpackhk/en/exhibitor/1S005LXM9
"Wenzhou Wanfeng Labels Co., Ltd.",Chinese Mainland,['Booth: 3-C01   |   DeLuxe PrintPack Hong Kong   |   Cantonese Business Go Global'],/event/deluxeprintpackhk/en/exhibitor/1S005LRKL
Xrhea Group Limited,Chinese Mainland,['Booth: 3-C01   |   DeLuxe PrintPack Hong Kong   |   Cantonese Business Go Global'],/event/deluxeprintpackhk/en/exhibitor/1S005LRQ3
Yishu Paper,Chinese Mainland,['Booth: 3-C01   |   DeLuxe PrintPack Hong Kong   |   Cantonese Business Go Global'],/event/deluxeprintpackhk/en/exhibitor/1S005LRJO
"Zhangzhou Lier Printing Co., Ltd.",Chinese Mainland,['Booth: 3-C01   |   DeLuxe PrintPack Hong Kong   |   Cantonese Business Go Global'],/event/deluxeprintpackhk/en/exhibitor/1S005LRD6
"Suzhou YUTO Printing Co., Ltd.",Chinese Mainland,['Booth: 3-C01   |   DeLuxe PrintPack Hong Kong   |   Cantonese Business Go Global'],/event/deluxeprintpackhk/en/exhibitor/1S005L21V
"Ruixiang Packaging Products Co., Ltd.",Chinese Mainland,['Booth: 3-C01   |   DeLuxe PrintPack Hong Kong   |   Cantonese Business Go Global'],/event/deluxeprintpackhk/en/exhibitor/1S005LMS2
"Shanghai KIYI International Trade Co., Ltd.",Chinese Mainland,['Booth: 3-C01   |   DeLuxe PrintPack Hong Kong   |   Cantonese Business Go Global'],/event/deluxeprintpackhk/en/exhibitor/1S005L20Y
