company name,location,,Nature of Business,Product / Service Range,supplier_url,exhibitor_url,Company Background,Exhibit / Brand / Service Description,Company Website,HKTDC Events,Certificates,Other Certificates,Brand Name
Decor Suite Interiors Limited,Hong Kong,,"Retailer, Manufacturer",Interior Design,N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0063NUV?fairCode=homedelights&locale=en,"Decor House was set up in 1984. businesses divide into three main areas: apartments, shops and offices.","We offers diversifying and one-stop interior design and furniture-making services, includes planning on interior design and renovation of new and old apartments and offices and shops, as well as furniture design and manufacturing, as well as directs",www.facebook.com/decorhouse,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026 HKTDC Home Delights Expo 2025,,,
EMMAS Spectrum (Hong Kong) Limited,Hong Kong,,Retailer,"Bed Sheet, Quilt, Home Furnishing Textile, Pillow, Bed Linen",N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0063QAG?fairCode=homedelights&locale=en,"Driven by strong belief and passion in the pursuit of quality sleep, EMMAS joins hands with Australian crafters specialised in mattress production and innovation, to deliver the sophisticated experience and skills to Asia","Our Australian made anti allergy mattresses are NACA certified and enhanced with Ultrashield technology, inhibiting mold and dust mites to deliver a cleaner, elevated sleep environment ideal for those with allergies or asthma.",emmas.com.hk/,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026 HKTDC Home Delights Expo 2025,,,
Hong Kong Telecommunications Limited,Hong Kong,,Others,Smart Living,N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0063NVS?fairCode=homedelights&locale=en,,"Netvigator, Now TV, 1O1O, CSL",,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026,,,
Sleep Health Association Limited,Hong Kong,,Professional Association,,N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0065CI6?fairCode=homedelights&locale=en,,Sleep Pavilion,www.sleepha.org/,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026,,,
Art Lane Ltd,Hong Kong,,Retailer,Furniture,N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0064Q0A?fairCode=homedelights&locale=en,"GIORMANI was founded by Mr. Kelvin Ng and Ms Jane Tong in 1999. As sofa is the centerpiece of a home that can gather all family members for a long time, they started the business by providing quality, comfortable and stylish sofa furniture. Working with young designers from Italy, Germany and Hong Kong for years enables the Company to keep up with the latest trends from the continent and ensures a freshness of approach. Also, its designer team masterfully blends tradition and innovation, classic and contemporary designs, to create unique and modern sofas and armchairs. Giormani's designs consistently combine functionality with creativity.","GIORMANI focuses on developing high-quality sofas, living room furniture, and other accessories, hope for every family provides high quality, comfortable sofa and let them ride the trend when the good times.",www.giormani.com,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026 HKTDC Home Delights Expo 2025,,,
Change Design Factory Limited,Hong Kong,,Distributor,Interior Design,N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0064XKF?fairCode=homedelights&locale=en,"Change Design Factory The furniture factory is a company with more than ten years of experience, providing one-stop decoration and design. The price is comparable to that of the masters, the furniture is sold directly from the factory, and all the furniture is made of 11-layer solid wood core boards imported from the UK. Furniture design, custom-made wardrobes, kitchen cabinet islands, redone kitchens, cloakrooms, hydraulic platform beds, turning beds Wallbed, deformation Furniture, Loft, Cleaf Board and more. Professional designers, in-house construction team, and discounts on decoration design! Free ruler design",Change Design Factory 傢俬廠為十多年經驗的公司，一站式裝修及設計。價錢媲美師傅，工廠直銷傢俬，全用英國進口11層實木細芯板，傢俬設計，訂造衣櫃、廚櫃中島、重做廚房、衣帽間、油壓地台床、翻床Wallbed、變形傢俬、閣樓、Cleaf 板等。專業設計師，自家施工團隊，裝修設計可享折扣優惠！,changedesignfactory.com.hk,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026 HKTDC Home Delights Expo 2025,,,
Happy Kitchen Cafe & Bar,Hong Kong,,"Charity / Welfare Organisation, Service Company","Elderly care and service, Electrical Juice Extractor, Food Processor, Electric Blender, Elderly care and service, Electrical Juice Extractor, Food Processor, Electric Blender, Electric Blender, Elderly care and service, Electrical Juice Extractor, Food Processor",N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0064XZ6?fairCode=homedelights&locale=en,"As a subsidiary brand of German Pool, Happy Kitchen is built around the philosophy of “Happy Kitchen, Happy Cooking” and is Hong Kong’s first brand dedicated to the silver-age and elderly wellness market. Beyond offering diversified culinary experiences such as team building cooking activities and corporate training programmes, Happy Kitchen also provides care food and fine soft meal outreach programmes, including in-home cooking workshops, private dining services, care food standard sharing sessions, and community cooking activities. The brand has also launched its own Fine Soft Meal / Care Food Recipe Book, extending culinary experiences into corporate training, elderly care, and community education. By integrating online platforms with mobile outreach services, Happy Kitchen breaks the limitations of traditional cooking spaces and promotes cooking as a lifestyle experience that extends into workplaces, homes, and communities. Through this approach, the brand continues to spread the values of happiness, health, care, and inclusivity through food culture.","At Happy Kitchen, care food standards and elderly nutrition knowledge were shared on-site, introducing ID DSI levels, swallowing health, and elderly dietary needs.",https://www.happykitchen.co/,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026,,,
Cheong Hing Store Ltd,Hong Kong,,"Distributor, Wholesaler, Retailer","Plate/ Dish, Tableware, Personal Care Product, Kitchen Knife, Cutting Board, Electric Water Dispenser, Electric Blender, Electric Rice Cooker, Filtered Water Dispenser, Cup / Mug, Kitchen Utensil Set, Cutlery Set, Bakeware, Food Container, Induction Cooker, Kitchenware, Bowl, Dining Table Accessories, Air Purifier, Plate/ Dish, Tableware, Personal Care Product, Kitchen Knife, Cutting Board, Electric Water Dispenser, Electric Blender, Electric Rice Cooker, Filtered Water Dispenser, Cup / Mug, Kitchen Utensil Set, Cutlery Set, Bakeware, Food Container, Induction Cooker, Kitchenware, Bowl, Dining Table Accessories, Air Purifier",N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0065AYW?fairCode=homedelights&locale=en,,"A wide variety of well-known and trusted kitchenware brands that includes ZWILLING, STAUB and BALLARINI. Our products keep up with the latest technology with evolving consumer trends which make each brand timeless.",,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026 HKTDC Home Delights Expo 2025 HKTDC Food Expo 2011 HKTDC Food Expo 2010 HKTDC Food Expo 2009,,,
German Pool Kitchen Equipment Limited,Hong Kong,,"Retailer, Wholesaler","Energy Saving Product, Air Fryer, Air Purifier, Induction Cooker, Vacuum Cleaner, Electric Heater, Electric Fan, Electric Food Steamer, Halogen Cooking Pot, Dehumidifier, Air Cooler / Warmer, Coffee Maker, Electrical Personal Care Appliances, Electric Rice Cooker, Smart Living, Food Processor, Electric Iron, Electric Oven, Kitchen Knife, Cooker Hood, Electric Blender, Kitchenware, Electric Kettle, Energy Saving Product, Air Fryer, Air Purifier, Induction Cooker, Vacuum Cleaner, Electric Heater, Electric Fan, Electric Food Steamer, Halogen Cooking Pot, Dehumidifier, Air Cooler / Warmer, Coffee Maker, Electrical Personal Care Appliances, Electric Rice Cooker, Smart Living, Food Processor, Electric Iron, Electric Oven, Kitchen Knife, Cooker Hood, Electric Blender, Kitchenware, Electric Kettle, Energy Saving Product, Air Fryer, Air Purifier, Induction Cooker, Vacuum Cleaner, Electric Heater, Electric Fan, Electric Food Steamer, Halogen Cooking Pot, Dehumidifier, Air Cooler / Warmer, Coffee Maker, Electrical Personal Care Appliances, Electric Rice Cooker, Smart Living, Food Processor, Electric Iron, Electric Oven, Kitchen Knife, Cooker Hood, Electric Blender, Kitchenware, Electric Kettle, Energy Saving Product, Air Fryer, Air Purifier, Induction Cooker, Vacuum Cleaner, Electric Heater, Electric Fan, Electric Food Steamer, Halogen Cooking Pot, Dehumidifier, Air Cooler / Warmer, Coffee Maker, Electrical Personal Care Appliances, Electric Rice Cooker, Smart Living, Food Processor, Electric Iron, Electric Oven, Kitchen Knife, Cooker Hood, Electric Blender, Kitchenware, Electric Kettle, Energy Saving Product, Air Fryer, Air Purifier, Induction Cooker, Vacuum Cleaner, Electric Heater, Electric Fan, Electric Food Steamer, Halogen Cooking Pot, Dehumidifier, Air Cooler / Warmer, Coffee Maker, Electrical Personal Care Appliances, Electric Rice Cooker, Smart Living, Food Processor, Electric Iron, Electric Oven, Kitchen Knife, Cooker Hood, Electric Blender, Kitchenware, Electric Kettle, Energy Saving Product, Air Fryer, Air Purifier, Induction Cooker, Vacuum Cleaner, Electric Heater, Electric Fan, Electric Food Steamer, Halogen Cooking Pot, Dehumidifier, Air Cooler / Warmer, Coffee Maker, Electrical Personal Care Appliances, Electric Rice Cooker, Smart Living, Food Processor, Electric Iron, Electric Oven, Kitchen Knife, Cooker Hood, Electric Blender, Kitchenware, Electric Kettle",N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0065AXZ?fairCode=homedelights&locale=en,,"After over 30 years of success, German Pool emerges as an international corporation strong in product design, manufacturing, sales and marketing, as well as international import and export. German Pool is now one of the most influential players in HK",www.germanpool.com,"Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026 HKTDC Home Delights Expo 2025 HKTDC Home Delights Expo 2024 Style Hong Kong Show in Guangzhou 2012 Style Hong Kong Pavilion at Northeast Asia Expo, Changchun Style Hong Kong in Harbin 2011",,,
Kuka (HK) Int'l Trade Limited,Hong Kong,,Retailer,Furniture,N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0063QBD?fairCode=homedelights&locale=en,"KUKA is specialized in the research, development, production and marketing of the household products of living room and bedroom, providing healthy, comfortable, environmental, household products of living room and bedroom for the families of the whole world. At present, KUKA household products are exported to over 120 countries and regions in the world, and owned over 6,000 brand monopolized shops, providing products and service with high quality for millions and millions families in the world.",Our company specializes in high-quality leather sofas. We develop sofas with diverse practical functions and gradually integrate technological features into our products. We will further upgrade our service quality this year.,www.kukahome.com.hk/tc/about/introduction.html,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026 HKTDC Home Delights Expo 2025,,,
Maxcare Industrial Limited,Hong Kong,,Retailer,"Massage Chair, Fitness Product",N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0063W4S?fairCode=homedelights&locale=en,"Maxcare has been awarded the Hong Kong Top Brands for several consecutive years. Our products cover three major categories: massage, fitness equipment, and personal care, dedicated to providing quality products and service experiences.","Maxcare's hero product: Photobiomodulation. Products are jointly developed by MTCURE and The Chinese University of Hong Kong, and Maxcare provides engineering and manufacturing supports, effectively improves pain conditions while promoting metabolism",www.maxcareonlineshop.com,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026 HKTDC Home Delights Expo 2025,,,
OTO Bodycare (H.K.) Limited,Hong Kong,,Retailer,"Office Ergonomic Chair, Massage Chair, Healthcare Product, Smart Living, Fitness Product",N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0064DWZ?fairCode=homedelights&locale=en,"In OTO, the 'O' signifies totality, and the 'T' signifies balance. We believe in living life to its fullest through the wonders of balance and totality. OTO products are dedicated to help people live better, and longer. OTO has four categories of products: Relaxation and Fitness products could keep bodies rejuvenated and vital; Diagnostics products could help monitor health, while Therapeutic products could alleviate pains and ailments. OTO has a strong strategic partnership with established manufacturers. Its aim is to put an OTO product in every home.",按摩產品,www.otobodycare.com,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026 HKTDC Home Delights Expo 2025 HKTDC Home Delights Expo 2024 HKTDC Home Delights Expo 2023 HKTDC Home Delights Expo 2022 HKTDC Home Delights Expo 2021 HKTDC Hong Kong Sports and Leisure Expo 2021 HKTDC Hong Kong Sports and Leisure Expo 2020 Show More,,,
Ogawa Health Care International (HK) Limited,Hong Kong,,Retailer,Massage Chair,N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0063Q8M?fairCode=homedelights&locale=en,"Ogawa is a Malaysian health and wellness retail store established in 1996. It has successfully grown into a leading player specializing in design, development and marketing of health and wellness equipment. With its innovative wellness products of the highest quality, Ogawa is the first choice for many homes and families today.",OGAWA Massage Chairs and Massage Products,www.ogawaworld.hk,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026 HKTDC Home Delights Expo 2025 HKTDC Home Delights Expo 2024 HKTDC Home Delights Expo 2023 HKTDC Home Delights Expo 2022 HKTDC Home Delights Expo 2021 HKTDC Home Delights Expo 2019 HKTDC Home Delights Expo 2018 Show More,,,
Osim (HK) Co. Limited,Hong Kong,,Retailer,Massage Chair,N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0063UXF?fairCode=homedelights&locale=en,,OSIM,www.osim.com.hk,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026 HKTDC Home Delights Expo 2025,,,
Owell International Ltd,Hong Kong,,"Retailer, Distributor","Electric Water Dispenser, Safe Products, Water Purifier, Water Filter Machine, Filtered Water Dispenser",N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0063W7J?fairCode=homedelights&locale=en,,"Water Purifiers, electric bidets, smart integrated toilets, water ionizers from Korea",www.owell.hk,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026 HKTDC Home Delights Expo 2025 HKTDC Home Delights Expo 2023 HKTDC Home Delights Expo 2022 HKTDC Home Delights Expo 2021 HKTDC Home Delights Expo 2019 HKTDC Home Delights Expo 2018 HKTDC Home Delights Expo 2017 Show More,,,
Sealy Asia (Hong Kong) Limited,Hong Kong,,Retailer,"Pillow, Bed Linen, Quilt",N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0063W3V?fairCode=homedelights&locale=en,"Every Sealy mattress is tested by experts, combining exceptional craftsmanship, outstanding technology and unique patents. From research and development to production, Sealy maintains the highest quality to provide you with the most comfort and the best sleeping experience.","Sealy Mattress provides quality support thanks to our patented coil design, enabling micro-adjustments to fulfil the sleeping needs of different body types. Enhanced edge support increases the mattress's useable area and durability,offering wellbeing",www.sealy.com.hk,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026 HKTDC Home Delights Expo 2025,,,
Simmons Bedding & Furniture (HK) Ltd,Hong Kong,,Retailer,"Pillow, Furniture, Bed Linen",N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0063RHU?fairCode=homedelights&locale=en,,"Simmons®,a US brand founded in 1870 and pioneer of Pocketed Coil mattress since launching Beautyrest® in 1925,supports your dream with premium mattress crafted in Japan,Canada,and China factory-delivering restful sleep through heritage and innovation",,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026,,,
The Hong Kong and China Gas Company Limited,Hong Kong,,"Statutory Body, Retailer, Distributor","Dehumidifier, Bathroom Supply, Interior Design, Cutlery Set, Energy, Safe Products, Electric Oven, Food Container, Kitchenware, Air Cooler / Warmer, Water Filter Machine, Kitchen Utensil Set, Cup / Mug, Cooker Hood, Filtered Water Dispenser, General Home Items, Electric Kettle, Kitchen Cabinet, Stove, Electric Water Dispenser, Healthcare Product, Tableware, Furniture, Dining Table Accessories, Personal Care Product, Smart Door Lock, Dehumidifier, Bathroom Supply, Interior Design, Cutlery Set, Energy, Safe Products, Electric Oven, Food Container, Kitchenware, Air Cooler / Warmer, Water Filter Machine, Kitchen Utensil Set, Cup / Mug, Cooker Hood, Filtered Water Dispenser, General Home Items, Electric Kettle, Kitchen Cabinet, Stove, Electric Water Dispenser, Healthcare Product, Tableware, Furniture, Dining Table Accessories, Personal Care Product, Smart Door Lock, Dehumidifier, Bathroom Supply, Interior Design, Cutlery Set, Energy, Safe Products, Electric Oven, Food Container, Kitchenware, Air Cooler / Warmer, Water Filter Machine, Kitchen Utensil Set, Cup / Mug, Cooker Hood, Filtered Water Dispenser, General Home Items, Electric Kettle, Kitchen Cabinet, Stove, Electric Water Dispenser, Healthcare Product, Tableware, Furniture, Dining Table Accessories, Personal Care Product, Smart Door Lock, Dehumidifier, Bathroom Supply, Interior Design, Cutlery Set, Energy, Safe Products, Electric Oven, Food Container, Kitchenware, Air Cooler / Warmer, Water Filter Machine, Kitchen Utensil Set, Cup / Mug, Cooker Hood, Filtered Water Dispenser, General Home Items, Electric Kettle, Kitchen Cabinet, Stove, Electric Water Dispenser, Healthcare Product, Tableware, Furniture, Dining Table Accessories, Personal Care Product, Smart Door Lock, Filtered Water Dispenser, General Home Items, Electric Kettle, Kitchen Cabinet, Stove, Electric Water Dispenser, Healthcare Product, Tableware, Furniture, Dining Table Accessories, Personal Care Product, Smart Door Lock, Dehumidifier, Bathroom Supply, Interior Design, Cutlery Set, Energy, Safe Products, Electric Oven, Food Container, Kitchenware, Air Cooler / Warmer, Water Filter Machine, Kitchen Utensil Set, Cup / Mug, Cooker Hood",N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S00650N3?fairCode=homedelights&locale=en,"Founded in 1862, The Hong Kong and China Gas Company Limited (Towngas) was Hong Kong's first public utility. Today, we are one of the largest energy suppliers in Hong Kong, operating with world-class corporate management and leading-edge business practices. For the past years, Towngas has been growing with Hong Kong, evolving from the simple gas company supplying fuel for street lamps to our current leading position in the energy industry in the greater China region.","Towngas offers a series of quality & stylish appliance and merchandise, to show you the latest kitchen and living room techno home aids. They'll help you to build your dream home!",www.towngasappliance.com/,"Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026 HKTDC Home Delights Expo 2025 HKTDC Home Delights Expo 2024 Entrepreneur Day 2023, Hong Kong Eco Expo Asia 2023 HKTDC Home Delights Expo 2023 InnoEX 2023 Eco Expo Asia 2022 Show More",,,
Yiu Hing International Development Limited,Hong Kong,,"Department Store, Manufacturer, Retailer","Electric Rice Cooker, Kitchenware, Stove, Electric Food Steamer, Cooker Hood, Kitchen Cabinet",N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S00641Y5?fairCode=homedelights&locale=en,"Yiu Hing International Development Ltd.(The original name:Liko Development Co).Founded in 2011,mainly engaged in the manufacture of household and small household appliances,wholesale and sales.Hongkong department store business distribution,Picerite,The Link Reit market and each big trade fair.2014 are extended to Macau to the Royal supermarket. Along with the trade between Hongkong and the increasingly close,in 2013,our company will be part of the business development in China,to introduce the best quality products more consumer groups,More follow Hongkong TDC in the same year,the domesyic each big trade fair,to build our brand and a wide range of high quality products.",展品品牌: Senga 1)SE-1120 迷你乾洗掛燙機。 2)LM-009 多功能掃地機。 3)SA-2280 韓陶燒。 4)SF-903 旋風吸塵機。 5)SD-8009 石瓷燒電飯煲。 6)K-26320 韓國鑽石鍋。,,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026 HKTDC Home Delights Expo 2025,,,
Samily Group Company Limited,Hong Kong,,Manufacturer,"Bowl, Food Container, Cup / Mug, Tableware",N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0063W8G?fairCode=homedelights&locale=en,"Samily is a Hong Kong brand, takes simpleness, thoughtfulness and practicalness as our design philosophy, to design, develop and produce a range of household and kitchen supplies.","We perfect use of Borosilicate glass, Silicone, PES, PPSU which are all food grade safety material to design a series of simple and practical household and kitchen supplies. - Double Deck Glass Food Container - Glass Lined Vacuum Insulated Bottle",www.samilyhome.com,"Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026 HKTDC Home Delights Expo 2025 HKTDC Home Delights Expo 2024 HKTDC Hong Kong Electronics Fair 2023 (Autumn Edition) HKTDC Home Delights Expo 2023 Chic HK, Shenzhen Home InStyle 2023 HKTDC Home Delights Expo 2022 Show More",,,
Department of Health - the Government of the HKSAR,Hong Kong,,Government,"Energy Saving Product, Energy Saving Product, Energy Saving Product",N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0064Q17?fairCode=homedelights&locale=en,,Organ Donation Promotion Booth,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026 HKTDC Home Delights Expo 2026 HKTDC Hong Kong Book Fair 2026 HKTDC Education & Careers Expo 2026 HKTDC Food Expo 2025 HKTDC Home Delights Expo 2025,,,
I Love Kitchen Limited,Hong Kong,,"Wholesaler, Retailer, Import Agent, Distributor","Kitchenware, Bakeware, Tableware, Cutlery Set, Kitchen Knife, Cutting Board, General Home Items, Food Container",N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0063WAA?fairCode=homedelights&locale=en,,"Epicurean cutting board, Woll Wok, Low Pressure Pot, Electric kitchenware; Lovos kitchen tools, Keter cabinet",www.ilovekitchen.com,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026 HKTDC Home Delights Expo 2025 HKTDC Home Delights Expo 2024 HKTDC Home Delights Expo 2023 HKTDC Home Delights Expo 2022 HKTDC Simply Shopping Fest 2022 HKTDC Home Delights Expo 2021 HKTDC Lifestyle ShoppingFest 2021 Show More,,,"EPICUREAN,KETER, LOVOS,WOLL"
CS Group Holdings Limited,Hong Kong,,"Exporter, Manufacturer, Retailer","Kitchen Knife, Kitchenware, Tableware, Electric Rice Cooker, Kitchen Utensil Set, Air Fryer, Electric Oven",N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0064A68?fairCode=homedelights&locale=en,,"Pressure cooker, Fry pans, Cookware set, Steam oven, rice cooker, air fryer, oven, cookware, knives",,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026 HKTDC Home Delights Expo 2025 HKTDC Home Delights Expo 2024 Home InStyle 2024 HKTDC Home Delights Expo 2023 Home InStyle 2023 HKTDC Home Delights Expo 2022 HKTDC Hong Kong Houseware Fair 2022 Show More,,,
Peoples Smart Living Limited,Hong Kong,,Retailer,"Furniture, Pillow, Bed Linen",N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0063WFV?fairCode=homedelights&locale=en,"Founded in 2019 by Mr. Michael Leung, founder of Peoples Telephone Company Limited, and his son, Mr. Vincent Leung, Peoples Smart Living Limited is revolutionising industries in Hong Kong and transforming it into a smart city throught cutting-edge smart technology and innovation. Mr. Michael Leung, an established entrepreneur with over 50 years of experience, whose trrack record spans diverse fields, including garment manufacturing, wireless telephoney, hotels, and retail, showcasing his expertise and leadership. Mr. Vincent Leung, a solicitor qualified in both Hong Kong and the UK, adds a fresh perspective, ensuring the ventures are innovative and compliant. In 2008, they formed a joint venture with the American footwear brand SKECHERS, establishing Skechers Hong Kong and Southeast Asia and opening over 500 sales points across 12 Asian countries and regions including Hong Kong, Macau, Singapore, and Malaysia. People's Smart Mattress in Wan Chai reflects the company's vision featuring advanced smart mattress for people need healthy sleep. By the end of 2025, the company had expanded presence of People's Smart Mattress stores across Hong Kong and Macau.",智能床褥，床上用品，智能按摩器，智能產品，智能護理產品,www.peoplessmartmattress.com,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026,,,
Tiger Corporation Hong Kong Limited,Hong Kong,,"Manufacturer, Wholesaler, Retailer, Service Company, Importer, Distributor","Electric Food Steamer, Energy Saving Product, Cup / Mug, Electric Kettle, Electric Rice Cooker, Food Container, Environmental Protection Equipment & Product",N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0063W9D?fairCode=homedelights&locale=en,"TIGER adheres to the concept of ""delivering happiness to all parts of the world"", and creates a series of healthy, convenient, high-quality insulation and home appliances with excellent and exclusive vacuum insulation technology and Japanese ""artisan spirit"", hoping to truly take care of Every user needs. TIGER brand includes: rice cooker, thermos cup, soup cup, instant electric kettle, thermos bottle, hand pouring kettle, thermal lunch box, electronic cooker and so on.","Made-in-Japan Rice Cookers, Made-in-Japan Electric Water Pots, Electric Kettles, Made-in-Japan Stainless Steel Bottles, Soup Cup, Lunch Box and Handy Jugs, etc.",www.tiger-hk.com,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026 HKTDC Home Delights Expo 2025,,,
Vision Interior Design Limited,Hong Kong,,Service Company,Interior Design,N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0063WB7?fairCode=homedelights&locale=en,,"Specializes in residential projects, primarily serving public housing and private residential units.",visionintdesigns.com,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026 HKTDC Home Delights Expo 2025,,,
3W Co-Creation Holding Limited,Hong Kong,,"Department Store, Retailer","Kitchen Knife, Kitchen Utensil Set, Healthcare Product, Kitchenware, Cutting Board",N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0064A2K?fairCode=homedelights&locale=en,"We are a company mainly retail the household and kitchenware, products including stainless steel wok, cast iron wok, high carbon steel cleaver, cutting board, ergonomics chair etc...Main market at the department store, roadshow & exhibition promotion, we also have oversea trading as well.","Stainless steel wok, Black diamond cast iron wok, kitchen knife series, w cutting board, ergonomics chair",,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026 HKTDC Home Delights Expo 2025,,,
A Synergia Medical Health Centre,Hong Kong,,,,N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0065W5P?fairCode=homedelights&locale=en,我們以「善心、仁愛、仁慈」為服務初心，結合嚴謹的專業精神，將客戶的需求放在首位。我們理解您對健康的重視與可能的不安，因此，我們的團隊不僅提供技術檢測，更願花時間聆聽，用同理心陪伴您走過每一步健康旅程。我們提供的服務包括個人化體檢計劃、各類超聲波與影像檢查、疫苗接種及專業健康諮詢，全方位照顧您與家人的健康需要。,,https://www.asynergiamedical.com/,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026,,,
Ample Grace Holdings Limited,Hong Kong,,Wholesaler,"General Home Items, Lighting Product, Home Office Furniture",N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0064WIM?fairCode=homedelights&locale=en,Company set up mainly to trade Households products and Home Office products to mass customer.,"Desktop Led Light, TV Mount, Monitor Arm",,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026,,,
Soul Parade Limited,Hong Kong,,,,N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0065W8G?fairCode=homedelights&locale=en,,,https://www.enjoyhydrogen.com/why-choosing-hhuhu,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026,,,
Buoninfante Asia Pacific Limited,Hong Kong,,,,N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0065W6M?fairCode=homedelights&locale=en,"""X-BIO 是一項獲得專利的睡眠系統，旨在調節體溫、濕度和姿勢—— 使您的身體能夠自然地完成每個睡眠週期，不受干擾。 高溫、高濕、空調和不良睡姿都會悄無聲息地擾亂睡眠—— 尤其是在像香港這樣人口密度高、濕度高的環境中。 X-BIO 能穩定您的睡眠微環境，讓您夜夜都能獲得深度、持續的恢復。""",,https://xbio.hk/,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026,,,
Continental Pollen Screen & Blinds,Hong Kong,,Distributor,"Air Purifier, Pet Supplies, Home Furnishing Textile, Air Purifier, Pet Supplies, Home Furnishing Textile, Air Purifier, Pet Supplies, Home Furnishing Textile",N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0065B0P?fairCode=homedelights&locale=en,"We are Continental pollen and blind. We are a Hong Kong based company with supporting factory in Dongguan China. We are window dressing specialists. We import excellent material as well as latest invented product round the world. With supporting factory in China. We offer not only excellent product but also value for money. From design, produce and install at your house. We serve not only household but also commercial customers. One of our customer was JLL, we are their listed supplier /contractor. We will work hand in hand with you to create a more beautiful world.","Brand and service Polltex, a pollen and bug net from Van Heek textile Netherlands Solar shield, anti sun heat sheer. Frame retardant, B 1 standard blind Padova ECODURE. Recycle roller blind Low E. Sun refractive roller blind.",contpollen.com,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026,,,
