company name,location,,Nature of Business,Product / Service Range,supplier_url,exhibitor_url,Company Background,Exhibit / Brand / Service Description,Company Website,HKTDC Events,Certificates,Other Certificates,Brand Name
Dream Lam,Hong Kong,,,,N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0064XM9?fairCode=homedelights&locale=en,"夢想林創藝坊，創辦人-林鳳，來自屯門一個小區-紅橋 ，喜歡，興趣，手藝，藝術。默默耕耘這麼多年，實現<您的夢想我為你創> ，林導師十幾載情結不斷改進變化萬千的創作手藝作品。並開辦課程傳授手藝。 ，今次帶來我的手工藝品,供大家視覺欣賞及擁有。 ，獨特的雙面繡(刺繡/十字繡) ，獨特的徒手繪木烙畫-(可提供即場烙刻木名牌) ，歡迎來攤位欣賞/支持",十字繡/刺繡/木烙畫全手工藝作品,https://www.facebook.com/dreamlam723,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026 HKTDC Home Delights Expo 2025,,,
Flordle,Hong Kong,,,,N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0064XN6?fairCode=homedelights&locale=en,,,,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026,,,
G I Technology Co.,Hong Kong,,"Wholesaler, Distributor, Importer, Retailer, Exporter","Water Purifier, Water Filter Machine, Kitchenware",N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0064AAW?fairCode=homedelights&locale=en,"Promote Health Products, Water Purifier, Instant Hot Water Dispenser, Showers, Faucets, Ergo Products, Air Purifier in Hong Kong and Macau market.","B & H, Senwater, Wakit Helper, Bellini, Everpool, Living care, b-mola",,"Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026 HKTDC Home Delights Expo 2025 HKTDC Home Delights Expo 2024 Style Hong Kong Show in Changsha 2013 Style Hong Kong Show in Qingdao 2013 Lifestyle Expo in Jakarta, Indonesia 2013 Style Hong Kong Show in Nanning 2013 Style Hong Kong Show in Dalian Show More",,,
Good Mood Design and Build Company Limited,Hong Kong,,Service Company,"Home Office Furniture, Furniture, Interior Design, Smart Living, Kitchen Cabinet, Environmental Protection Equipment & Product",N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0064A75?fairCode=homedelights&locale=en,"Our story began with one of the founders personally experiencing the challenges of renovating their own home. They realized that even the most renowned design studios had shortcomings in project management and client interaction. As a result, they teamed up with a professional team and decided to establish a company that not only offers excellent design management solutions but also prioritizes customer satisfaction and peace of mind.","Apartment Renovation, Custom Made Furniture, Outdoor Woody Deck, Kitchen Makeover",goodmooddnb.com,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026 HKTDC Home Delights Expo 2025,,,
HK Decoman Technology Limited,Hong Kong,,Others,,N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0065CK0?fairCode=homedelights&locale=en,,DIY Workshop and other DIY and Renovation workshops,,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026,,,
HK-Accessories,Hong Kong,,,,N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0064XO3?fairCode=homedelights&locale=en,Simple is the Best & Beautiful.,,www.pinkoi.com/store/hk-accessories,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026 HKTDC Home Delights Expo 2025 HKTDC Hong Kong International Film & TV Market (FILMART) 2020,,,HK-Accessories
Hong Kong Signage Research Society Limited,Hong Kong,,,,N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0064XP0?fairCode=homedelights&locale=en,,,www.leehonhk.store,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026 HKTDC Home Delights Expo 2025,,,
House of Yu-En,Hong Kong,,,,N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0064XQX?fairCode=homedelights&locale=en,"Yu-en crafts durable, high-quality leather and fabric bags designed for effortless daily styling. Each unique piece blends minimalist aesthetics with playful details. Featuring handpicked fabrics and original embroidery, our designs are full of surprises and character. Sewn with love, crafted with heart.",,https://www.instagram.com/houseofyu.en/,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026,,,
Invisalign Hong Kong Limited,Hong Kong,,,,N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0065W9D?fairCode=homedelights&locale=en,隱適美隱形牙箍和 iTero Element® 口腔掃描儀的製造商。 我們推出隱適美系統，徹底改變了牙齒矯正行業。我們的團隊不斷突破可能的界限—從3D 列印技術到新的牙箍材料和新的系統，以確定數位移動牙齒的最佳方式—心中只有一個目標：幫助你獲得你想要的笑容。,,https://www.invisalign.com.hk/,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026,,,
JD Logistics Holding Limited,Hong Kong,,Service Company,"Electrical Personal Care Appliances, Consumer Electronics Accessories, Smart Living",N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0065R6R?fairCode=homedelights&locale=en,,logistics service,,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026,,,
K S Trading Company,Hong Kong,,Retailer,,N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S00650QU?fairCode=homedelights&locale=en,,"DK towel : Absorbent, soft, comfortable, quick drying Yh antibacterial socks : Anti-odor, anti-bacterial, comfortable",,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026 HKTDC Home Delights Expo 2025,,,"DK towel,Yh antibacterial socks"
