Company Name,Location,Booth,url
"My Laboratory Co., Ltd.",Thailand,['Booth: AWE 8-H29   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005XJJW
"Ploy Center Co., Ltd.",Thailand,['Booth: AWE 8-H29   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005XICI
"S.V.D. Gems Co., Ltd.",Thailand,['Booth: AWE 8-H29   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005XJ52
"Star Lanka Co., Ltd.",Thailand,['Booth: AWE 8-H29   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005XGRB
Sung Gems Co Ltd,Thailand,['Booth: AWE 8-H29   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005XHH4
"Swd Import Export Co., Ltd.",Thailand,['Booth: AWE 8-H29   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005XGQE
"Takat Gems Co., Ltd.",Thailand,['Booth: AWE 8-H29   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005XJDE
Blue Gems Supplier,Hong Kong,['Booth: AWE 8-H29   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005Y6EO
Dynamic International,Hong Kong,['Booth: AWE 8-H29   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005YBJ4
Gem Centre,Hong Kong,['Booth: AWE 8-H29   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005YC1L
Hallmark Gems,Hong Kong,['Booth: AWE 8-H29   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005YC59
Hing Wah Pearl (Hong Kong) Company Limited,Hong Kong,['Booth: AWE 8-H29   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005UABT
Hong Kong Heng Mei Group Limited,Hong Kong,['Booth: AWE 8-H29   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005YBU7
Jin Gems,Hong Kong,['Booth: AWE 8-H29   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005UU3X
KGK Diamonds (HK) Limited,Hong Kong,['Booth: AWE 8-H29   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005UNKP
KT Jewellery Co. Limited,Hong Kong,['Booth: AWE 8-H29   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005YAPN
Keen Jade Limited,Hong Kong,['Booth: AWE 8-H29   |   Precious Stone   |   Thailand Pavilion'],/event/hkdgp/en/exhibitor/1S005UTLG
Lotus Gems HK,Hong Kong,['Booth: AWE 9-E40   |   Semi-Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005Y969
NG Star (HK) Limited,Hong Kong,['Booth: AWE 9-E40   |   Semi-Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005UU20
Pearlfection Limited,Hong Kong,['Booth: AWE 9-E40   |   Semi-Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005YBHA
R.A. Gem Centre Limited,Hong Kong,['Booth: AWE 9-E40   |   Semi-Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005YBLY
RMC Gems Limited,Hong Kong,['Booth: AWE 9-E40   |   Semi-Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005YIR9
"San Wai Gems & Jewellery Fty. Co., Limited",Hong Kong,['Booth: AWE 9-E40   |   Semi-Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005YHZM
SimStar Asia Limited,Hong Kong,['Booth: AWE 9-E40   |   Semi-Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005YJQB
Sparkle Gems Limited,Hong Kong,['Booth: AWE 9-E40   |   Semi-Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005YKG4
Sunny Gem Co,Hong Kong,['Booth: AWE 9-E40   |   Semi-Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005YJ52
Vrams Impex (HK) Limited,Hong Kong,['Booth: AWE 9-E40   |   Semi-Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005YJXQ
Zimmermann B.C.S. Stones H.K. Limited,Hong Kong,['Booth: AWE 9-E40   |   Semi-Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005YICI
Annita Diamonds DMCC,United Arab Emirates,['Booth: AWE 9-E40   |   Semi-Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005UJT2
"Aquamarine Traders Co., Ltd.",Thailand,['Booth: AWE 9-E40   |   Semi-Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005XIVX
Beads Paradise,India,['Booth: AWE 9-E40   |   Semi-Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005Y7MZ
"Bright Green Stones Co., Ltd.",Thailand,['Booth: AWE 9-E40   |   Semi-Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005XJEB
"Emerald Mines Co., Ltd.",Thailand,['Booth: AWE 9-E40   |   Semi-Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005XGWW
"Gemkok Co., Ltd.",Thailand,['Booth: AWE 9-E40   |   Semi-Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005XHT4
