ref,department,description,url,batch_time,award_date,awardee,sum,period
WRR25155,Environmental Protection Department,Provision of Service for Supplying Electronic Point for GREEN$ Conversion in GREEN$ Mobile Application,https://www.epd.gov.hk/epd/english/news_events/notices/notices_260306.html,2026-03-08 09:51:02.036270,27 February 2026,AS Watson MoneyBack (HK) Limited,"HK$9,000,000.00",30-month contract    
WRR25155,Environmental Protection Department,Provision of Service for Supplying Electronic Point for GREEN$ Conversion in GREEN$ Mobile Application,https://www.epd.gov.hk/epd/english/news_events/notices/notices_260306.html,2026-03-08 09:51:02.036270,27 February 2026,Alipay Payment Services (HK) Limited,"HK$6,460,000.00",30-month contract
WRR25155,Environmental Protection Department,Provision of Service for Supplying Electronic Point for GREEN$ Conversion in GREEN$ Mobile Application,https://www.epd.gov.hk/epd/english/news_events/notices/notices_260306.html,2026-03-08 09:51:02.036270,27 February 2026,Carbon Wallet Company Limited,"HK$3,078,645.00",30-month contract
WMS25001,Environmental Protection Department,"Provision of Services for Collection, Treatment and Recycling of Waste Electrical and Electronic Equipment (Washing Machines) 2025",https://www.epd.gov.hk/epd/english/news_events/notices/notices_260123.html,2026-03-08 09:51:02.036270,16 January 2026,Vannex International Limited,"HK$2,426,400.00",12-month contract    
RL25001,Environmental Protection Department,Second Follow-on Contract of Low-Level Radioactive Waste Storage Facility at Siu A Chau,https://www.epd.gov.hk/epd/english/news_events/notices/notices_260116.html,2026-03-08 09:51:02.036270,15 January 2026,ATAL ENGINEERING LIMITED,"HK$89,880,000.00",120-month contract    
