department,url,batch_time,description,award_date,awardee,sum
Highways Department,https://www.hyd.gov.hk/en/tender_notices/contracts/awarded/index.html,2026-03-08 18:57:28.409006,"Improvement Works for Junctions at Ming Kum Road, Tsing Wun Road and Lung Mun Road (NEC ECC HK Edition Option A)",2025-12-30,Hang Kee Development Company Limited,27.16
Highways Department,https://www.hyd.gov.hk/en/tender_notices/contracts/awarded/index.html,2026-03-08 18:57:28.409006,Structure Lights Improvement Works in Kwun Tong District and Wong Tai Sin District (NEC ECC HK Edition Option B),2025-12-23,CLPe Solutions Limited,14.017
Highways Department,https://www.hyd.gov.hk/en/tender_notices/contracts/awarded/index.html,2026-03-08 18:57:28.409006,Hong Kong Section of Hong Kong-Shenzhen Western Rail Link (Hung Shui Kiu – Qianhai) – Marine Ground Investigation (NEC ECC HK Edition Option B),2025-11-18,Bachy Soletanche Group Limited,29.527
Highways Department,https://www.hyd.gov.hk/en/tender_notices/contracts/awarded/index.html,2026-03-08 18:57:28.409006,Road Light Circuits Improvement in Kowloon City District (NEC ECC HK Edition Option B),2025-07-08,Kaiser Construction Engineering Company Limited,30.0
Highways Department,https://www.hyd.gov.hk/en/tender_notices/contracts/awarded/index.html,2026-03-08 18:57:28.409006,Highways Department Term Contract (Management and Maintenance of Roads on Hong Kong Island excluding Expressways and High Speed Roads 2025-2030) (NEC4 TSC Option A),2025-02-11,CRBC - FD Joint Venture,1043.79
Highways Department,https://www.hyd.gov.hk/en/tender_notices/contracts/awarded/index.html,2026-03-08 18:57:28.409006,"Highways Department Term Contract (Management and Maintenance of Expressways and High Speed Roads in New Territories East, Kowloon East and Hong Kong Island 2025-2030) (NEC4 TSC Option A)",2025-02-11,WCCL - EW JV,551.66
Highways Department,https://www.hyd.gov.hk/en/tender_notices/contracts/awarded/index.html,2026-03-08 18:57:28.409006,"Initial Tree Data Collection Services for Highways Department, Hong Kong (Stage 3) - Cat. 1 Zone Areas on Expressways and High Speed Roads",2025-02-03,AECOM Asia Company Limited,11.432
