ref,department,url,batch_time,description,award_date,awardee,sum
1118EM15T,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_241.html,2026-03-08 16:28:30.070572,"Triennial Term Contract for Maintenance of Heating, Ventilation and Air-conditioning Installations in TSCSD Venues (Closed Area) for the Government of HKSAR / Air-conditioning Installation",Feb 2016,Young's Engineering Company Limited,"HK$35,388,860.00"
1316EM15T,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_252.html,2026-03-08 16:28:30.070572,Triennial Term Contract for Maintenance of Uninterruptible Power Supply (UPS) Systems at Various Government Venues (Phase 1) / Uninterruptible Power Supply Installation,Feb 2016,Full Link Technology Company Limited,"HK$8,661,503.00"
1598EM15T,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_251.html,2026-03-08 16:28:30.070572,30-Month Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region and Hospital Authority (Package One of SC15) / The comprehensive maintenance and repair of lift installations at various premises of the Government of the Hong Kong Special Administrative Region and Hospital Authority,Feb 2016,ThyssenKrupp Elevator (HK) Limited,"HK$18,762,710.00"
1557EM15T,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_255.html,2026-03-08 16:28:30.070572,Biennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region and Hospital Authority (Package One of TO15) / comprehensive maintenance and repair of lift installations at various premises of the Government of the Hong Kong Special Administrative Region and Hospital Authority,Jan 2016,Chevalier (HK) Limited,"HK$32,249,174.00"
1178EM15T,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_246.html,2026-03-08 16:28:30.070572,Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region and Hospital Authority (Package One of OT15) / comprehensive maintenance and repair of lift installations at various premises of the Government of the Hong Kong Special Administrative Region and Hospital Authority,Jan 2016,SIGMA Elevator (HK) Limited,"HK$20,560,333.00"
1807EM15W,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_266.html,2026-03-08 16:28:30.070572,Replacement of 31 Sets of Air-Handling Units at Wanchai Tower / Air-conditioning Installation,Dec 2015,"Wenden Engineering Service Company, Limited","HK$5,678,668.00"
1231EM15W,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_274.html,2026-03-08 16:28:30.070572,Replacement of Venturi Valves of Airflow Control System at Public Health Laboratory Centre / Air-conditioning Installation,Dec 2015,Chun Wo E & M Engineering Limited,"HK$12,839,000.00"
2566EM14T,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_240.html,2026-03-08 16:28:30.070572,"Triennial Term Contract for the Maintenance and Repair of, Alterations and Additions to, Fire Service Installations for Venues of Customs and Excise Department, Fire Services Department, and Immigration Department for the Government of HKSAR / Fire Service Installation",Dec 2015,"Shun Cheong Electrical Engineering Company, Limited","HK$20,951,604.00"
1243EM15T,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_248.html,2026-03-08 16:28:30.070572,"Triennial Term Contract for the Maintenance, Repair, Alterations, Additions and Improvement for Broadcast Reception Installation and Satellite Master Antenna Television System for the Government of the Hong Kong Special Administrative Region / Broadcast Reception Installation",Dec 2015,EC Infotech Limited,"HK$9,816,784.00"
1080EM15T,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_243.html,2026-03-08 16:28:30.070572,"42-month Term Contract for Comprehensive Maintenance, Examination and Testing of Lifting Appliances and Lifting Gear for Sewage Treatment Facilities in New Territories / Mechanical Handling and Lifting Installation",Dec 2015,Wan's Kee Yip Engineering and Metal Works Limited,"HK$10,211,278.00"
2164EM14T,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_237.html,2026-03-08 16:28:30.070572,Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (Package One of FT14) / Comprehensive maintenance and repair of lift installations at various premises of the Government of the Hong Kong Special Administrative Region,Nov 2015,ThyssenKrupp Elevator (HK) Limited,"HK$25,356,096.00"
1553EM15T,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_247.html,2026-03-08 16:28:30.070572,36-month Term Contract for Comprehensive Maintenance of Pumping Installations at CSD Venues / Mechanical Plant and Equipment Installation,Oct 2015,Japco Auto Equipment & Engineering Company Limited,"HK$9,533,221.00"
1129EM15W,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_280.html,2026-03-08 16:28:30.070572,Supply and Installation of Chiller and Associated Accessories at Queen Mary Hospital / Air-conditioning Installation,Oct 2015,Quad-Tech Engineering (H.K.) Company Limited,"HK$5,706,800.00"
1249EM15T,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_242.html,2026-03-08 16:28:30.070572,Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region and Hospital Authority (Package One of SG15) / Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region and Hospital Authority,Sep 2015,SIGMA Elevator (HK) Limited,"HK$8,611,421.00"
1703EM14T,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_212.html,2026-03-08 16:28:30.070572,"Triennial Term Contract for Maintenance, Repair and Replacement of Car Stacker Installation at Hong Kong Police Headquarters for the Government of the Hong Kong Special Administrative Region / Mechanical Plant and Equipment Installation",Aug 2015,"Wang Tak Engineering & Shipbuilding Company, Limited","HK$4,397,402.00"
2487EM14W,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_226.html,2026-03-08 16:28:30.070572,District Cooling System (DCS) at Kai Tak Development (KTD) Phase III (Package B) – Electrical and Mechanical Installation / Air-conditioning Installation,Aug 2015,Shinryo (Hong Kong) Limited,"HK$90,233,467.00"
2477EM14A,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_225.html,2026-03-08 16:28:30.070572,District Cooling System (DCS) at Kai Tak Development (KTD) Phase III (Package B) – Water Pipe Laying Works / Roads and Drainage,Aug 2015,China Geo-Engineering Corporation,"HK$201,002,931.54"
1030EM13W,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_214.html,2026-03-08 16:28:30.070572,Replacement of CCTV System at Pik Uk Correctional Institution for Correctional Services Department / Video Electronics Installation,Aug 2015,Chubb Hong Kong Limited,"HK$3,400,575.00"
1002EM15W,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_238.html,2026-03-08 16:28:30.070572,Replacement of LED Display System with Video Projection System at Hong Kong Coliseum / Video Electronics Installation,Aug 2015,OPS Technology Limited,"HK$8,078,257.00"
