Contract Number,Contract Title,Date of award,Nature of Works,Tendering Procedure,Contractor(s),Original Contract Sum,url,Commencement Date,Original Completion Date,Location,Contract Value
1368EM15T,"Triennial Term Contract for the Maintenance and Repair of, Alterations and Additions to, Fire Service Installations for Venues of Transport Department, Highways Department and Drainage Services Department",Jul 2016,Fire Service Installation,Selective,Windmill Engineering Company Limited,"HK$25,438,939.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_301.html,,,,
1190EM15T,Triennial Term Contract for Maintenance of Pumping Installations for Hong Kong Police Force and Independent Commission Against Corruption,Jul 2016,Mechanical Plant and Equipment Installation,Selective,Japco Auto Equipment & Engineering Company Limited,"HK$8,840,720.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_299.html,,,,
1425EM16W,Replacement and Upgrading Works of Diesel Generator Sets and Associated Systems for the East Block of Pamela Youde Nethersole Eastern Hospital,Jul 2016,Diesel Generator Installation,Selective,The China Engineers Limited,"HK$6,666,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_325.html,,,,
2121EM15T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region and Hospital Authority (Package Two of SC15),Jul 2016,Comprehensive maintenance and repair of lift installations at various premises of the Government of the Hong Kong Special Administrative Region and Housing Authority,Open,Schindler Lifts (Hong Kong) Limited,"HK$23,711,385.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_291.html,,,,
1156EM15T,"Triennial Term Contract for Maintenance of Heating, Ventilation and Air-conditioning Installations for Health Sector Venues in Hong Kong Region and Outlying Islands",Jun 2016,Air-conditioning Installation,Selective,Yordland Engineering Limited,"HK$44,444,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_284.html,,,,
1608EM15T,Biennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region and Hospital Authority (Package One of AE15),Jun 2016,Comprehensive maintenance and repair of lift instllations at various premises of the Government of the Hong Kong Special Administrative Region and Hospital Authority,Open,Anlev Elex Elevator Limited,"HK$36,078,564.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_288.html,,,,
1797EM15T,"Thirty-month Term Contract for Electrical Works for Change of Tenancy in Government Quarters in the Hong Kong Island, Kowloon & New Territories",Jun 2016,Electrical Installation,Selective,"Wenden Engineering Service Company, Limited","HK$17,668,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_315.html,,,,
1364EM15T,"Quadrennial Term Contract for Provision of Maintenance and Modification Works of Traffic Control and Surveillance System for Hong Kong – Shenzhen Western Corridor, Deep Bay Link and Yuen Long Highway",Jun 2016,"Quadrennial Term Contract for Provision of Maintenance and Modification Works of Traffic Control and Surveillance System for Hong Kong – Shenzhen Western Corridor, Deep Bay Link and Yuen Long Highway",Open,Win Promise Limited,"HK$19,888,888.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_290.html,,,,
1928EM15T,Quadrennial Term Contract for Maintenance of Security and Electronic Systems at Tai Lam Centre for Women,Jun 2016,Burglar Alarm and Security Installation,Selective,Chubb Hong Kong Limited,"HK$10,491,845.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_293.html,,,,
2565EM14T,"Triennial Term Contract for the Maintenance and Repair of Burglar Alarm and Security Installations at Various Premises of the Government of the Hong Kong Special Administrative Region, Electrical and Mechanical Services Department (General Engineering Services Division and Airport and Vehicle Engineering Division – Package Two)",Jun 2016,Burglar Alarm and Security Installation,Selective,Chubb Hong Kong Limited,"HK$7,460,688.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_343.html,,,,
