Contract Number,Contract Title,Date of award,Nature of Works,Tendering Procedure,Contractor(s),Original Contract Sum,url,Commencement Date,Original Completion Date,Location,Contract Value
2BDTD25003,Provision of SAP Enterprise Support Service for the period from January 2026 to December 2026 to the Electrical and Mechanical Services Trading Fund,Dec 2025,Support service for Information System,Open,DynaSys Solutions Limited,"HK$5,619,348.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6446.html,,,,
EMS/T/01/2025(A),Provision of Light Goods Vehicles for Hiring by Electrical and Mechanical Services Department,Dec 2025,Hiring of Light Goods Vehicles,Open,"GoGo Tech Limited (Item 1)
Lison Transportation Co. Ltd. (Items 2, 3, 4, 5 & 6)","HK$3,234,322.50 (Item 1)
HK$154,182,612.60 (Items 2, 3, 4, 5 & 6)",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6485.html,,,,
1724EM24T,Triennial Term Contract for the Supply and Installation of Uninterruptible Power Supply (UPS) Systems at the New Huanggang Port Boundary Control Point for the Government of Hong Kong Special Administrative Region,Oct 2025,"The works include design, supply, delivery, installation of Uninterruptible Power Supply (UPS) Systems and associated equipment at the new Huanggang Port Boundary Control Point serving user departments including AFCD, C&ED, DH, FEHD, FSD, GPA, HKPF, IMMD and TD. The works are scheduled to commence in October 2025 and will take about 36 months to complete.",Setective,Astrid Electronics HK Limited,"HK$ 35,443,400 (Tendered total of the Prices); HK$ 42,058,400 (Forecast total of the Prices)",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6426.html,,,,
2BDTD24017,Provision of Hyperconverged Infrastructure Software and Related Services to the Electrical and Mechanical Services Department,Oct 2025,Support service for Information System,Open Tender,ICO Limited,"HK$50,881,460.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6440.html,,,,
2380EM24T,Quadrennial Term Contract for Operation and Maintenance of Air-conditioning Installations for Correctional Services Department in New Territories Region.,Aug 2025,Air-conditioning Installation,Selective,Young's Engineering Company Limited,"HK$44,596,310.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5404.html,,,,
1079EM25T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Live Fire Training Facilities at Fire and Ambulance Services Academy for the Fire Services Department of the Government of the Hong Kong Special Administrative Region,Aug 2025,Mechanical Plant and Equipment Installation,Selective,Southa Technical Limited,"HK$62,305,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6452.html,,,,
2099EM24T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Hospital Authority (TO25),Jul 2025,"Lift, Escalator and Passenger Conveyor Installation",Selective,Chevalier (HK) Limited,"HK$9,813,095.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5413.html,,,,
1160EM24T,Triennial Term Contract for Provision of Maintenance Services for Mobile X-Ray Vehicle Scanning Systems (MXRVSS) and Palletized Cargo X-Ray Inspection System (PCIS) of Customs & Excise Department (C&ED),Jul 2025,Provision of maintenance services for Mobile X-ray Vehicle Scanning Systems (MXRVSS) and Palletized Cargo X-Ray Inspection System (PCIS) for eight (8) Numbers of MXRVSS and one (1) Number of PCIS for Customs & Excise Department.,Open,Nuctech Hong Kong Company Limited,"HK$62,020,988.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6425.html,,,,
1591EM24T,Triennial Term Contract for Maintenance of Air-conditioning Installations for Hong Kong Port (HKP) and Hong Kong Link Road (HKLR) at Hong Kong Zhuhai Macao Bridge and Other Lantau Engineering Services Venues,Jul 2025,Air-conditioning Installation,Selective,Meco Engineering Limited,"HK$55,079,200.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5415.html,,,,
1941EM24T,"Triennial Term Contract for Maintenance of Heating, Ventilation and Air-conditioning Installations for The Venues of Boundary Crossing Facilities and Transport Services Division",Jul 2025,Air-conditioning Installation,Selective,REC Engineering Company Limited,"HK$129,835,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5405.html,,,,
2616EM24T,"36-Month Term Contract for Maintenance of Heating, Ventilation and Air-conditioning Installations for Health Sector Venues in Hong Kong Region and Outlying Islands",Jul 2025,Air-conditioning Installation,Selective,"Wenden Engineering Service Company, Limited","HK$99,992,300.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5420.html,,,,
1889EM24T,Quadrennial Term Contract for Examination and Testing of Lifting Appliances and Lifting Gear,Jul 2025,Survey of Lifting Appliances and Lifting Gear,Selective,ISPL Consulting Limited,"HK$45,229,600.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5398.html,,,,
2277EM24T,Quadrennial Term Contract for Maintenance of Fire Service Installations for Various Departments for Security and Vehicle Services in the Regions of Kowloon and New Territories,Jul 2025,Fire Service Installation,Selective,Far East Engineering Services Limited,"HK$38,461,420.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5390.html,,,,
2282EM24T,"Triennial Term Contract for the Maintenance and Repair of Burglar Alarm, Security Installation and Other Electronic Systems at Various Municipal Venues for the Government of the Hong Kong Special Administrative Region",Jul 2025,Burglar Alarm and Security Installation,Selective,Shun Hing Engineering Contracting Company Limited,"HK$59,239,980.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5418.html,,,,
2269EM24T,"Triennial Term Contract for Repairs, Operation and Maintenance of Boilers, Hot Water Installations, Steam Related Plant and Accessories in Various Healthcare Venues in the New Territories",Jun 2025,Steam and Compressed Air Installation,Selective,"Wenden Engineering Service Company, Limited","HK$55,012,100.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5414.html,,,,
2452EM24W,Replacement of Refractories and Insulation Bricks for Cremators at Cape Collinson Crematorium,Jun 2025,Mechanical Plant and Equipment Installation,Selective,Southa Technical Limited,"HK$32,790,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_6431.html,,,,
1410EM24T,"Triennial Term Contract for Building Services Fitting-out, Replacement and Improvement Works for Health Sector Venues in Hong Kong West Region",Jun 2025,Air-conditioning Installation,Selective,Yordland Engineering Limited,"HK$119,726,400.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5392.html,,,,
1927EM24T,Triennial Term Contract for Maintenance of Electrical Installations and Domestic Appliances at Various Staff Quarters of the Hong Kong Police Force,Jun 2025,Electrical Installation,Selective,"Union (Luen Hop) Refrigeration Co., Limited","HK$67,162,130.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5395.html,,,,
2322EM24T,"Triennial Term Contract for Maintenance of Electrical, Mechanical and Air-conditioning Installations at Cheung Sha Wan Wholesale Food Market",Jun 2025,Air-conditioning Installation,Selective,Young's Engineering Company Limited,"HK$33,574,750.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5417.html,,,,
2189EM24T,Triennial Term Contract for Operation and Maintenance of Air-conditioning Installations and Other Associated Facilities at Unattended Municipal Venues in Kowloon of the Government of the Hong Kong Special Administrative Region,Jun 2025,Air-conditioning Installation,Selective,Alliance Contracting Company Limited,"HK$99,800,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5408.html,,,,
1668EM24T,"Triennial Term Contract for Operation and Maintenance of Electrical, Mechanical and Air-conditioning Installations for Civil Aviation Department and Hong Kong Observatory Venues in the Hong Kong International Airport",Jun 2025,Electrical Installation,Selective,Joint Effort Engineering (Asia) Limited,"HK$39,908,580.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5377.html,,,,
2485EM24T,Provision of Maintenance and Modification Works of Data Acquisition Systems (DAS) of Free-flow Tolling System and Toll Information Display System (TIDS) in Government Tunnels and Tsing Sha Control Area,May 2025,Provision of maintenance services and modification works of existing Data Acquisition Systems (DAS) of Free-flow Tolling System and Toll Information Display System (TIDS) in Government Tunnels and Tsing Sha Control Area.,Open,Autotoll Limited,"HK$29,324,988.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5402.html,,,,
1999EM24T,Quadrennial Term Contract for Maintenance of Electrical Installations for Seven Boundary Control Points,Apr 2025,Electrical Installation,Selective,Newton Engineering Company Limited,"$85,249,900.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5384.html,,,,
2055EM23T,"Triennial Term Contract for the Maintenance and Repair, Alteration and Additions to Fire Service Installations in Venues of the Government of the Hong Kong Special Administrative Region Maintained by Hong Kong Maintenance Sub-division TWO of General Engineering Services Division",Apr 2025,Fire Service Installation,Selective,Wise Engineering Company Limited,"$18,196,850.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5354.html,,,,
1300EM23W,Provision of Electric Locks Security System in Pik Uk Correctional Institution for Correctional Services Department,Apr 2025,"supply, delivery, installation, testing and commissioning of high security electro-mechanical locks, CCTV cameras with video recording, access control system, metal gates and associated building works at Pik Uk Correctional Institution for Correctional Services Department.",Open,Deson Engineering Limited,"$192,600,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5295.html,,,,
1023EM23T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (Package Two of SA23),Mar 2025,Comprehensive maintenance and repair of lift installations at various premises of the Government of the Hong Kong Special Administrative Region.,Open,Shan On Engineering Company Limited,"$24,308,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5369.html,,,,
1013EM24A,"Provision of Operation and Maintenance Services for the Simultaneous Interpretation and Public Address Systems for Various Government Departments of the Hong Kong Special Administrative Region (Kowloon Region, New Territories and Miscellaneous Users)",Mar 2025,"operation, maintenance, adjustment of system configuration, system enhancement and ad-hoc support of the Simultaneous Interpretation (SI) and Public Address (PA) systems",Open,PCCW Technical Services Limited,"HK$20,039,034.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5361.html,,,,
1012EM24A,Provision of Operation and Maintenance Services for the Simultaneous Interpretation and Public Address Systems for Various Government Departments of the Hong Kong Special Administrative Region (Hong Kong Region),Mar 2025,"operation, maintenance, adjustment of system configuration, system enhancement and ad-hoc support of the Simultaneous Interpretation (SI) and Public Address (PA) systems",Open,PCCW Technical Services Limited,"HK$35,584,998.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5360.html,,,,
1026EM24T,Triennial Term Contract for the Maintenance of Electrical Installations in BTSD Venues,Mar 2025,Electrical Installation,Selective,Che Luen Electrical Engineering Company Limited,"$88,792,063.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5352.html,,,,
1575EM24T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Escalator Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (Package One of TO24E),Feb 2025,Comprehensive maintenance and repair of escalator installations at various premises of the Government of the Hong Kong Special Administrative Region.,Open,Chevalier (HK) Limited,"$5,849,677.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5372.html,,,,
1148EM24T,"Triennial Term Contract for Building Services Fitting-out Works, Replacement and Improvement Works at Various Municipal Venues of the Government of The Hong Kong Special Administrative Region",Feb 2025,Air-conditioning Installation,Selective,"Wenden Engineering Service Company, Limited","$179,646,857.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5374.html,,,,
1609EM24T,"Triennial Term Contract for Building Services Fitting-out, Replacement and Improvement Works for Health Sector Venues in Hong Kong East Region and Outlying Islands",Feb 2025,Air-conditioning Installation,Selective,Yordland Engineering Limited,"$64,354,702.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5378.html,,,,
1833EM24T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (Package One of AE24),Jan 2025,Comprehensive maintenance and repair of lift installations at various premises of the Government of the Hong Kong Special Administrative Region.,Open,Anlev Elex Elevator Limited,"$100,207,411.60",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5367.html,,,,
1895EM23T,"Triennial Term Contract for the Maintenance and Repair, Alteration and Additions to Fire Service Installations in Venues of the Government of the Hong Kong Special Administrative Region Maintained by Hong Kong Maintenance Sub-division ONE of General Engineering Services Division",Jan 2025,Fire Service Installation,Selective,REC Engineering Company Limited,"$17,040,740.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5353.html,,,,
2294EM23T,"Triennial Term Contract for Operation and Maintenance of Electrical, Mechanical and Other Installations for Municipal Venues in Kowloon of the Government of the Hong Kong Special Administrative Region ",Jan 2025,Electrical Installation,Selective,REC Engineering Company Limited,"$261,873,400.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5363.html,,,,
1791EM24T,"Triennial Term Contract for Electrical Works in Change of Tenancy in Government Quarters in the Hong Kong Island, Kowloon & New Territories",Dec 2024,Electrical Installation,Selective,Joint Effort Engineering (Asia) Limited,"$52,764,088.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5373.html,,,,
2034EM23T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (Package One of MT23),Dec 2024,Comprehensive maintenance and repair of lift installations at various premises of the Government of the Hong Kong Special Administrative Region.,Open,Mitsubishi Elevator Hong Kong Company Limited,"$49,531,250.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5364.html,,,,
1416EM24T,30-Month Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of Hospital Authority (AE24),Dec 2024,"Lift, Escalator and Passenger Conveyor Installation",Selective,Anlev Elex Elevator Limited,"$49,241,910.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5346.html,,,,
1218EM24T,"Triennial Term Contract for Maintenance of Heating, Ventilation and Air-conditioning Installations for Health Sector Venues in New Territories West Region",Dec 2024,Air-conditioning Installation,Selective,Skyforce Engineering Limited,"$229,416,375.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5347.html,,,,
1070EM24T,Quadrennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (Package One of MT24),Dec 2024,Comprehensive maintenance and repair of lift installations at various premises of the Government of the Hong Kong Special Administrative Region.,Open,Mitsubishi Elevator Hong Kong Company Limited,"$100,156,752.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5356.html,,,,
1145EM23T,Quadrennial Term Contract for the Comprehensive Maintenance and Repair of Escalator Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (Package One of TK24E),Dec 2024,Comprehensive maintenance and repair of escalator installations at various premises of the Government of the Hong Kong Special Administrative Region.,Open,Holake Hong Kong Lifts Limited,"$26,811,814.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5358.html,,,,
2124EM23T,"Triennial Term Contract for Maintenance of Electrical, Mechanical and Air-conditioning Installations at Cheung Sha Wan Government Offices, Tsuen Wan Government Offices and Various Premises in New Territories Region",Dec 2024,Air-conditioning Installation,Selective,Young's Engineering Company Limited,"$83,999,444.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5343.html,,,,
1541EM23T,Quadrennial Term Contract for the Maintenance and Repair of Burglar Alarm and Security Installations at Various Premises of Hong Kong Police Force,Dec 2024,Burglar Alarm and Security Installation,Selective,EC Infotech Limited,"$36,904,100.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5319.html,,,,
1047EM24T,"Triennial Term Contract for the Operation and Maintenance of Electrical, Mechanical and Other Installations for Municipal Venues in New Territories East Areas of the Government of the Hong Kong Special Administrative Region",Dec 2024,Electrical Installation,Selective,REC Engineering Company Limited,"$214,920,660.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5340.html,,,,
1865EM23T,Triennial Term Contract for The Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (Package One of OT24),Dec 2024,Comprehensive maintenance and repairing of lift installation at various premises of the Government of the Hong Kong Special Administrative Region.,Open,Holake Hong Kong Lifts Limited,"$46,951,036.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5327.html,,,,
1291EM24T,Quadrennial Term Contract for Comprehensive Maintenance of Pumping Installations at the Venues of Disciplined Services Departments.,Nov 2024,Mechanical Plant and Equipment Installation,Selective,Associated Engineers Limited,"$32,419,330.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5333.html,,,,
1568EM23T,"Quadrennial Term Contract for Maintenance of Fire Service Installations for Hong Kong Police Force, Correctional Services Department, Drainage Services Department, Fire Services Department, Independent Commission Against Corruption and Security Bureau for Hong Kong Island and Outlying Islands",Nov 2024,Fire Service Installation,Selective,Kenworth Engineering Limited,"$46,669,300.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5309.html,,,,
1750EM23T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Escalator Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (Package One of MT23E),Nov 2024,Comprehensive maintenance and repair of escalator installations at various premises of the Government of the Hong Kong Special Administrative Region.,Open,Mitsubishi Elevator Hong Kong Company Limited,"$9,036,770.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5345.html,,,,
2516EM23T,"Triennial Term Contract for Operation and Maintenance of Air-conditioning Installations in Central Government Offices, Chief Executive's Office and Legislative Council Complex at Tamar",Oct 2024,Air-conditioning Installation,Selective,Alliance Contracting Company Limited,"$72,944,444",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5338.html,,,,
1371EM24T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (Package One of FT24),Oct 2024,Comprehensive maintenance and repair of lift installations at various premises of the Government of the Hong Kong Special Administrative Region.,Open,Fujitec (HK) Company Limited,"$39,660,752.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5336.html,,,,
2307EM23W,Replacement/Modernization of Lift No. 7 to 12 and 14 in North District Hospital,Oct 2024,"Lift, Escalator and Passenger Conveyor Installation",Selective,通力電梯（香港）有限公司,"$15,137,063.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5321.html,,,,
1202EM24T,"Quadrennial Term Contract for Maintenance and Repair of Electrical and Floodlight Installations for Hong Kong Police Force, Correctional Services Department, Fire Services Department, Hong Kong Independent Commission Against Corruption, Security Bureau and Drainage Services Department in New Territories and Hong Kong Island",Oct 2024,Electrical Installation,Selective,Che Luen Electrical Engineering Company Limited,"$55,661,244",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5335.html,,,,
1847EM23T,"Triennial Term Contract for Electrical, Mechanical, Air-conditioning, and Building Services Fitting-out, Replacement, and Improvement Works for Various Venues in Kowloon Region",Oct 2024,Air-conditioning Installation,Selective,REC Engineering Company Limited,"$83,892,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5350.html,,,,
2217EM23T,Triennial Term Contract for The Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (KO24),Oct 2024,comprehensive maintenance and repair of lift installations at various premises of the Government of the Hong Kong Special Administrative Region,Open,Kone Elevator (HK) Limited,"$122,504,320",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5357.html,,,,
1899EM23W,Replacement and Enhancement of Belisha Beacons at Zebra Crossings,Oct 2024,supply and replacement of around 500 sets of existing Belisha Beacons with enhanced design at around 220 various zebra crossings in Hong Kong,Open,Win Promise Limited,"$26,888,888.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5313.html,,,,
2405EM23T,Provision of Security System at Frontier Closed Area for Hong Kong Police Force,Oct 2024,Burglar Alarm and Security Installation,Selective,G4S Security Systems (Hong Kong) Limited,"$49,871,540.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5351.html,,,,
2189EM23W,Replacement of Refractories and Insulation Bricks for Cremators at Diamond Hill Crematorium and Cape Collinson Crematorium,Oct 2024,Mechanical Plant and Equipment Installation,Selective,Southa Technical Limited,"$36,440,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5362.html,,,,
2580EM23T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (Package One of AE23),Oct 2024,comprehensive maintenance and repair of lift installations at various premises of the Government of the Hong Kong Special Administrative Region,Open,Anlev Elex Elevator Limited,"$77,084,848.20",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5344.html,,,,
2062EM23T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Escalator Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (Package One of AE23E),Oct 2024,comprehensive maintenance and repair of escalator installations at various premises of the Government of the Hong Kong Special Administrative Region,Open,Anlev Elex Elevator Limited,"$36,051,015.80",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5330.html,,,,
2BDTD24011,Provision of SAP Enterprise Support Service on SAP Professional User Licenses for the period from October 2024 to December 2025 to the Electrical and Mechanical Services Trading Fund,Sep 2024,Support service for Information System,Open,DynaSys Solutions Limited,"HK$1,762,350.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5355.html,,,,
1011EM24T,"Triennial Term Contract for the Maintenance and Repair of, Alterations and Additions to Fire Service Installations for Airport Venues",Sep 2024,Fire Service Installation,Selective,Chubb Hong Kong Limited,"$41,965,017.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5320.html,,,,
2102EM23T,"Term Contract for the Maintenance and Repair of, Alteration, Addition and Improvement Works to Electrical Installations Maintained by Hong Kong 1 Maintenance Sub-division of General Engineering Services Division",Sep 2024,Electrical Installation,Selective,M & V Engineering (E & M) Limited,"$32,946,200.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5334.html,,,,
2533EM23T,Quadrennial Term Contract for Maintenance of Lift and Ramp System of Government Ferry Pier,Sep 2024,Mechanical Handling and Lifting Installation,Selective,REC Engineering Company Limited,"$78,282,717.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5326.html,,,,
2528EM23T,Triennial Term Contract for Maintenance of Air-conditioning Installations at Unattended Municipal Venues in Hong Kong Region,Sep 2024,Air-conditioning Installation (Group II),Selective,Alliance Contracting Company Limited,"$103,135,050.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5349.html,,,,
1774EM23T,"Term Contract for the Maintenance and Repair of, Alteration, Addition and Improvement Works to Electrical Installations Maintained by New Territories Maintenance Sub-division of General Engineering Services Division",Sep 2024,Electrical Installation,Selective,Joint Effort Engineering (Asia) Limited,"$52,316,470.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5329.html,,,,
2585EM22T,"Quadrennial Term Contract for Maintenance of Security and Electronics Systems at Lo Wu Correctional Institution, Tai Lam Centre for Women and Other Venues for Correctional Services Department",Aug 2024,Burglar Alarm and Security Installation,Selective,Chubb Hong Kong Limited,"$52,264,993.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5310.html,,,,
2180EM23T,"Triennial Term Contract for Maintenance and Repair of, Alteration, Addition to, Fire Service Installations in Municipal Venues for the Government of the Hong Kong Special Administrative Region",Aug 2024,Fire Service Installation,Selective,REC Engineering Company Limited,"$74,629,780.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5323.html,,,,
1775EM23T,"Term Contract for the Maintenance and Repair of, Alteration, Addition and Improvement Works to Electrical Installations Maintained by Hong Kong 2 Maintenance Sub-division of General Engineering Services Division",Aug 2024,Electrical Installation,Selective,Joint Effort Engineering (Asia) Limited,"$32,999,300.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5306.html,,,,
1891EM23T,Triennial Term Contract for the Maintenance of Mechanical Installations for the Venues of Boundary Crossing Facilities and Transport Services Division for the Government of HKSAR,Aug 2024,Mechanical Plant and Equipment Installation,Selective,"Associated Engineers, Limited","$91,813,540.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5314.html,,,,
1858EM23T,"Triennial Term Contract for the Operation and Maintenance of Electrical, Mechanical and Other Installations for Municipal Venues in New Territories West of the Government of the Hong Kong Special Administrative Region",Aug 2024,Electrical Installation,Selective,Samba Engineering Limited,"$205,922,100.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5311.html,,,,
2514EM22T,"5 Years Term Contract for Provision of Maintenance, Modification and Installation Works for Split Cycle Offset Optimisation Technique (SCOOT) Traffic Control System and Smart Junctions",Aug 2024,"maintenance, modification and installation works for the Area Traffic Control (ATC) System of Tuen Mun and Yuen Long District as well as provision of first line maintenance for traffic signals & accessories equipment",Open,Yutraffic Limited and Siemens Limited Consortium,"$84,861,120.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5242.html,,,,
2177EM23T,Triennial Term Contract for the Comprehensive Maintenance and Repair of High Mast and High Bay Lightings for the Government of the Hong Kong Special Administrative Region,Aug 2024,Industrial Type Electrical Installation,Selective,Kum Shing Engineering Company Limited,"$20,138,128.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5307.html,,,,
EMSD P/5-10/13 (2024),Provision of Clerical Services for the Electrical and Mechanical Services Department,Jul 2024,Term Contract for Supply of Temporary Clerks on As and When Required Basis.,Open,Apex Consultants Limited,"HK$8,645,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1789.html,,,,
