ref,department,url,batch_time,award_date,awardee,sum,Year
CE 69/2023 (TT)  Implementation of Real-time Adaptive Traffic Signal System at Isolated Signalised Junctions – Design and Construction,Transport Department,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html,13:45.5,7/5/24,WSP (Asia) Limited,6,5478
"TD(T) 1/2023  Agreement for Management, Operation and Maintenance of Shing Mun Tunnels and Tseung Kwan O Tunnel  ",Transport Department,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html,13:45.5,5/10/24,"Serco Group (HK) Limited (currently known as ""AEON Delight (Asia) Limited"")",661.08,5422
CE 46/2023 (TT)  Replacement of Traffic Signal Controllers in Hong Kong Island and Ancillary Works for SCATS to Operate on Wireless Communication – Design and Construction,Transport Department,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html,13:45.5,1/24/24,WSP (Asia) Limited,8.382888,5315
TD(T) 11/2022  Provision of Telecom Lines for Area Traffic Control (ATC) System in Tuen Mun and Yuen Long Districts,Transport Department,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html,13:45.5,9/20/23,Hong Kong Telecommunications (HKT) Limited,26.776,5189
"TD(T) 9/2022  Agreement for Management, Operation and Maintenance of Austin Road Cross Boundary Coach Terminus",Transport Department,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html,13:45.5,8/9/23,The Motor Transport Company of Guangdong and Hong Kong Limited,4.49,5147
"TD(T) 2/2022  Agreement for Management, Operation and Maintenance of Western Harbour Crossing",Transport Department,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html,13:45.5,7/26/23,Pacific Infrastructure Limited,371.864534,5133
TD(T) 10/2022  Provision of Security Guard Services for the Transport Department Vehicle Examination Complex,Transport Department,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html,13:45.5,7/20/23,ISS Adams Secuforce Limited,22.3130448,5127
"TD(T) 3/2022  Contract for Design, Development, Implementation and Provision of System Support and Maintenance Services for Online Auction Platform for Vehicle Registration Marks and Provision of Customer and Auction Management Services ",Transport Department,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html,13:45.5,6/28/23,PCCW Digital Solutions Limited,25.852583,5105
"TD(T) 4/2022  Agreement for Management, Operation and Maintenance of Lung Shan Tunnel and Cheung Shan Tunnel",Transport Department,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html,13:45.5,5/10/23,Transport Infrastructure Management Limited,560.799528,5056
"TD(T) 8/2022  Contracts for Management, Operation and Maintenance of Government Carparks and Design, Production and Distribution of Tickets for Government Tunnels and Toll Roads",Transport Department,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html,13:45.5,4/20/23,Wilson Parking (Holdings) Limited,76.573195,5036
"TD(T) 7/2022  Contract for Management, Operation and Maintenance of Government Carparks",Transport Department,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html,13:45.5,4/20/23,Mack & Company Carpark Management Limited,78.130584,5036
"TD(T) 10/2021    Agreement for Management, Operation and Maintenance of Central – Wan Chai Bypass Tunnel",Transport Department,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html,13:45.5,1/13/23,Pacific Infrastructure Limited,998.95968,4939
CE 59/2022 (TT)  Renewal of TD142 and Part of Closed Circuit Television System in New Territories Area - Design and Construction,Transport Department,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html,13:45.5,12/30/22,WSP (Asia) Limited,9.888988,4925
TD(T) 5/2022  Collection of Traffic Flow Information for Annual Traffic Census 2023 and 2024,Transport Department,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html,13:45.5,#VALUE!,Ove Arup & Partners Hong Kong Limited,23.2488,#VALUE!
CE 7/2022 (TT)  Traffic Review for Pok Fu Lam Area - Feasibility Study,Transport Department,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html,13:45.5,11/17/22,Ove Arup & Partners Hong Kong Limited,6.951308,4882
TD(T) 11/2021  Provision of Telecom Lines for Closed Circuits Television (CCTV) System in Tuen Mun and Yuen Long District,Transport Department,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html,13:45.5,#VALUE!,Hong Kong Telecommunications (HKT) Limited,3.384,#VALUE!
"TD(T) 4/2021    Agreement for Management, Operation and Maintenance of Cross-Harbour Tunnel",Transport Department,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html,13:45.5,10/7/22,"Serco Group (HK) Limited (currently known as ""AEON Delight (Asia) Limited"")",538.896224,4841
TD(T) 1/2022    Supply of Desktop Personal Computers and Provision of Related Services to the Transport Department,Transport Department,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html,13:45.5,9/21/22,Xenus Technology Limited,2.793,4825
TD(T) 9/2021    Provision of Telecommunication Services for Closed Circuits Television (CCTV) System and Other Equipment,Transport Department,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html,13:45.5,9/7/22,Hong Kong Telecommunications (HKT) Limited,57.09624,4811
TD(T) 8/2021    Provision of Telecommunication Services for On Street Traffic Signal Control System and Related Equipment,Transport Department,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html,13:45.5,9/7/22,Hong Kong Telecommunications (HKT) Limited,94.12222,4811
TD(T) 7/2021  Contract in Relation to the Provision of the FPS Services for the Implementation of Free-Flow Tolling System at Government Tolled Tunnels  ,Transport Department,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html,13:45.5,7/13/22,Bank of China (Hong Kong) Limited,0,4755
"TD(T) 3/2021  Agreement for Management, Operation and Maintenance of Scenic Hill Tunnel and Airport Tunnel  ",Transport Department,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html,13:45.5,2/28/22,Transport Infrastructure Management Limited,505.77396,4620
TD PTFCS DE 1/2022  Provision of Centralised Settlement Platform Services for the Government Public Transport Fare Concession Scheme for the Elderly and Eligible Persons with Disabilities,Transport Department,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html,13:45.5,2/25/22,Octopus Cards Limited,101.78,4617
CE 51/2021 (TT)  Traffic and Transport Strategy Study - Feasibility Study  ,Transport Department,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html,13:45.5,12/24/21,Ove Arup & Partners Hong Kong Limited,60.38,4554
TDITS0152021  Supply of Desktop Personal Computers and Provision of Related Services to the Transport Department,Transport Department,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html,13:45.5,11/18/21,Hong Kong Telecommunications (HKT) Limited,3.645,4518
TD 423/2020  Contract for Provision of Toll Tags and Toll Collection Services at Government Tolled Tunnels and Tsing Sha Control Area installed with Free-flow Tolling System  ,Transport Department,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html,13:45.5,10/29/21,Autotoll Limited,871.61,4498
"TD 146/2020  Agreement for Management, Operation and Maintenance of Tate's Cairn Tunnel  ",Transport Department,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html,13:45.5,7/2/21,Pacific Infrastructure Management Limited,494.50968,4379
CE 76/2020 (TT)  Enhancement of the Comprehensive Transport Study Model – Feasibility Study  ,Transport Department,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html,13:45.5,5/12/21,Ove Arup & Partners Hong Kong Limited,9.64768,4328
"TD 320/2019   Procurement cum Management, Operation and Maintenance of Real-time Arrival Information System for Green Minibus  ",Transport Department,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html,13:45.5,9/11/20,Hong Kong Telecommunications (HKT) Limited, 65.002499,4085
"TD 227/2019   Agreement for Management, Operation and Maintenance of Aberdeen Tunnel  ",Transport Department,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html,13:45.5,9/2/20,Transport Infrastructure Management Limited, 363.7848,4076
"TD 111/2018  Contract I for Procurement cum Management, Operation and Maintenance (""PMOM"") of New Generation of Parking Meter System",Transport Department,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html,13:45.5,5/20/19,Hong Kong Telecommunications (HKT) Limited & Flowbird Joint Venture,348.92642,3605
"TD 111/2018  Contract II for Procurement cum Management, Operation and Maintenance (""PMOM"") of New Generation of Parking Meter System  ",Transport Department,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html,13:45.5,5/20/19,Hong Kong Telecommunications  (HKT) Limited & Flowbird Joint Venture,333.284883,3605
GLD Contract No.: C0003/2017  The Upgrading of the Transport Information System for the Transport Department  ,Transport Department,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html,13:45.5,4/28/17,PCCW Solutions Limited,137.399999,2853
