Tender Reference,Tendering Procedure,Subject,Contractor(s) and Address(es),Awarded Quantity,Estimated Awarded Sum / Contract Award Date,url
WRR25155,Open,Provision of Service for Supplying Electronic Point for GREEN$ Conversion in GREEN$ Mobile Application,"AS Watson MoneyBack (HK) Limited
Unit 9, Watson House,
1-5, Wo Liu Hang Road,
Fo Tan, Shatin
New Terriotories","30-month contract


 ","HK$9,000,000.00

27 February 2026",https://www.epd.gov.hk/epd/english/news_events/notices/notices_260306.html
WRR25155,Open,Provision of Service for Supplying Electronic Point for GREEN$ Conversion in GREEN$ Mobile Application,"Alipay Payment Services (HK) Limited

22/F, Tower One,
Times Square,
1 Matheson Street, 
Causeway Bay
 ",30-month contract,"HK$6,460,000.00

27 February 2026",https://www.epd.gov.hk/epd/english/news_events/notices/notices_260306.html
WRR25155,Open,Provision of Service for Supplying Electronic Point for GREEN$ Conversion in GREEN$ Mobile Application,"Carbon Wallet Company Limited

MTR Headquarters Bldg,
Telford Plaza,
Kowloon Bay,
Kowloon
 ",30-month contract,"HK$3,078,645.00

27 February 2026",https://www.epd.gov.hk/epd/english/news_events/notices/notices_260306.html
Tender Reference,Tendering Procedure,Subject,Contractor(s) and Address(es),Awarded Period,Estimated Awarded Sum / Contract Award Date,url
WMS25001,Open,"Provision of Services for Collection, Treatment and Recycling of Waste Electrical and Electronic Equipment (Washing Machines) 2025","Vannex International Limited

10 San Hi Tsuen Street,
Tong Yan Sun Tsuen,
Yuen Long, New Territories","12-month contract


 ","HK$2,426,400.00

16 January 2026
 ",https://www.epd.gov.hk/epd/english/news_events/notices/notices_260123.html
Tender Reference,Tendering Procedure,Subject,Contractor(s) and Address(es),Awarded Period,Estimated Awarded Sum / Contract Award Date,url
RL25001,Open,Second Follow-on Contract of Low-Level Radioactive Waste Storage Facility at Siu A Chau,"ATAL ENGINEERING LIMITED

ATAL TOWER 
45-51 KWOK SHUI ROAD
KWAI CHUNG
NT","120-month contract


 ","HK$89,880,000.00

15 January 2026
 ",https://www.epd.gov.hk/epd/english/news_events/notices/notices_260116.html

