ref,department,url,batch_time,description,award_date,awardee,sum
1/WSD/22,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=27,2026-03-08 21:38:19.710571,"Preventive Maintenance Works, Upgrading Works and Associated Ground Investigations for Water Supplies Department Slopes in Hong Kong & Islands and New Territories East, 2022 – 2025 Programme",2022-07-27,Ming Hing Waterworks Engineering Company Limited,238.77
2/WSD/22,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=28,2026-03-08 21:38:19.710571,"Preventive Maintenance Works, Upgrading Works and Associated Ground Investigations for Water Supplies Department Slopes in Kowloon and New Territories West, 2022 – 2025 Programme",2022-07-27,Fraser Construction Company Limited,240.37
18/WSD/21,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=29,2026-03-08 21:38:19.710571,Uprating of Pui O Raw Water Pumping Station and Pui O No. 2 Raw Water Pumping Station and Laying of Raw Water Mains along South Lantau Road,2022-05-25,Vasteam Construction Limited,529.42
20/WSD/21,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=30,2026-03-08 21:38:19.710571,Replacement of Filtered Water and Backwash Water Valves and Pipework for Stage I Filters of Sheung Shui Water Treatment Works,2022-04-01,Hsin Chong Aster Building Services Limited,13.8
7/WSD/21,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=31,2026-03-08 21:38:19.710571,Construction of Siu Ho Wan Water Treatment Works Extension and Siu Ho Wan Raw Water Booster Pumping Station,2022-03-15,China Road and Bridge Corporation,2065.73
14/WSD/20,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=32,2026-03-08 21:38:19.710571,Enhancement of Salt Water Piping Systems at Cha Kow Ling and Tai Wan Salt Water Pumping Stations,2022-03-09,ATAL Engineering Limited,24.59
6/WSD/21,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=33,2026-03-08 21:38:19.710571,In-situ Reprovisioning of Sha Tin Water Treatment Works (South Works) – Administration Building,2021-11-10,CW - FWS JV (formed by (i) (i) Chun Wo Building Construction Limited; and (ii) (ii) Fong Wing Shing Construction Company Limited),698.01
2/WSD/21,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=34,2026-03-08 21:38:19.710571,Term Contract for Risk-Based Improvement of Water Mains - Hong Kong and Islands,2021-09-10,Kwan On - U-Tech Joint Venture,546.997
3/WSD/21,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=35,2026-03-08 21:38:19.710571,Term Contract for Risk-Based Improvement of Water Mains - New Territories West,2021-11-01,AMAIN-CW YEE HOP JV,534.94
4/WSD/21,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=36,2026-03-08 21:38:19.710571,Term Contract for Risk-Based Improvement of small Water Mains - Kowloon,2021-09-20,Wo Hing - Hing Cheong Joint Venture,647.552
