ref,start,end,department,url,batch_time,description,awardee
CE 17/2024 (WS),7/4/25,1/3/27,Water Supplies Department,https://www.wsd.gov.hk/en/tenders-contracts-and-consultancies/consultancies/award-consultancies/index.html,2026-03-08 19:53:05.881597,Water Treatment Works and Associated Raw Water and Fresh Water Supply Systems as well as Water Reclamation Plants and Associated Reclaimed Water Supply System for New Territories North of Northern Metropolis – Feasibility Study,Binnies – Arup Joint Venture
CE 90/2022 (EM),1/22/25,8/22/29,Water Supplies Department,https://www.wsd.gov.hk/en/tenders-contracts-and-consultancies/consultancies/award-consultancies/index.html,2026-03-08 19:53:05.881597,"Implementation of Photovoltaic Systems at Various Waterworks Installations – Investigation, Design and Construction",WSP (Asia) Limited
