Agreement No. (1),Agreement Title,Name of Successful Consultant,Consultancy Cost (2),Commencement Date,Estimated Completion Date,start,end,url
CE 17/2024 (WS),Water Treatment Works and Associated Raw Water and Fresh Water Supply Systems as well as Water Reclamation Plants and Associated Reclaimed Water Supply System for New Territories North of Northern Metropolis – Feasibility Study,Binnies – Arup Joint Venture,"$14,000,000.00 ",4/7/25,3/1/27,7/4/25,1/3/27,https://www.wsd.gov.hk/en/tenders-contracts-and-consultancies/consultancies/award-consultancies/index.html
CE 90/2022 (EM),"Implementation of Photovoltaic Systems at Various Waterworks Installations – Investigation, Design and Construction",WSP (Asia) Limited,"$11,880,000 ",22/1/2025,22/8/2029,1/22/25,8/22/29,https://www.wsd.gov.hk/en/tenders-contracts-and-consultancies/consultancies/award-consultancies/index.html
