Contract No.,Contract Title,Award Date (dd/mm/yyyy),Contractor Name,Category & Group of Contractor,Contract Sum ($M),award_date,url
HY/2025/05,"Improvement Works for Junctions at Ming Kum Road, Tsing Wun Road and Lung Mun Road (NEC ECC HK Edition Option A)",30/12/2025,Hang Kee Development Company Limited,RD Group A,27.160,2025-12-30,https://www.hyd.gov.hk/en/tender_notices/contracts/awarded/index.html
HY/2025/07,Structure Lights Improvement Works in Kwun Tong District and Wong Tai Sin District (NEC ECC HK Edition Option B),23/12/2025,CLPe Solutions Limited,INDU,14.017,2025-12-23,https://www.hyd.gov.hk/en/tender_notices/contracts/awarded/index.html
HY/2025/10,Hong Kong Section of Hong Kong-Shenzhen Western Rail Link (Hung Shui Kiu – Qianhai) – Marine Ground Investigation (NEC ECC HK Edition Option B),18/11/2025,Bachy Soletanche Group Limited,GROU Group II,29.527,2025-11-18,https://www.hyd.gov.hk/en/tender_notices/contracts/awarded/index.html
HY/2024/17,Road Light Circuits Improvement in Kowloon City District (NEC ECC HK Edition Option B),8/7/2025,Kaiser Construction Engineering Company Limited,RD Group A&B,30.000,2025-07-08,https://www.hyd.gov.hk/en/tender_notices/contracts/awarded/index.html
14/HY/2024,Highways Department Term Contract (Management and Maintenance of Roads on Hong Kong Island excluding Expressways and High Speed Roads 2025-2030) (NEC4 TSC Option A),11/02/2025,CRBC - FD Joint Venture,RD Group C,1043.790,2025-02-11,https://www.hyd.gov.hk/en/tender_notices/contracts/awarded/index.html
15/HY/2024,"Highways Department Term Contract (Management and Maintenance of Expressways and High Speed Roads in New Territories East, Kowloon East and Hong Kong Island 2025-2030) (NEC4 TSC Option A)",11/02/2025,WCCL - EW JV,RD Group C,551.660,2025-02-11,https://www.hyd.gov.hk/en/tender_notices/contracts/awarded/index.html
HY/2024/11,"Initial Tree Data Collection Services for Highways Department, Hong Kong (Stage 3) - Cat. 1 Zone Areas on Expressways and High Speed Roads",03/02/2025,AECOM Asia Company Limited,Others,11.432,2025-02-03,https://www.hyd.gov.hk/en/tender_notices/contracts/awarded/index.html
