Agreement No. and Title,Date of Award,Name of Contractor,Contract Value ($M),Contract Duration (Month),url,award_date
"TD 299/2025

Licence to Provide Fee-Charging Electric Vehicle Charging Service at Penny's Bay

",30.10.2025,CLPe Solutions Limited,0.0175,84 months,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/works_contract/index.html,2025-10-30
"TD 330/2023

Renewal of TD142 Closed Circuit Television Backend System for the Transport Department

",29.5.2025,GTECH Services (Hong Kong) Limited,36.29175,126 months,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/works_contract/index.html,2025-05-29
"TD 93/2018

Installation of Additional Traffic Detectors, Speed Map Panel and Journey Time Indication Systems

",30.5.2019,CPB Contractors Pty Limited,218.456218,104 months,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/works_contract/index.html,2019-05-30
"TD 57/2017

Installation of Traffic Detectors on Selected Strategic Routes

",5.6.2018,Autotoll Limited,216.884023,137 months,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/works_contract/index.html,2018-06-05
