ref,department,url,batch_time,award_date,awardee,sum
TD 299/2025  Licence to Provide Fee-Charging Electric Vehicle Charging Service at Penny's Bay  ,Transport Department,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/works_contract/index.html,2026-03-08 21:55:11.329361,2025-10-30,CLPe Solutions Limited,0.0175
TD 330/2023  Renewal of TD142 Closed Circuit Television Backend System for the Transport Department  ,Transport Department,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/works_contract/index.html,2026-03-08 21:55:11.329361,2025-05-29,GTECH Services (Hong Kong) Limited,36.29175
"TD 93/2018  Installation of Additional Traffic Detectors, Speed Map Panel and Journey Time Indication Systems  ",Transport Department,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/works_contract/index.html,2026-03-08 21:55:11.329361,2019-05-30,CPB Contractors Pty Limited,218.456218
TD 57/2017  Installation of Traffic Detectors on Selected Strategic Routes  ,Transport Department,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/works_contract/index.html,2026-03-08 21:55:11.329361,2018-06-05,Autotoll Limited,216.884023
