Reference No.,Tendering Procedure,Title or Scope,Contractor(s) and Address(es),Item/Quantity,Awarded Amount,Date Awarded,Contractor Name,Address,Month
Q111825,Selective,Supply and Installation of Frontend VA Sub-system with Equipment Housing at 60 Platforms in LRL,"Pilot Solutions Asia LimitedUnit 7, 8/F, Nan Fung Commercial Centre,19 Lam Lok Street,Kowloon Bay, Kowloon,Hong Kong",1 Job,"HK$6,100,000",27 Apr 2026,Pilot Solutions Asia LimitedUnit 7,"8/F, Nan Fung Commercial Centre,19 Lam Lok Street,Kowloon Bay, Kowloon,Hong Kong",2026-04-01
Q111827,Selective,Term Contract for Provision of Engineering Services for Lift and Escalator Maintenance in MTR Stations,"TUV SUD Hong Kong Limited3F West Wing, Lakeside 2,10 Science Park West Avenue,Hong Kong Science Park,Shatin, New TerritoriesHong Kong",2 Years,"HK$2,833,440",10 Apr 2026,"TUV SUD Hong Kong Limited3F West Wing, Lakeside 2,10 Science Park West Avenue,Hong Kong","Science Park,Shatin, New TerritoriesHong Kong",2026-04-01
Q115639,Selective,Operation and Management of Hung Hom Station Carpark,"Imperial Parking (Hong Kong) LimitedRoom 3113, 31/F, Metroplaza Tower 1, 223 Hing Fong Road, Kwai Fong, New TerritoriesHong Kong",1 Job,Not Discolsed,29 Apr 2026,Imperial Parking (Hong Kong) LimitedRoom 3113,"31/F, Metroplaza Tower 1, 223 Hing Fong Road, Kwai Fong, New TerritoriesHong Kong",2026-04-01
