Reference No.,Tendering Procedure,Title or Scope,Contractor(s) and Address(es),Item/Quantity,Awarded Amount,Date Awarded,Contractor Name,Address,Month
C8643.B-25E,Selective,Provision of Sprinklers of TWL Concourse at CEN,"Shimizu CorporationRoom 4313-4322, Tower One, Metroplaza223 Hing Fong Road,Kwai Fong, New Territories,Hong Kong",1 Job,"HK$32,805,212.88",27 Mar 2026,Shimizu CorporationRoom 4313-4322,"Tower One, Metroplaza223 Hing Fong Road,Kwai Fong, New Territories,Hong Kong",2026-03-01
K1106-24E,Selective,Asset Replacement of Network Time Synchronization System in Fo Tan Railway House (FTH),"Roctec Technology LimitedRoom 1502-1504, 15/FKodak House II, 321 Java Road,North Point,Hong Kong",1 Job,"HK$1,766,000",20 Mar 2026,Roctec Technology LimitedRoom 1502-1504,"15/FKodak House II, 321 Java Road,North Point,Hong Kong",2026-03-01
Q113929,Selective,Provision of Shuttle Bus Service for MTR Siu Ho Wan Depot,"Jackson Coach Hire Service LimitedFlat Q, G/F, Tai Foo House,6 Hong Cheung Street,Sai Wan Ho,Hong Kong",Not Applicable,"HK$6,444,000",24 Mar 2026,Jackson Coach Hire Service LimitedFlat Q,"G/F, Tai Foo House,6 Hong Cheung Street,Sai Wan Ho,Hong Kong",2026-03-01
Q116065,Selective,Supply of Uniform for Maintenance & M&SD Staff,"Angie International LimitedRoom B, 3/F, West Gate Tower,No.7 Wing Hong Street,Lai Chi Kok, KowloonHong Kong",3 Years,"HK$15,632,256.5",26 Mar 2026,Angie International LimitedRoom B,"3/F, West Gate Tower,No.7 Wing Hong Street,Lai Chi Kok, KowloonHong Kong",2026-03-01
Q117335,Selective,Term Contract for Provision of Social Media and PR Agency Services for Branding Communication Campaigns,"Sinclair Communications Limited7/F, 299 QRC299 Queen's Road Central,Sheung Wan,Hong Kong",3 Years,Not Disclosed,31 Mar 2026,Sinclair Communications Limited7/F,"299 QRC299 Queen's Road Central,Sheung Wan,Hong Kong",2026-03-01
"Edelman Public Relations Worldwide (HK) Limited701 Central Plaza,18 Harbour Road,Wanchai,Hong Kong",3 Years,Not Disclosed,31 Mar 2026,,,,31 Mar 2026,,2026-03-01
"Founder New Media LimitedFlat G, 18/F, Ford Glory Plaza,37 Wing Hong Street,Cheung Sha Wan, KowloonHong Kong",3 Years,Not Disclosed,31 Mar 2026,,,,31 Mar 2026,,2026-03-01
"MOB Fever LimitedRoom  2112, 21/F, W212No. 212 Texaco Road,Tsuen Wan, New TerritoriesHong Kong",3 Years,Not Disclosed,31 Mar 2026,,,,31 Mar 2026,,2026-03-01
