"item href","cover src","title","desc 2","desc 4","desc 6"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2256&menuId=335","https://h5.chinainternationalbeauty.com/App/h5/static/icon/logo.png","浙江佳健理容器材有限公司","Professional beauty","other","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2257&menuId=335","https://h5.chinainternationalbeauty.com/App/h5/static/icon/logo.png","宁波市澳佳包装容器有限公司","Professional beauty","other","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2258&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2023/05/24/bb9d64f637532f23db44d56b05671eb3.jpg","Zhongshan Dosunny Biological Technology Co.,Ltd","Supply chain","Skin Care/Mask OEM/ODM","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2259&menuId=335","https://h5.chinainternationalbeauty.com/App/h5/static/icon/logo.png","Yuyao Xinchao Plastic Products Factory","Supply chain","Packaging Components & Accessories","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2260&menuId=335","https://h5.chinainternationalbeauty.com/App/h5/static/icon/logo.png","鸡西市力铫医疗器械销售有限公司","Professional beauty","Medical cosmetology","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2261&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2022/08/05/94aa29f35292565913f661dfc4365065.png","深圳市朗黛实业发展有限公司","Professional beauty","Professional Beauty Equipment,Professional Aesthetic Analysis Devices","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2263&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2022/08/02/90f1ef75b9a0a1b6daa749b314f4c7e5.png","Guangzhou DEVA Biological Technology Co., Ltd.","Professional beauty","Skin care,Anti-aging ,Make-up,Wellness","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2264&menuId=335","https://h5.chinainternationalbeauty.com887.png/","Shenzhen Jubang Technology Development Co.,Ltd.","Professional beauty","other","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2265&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2023/05/11/8d86cd519bef05d806c87fce8ac84f46.png","佛山纽菲思电子科技有限公司","Professional beauty","Professional Beauty Equipment","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2267&menuId=335","https://h5.chinainternationalbeauty.com/App/h5/static/icon/logo.png","Beijing Yinuomei Beauty Technology Co.,Ltd","Professional beauty","other","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2268&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2021/08/09/2a5f13bd4bcc79855f3fdde63abe57e7.png","GUANGZHOU LION WIN COSMETICS CO.,LTD","Supply chain","Skin Care/Mask OEM/ODM","No"
