"Result_name__C4oKM","Result_corner__L45bd"
"Bobbypills","Business Meeting Area"
"Boden Game Incubator","Indie Game Area"
"BOYHOODGAMES","Business Meeting Area"
"BOYHOODGAMES","Smartphone Game Area"
"Bragi Estudios","Indie Game Area"
"Brazil Games","Indie Game Area"
"Breaking Change","Indie Game Area"
"Brook Gaming","Gaming Hardware Area"
"Brushup","Business Solution Area"
"Bufff","Family Game Park"
"BUKA","General Exhibition Area"
"Bullet Group","Business Solution Area"
"Bunkyo University","Game Academy Area"
"Bushiroad","General Exhibition Area"
"Bustr Media Enterprise","Indie Game Area"
"Byking","Business Meeting Area"
"BytePlus Japan","AI Technology Pavilion"
"BytePlus Japan","Business Meeting Area"
"C-Garden","Business Solution Area"
"C&R Creative Studios","Business Solution Area"
"CANADA","Business Meeting Area"
"Canary Islands Games","Business Meeting Area"
"Canary Islands Games - Powerd by Games from Spain","Business Meeting Area"
"Canary Islands Special Zone","Business Meeting Area"
"Canon","General Exhibition Area"
"CANVY","Gaming Hardware Area"
"CAPCOM","General Exhibition Area"
"CAPCOM","Merchandise Sales Area"
"CAPCOM","Family Game Park"
"capermint technologies","Indie Game Area"
"CARTA ZERO","Business Meeting Area"
"Centre of Excellence in Gaming & Animation (CEGA)","General Exhibition Area"
"Century Games","Business Meeting Area"
"CFD Sales","General Exhibition Area"
"CGI Labs Games","Business Solution Area"
"Cham-gaming","SELECTED INDIE 80"
"Channel 3 Entertainment","Business Meeting Area"
"Character","General Exhibition Area"
"Chasing Fox","General Exhibition Area"
"Chasing Rats Games","SELECTED INDIE 80"
"Checkout","Business Solution Area"
"Cherry Tree Studio","Business Meeting Area"
"Chile","Business Meeting Area"
"Chin-Chan","Indie Game Area"
"Chuo Institute of Information and Design College","Game Academy Area"
"Cinderia","Indie Game Area"
"CITY CONNECTION","General Exhibition Area"
"CLARK NEXT High School","Game Academy Area"
"Clever Monkeys Games","Business Meeting Area"
"CleverPlays Studio","Online Exhibition"
"CLOUD CREATIVE STUDIOS","AI Technology Pavilion"
"CLUTCHY","eSports Area"
"Coalcar Studios","Business Meeting Area"
"Code Wizards","Business Meeting Area"
"Coffeenauts","Indie Game Area"
"COLOPL","Business Meeting Area"
"Com2uS","Business Meeting Area"
"Cometa Games","Indie Game Area"
"Computer College Nagoya","Game Academy Area"
"Concent Games","General Exhibition Area"
"Confidence Pro","Business Solution Area"
"Contrast Games","Online Exhibition"
"Coolmath Games by Tellmewow","Business Meeting Area"
"CORSAIR Fanatec Elgato","General Exhibition Area"
"COSPA","Merchandise Sales Area"
"Coyote Runner","Indie Game Area"
"CRAFTS&MEISTER","Indie Game Area"
"Craftsman Software","Business Solution Area"
"Creative Wales","Indie Game Area"
"CREPORT","Business Solution Area"
"CRI Middleware","Business Solution Area"
"Crico","Indie Game Area"
"CRITICAL REFLEX","General Exhibition Area"
"Cult Studios","Indie Game Area"
"CyberConnect2","Merchandise Sales Area"
"CyberConnect2","General Exhibition Area"
"cybozu","Business Meeting Area"
"Cygames","Business Meeting Area"
"D.H","Business Solution Area"
"D.play soft","Business Meeting Area"
"D.play soft","Smartphone Game Area"
"D3PUBLISHER","General Exhibition Area"
"DA2 Creative","Indie Game Area"
"DAIAD(YISHIN)","Gaming Hardware Area"
"DarkBeacon","Gaming Hardware Area"
"Darlin","Business Solution Area"
"Dead Mage Studios","Business Meeting Area"
"DeadlyCrow Games","SELECTED INDIE 80"
"Defios","General Exhibition Area"
"DeNA","Business Meeting Area"
"DESIGN and TECH GAME WORKS","Indie Game Area"
"Devdepot","Business Meeting Area"
"Devdepot","Indie Game Area"
"Devolver Digital","General Exhibition Area"
"Devotion Interactive","SELECTED INDIE 80"
"DFGC","Business Solution Area"
"Diarkis","Business Solution Area"
"DICO","Indie Game Area"
"DICO","Business Solution Area"
"DiG-R","Business Solution Area"
"Digital Accels","Business Solution Area"
"Digital Hollywood University","Indie Game Area"
"DigitalWorksEntertainment","Business Solution Area"
"Dimps","Business Meeting Area"
"DIP (Daegu Digital Innovation Promotion Agency)","General Exhibition Area"
"Discord","Business Meeting Area"
"DITP (Thailand Pavilion)","General Exhibition Area"
"DIYAO ELECTRONIC","Gaming Hardware Area"
"DMM GAMES(EXNOA)","Business Meeting Area"
"DMM GAMES(EXNOA)","General Exhibition Area"
"DNSTY","General Exhibition Area"
"DOBE","General Exhibition Area"
"Dongguan 3e Electronics","Gaming Hardware Area"
"Dongguan FlashFire Digital Technology","Gaming Hardware Area"
"Dongguan Gaoxd Precision Industry","Gaming Hardware Area"
"DONUT PANIC","SELECTED INDIE 80"
"Double Jack","SELECTED INDIE 80"
"Double Stallion Games","Business Meeting Area"
"DOUKUTSU PENGUIN CLUB","SELECTED INDIE 80"
"DOYAKMIN","General Exhibition Area"
"Dragon Scale Studios","Indie Game Area"
"Drakhar Studio","Business Meeting Area"
"Dream Craft","General Exhibition Area"
"Dream Forge Creation","Indie Game Area"
"Dream Voice Studio","Business Meeting Area"
"Dreambringers","Business Meeting Area"
"DreamCraft","Business Meeting Area"
"DreamJack","Indie Game Area"
"Drecom","Business Meeting Area"
"DRECOM CREATORS STUDIO","Indie Game Area"
"DRIMAGE JAPAN","Online Exhibition"
"Drivhuset","Indie Game Area"
"DRUID CREATIVE","Indie Game Area"
"Dungeon Settlers","Indie Game Area"
"DUNLOP","General Exhibition Area"
"Dunwich Studio","Business Meeting Area"
"DxT","General Exhibition Area"
"DynaComware","Business Solution Area"
"Dynamic Map Platform","Business Solution Area"
"e.m.y.c design","Business Solution Area"
"EA SEMI (SHANGHAI) TECH","Gaming Hardware Area"
"Earthquack Games","General Exhibition Area"
"Easy Fox","SELECTED INDIE 80"
"EBANX","Business Meeting Area"
"ECC COLLEGE OF COMPUTER AND MULTIMEDIA","Game Academy Area"
"ECI GAMES","General Exhibition Area"
"Ecumene Games","Indie Game Area"
"Edcorp","Indie Game Area"
"Eden Industries","Business Meeting Area"
"Edentopia","Indie Game Area"
"Edia","General Exhibition Area"
"EF Games","Business Meeting Area"
"EHIME Prefectual MATSUYAMA MINAMI HIGH SCHOOL TOBE BRANCH","Game Academy Area"
"EIGHTING","General Exhibition Area"
"ElEngine","Business Solution Area"
"Eliphant Japan","Business Meeting Area"
"Elva Entertainment","Indie Game Area"
"Elysium","Indie Game Area"
"Encom","Business Meeting Area"
"EnigmatrixGames","General Exhibition Area"
"Enpitsu Games","Indie Game Area"
"Ensemble Stars!!","General Exhibition Area"
"Ensky","Merchandise Sales Area"
"Entalto Publishing","Indie Game Area"
"Entalto Publishing","Business Meeting Area"
"ENTERGRAM","General Exhibition Area"
"EPOMAKER","Gaming Hardware Area"
"Epopeia Games","Indie Game Area"
"ErudAite","Business Solution Area"
"ESDigital Games","Business Meeting Area"
"ESDigital Games","Indie Game Area"
"EthrA","SELECTED INDIE 80"
"EUPHONIC","Indie Game Area"
"EXE ARENA","Smartphone Game Area"
"ExitLag","Business Meeting Area"
"eXtremeRate","Gaming Hardware Area"
"Fableware","Indie Game Area"
"Factoria Innovacion","Business Meeting Area"
"Fahrenheit 213","Indie Game Area"
"FAIRX","Business Meeting Area"
"FAIRX","General Exhibition Area"
"Fangamer","Merchandise Sales Area"
"Fat Goblins","Indie Game Area"
"Fayju","Business Meeting Area"
"Feel For Music","Business Meeting Area"
"FERTILERAINS","Business Solution Area"
"FILO: Something Filamentous","SELECTED INDIE 80"
"Final Aim","AI Technology Pavilion"
"FINE","Business Solution Area"
"Finish Line Games","Business Meeting Area"
"Fireshine Games","General Exhibition Area"
"Flaming Fowl Studios","SELECTED INDIE 80"
"FlashFire","Gaming Hardware Area"
"Flix Interactive","Business Meeting Area"
"FlyteCatEmotion","Indie Game Area"
"FMC","Business Solution Area"
"FootAR","General Exhibition Area"
"FORCES","Indie Game Area"
"ForCreators","Business Solution Area"
"FORUM8","AR/VR Area"
"Fosi Audio Japan","Gaming Hardware Area"
"FOSTEX(Foster Electric)","Gaming Hardware Area"
"Fourteenrain Studio","General Exhibition Area"
"Frag Games","General Exhibition Area"
"Free Games Online","Indie Game Area"
"French Delegation","Business Meeting Area"
"Frima Studio","Business Meeting Area"
"FROM BEYOND GAME STUDIO","Indie Game Area"
"Frontier Works","Indie Game Area"
"FrontierCraft","Indie Game Area"
"FRONTIERS GROUP ENTERTAINMENT","Indie Game Area"
"Fruitbat Factory","Indie Game Area"
"Full Belly Breakout","Indie Game Area"
"Fuloso","General Exhibition Area"
"Fumo Shop,Arbiter Studio","Gaming Hardware Area"
"Fun2 Studio","Indie Game Area"
"Fundacion Canaria Club Deportivo Tenerife","Business Meeting Area"
"Fundacion UD Las Palmas","Business Meeting Area"
"FURYU","Business Meeting Area"
"FURYU","Indie Game Area"
"FUTAROKU/Riot Store Japan","Merchandise Sales Area"
"Future Entertainment Company","SELECTED INDIE 80"
"G TUNE-NEXTGEAR(MouseComputer)","General Exhibition Area"
"G-angle","Business Solution Area"
"G-angle","Business Meeting Area"
"G-MODE","Indie Game Area"
"G-STAR Organizing Committee","Business Solution Area"
"GALLERIA (THIRDWAVE)","General Exhibition Area"
"Game Art Pioneers","General Exhibition Area"
"Game Carrot","General Exhibition Area"
"Game Carrot","Business Meeting Area"
"GAME FREAK","General Exhibition Area"
"Game Habitat","Indie Game Area"
"Game KADOKAWA (Game Business)","Business Meeting Area"
"Game Programming LAB","Game Academy Area"
"Game Source Entertainment","General Exhibition Area"
"Game8","Business Solution Area"
"GAMECENTER CX","Merchandise Sales Area"
"GameDevHub","General Exhibition Area"
"GAMEDEX","Business Solution Area"
"Gamersky Games","Indie Game Area"
"Gamersky Games","Business Meeting Area"
"Games From Jakarta","Indie Game Area"
"Games From Portugal","General Exhibition Area"
"Games from Spain","Indie Game Area"
"Games from Spain","Business Meeting Area"
"GAMES GLORIOUS","Merchandise Sales Area"
"Gamesir","General Exhibition Area"
"GameTeahouse&WiseGames","Indie Game Area"
"Gasket Games","Business Meeting Area"
"Gatebox","AR/VR Area"
"GC Social Media","Business Meeting Area"
"Gearbyte Games","SELECTED INDIE 80"
"Gemdrops","General Exhibition Area"
"Genba Digital","Business Meeting Area"
"Genki","General Exhibition Area"
"Gentle Giants","SELECTED INDIE 80"
"Gentlemaniac","Business Meeting Area"
"Gentlemaniac","Smartphone Game Area"
"Geolocation Technology","Business Solution Area"
"Gevent","Game Academy Area"
"GGSelect","Indie Game Area"
"GIANTY","Business Solution Area"
"GIFU PLASTIC INDUSTRY","Gaming Lifestyle Area"
"Globant","Business Meeting Area"
"Gmedia (Games Age Rating)","Business Meeting Area"
"GMI Cloud","General Exhibition Area"
"Go Slimey Go!","SELECTED INDIE 80"
"Godot Engine","Business Solution Area"
"Goldborough Studio","Indie Game Area"
"Google Play","General Exhibition Area"
"Goolee","General Exhibition Area"
"Graph","General Exhibition Area"
"GRAPHT","Merchandise Sales Area"
"GRAPHT","Gaming Hardware Area"
"GRAVITY GAME ARISE","Indie Game Area"
"GREE Holdings","Business Meeting Area"
"Greenforest XR","Business Meeting Area"
"Greenstone Initiatives","Business Meeting Area"
"GRIM RONIN","Indie Game Area"
"Guangdong Ouxide","Gaming Hardware Area"
"GUIZHOU FUDING RUBBER AND PLASTIC","Gaming Hardware Area"
"GungHo Online Entertainment","General Exhibition Area"
"GungHo Online Entertainment / GRAVITY","Business Meeting Area"
