"Result_name__C4oKM","Result_corner__L45bd"
"Mizuno","General Exhibition Area"
"MKstudio","Indie Game Area"
"moimate","Gaming Hardware Area"
"Moldova Country Booth","Business Solution Area"
"MONO ENTERTAINMENT","SELECTED INDIE 80"
"Monster Bath Games","Indie Game Area"
"Morisawa","Business Solution Area"
"Moscow Game Hub","General Exhibition Area"
"MOSKEYBOARDOON","SELECTED INDIE 80"
"Moss","General Exhibition Area"
"mountain studio","Business Solution Area"
"MOZA Racing","Gaming Hardware Area"
"MSI","General Exhibition Area"
"Mugio","Indie Game Area"
"Muscle Cat Studio","Indie Game Area"
"MUTAN","General Exhibition Area"
"Mychara","AI Technology Pavilion"
"Mylta Studios","Indie Game Area"
"Myriashue","Business Solution Area"
"MYservice","Indie Game Area"
"NAGOYAKOGAKUIN COLLEGE","Game Academy Area"
"NAKANISHI MFG.","General Exhibition Area"
"Nalua Studio","Indie Game Area"
"NANOO COMPANY","Business Meeting Area"
"NANOO COMPANY","General Exhibition Area"
"Nao Games","Indie Game Area"
"National Institute for Environmental Studies","General Exhibition Area"
"NAVER WEBTOON","Business Meeting Area"
"NC Gaming","General Exhibition Area"
"NDEV GAMES","Business Meeting Area"
"NDEV GAMES","General Exhibition Area"
"NeoBards Entertainment","General Exhibition Area"
"NEOGULLAB","Indie Game Area"
"Neon Noroshi","Indie Game Area"
"Neos","Online Exhibition"
"Nestopi","Indie Game Area"
"netmarble","General Exhibition Area"
"Newcore Games","Business Meeting Area"
"Newcore Games","General Exhibition Area"
"Nex Playground","Business Meeting Area"
"NEXON","General Exhibition Area"
"NEXON","Business Meeting Area"
"NexTone","Indie Game Area"
"Nextorage","General Exhibition Area"
"NFI","General Exhibition Area"
"NGJ","Indie Game Area"
"NHK x Game","General Exhibition Area"
"NHN JAPAN","General Exhibition Area"
"NHN JAPAN","Merchandise Sales Area"
"NIHON KOGAKUIN COLLEGE /Tokyo University of Technology","Game Academy Area"
"Niigata City","Business Solution Area"
"Niigata Computer College","Game Academy Area"
"Nikkei Gaming","Business Solution Area"
"NikkeiBP","Merchandise Sales Area"
"NINEHECTARE","Business Meeting Area"
"NINEHECTARE","General Exhibition Area"
"Nintendo","Business Meeting Area"
"Nissin Electric Kohsaku","Smartphone Game Area"
"NITRO PLUS","Indie Game Area"
"NITTOC CONSTRUCTION","Business Solution Area"
"No Hero Digital","Business Meeting Area"
"noblechairs and Endgame Gear","Gaming Lifestyle Area"
"Nobody Studio","Business Meeting Area"
"noisycroak","General Exhibition Area"
"Noodleloop","Indie Game Area"
"Northify","Indie Game Area"
"Norwegian Games","General Exhibition Area"
"Nosebleed Interactive","Business Meeting Area"
"NoxNoctis","Business Meeting Area"
"NTV Wands","Family Game Park"
"Numazu Professional Training College of Business and Information Technology","Game Academy Area"
"Nuuvem","Indie Game Area"
"Nuvei Payment Services Japan","Business Meeting Area"
"OddBall Games","General Exhibition Area"
"OECU eSports(Osaka Electro-Communication University)","Game Academy Area"
"offbrand games","Indie Game Area"
"Offline Human Studios","Indie Game Area"
"Offworld","Business Meeting Area"
"OgreeGames - Lucid Tarot","Indie Game Area"
"ohashi metal manufacturing","Business Solution Area"
"Okawari!","SELECTED INDIE 80"
"Okayama Information College","Game Academy Area"
"Okayama University Hospital","All Accessibility Area"
"OKDAY","General Exhibition Area"
"One More Level","Indie Game Area"
"One or Eight","General Exhibition Area"
"One Way Eleven","General Exhibition Area"
"One-Eyed Villains","Indie Game Area"
"ONEXPLAYER","Gaming Hardware Area"
"Online Station & gamescom asia x Thailand Game Show","Business Solution Area"
"OPTAGE","General Exhibition Area"
"Optillusion Games","Indie Game Area"
"Orbital Works","General Exhibition Area"
"Organizer: CESA Corner ""Learn with your parents! Game Manual: How to get along with games!""","Organizer's projects"
"Original Force","Business Solution Area"
"Original Force","Business Meeting Area"
"Osaka Designer Academy","Game Academy Area"
"Osaka Electro-Communication University","Game Academy Area"
"osaka institute of technology information science and technology","Game Academy Area"
"OSAKA SOGO COLLEGE OF DESIGN","Game Academy Area"
"OSCAR","Gaming Hardware Area"
"OSJ","AI Technology Pavilion"
"OSJ","Business Meeting Area"
"Ota Information & Business College","Game Academy Area"
"Other Things","Business Meeting Area"
"OTIPLE","Indie Game Area"
"OUTERPLANE","General Exhibition Area"
"Oxygen Chick","General Exhibition Area"
"P.F.J.","SELECTED INDIE 80"
"P.U.Q.U.","SELECTED INDIE 80"
"Paiband Game Studio","SELECTED INDIE 80"
"Paidy","Business Solution Area"
"Pakistan Software Export Board (PSEB)","General Exhibition Area"
"Palm","Business Meeting Area"
"Palm","Indie Game Area"
"Panasonic","General Exhibition Area"
"PARCO GAMES","Indie Game Area"
"Paris Games Week","General Exhibition Area"
"Parkince","Indie Game Area"
"Partnier (KeyMailer)","Business Meeting Area"
"Pat-o-Logic Studio","SELECTED INDIE 80"
"Pawtential Disaster","SELECTED INDIE 80"
"Paymentwall","Business Solution Area"
"PayPal","Business Solution Area"
"PCCS","eSports Area"
"Penci Studio","Smartphone Game Area"
"Pepper Stones","General Exhibition Area"
"PepperStones","Business Meeting Area"
"perelesoq","Online Exhibition"
"Perp Games","Business Meeting Area"
"Phase","General Exhibition Area"
"PHI Law Office","Business Meeting Area"
"PHILIPPINE GAMEDEV EXPO","Business Meeting Area"
"Phoenixx","Indie Game Area"
"Piisu","Indie Game Area"
"PinCool","General Exhibition Area"
"Pioneer","General Exhibition Area"
"Pip Puzzle","Indie Game Area"
"PixAI","General Exhibition Area"
"Pixel Helix","Business Meeting Area"
"Pixel Perfex","General Exhibition Area"
"Pixelated Milk","Indie Game Area"
"PIXELIAN","Business Meeting Area"
"PIXELIAN","General Exhibition Area"
"Pixio (Hamee)","Gaming Lifestyle Area"
"pixyda","General Exhibition Area"
"Pizza Tomahawk","Business Meeting Area"
"PLAION REPLAI (NEOGEO AES+)","General Exhibition Area"
"PLANETA","Indie Game Area"
"PLANETA","Family Game Park"
"PlatinumGames","Business Meeting Area"
"PLAY Mephistowaltz","Indie Game Area"
"Play Zee studio","General Exhibition Area"
"playcare japan activity associetion","General Exhibition Area"
"PlayGo Games","Business Meeting Area"
"PlayGo Games","Smartphone Game Area"
"PLAYISM","General Exhibition Area"
"PlayLab DiTella","SELECTED INDIE 80"
"PlayMax Group","General Exhibition Area"
"Playstack","Business Meeting Area"
"PLITHUS","Indie Game Area"
"POCKET RD","General Exhibition Area"
"Pocketpair","General Exhibition Area"
"Pocketpair","Merchandise Sales Area"
"Pocketpair","Business Meeting Area"
"PocketReal","AR/VR Area"
"PoiLink","Business Meeting Area"
"Poland Pavilion","Indie Game Area"
"POLE TO WIN VIET NAM","Business Solution Area"
"POLYGONMAGIC","Business Solution Area"
"Poppin Games Japan","Business Solution Area"
"Potato Kid","Indie Game Area"
"PQube","Business Meeting Area"
"Prank Maker","SELECTED INDIE 80"
"Prescription Studios","Indie Game Area"
"Project Daimonia","Business Meeting Area"
"Project LONGQUAN","Business Meeting Area"
"Project Moon","General Exhibition Area"
"Project Solaris & MEAT-GRINDER & Overbit & DarkBazaar","Indie Game Area"
"Proxima Beta Europe","Business Meeting Area"
"Psi Games Online","Indie Game Area"
"Psytec Games","Business Meeting Area"
"Pulsar Gaming Gears","Merchandise Sales Area"
"Pulsar Gaming Gears","General Exhibition Area"
"PUNK WORKSHOP","Gaming Hardware Area"
"PUNKT","Business Solution Area"
"Puzzle Deck","SELECTED INDIE 80"
"QiYou Game Booster","Business Solution Area"
"QPZM.org","Indie Game Area"
"Quantum Box Games","Business Meeting Area"
"Quasar Factory Games","Business Meeting Area"
"QUByte Interactive","Indie Game Area"
"QueseraGames","SELECTED INDIE 80"
"Rabbit0","Gaming Hardware Area"
"Rabbitly","Indie Game Area"
"Racjin","Business Solution Area"
"Radioativa Game Sounds","Indie Game Area"
"radiuthree","Indie Game Area"
"RADR Games","Indie Game Area"
"Rakuten Group","Merchandise Sales Area"
"Ralight Solutions","Business Meeting Area"
"Raw Fury","General Exhibition Area"
"RAZBAM JAPAN","General Exhibition Area"
"Razer Japan","Business Meeting Area"
"RE:HALU Project","Indie Game Area"
"Reality Maker Lab","Indie Game Area"
"REALVE","Business Solution Area"
"REBORNSMITH","General Exhibition Area"
"RED ART GAMES","Business Meeting Area"
"RED BRICK HOUSE","Indie Game Area"
"Red Bull Japan","Organizer's projects"
"Red Dunes Games","General Exhibition Area"
"Red Hog Studio","Business Solution Area"
"Red Thread","General Exhibition Area"
"Redcatpig","General Exhibition Area"
"Reitaku University Chen Lab","Game Academy Area"
"Remedy Entertainment","Business Meeting Area"
"Renaissance high school group","Game Academy Area"
"Renaissance PR","Business Meeting Area"
"Rickshaw Studios","Indie Game Area"
"RICOH PFU COMPUTING","Business Solution Area"
"Ricpau Studios","Indie Game Area"
"RIFTSTORM","SELECTED INDIE 80"
"Riparia","Business Solution Area"
"Rising Pixel","Business Meeting Area"
"Rising Tide","General Exhibition Area"
"RISSHISHA","Game Academy Area"
"RIVRS","Business Meeting Area"
"RIYO Games","Business Meeting Area"
"Rizero Studios","Indie Game Area"
"ROCKET STUDIO","General Exhibition Area"
"Rockhead Studios","Indie Game Area"
"Rockinforged","Indie Game Area"
"ROCOCO","Indie Game Area"
"ROG(ASUS JAPAN)","General Exhibition Area"
"Rogue Snail","Indie Game Area"
"Rojiura Developers Cloud","Indie Game Area"
"rokaplay","Online Exhibition"
"rokuyonichinana","Indie Game Area"
"Romania Country Booth","Business Solution Area"
"Room 127","SELECTED INDIE 80"
"room6","Indie Game Area"
"room6","Family Game Park"
"ROOMTONE","Business Meeting Area"
"ROOMTONE","General Exhibition Area"
"Root on","Indie Game Area"
"ROOX","AR/VR Area"
"Ropstam Solutions","General Exhibition Area"
"RoundTable Studio","Indie Game Area"
"RSK team","Business Solution Area"
"RuneHeads","General Exhibition Area"
"RuStore","General Exhibition Area"
"Sablo Studio","General Exhibition Area"
"SAFARI GAMES","Business Meeting Area"
"Safe Flight Games","Indie Game Area"
"Saitama IT & WEB College","Game Academy Area"
"Sammy Snake","Indie Game Area"
"Samsung R&D Institute Japan","Business Solution Area"
"Samsung SSD","Business Meeting Area"
"Samurai Cats: Meow Order","General Exhibition Area"
"SanDisk","General Exhibition Area"
"Sanobusiness","Indie Game Area"
"Sanrio","General Exhibition Area"
"Sanrio","Family Game Park"
"SANWA DENSHI","Gaming Hardware Area"
"Sapientia Technology(Shenzhen)","Gaming Hardware Area"
"Sapporo Game Camp","General Exhibition Area"
"SapWorks","General Exhibition Area"
"SB C&S","Business Meeting Area"
"SCAD (Savannah College of Art and Design)","Game Academy Area"
"Scenario Technology Mikagami","Business Solution Area"
"SclObo","Indie Game Area"
"Second Win Games","Indie Game Area"
"Secretlab","Gaming Lifestyle Area"
"SEGA","Family Game Park"
"SEGA/ATLUS","General Exhibition Area"
"SEGA/ATLUS","Merchandise Sales Area"
"Seki Furniture","Indie Game Area"
"Selecta Play","Business Meeting Area"
"Sensor Tower","Business Solution Area"
"Sentry","Business Solution Area"
"Separuh Interactive","Indie Game Area"
"Serenity Forge","General Exhibition Area"
"SERIALGAMES","Indie Game Area"
"Sessionwire","Business Meeting Area"
"Shachihata","Business Solution Area"
"Shanghai Flydigi Electronics Tech","Gaming Hardware Area"
"Sheer Tianyi Technology","General Exhibition Area"
"Shenzhen KTC Technology","General Exhibition Area"
"SHENZHEN TOMTOC TECHNOLOGY","Gaming Hardware Area"
"Shiden Issen","Indie Game Area"
"SHINAGAWA GAKUGEI HIGH SCHOOL","Game Academy Area"
"Shinwork Technology","Business Solution Area"
"Shironeko Project INFINITY","Business Meeting Area"
"Shivaansh ArtVision","Indie Game Area"
"Shizuoka City Creative Base","Business Solution Area"
"Shobi University","Game Academy Area"
"Shochiku","Business Meeting Area"
"Shochiku","General Exhibition Area"
"Shohoku College","Game Academy Area"
"Shonan Institute of Technology","Game Academy Area"
"SHUEISHA GAMES","General Exhibition Area"
"Sichuan Digital Publishing & Media","General Exhibition Area"
"Sichuan Provincial Game Innovation and Development Center;Sichuan Digital World Culture and Technology","General Exhibition Area"
"Side International Japan","Business Meeting Area"
"Side International Japan","Business Solution Area"
"Silent Bark Games","General Exhibition Area"
"SILOEGI Operation","General Exhibition Area"
"SilverStarJapan","General Exhibition Area"
"Singular Sunshine Studios","General Exhibition Area"
"Skinny Bandit","General Exhibition Area"
"SKOOTA GAMES","Indie Game Area"
"Skybound Games","Business Meeting Area"
"Skyfy Studio","Indie Game Area"
"slapTrax","SELECTED INDIE 80"
"Smash 'N Grab","SELECTED INDIE 80"
"Smilegate","General Exhibition Area"
"Smilegate STOVE","Indie Game Area"
"Smiley Dog Studio","SELECTED INDIE 80"
"SMP Esports","General Exhibition Area"
"SneakyBox","Business Meeting Area"
"SNK","Business Meeting Area"
"Sofmap","General Exhibition Area"
"Software Control","Indie Game Area"
"Sola","Indie Game Area"
"SoloGame","Indie Game Area"
"Some Goodbyes We Made","SELECTED INDIE 80"
"Sony Interactive Entertainment","General Exhibition Area"
"Sony Music Labels","Family Game Park"
"Soulart","AR/VR Area"
"Space Drilling Station","Indie Game Area"
"Spiderwebs","Merchandise Sales Area"
"SporkTank","SELECTED INDIE 80"
"SpringGuild","Indie Game Area"
"SpriteStudio:CRIware","Business Solution Area"
"SPYGEA","eSports Area"
"SQUARE ENIX","General Exhibition Area"
"SQUARE ENIX","Merchandise Sales Area"
"SQUARE ENIX","Family Game Park"
"SQUARE ENIX IMAGE STUDIO","Business Solution Area"
"SSS","Merchandise Sales Area"
"SSS Entertainment","Business Solution Area"
"STARFORGED","Merchandise Sales Area"
"Starlike","Business Meeting Area"
"Starlike","General Exhibition Area"
"Starpunk Studio","Indie Game Area"
"Steampunk Digital","Business Meeting Area"
"Sterling","eSports Area"
"StirSystem","Indie Game Area"
"Straight Banana","SELECTED INDIE 80"
"StrangeBrain","Business Solution Area"
"Stratos: The Gaming Sphere","General Exhibition Area"
"Streamline Studios","Business Meeting Area"
"Street Lamp Games","Indie Game Area"
"Studio Bravika","Indie Game Area"
"Studio EMBERS","General Exhibition Area"
"Studio X Labs","Business Meeting Area"
"STUDIO YEBB","Business Meeting Area"
"STUDIO YEBB","Smartphone Game Area"
"Studio Yeoun","Indie Game Area"
"Studio ZeF","SELECTED INDIE 80"
"Studio51","AI Technology Pavilion"
"Studios Demanzon","Business Meeting Area"
"StudioWink","SELECTED INDIE 80"
"Stupidi Pixel","General Exhibition Area"
"Subway: 0% Escape","Indie Game Area"
"SUCCESS","General Exhibition Area"
"Sue The Real","Indie Game Area"
"SUKEBAN GAMES","Indie Game Area"
"Sun Creature","Business Meeting Area"
"Sunbird","Business Solution Area"
"Sunblind Games","Indie Game Area"
"Sunblind Games","Business Meeting Area"
"SUNCYAN","Business Meeting Area"
"SUNCYAN","General Exhibition Area"
"SunFlare","Business Solution Area"
"SunFlare","Business Meeting Area"
"SURUME GAME KOUBOU","SELECTED INDIE 80"
"SUZUKI MOTOR","Organizer's projects"
"Swaps4","Business Meeting Area"
"Swaps4","Indie Game Area"
"Sweden Game Arena","Indie Game Area"
"Tails of Fate","Indie Game Area"
"Tailtone Games","SELECTED INDIE 80"
"Taipei Game Show","General Exhibition Area"
"TAITRA","Business Solution Area"
"Taiwan Computer Graphics Manufacturing","Indie Game Area"
"Taiwan Indie Showcase (powered by ADI)","Indie Game Area"
"Takahiro Miyazawa","SELECTED INDIE 80"
"TALENT GEAR","Business Solution Area"
"TALONGAMES","Gaming Hardware Area"
"TAMA FIGHTING COMMUNITY","Gaming Hardware Area"
"TASKIV","Indie Game Area"
"Tassei Denki","General Exhibition Area"
"tatsumaki games","General Exhibition Area"
"TBC gakuin International Business Information College","Game Academy Area"
"TBS TV","Family Game Park"
"TCA GAME STUDIO","Indie Game Area"
"TCHACK","Business Meeting Area"
"Team Gehanashi","SELECTED INDIE 80"
"TEAM HORAY","Business Meeting Area"
"TEAM HORAY","General Exhibition Area"
"Team Tapas","Business Meeting Area"
"Team Tapas","General Exhibition Area"
"Team-Reverberate-","SELECTED INDIE 80"
"Team17","General Exhibition Area"
"TEAPOT STUDIO","General Exhibition Area"
"TECH.C. GAME PROJECT","Indie Game Area"
"TechDestination Pakistan Game Pavilion","General Exhibition Area"
"TECOPARK","General Exhibition Area"
"Tenben","Business Solution Area"
"Tencent Japan","Business Solution Area"
"TENDA Games","Indie Game Area"
"TENGO PROJECT","Indie Game Area"
"TenjoyJapan","Business Solution Area"
"tenshabi","Indie Game Area"
"TERLETSKI GAMES","Indie Game Area"
"Terra Localizations","Business Meeting Area"
"Terrabyte Games","General Exhibition Area"
"Teyon Japan","General Exhibition Area"
"Teyon Japan","Business Meeting Area"
"TheoriaCode","Indie Game Area"
"ThinkingData","AI Technology Pavilion"
"Tilt View","General Exhibition Area"
"TMS ENTERTAINMENT","Business Meeting Area"
"TOEI GAMES","Indie Game Area"
"TOHO GAKUEN College of Film,Anime,and CG","Game Academy Area"
"Tohoku Computer College","Game Academy Area"
"Tohokushinsha (TFC)","Business Meeting Area"
"TOIN","Business Solution Area"
"Tokenz","Business Solution Area"
"Tokyo City University","Game Academy Area"
"TOKYO COOL JAPAN ACADEMY","Game Academy Area"
"Tokyo Information Design Professional University","Indie Game Area"
"Tokyo Jitsugyo High School","Game Academy Area"
"TOKYO MX NodaCry's Ambition","General Exhibition Area"
"Tokyo Onkyo","Gaming Hardware Area"
"Tokyo Polytechnic University","SELECTED INDIE 80"
"Tokyo University of Information Sciences","Game Academy Area"
"TOKYO UNIVERSITY OF TECHNOLOGY","Indie Game Area"
"TOKYU","Indie Game Area"
"TOM CREATE","Indie Game Area"
"Too","Business Solution Area"
"TOONLEAGUE","SELECTED INDIE 80"
"Top Game Creators Academy(TGCA)","Organizer's projects"
"Top Hat Studios","General Exhibition Area"
"Topre","General Exhibition Area"
"TORCH TORCH","Merchandise Sales Area"
"Torisan","Business Meeting Area"
"TOSE","Business Meeting Area"
"Total Mayhem Games","Indie Game Area"
"Toyama College of Business and Information Technology","Game Academy Area"
"Toydium","General Exhibition Area"
"Toydium","Indie Game Area"
"Toyo Institute of Art and Design","Game Academy Area"
"TOYPLA","Merchandise Sales Area"
"TRALA LAB","Online Exhibition"
"TRAMWORKS","Indie Game Area"
"Transcenders Media","Indie Game Area"
"TREENOD","General Exhibition Area"
"TRIDENT COLLEGE OF INFORMATION TECHNOLOGY","Game Academy Area"
"Truckful","SELECTED INDIE 80"
"Tsuranukimaru","SELECTED INDIE 80"
"TTC","Gaming Hardware Area"
"Tubular Labs","Business Meeting Area"
"TVgame magazine","Family Game Park"
"TwelveTech labs","Indie Game Area"
"Twenty Ninety Creative","SELECTED INDIE 80"
"Twohands Interactive","Business Meeting Area"
"Twohands Interactive","General Exhibition Area"
"Ubitus","AI Technology Pavilion"
"Udexreal Technology","AR/VR Area"
"Ukiyo Studios","General Exhibition Area"
"Ultinet","Indie Game Area"
"Ultra Factory","Business Meeting Area"
"ULTRA-X ASIA PACIFIC","Business Solution Area"
"ULTRANOVA Entertainment","General Exhibition Area"
"Uncanny","Business Solution Area"
"UnicOn","Business Meeting Area"
"UnicOn","Smartphone Game Area"
"United Kingdom Games","Business Meeting Area"
"UnivaPay","Business Solution Area"
"Unmasked Truths: Shattered Dreams","Indie Game Area"
"Untitled Advertising Lab","Business Meeting Area"
"Untold Games","General Exhibition Area"
"UX4INDIE","Indie Game Area"
"V","Business Solution Area"
"Vaka","Indie Game Area"
"Valencia Game City (VGC)","Business Meeting Area"
"Valencia Innovation Capital","Business Meeting Area"
"Valentin Wirth","SELECTED INDIE 80"
"VAMOS","eSports Area"
"Vampire Squid","General Exhibition Area"
"Vantan Game Academy","Game Academy Area"
"Varisoft","General Exhibition Area"
"vaultroom","Merchandise Sales Area"
"Ved: Recure","Indie Game Area"
"Venn Studios","SELECTED INDIE 80"
"Venn Studios","Indie Game Area"
"Vertic Studios","Business Meeting Area"
"View Passion","General Exhibition Area"
"Vifth Floor","Indie Game Area"
"Viktorart","Indie Game Area"
"Virtuos","Business Meeting Area"
"VISUAL DART","General Exhibition Area"
"Vivement Lundi !","Business Meeting Area"
"viviON","Business Meeting Area"
"viviON","General Exhibition Area"
"Vmagery Studio","General Exhibition Area"
"Voice Actor E-Sports Club","eSports Area"
"Voxel School&WACHAJACK","Business Meeting Area"
"VRChat","General Exhibition Area"
"Vrgineers","General Exhibition Area"
"VTC MOBILE SERVICES","General Exhibition Area"
"Vuzix Japan","Business Solution Area"
"W4S","SELECTED INDIE 80"
"Waka Studio","General Exhibition Area"
"Wala Interactive","SELECTED INDIE 80"
"Wales Interactive","Indie Game Area"
"Wales Pavilion","Indie Game Area"
"Walker Industries","Indie Game Area"
"WALLHACK","eSports Area"
"Warsong Technology","Gaming Hardware Area"
"Waseda-Bunri College of Arts & Sciences","Game Academy Area"
"Wataru Ishizaki","SELECTED INDIE 80"
"Watney","Business Meeting Area"
"Watney","Smartphone Game Area"
"WATT Studio","SELECTED INDIE 80"
"WATT Studio","General Exhibition Area"
"WAWE","General Exhibition Area"
"Waycoder","Business Meeting Area"
"Waycoder","Indie Game Area"
"We Are So Cooked","SELECTED INDIE 80"
"We Make Realms","Indie Game Area"
"WeLab","Business Meeting Area"
"Wellness Mechanism","SELECTED INDIE 80"
"Wheel Of Games","SELECTED INDIE 80"
"Whitethorn Games","Indie Game Area"
"Wildcard","Indie Game Area"
"Winking Studios","General Exhibition Area"
"WitOne","Business Solution Area"
"Wizardry Variants Daphne","General Exhibition Area"
"Wonderland Kazakiri","Indie Game Area"
"Wooting","Gaming Hardware Area"
"Wordbee","Online Exhibition"
"World Map","Indie Game Area"
"Worldviper Studio","Indie Game Area"
"Wovn Technologies","Business Solution Area"
"Wylderzone Studio","Business Meeting Area"
"XAC","Business Meeting Area"
"XD","Indie Game Area"
"xeen","Business Meeting Area"
"XEO LAB","Gaming Hardware Area"
"XEST","eSports Area"
"Xilam Animation","Business Meeting Area"
"XING","Gaming Lifestyle Area"
"XPPen","Gaming Hardware Area"
"XR SUMMITS","AI Technology Pavilion"
"Xsolla Japan","Business Solution Area"
"XVX Keyboard","Gaming Hardware Area"
"Yabukaradoo","Indie Game Area"
"Yacooba","General Exhibition Area"
"Yaldi Games","Business Meeting Area"
"YAMI","Indie Game Area"
"Yanako RPGs","Indie Game Area"
"YANEURA GAMES","Indie Game Area"
"YAO!GAMES","Indie Game Area"
"YARETA","SELECTED INDIE 80"
"Yeehe","Business Solution Area"
"Yellow","Merchandise Sales Area"
"Yggdrazil Group","General Exhibition Area"
"YOKOSUKA City","Business Solution Area"
"Yokozuna Games","Online Exhibition"
"Yong Games","General Exhibition Area"
"YOSHIMOTO KOGYO","General Exhibition Area"
"YUKE'S","Business Meeting Area"
"YYSTV Media","General Exhibition Area"
"ZAKUZAKU","Indie Game Area"
"Zatun","Indie Game Area"
"ZEAL","AI Technology Pavilion"
"Zephyr Animation","Business Meeting Area"
"ZeroBankX Japan","eSports Area"
"ZETA DIVISION","General Exhibition Area"
"ZETA DIVISION","Merchandise Sales Area"
"ZUIKI","General Exhibition Area"
