"tablescraper-selected-row","tablescraper-selected-row 2","shenzhen","tablescraper-selected-row 3","shopUrl href","shopUrl src"
"Online Instrument","8G35","China Mainland","Laboratory Instruments & Equipment","https://www.pharmasources.com/company-home/online-instrument-userId-156787.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Aurisco Pharmaceutical Co., Ltd.","9E39","China Mainland","Pharma Ingredients","https://www.pharmasources.com/company-home/aurisco-pharmaceutical-co-ltd-userId-139774.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"BHS-Sonthofen (Tianjin) Machinery Co., Ltd. Shanghai Branch","9P03","Germany","Pharma Machinery & Packaging Machinery","https://www.pharmasources.com/company-home/bhs-sonthofen-tianjin-machinery-co-ltd-s-userId-157592.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Bengbu Huadong Bio-tech Co., Ltd","7F30","China Mainland","Natural Supply","https://www.pharmasources.com/company-home/bengbu-huadong-bio-tech-co-ltd-userId-143051.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Baoji Xuhuang Bio-tech Co.,Ltd","7F19","China Mainland","Natural Supply","https://www.pharmasources.com/company-home/baoji-xuhuang-bio-tech-coltd-userId-157447.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"DRAGON STAR HOLDINGS (HONG KONG) LTD.","9B16","Hong Kong, S.A.R., China","Packaging & Drug Delivery","https://www.pharmasources.com/company-home/dragon-star-holdings-hong-kong-ltd-userId-157405.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Baoding Chuangrui Precision Pump Co., Ltd.","8G88","China Mainland","Pharma Machinery & Packaging Machinery","https://www.pharmasources.com/company-home/baoding-chuangrui-precision-pump-co-ltd-userId-142203.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"BEIJING AOBOXING BIO-TECH CO.,LTD.","9K37","China Mainland","Biotech","https://www.pharmasources.com/company-home/beijing-aoboxing-bio-tech-coltd-userId-145847.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Beijing Perfectlight Technology Co., Ltd.","8J02","China Mainland","Pharma Machinery & Packaging Machinery","https://www.pharmasources.com/company-home/beijing-perfectlight-technology-co-ltd-userId-145502.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"BEIJING CHEMFAST INTERNATIONAL TRANSPORTATION CO.,LTD","9K30","China Mainland","Biotech","https://www.pharmasources.com/company-home/beijing-chemfast-international-transport-userId-141953.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
