company_name,description,exhibit loc,url,full_url
Cangzhou Century Runchang Tool Manufacturing Co Ltd,,"B2, C31",/beijing/en/exhibitor-search.detail.html/cangzhou-century-runchang-tool-manufacturing-co-ltd.html#exhibitorheadline,https://auto-maintenance.cn.messefrankfurt.com/beijing/en/exhibitor-search.detail.html/cangzhou-century-runchang-tool-manufacturing-co-ltd.html#exhibitorheadline
"Cangzhou Shengshiweiye Automobile Accessory Co., Ltd.",,"B1, G36",/beijing/en/exhibitor-search.detail.html/cangzhou-shengshiweiye-automobile-accessory-co-ltd.html#exhibitorheadline,https://auto-maintenance.cn.messefrankfurt.com/beijing/en/exhibitor-search.detail.html/cangzhou-shengshiweiye-automobile-accessory-co-ltd.html#exhibitorheadline
Cangzhou Weiying Machinery Co Ltd,,"B2, B54",/beijing/en/exhibitor-search.detail.html/cangzhou-weiying-machinery-co-ltd.html#exhibitorheadline,https://auto-maintenance.cn.messefrankfurt.com/beijing/en/exhibitor-search.detail.html/cangzhou-weiying-machinery-co-ltd.html#exhibitorheadline
Changchun Lantime Sealing Technology Co-Ltd,,"B2, C124",/beijing/en/exhibitor-search.detail.html/changchun-lantime-sealing-technology-co-ltd.html#exhibitorheadline,https://auto-maintenance.cn.messefrankfurt.com/beijing/en/exhibitor-search.detail.html/changchun-lantime-sealing-technology-co-ltd.html#exhibitorheadline
CHANGSHU TONGRUN AUTO ACCESSORY CO LTD,,"B2, D16",/beijing/en/exhibitor-search.detail.html/changshu-tongrun-auto-accessory-co-ltd.html#exhibitorheadline,https://auto-maintenance.cn.messefrankfurt.com/beijing/en/exhibitor-search.detail.html/changshu-tongrun-auto-accessory-co-ltd.html#exhibitorheadline
Changzhou Aotu Auto Parts Co Ltd,,"B2, F95",/beijing/en/exhibitor-search.detail.html/changzhou-aotu-auto-parts-co-ltd.html#exhibitorheadline,https://auto-maintenance.cn.messefrankfurt.com/beijing/en/exhibitor-search.detail.html/changzhou-aotu-auto-parts-co-ltd.html#exhibitorheadline
Changzhou Baiyuan Vehicle Components Co Ltd,,"B2, H59",/beijing/en/exhibitor-search.detail.html/changzhou-baiyuan-vehicle-components-co-ltd.html#exhibitorheadline,https://auto-maintenance.cn.messefrankfurt.com/beijing/en/exhibitor-search.detail.html/changzhou-baiyuan-vehicle-components-co-ltd.html#exhibitorheadline
Changzhou Bona Vehicle Parts Co Ltd,,"B2, E06",/beijing/en/exhibitor-search.detail.html/changzhou-bona-vehicle-parts-co-ltd.html#exhibitorheadline,https://auto-maintenance.cn.messefrankfurt.com/beijing/en/exhibitor-search.detail.html/changzhou-bona-vehicle-parts-co-ltd.html#exhibitorheadline
Changzhou Byng Yao Auto Parts Co Ltd,,"B2, A36",/beijing/en/exhibitor-search.detail.html/changzhou-byng-yao-auto-parts-co-ltd.html#exhibitorheadline,https://auto-maintenance.cn.messefrankfurt.com/beijing/en/exhibitor-search.detail.html/changzhou-byng-yao-auto-parts-co-ltd.html#exhibitorheadline
Changzhou Colonwo Vehicle Parts Co Ltd,,"B2, D116",/beijing/en/exhibitor-search.detail.html/changzhou-colonwo-vehicle-parts-co-ltd.html#exhibitorheadline,https://auto-maintenance.cn.messefrankfurt.com/beijing/en/exhibitor-search.detail.html/changzhou-colonwo-vehicle-parts-co-ltd.html#exhibitorheadline
CHANGZHOU DIVINE TIGER AUTO PARTS FACTORY,,"B3, C104",/beijing/en/exhibitor-search.detail.html/changzhou-divine-tiger-auto-parts-factory.html#exhibitorheadline,https://auto-maintenance.cn.messefrankfurt.com/beijing/en/exhibitor-search.detail.html/changzhou-divine-tiger-auto-parts-factory.html#exhibitorheadline
Changzhou Fuheng Auto Parts Co Ltd,,"B2, D01",/beijing/en/exhibitor-search.detail.html/changzhou-fuheng-auto-parts-co-ltd.html#exhibitorheadline,https://auto-maintenance.cn.messefrankfurt.com/beijing/en/exhibitor-search.detail.html/changzhou-fuheng-auto-parts-co-ltd.html#exhibitorheadline
"Changzhou Guangming Light Bulb Co., Ltd.",,"B3, A112",/beijing/en/exhibitor-search.detail.html/changzhou-guangming-light-bulb-co-ltd.html#exhibitorheadline,https://auto-maintenance.cn.messefrankfurt.com/beijing/en/exhibitor-search.detail.html/changzhou-guangming-light-bulb-co-ltd.html#exhibitorheadline
