company name,location,Company Background,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Product Strategy,Brand Name,,HKTDC Events,supplier_url,exhibitor_url,Certificates,Other Certificates,Booth: 1C-B34   |   Electronic & Remote Control Toys   |   ,Booth: 5E-H02   |   Group Pavilion   |   ,Booth: 5E-F16   |   Group Pavilion   |   ,Booth: 1CON-023   |   Educational Toys & Games   |   Green Toy Exhibitors,Booth: 1B-D41   |   Educational Toys & Games   |   Green Toy Exhibitors,Booth: 5E-E07   |   Group Pavilion   |   ,Booth: 1A-D42   |   Educational Toys & Games   |   ,Booth: 3B-B08   |   Multiple Toys Products   |   Green Toy Exhibitors,"Booth: SA-09, 5E-D19   |   Group Pavilion, Group Pavilion   |   ",Booth: 5G-C21   |   Group Pavilion   |   Cantonese Business Go Global,Booth: 5E-E23   |   Group Pavilion   |   ,Booth: 5E-C06   |   Group Pavilion   |   ,Booth: 3B-C38   |   Multiple Toys Products   |   Green Toy Exhibitors,Verified Certificates,Booth: 1E-A02   |   Brand Name Gallery   |   Green Toy Exhibitors,Booth: 1D-D20   |   Brand Name Gallery   |   Cantonese Business Go Global,Booth: 1D-B10   |   Brand Name Gallery   |   Cantonese Business Go Global,Booth: 1E-A20   |   Brand Name Gallery   |   Cantonese Business Go Global,Booth: 1E-E36   |   Brand Name Gallery   |   Green Toy Exhibitors,Booth: 3D-C20   |   Soft Toys & Dolls   |   Green Toy Exhibitors,Booth: 5C-D02   |   Group Pavilion   |   Green Toy Exhibitors,Booth: 5C-C02   |   Group Pavilion   |   Cantonese Business Go Global,Booth: 1C-D35   |   Green Toys   |   Green Toy Exhibitors,Booth: 5E-G24   |   Group Pavilion   |   ,"Booth: 5G-E16, SA-12   |   Group Pavilion, Group Pavilion   |   Green Toy Exhibitors, Green Toy Exhibitors",Booth: 1D-B20   |   Brand Name Gallery   |   ,Booth: 5G-B22   |   Group Pavilion   |   Green Toy Exhibitors,Booth: 1E-E23   |   Brand Name Gallery   |   ,Booth: 1E-E08   |   Brand Name Gallery   |   Green Toy Exhibitors,Booth: 1C-D14   |   Green Toys   |   Green Toy Exhibitors,Booth: 5E-E37   |   Group Pavilion   |   Green Toy Exhibitors,Booth: 5E-E17   |   Group Pavilion   |   Cantonese Business Go Global,Booth: 5CON-022   |   Group Pavilion   |   ,Booth: 1B-C24   |   Educational Toys & Games   |   ,Booth: 3C-E24   |   World of Outdoor & Sporting Goods   |   Green Toy Exhibitors,Booth: 3D-C06   |   Soft Toys & Dolls   |   Green Toy Exhibitors,Booth: 1C-C12   |   Electronic & Remote Control Toys   |   Green Toy Exhibitors,Booth: 5E-H08   |   Group Pavilion   |   Green Toy Exhibitors,Booth: 1D-D26   |   Brand Name Gallery   |   Green Toy Exhibitors,Booth: 1E-D40   |   Brand Name Gallery   |   Green Toy Exhibitors,Booth: 1D-E36   |   Brand Name Gallery   |   Cantonese Business Go Global
Shantou Chenghai Chendi Plastic Toys Factory Limited,Hong Kong,we are manufacturing the plastic dinosaur and others plastic animals and all kind of interactive toys . All kind of OEM welcome.,Manufacturer,"STEAM Toy,Interactive Tech Toy","We are making the plastic toys especially. the dinosour, sea animal. explore animal the world.","ODM, Others, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Toys & Games Fair 2026 HKTDC Hong Kong Gifts & Premium Fair 2024 HKTDC Hong Kong Toys & Games Fair 2024 HKTDC Hong Kong Gifts & Premium Fair 2023,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shantou-Chenghai-Chendi-Plastic-Toys-Factory-Limited/1S00O716H,https://www.hktdc.com/event/hktoyfair/en/exhibitor/1S005RBOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Heng Hua Chang Industry Co., Limited",Hong Kong    |    Factory in Chinese Mainland,,"Exporter, Manufacturer","STEAM Toy,Battery Operated Toy",電動玩具 搖控玩具 益智玩具 啟迪玩具,OEM,,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Toys & Games Fair 2026 HKTDC Hong Kong Toys & Games Fair 2024 HKTDC Hong Kong Toys & Games Fair 2023 HKTDC International Sourcing Show 2021,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Heng-Hua-Chang-Industry-Co-Limited/1X0F0CV5,https://www.hktdc.com/event/hktoyfair/en/exhibitor/1S005TKOG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Itm International Limited,Hong Kong    |    Factory in Chinese Mainland,"OUR COMPANY HAS OVER 60 YEARS EXPERIENCE FOR DOLLS , PRAMS & ACCESSORIES BUSINESS",Manufacturer,"Battery Operated Toy,Dolls,Puppet,Plush Toy,Stuffed Toy,Soft Toy,Plastic Toys,Baby Toys,Collectible Doll & Figurine,Recycled Material Toy,Green Toy,Trade Service & Publication,Toy Quality Testing Service","SOFT DOLLS, PRAMS & ACCESSORIES, PLUSH TOYS, ELECTRONIC DOLLS","OEM, OBM, ODM, Others","DIMIAN,BAMBOLINA",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Toys & Games Fair 2026 HKTDC Hong Kong Toys & Games Fair 2025 HKTDC Hong Kong Toys & Games Fair 2024 HKTDC Hong Kong Toys & Games Fair 2023 HKTDC Hong Kong Toys & Games Fair 2017 HKTDC Hong Kong Toys & Games Fair 2016 HKTDC Hong Kong Toys & Games Fair 2015 HKTDC Hong Kong Toys & Games Fair 2012,https://sourcing.hktdc.com/en/Supplier-Store/Profile/ITM-Int-l-Ltd/1X06YBIL,https://www.hktdc.com/event/hktoyfair/en/exhibitor/1S005QNPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hunkii E-Commerce Co., Limited",Hong Kong,,"Distributor, Manufacturer, Wholesaler","Mathematic Toy / Science Kit,STEAM Toy,Interactive Tech Toy,Battery Operated Toy,Talking Toy,Dolls,Plush Toy,Stuffed Toy,Pretend Play,Baby Toys","Hunkii is located in Shantou China, which was founded in 1997 has developed into a large manufacture and trade enterprises who contains with design, R&D, production and sales. Will bring Robot Toys, Vehicle Toys. Educational Toys to overseas.","ODM, OEM, OBM","NUEPLAY,GILOBABY",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Toys & Games Fair 2026 HKTDC Hong Kong Toys & Games Fair 2025 HKTDC Hong Kong Toys & Games Fair 2024 HKTDC Hong Kong Toys & Games Fair 2023,https://sourcing.hktdc.com/en/Supplier-Store/Profile/HUNKII-E-COMMERCE-CO-LIMITED/1S00O36IC,https://www.hktdc.com/event/hktoyfair/en/exhibitor/1S005QYN5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hongma Toys Company,Hong Kong    |    Factory in Chinese Mainland,"We begin our Toys Export business since 2003, our products is plastic toys, mini car toys, cutting toy sets and kids toys.","Buying Office, Distributor, Shopping Mall, Mail Order Co., Importer, Wholesaler, Buying Cooperative, Department Store, Chain Store","STEAM Toy,Toy Walkie-Talkie,Battery Operated Toy,Baby Toys","Baby Toys, Kids Educational Toys, Electrical Toys","OEM, OBM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Toys & Games Fair 2026 HKTDC Hong Kong Toys & Games Fair 2025 HKTDC Hong Kong Toys & Games Fair 2024 HKTDC Hong Kong Toys & Games Fair 2020 HKTDC Hong Kong Toys & Games Fair 2019 HKTDC Hong Kong Toys & Games Fair 2018 HKTDC Hong Kong Toys & Games Fair 2017 HKTDC Hong Kong Toys & Games Fair 2016 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hongma-Toys-Co/1X07N7JW,https://www.hktdc.com/event/hktoyfair/en/exhibitor/1S005SEQG,,EN71 Issued By EMTEK Type OTHERS Valid Date 07 Feb 2024 - (N/A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hongkong Trade & Fair Easy Co.ltd,Hong Kong    |    Factory in Chinese Mainland,remote control toys,"Manufacturer, Exporter","Sound Control Toy,Battery Operated Toy",remote control toys,"Others, OEM, OBM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Toys & Games Fair 2026 HKTDC Hong Kong Toys & Games Fair 2025 HKTDC Hong Kong Toys & Games Fair 2024,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hongkong-Trade-Fair-Easy-Co-Limited/1S00OHKQA,https://www.hktdc.com/event/hktoyfair/en/exhibitor/1S005S495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hongkong Goodsun Trading Limited,Hong Kong,,"Export Agent, Import Agent, Manufacturer, Importer, Exporter","Sound Control Toy,Blinking Toy,Battery Operated Toy","Toys,B/O Toys,RC Toys,Education Toys,B/O Robot,RC Robot,Board Game Toys,Electric Toys,RC Car.","OEM, Others, ODM, OBM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Toys & Games Fair 2026 HKTDC Hong Kong Toys & Games Fair 2025,https://sourcing.hktdc.com/en/Supplier-Store/Profile/HONGKONG-GOODSUN-TRADING-LIMITED/1S00OPZVG,https://www.hktdc.com/event/hktoyfair/en/exhibitor/1S005RWRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hong Kong Aozhen Technology Co., Limited",Hong Kong,"HK Aozhen is an innovative technology company established ni 2011, dedicated to the development of 3D design and 3D printing applications specifically for children. Our goal is to transform 3D printing into an exciting and captivating experience for children, unlocking the potential of their creativity.","Exporter, Manufacturer","Toy Brick,Mathematic Toy / Science Kit,STEAM Toy,Interactive Tech Toy","Educational Toy,3D Printed Toy,Building blocks","ODM, OEM",AOSEED,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Toys & Games Fair 2026 HKTDC Hong Kong Toys & Games Fair 2025,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hong-Kong-Aozhen-Technology-Co-Ltd-/1S00OR1CZ,https://www.hktdc.com/event/hktoyfair/en/exhibitor/1S005RMBH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hiyue Technology Limited,Hong Kong    |    Factory in Cambodia,"Welcome to the realm of magnetic marvels at our toy factory, where innovation and creativity converge to bring you an array of captivating magnetic toys. At our core, we are dedicated to crafting an extensive range of magnetic delights, including drawing boards, tiles, blocks, cubes, and an assortment of intelligent toys.Our passion for magnetic play knows no bounds.","Distributor, Consulate and Trade Commission, Department Store","Toy Brick,Mathematic Toy / Science Kit,STEAM Toy","Magnetic toys, including drawing boards, tiles, building blocks, cubes, and a variety of educational toys","OBM, OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Toys & Games Fair 2026 HKTDC Hong Kong Gifts & Premium Fair 2024,https://sourcing.hktdc.com/en/Supplier-Store/Profile/HIYUE-TECHNOLOGY-LIMITED/1S00OBFBO,https://www.hktdc.com/event/hktoyfair/en/exhibitor/1S005SI7X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hengzhan Industrial (Hong Kong) Co., Limited",Hong Kong,,Manufacturer,"Kids Drawing Kit,White Boards",Magnetic Drawing Board Maker,OEM,,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Toys & Games Fair 2026 HKTDC Hong Kong Toys & Games Fair 2024,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hengzhan-Industrial-Hong-Kong-Co-Limited/1S00OHRSX,https://www.hktdc.com/event/hktoyfair/en/exhibitor/1S005RE2G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
