,Company Name,Location,Booth,url
36,"Ningbo Top Optoelectronic Technology Co., Ltd.",Chinese Mainland,['Booth: 1E-D02   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005KZKD
37,"Shaoxing Prolux Lighting Co., Ltd",Chinese Mainland,['Booth: 1E-D02   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005K0EU
38,"Xiamen Star Lighting Co., Ltd.",Chinese Mainland,['Booth: 1E-D02   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005K0DX
39,Xiamen Topstar Lighting Co Ltd,Chinese Mainland,['Booth: 1E-D02   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005K47B
40,"Zhongshan D3space Lighting Co., Ltd.",Chinese Mainland,['Booth: 1E-D02   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005JWQY
41,Zhongshan Majeax Lighting Co Ltd,Chinese Mainland,['Booth: 1E-D02   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005LCH9
42,"Zhejiang Weibao Smart Technology Co., Ltd",Chinese Mainland,['Booth: 1E-D02   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005K0SO
43,"Zhongshan Miya Lighting Co.,Ltd",Chinese Mainland,['Booth: 1E-D02   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005K1HK
44,"Kang Cai International Lighting Co., Limited",Hong Kong,['Booth: 1E-D02   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005IQBD
45,"Shaoxing Meka Electric IMP & EXP Co., Ltd.",Chinese Mainland,['Booth: 1E-D02   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005K0C0
46,TOPJET INTERNATIONAL LIMITED,Hong Kong,['Booth: 1E-D02   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005ICU6
47,"Foshan DC Electronic Technology Co., Ltd.",Chinese Mainland,['Booth: 1E-D02   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005LIG6
48,"Hongkong Gaoneng Lighting Technology Co., Limited",Hong Kong,['Booth: 1E-D02   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005ICJ3
49,"Ningbo Freelux Lighting Appliance Co., Ltd.",Chinese Mainland,['Booth: 1E-D02   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005KZ9A
50,"Shenzhen IShineLUX Technology Co., Ltd.",Chinese Mainland,['Booth: 1D-B24   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005KDNQ
51,TL BRILUX TECHNOLOGY,Chinese Mainland,['Booth: 1D-B24   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005K0B3
52,Auroriv Lighting Ltd.,Chinese Mainland,['Booth: 1D-B24   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005K0HL
53,"Ceramiclite (Hangzhou) Technology Co., Ltd.",Chinese Mainland,['Booth: 1D-B24   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005K0II
54,"Dongguan Ulite Smart Lighting Co., Ltd.",Chinese Mainland,['Booth: 1D-B24   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005K9I9
55,Dongguan VJC Lighting Limited,Chinese Mainland,['Booth: 1D-B24   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005L4Y2
56,"Glite Electronics Co., Ltd.",Chinese Mainland,['Booth: 1D-B24   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005K9J6
57,"Ningbo Lumix Lighting & Electrical Co., Ltd.",Chinese Mainland,['Booth: 1D-B24   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005K01X
58,"Shenzhen Betop Electronics Co., Ltd.",Chinese Mainland,['Booth: 1D-B24   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005K000
59,"Shenzhen Hiorange Lighting Co.,Ltd",Chinese Mainland,['Booth: 1D-B24   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005JQP7
60,"Xiamen Oneyac Technology Co., Ltd.",Chinese Mainland,['Booth: 1D-B24   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005K0L9
61,"Zhejiang Songri Electric Co., Ltd.",Chinese Mainland,['Booth: 1D-B24   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005K0M6
