Company Name,Location,Booth,url
"Deal Value (Thailand) Co., Ltd.",Thailand,['Booth: 5E-D17   |   Dairy & Egg Products   |   Brunei'],/event/foodexpopro/en/exhibitor/1S0065F8X?fairCode=foodexpopro&locale=en
Donghwa Food,"Korea, Republic Of",['Booth: 5E-D17   |   Dairy & Egg Products   |   Brunei'],/event/foodexpopro/en/exhibitor/1S0065HED?fairCode=foodexpopro&locale=en
"Dongjin Pharmaceutical Co.,ltd","Korea, Republic Of",['Booth: 5E-D17   |   Dairy & Egg Products   |   Brunei'],/event/foodexpopro/en/exhibitor/1S0065GMQ?fairCode=foodexpopro&locale=en
Dr.CHUNG's FOOD co. LDT,"Korea, Republic Of",['Booth: 5E-D17   |   Dairy & Egg Products   |   Brunei'],/event/foodexpopro/en/exhibitor/1S0065GPH?fairCode=foodexpopro&locale=en
"EVERS Co., Ltd.","Korea, Republic Of",['Booth: 5E-D17   |   Dairy & Egg Products   |   Brunei'],/event/foodexpopro/en/exhibitor/1S0065GZN?fairCode=foodexpopro&locale=en
Egg Rich House,"Korea, Republic Of",['Booth: 5E-D17   |   Dairy & Egg Products   |   Brunei'],/event/foodexpopro/en/exhibitor/1S0065GYQ?fairCode=foodexpopro&locale=en
"FD FARM Co., Ltd.","Korea, Republic Of",['Booth: 5E-D17   |   Dairy & Egg Products   |   Brunei'],/event/foodexpopro/en/exhibitor/1S0065GCK?fairCode=foodexpopro&locale=en
Farmjoa,"Korea, Republic Of",['Booth: 5E-D17   |   Dairy & Egg Products   |   Brunei'],/event/foodexpopro/en/exhibitor/1S0065H0J?fairCode=foodexpopro&locale=en
GG Butter Co,Malaysia,['Booth: 5E-D17   |   Dairy & Egg Products   |   Brunei'],/event/foodexpopro/en/exhibitor/1S0066RZC?fairCode=foodexpopro&locale=en
HISTRADE Inc.,"Korea, Republic Of",['Booth: 5E-D17   |   Dairy & Egg Products   |   Brunei'],/event/foodexpopro/en/exhibitor/1S0065GAQ?fairCode=foodexpopro&locale=en
"HaeCheongJeong Co., Ltd.","Korea, Republic Of",['Booth: 5E-D17   |   Dairy & Egg Products   |   Brunei'],/event/foodexpopro/en/exhibitor/1S0065J45?fairCode=foodexpopro&locale=en
Haedeulnyeok Agricultural Cooperative Corporation,"Korea, Republic Of",['Booth: 5E-D17   |   Dairy & Egg Products   |   Brunei'],/event/foodexpopro/en/exhibitor/1S0065GI2?fairCode=foodexpopro&locale=en
Hong Xin Food Sdn Bhd,Malaysia,['Booth: 5E-D17   |   Dairy & Egg Products   |   Brunei'],/event/foodexpopro/en/exhibitor/1S0066RWL?fairCode=foodexpopro&locale=en
"Honghe Longyuan Winery Co.,Ltd.",Chinese Mainland,['Booth: 5E-D17   |   Dairy & Egg Products   |   Brunei'],/event/foodexpopro/en/exhibitor/1S006630X?fairCode=foodexpopro&locale=en
"Hyeseong Corporation, an agricultural corporation","Korea, Republic Of",['Booth: 5E-D17   |   Dairy & Egg Products   |   Brunei'],/event/foodexpopro/en/exhibitor/1S0065GWW?fairCode=foodexpopro&locale=en
"JCOR Co., Ltd.","Korea, Republic Of",['Booth: 5E-D17   |   Dairy & Egg Products   |   Brunei'],/event/foodexpopro/en/exhibitor/1S0065GH5?fairCode=foodexpopro&locale=en
Kimanis Food Industries Sdn Bhd,Malaysia,['Booth: 5E-D17   |   Dairy & Egg Products   |   Brunei'],/event/foodexpopro/en/exhibitor/1S0066RVO?fairCode=foodexpopro&locale=en
"Korea sweet persimmon export, Inc.","Korea, Republic Of",['Booth: 5E-D17   |   Dairy & Egg Products   |   Brunei'],/event/foodexpopro/en/exhibitor/1S0065H61?fairCode=foodexpopro&locale=en
Korean Pears Cooperative Union,"Korea, Republic Of",['Booth: 5E-D17   |   Dairy & Egg Products   |   Brunei'],/event/foodexpopro/en/exhibitor/1S0065GXT?fairCode=foodexpopro&locale=en
LF Food Corp.,"Korea, Republic Of",['Booth: 5E-D17   |   Dairy & Egg Products   |   Brunei'],/event/foodexpopro/en/exhibitor/1S0065GFB?fairCode=foodexpopro&locale=en
Magna Wave Sdn Bhd,Malaysia,['Booth: 5E-D17   |   Dairy & Egg Products   |   Brunei'],/event/foodexpopro/en/exhibitor/1S0066U20?fairCode=foodexpopro&locale=en
Maumiga Company Limited,"Korea, Republic Of",['Booth: 5E-D17   |   Dairy & Egg Products   |   Brunei'],/event/foodexpopro/en/exhibitor/1S0065GDH?fairCode=foodexpopro&locale=en
