,Reference,Subject,Subject_link,Issue Date,Closing Date
0,WRR25226,Provision of Services for Operation and Promotion of Food Waste Recycling Spots in New Territories​​Reply Slip for Tender BriefingTender Briefing Presentation Materials dated 10 June 2026Responses to Enquiries on Tender Documents dated 16 June 2026,/epd/sites/default/files/epd/english/business_job/business_opp/files/WRR25226_eng.pdf,27-May-26,12:00 noon on 24 June 2026
1,OWI26001,Yard Waste Processing Centre Second Follow-on ContractRegistration Form for Tender Briefing and Site Visit,/epd/sites/default/files/epd/english/business_job/business_opp/files/OWI26001_eng.pdf,12-Jun-26,12:00 noon on 10 July 2026
