,Reference,Subject,Subject_link,Issue Date,Closing Date
0,HY/2025/15,"Extension Works to Lung Fu Road, Tuen Mun",2025/HY202515.html,5 June 2026,"12:00 noon,Friday,31 July 2026"
1,02/HY/2026,"Management, Operation, Installation and Maintenance of the Public Lighting System in Kowloon and New Territories East (2026-2030)",2026/02HY2026.html,15 May 2026,"12:00 noon,Friday,26 June 2026"
2,HY/2026/03,Ma Tau Kok Landscaped Deck and the adjoining Waterfront Promenade,2026/HY202603.html,24 April 2026,"12:00 noon,Friday,12 June 2026"
3,09/HY/2025,Preventive Maintenance Programme of Roadside Man-made Slopes/Retaining Walls in New Territories (Package B),2025/09HY2025.html,27 February 2026,"12:00 noon,Friday,20 March 2026"
4,HY/2025/13,Widening of Yuen Long Highway (Section between Lam Tei Quarry and Tong Yan San Tsuen Interchange),2025/HY202513.html,19 December 2025,"12:00 noon,Friday,13 February 2026Extension of Tender Period"
5,HY/2024/02,Lift and Pedestrian Walkway System between Lai King Hill Road and Lai Cho Road,2024/HY202402.html,19 December 2025,"12:00 noon,Friday,13 February 2026"
6,HY/2025/12,Upgrade of Footbridge Lightings with Light Emitting Diode in Hong Kong Island,2025/HY202512.html,5 December 2025,"12:00 noon,Friday,9 January 2026"
7,HY/2025/06,"Construction of Walkway Covers near Princess Margaret Hospital, Tung Wah
Eastern Hospital, Castle Peak Hospital and Siu Lam Hospital, Wah Sing
Street Escalator Link System and Lift and Pedestrian Walkway System
between Lau Sin Street and Tin Hau Temple Road",2025/HY202506.html,7 November 2025,"12:00 noon,Friday,19 December 2025"
