,Reference,Subject,Subject_link,Closing Date
0,5OR101,Consultancy Services for Water Seepage Investigation and Testing in respect of Eastern A & Island Districts (WSI 2026 Batch 2),/en/tenders-notices/consultancies/tfp-details/5OR101.html,26 June 2026[Friday](12:00 noon)
1,5OR102,Consultancy Services for Water Seepage Investigation and Testing in respect of Eastern B & Southern Districts (WSI 2026 Batch 2),/en/tenders-notices/consultancies/tfp-details/5OR102.html,26 June 2026[Friday](12:00 noon)
2,5OR103,Consultancy Services for Water Seepage Investigation and Testing in respect of Shatin District (WSI 2026 Batch 2),/en/tenders-notices/consultancies/tfp-details/5OR103.html,26 June 2026[Friday](12:00 noon)
3,5OR104,Consultancy Services for Water Seepage Investigation and Testing in respect Tsuen Wan District (WSI 2026 Batch 2),/en/tenders-notices/consultancies/tfp-details/5OR104.html,26 June 2026[Friday](12:00 noon)
4,5OR105,"Consultancy Services for Water Seepage Investigation and Testing in respect of Kwun Tong A, Yau Tsim & Mong Kok Districts (WSI 2026 Batch 2)",/en/tenders-notices/consultancies/tfp-details/5OR105.html,26 June 2026[Friday](12:00 noon)
5,5OR106,Consultancy Services for Water Seepage Investigation and Testing in respect of Kwun Tong B District (WSI 2026 Batch 2),/en/tenders-notices/consultancies/tfp-details/5OR106.html,26 June 2026[Friday](12:00 noon)
6,5VP110,"Consultancy for Condition Survey to Government Properties for which the Architectural Services Department (Property Services Branch) is Responsible in Eastern and Western, Southern & Lantau",/en/tenders-notices/consultancies/tfp-details/5VP110.html,26 June 2026[Friday](12:00 noon)
7,5VP111,"Consultancy for Condition Survey to Government Properties for which the Architectural Services Department (Property Services Branch) is Responsible in Yau Tsim Mong & Kwun Tong, Kowloon City & Sai Kung and Sham Shui Po, Tsuen Wan & Kwai Tsing",/en/tenders-notices/consultancies/tfp-details/5VP111.html,26 June 2026[Friday](12:00 noon)
8,5VP112,"Consultancy for Condition Survey to Government Properties for which the Architectural Services Department (Property Services Branch) is Responsible in North, Tuen Mun & Yuen Long, Central, Peak & Mid-Level and Wanchai",/en/tenders-notices/consultancies/tfp-details/5VP112.html,26 June 2026[Friday](12:00 noon)
