,Reference,Subject,Subject_link,Closing Date
0,CE 6/2026 (GE) & CE 7/2026 (GE),"Landslip Prevention and Mitigation Programme, New Territories East and New Territories West, Phase 1, Package D - Investigation, Design and Construction; Landslip Prevention and Mitigation Programme, Hong Kong Island and New Territories East, Phase 1, Package B - Investigation, Design and Construction",/eng/tender-notices/consultancy-agreements/invitation-for-technical-and-fee-proposals/index-id-1358.html,"12:00 noon, Friday, 26 Jun 2026"
1,CE 18/2026 (CE),Development of Smart Unmanned Drone Management System  for Emergency Response and Operation & Maintenance Services  – Feasibility Study,/eng/tender-notices/consultancy-agreements/invitation-for-technical-and-fee-proposals/index-id-1357.html,"12:00 noon, Friday, 17 Jul 2026"
2,CE 19/2026 (GE),Enhancement of Ground Investigation Practices and Applications for Public Works Projects – Feasibility Study,/eng/tender-notices/consultancy-agreements/invitation-for-technical-and-fee-proposals/index-id-1356.html,"12:00 noon, Friday, 3 Jul 2026"
