,Reference,Subject,Subject_link,Issue Date,Closing Date
0,"Agreement No. CE 23/2026 (HY)Provision of Universal Accessibility Facilities at Footbridges, Elevated Walkways and Subways Package 10 – Investigation","Agreement No. CE 23/2026 (HY)Provision of Universal Accessibility Facilities at Footbridges, Elevated Walkways and Subways Package 10 – Investigation",doc/2026/CE23_2026HY.pdf,29 May 2026,12:00 noon on24 July 2026 (Friday)
1,Agreement No. CE 41/2025 (HY)Northern Metropolis Highway (San Tin Section) – Design and Construction,Agreement No. CE 41/2025 (HY)Northern Metropolis Highway (San Tin Section) – Design and Construction,doc/2025/CE41_2025HY.pdf,30 January 2026,12:00 noon on27 March 2026 (Friday)
2,Agreement No. CE 25/2025 (HY)Tsing Lung Bridge – Design and Construction,Agreement No. CE 25/2025 (HY)Tsing Lung Bridge – Design and Construction,doc/2025/CE25_2025HY.pdf,11 July 2025,12:00 noon on17 October 2025 (Friday)Extension of Tender Period
