,Reference,Subject,Subject_link,Closing Date
950,1355EM15T,"Triennial Term Contract for Maintenance of Heating, Ventilation & Air-conditioning Installations at Unattended Municipal Venues in the New Territories East",/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_349.html,9.9.2016
951,1264EM15T,36-Month Term Contract for Building Services and Fitting-out Works to Health Sector Venues in Kowloon Central Region,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_345.html,9.9.2016
952,EMSSSD0116,"Supply and delivery of Portable Contraband Detectors to the Electrical and Mechanical Services Trading Fund, within 12 weeks from the date of acceptance of offer",/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_348.html,8.9.2016
953,2646EM15T,"Triennial Term Contract for Maintenance of Domestic Electrical Appliances, Electrical Installations and Floodlight Installations at Various Venues of Transport, Security and Central Services Division",/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_344.html,2.9.2016
954,1816EM16W,Replacement of Air-Cooled Chillers and Associated Accessories at Luen Wo Hui Municipal Services Building,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_347.html,26.8.2016
955,EMSD P/5-10/13 Pt. XIX,Provision of Services of Temporary Clerks for the Electrical and Mechanical Services Department,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_346.html,24.8.2016
956,Q1405,Provision of Event Management Service for Energy Saving Championship Scheme,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_351.html,23.8.2016
957,1847EM16T,Quadrennial Term Contract for Examination and Testing of Lifting Appliances and Lifting Gear in New Territories and Outlying Islands.,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_341.html,5.8.2016
958,1773EM16S,Maintenance of Explosives and Narcotics Detectors  for Correctional Services Department,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_342.html,21.7.2016
959,2218EM15T,Triennial Contract for Maintenance of Air-conditioning and other Installations at Attended Municipal Venues in New Territories,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_336.html,15.7.2016
960,1342EM16T,Quadrennial Term Contract for Examination and Testing of Lifting Appliances and Lifting Gear in Hong Kong Island and Kowloon,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_335.html,8.7.2016
961,1701EM16T,Biennial Term Contract for Supply and Installation of Closed Circuit Television Systems for Various Departments of the Government of the Hong Kong Special Administrative Region in the New Territories and Islands Regions,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_340.html,8.7.2016
962,2249EM15W,Replacement of Air Handling Units and Chilled Water Distribution Pipes including Thermal Insulations at Eastern Law Courts Building,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_339.html,8.7.2016
963,1036EM16T,"Triennial Term Contract for Maintenance of Heating, Ventilation & Air-conditioning Installations at Unattended Municipal Venues in the New Territories West",/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_333.html,8.7.2016
964,2V18MS16,Provision of 2–year On-site Maintenance Works for Small and Medium Vehicles to Electrical and Mechanical Services Department in Kowloon Bay,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_338.html,30.6.2016
965,Q1389,Provision of Services on Maintaining the Stakeholder Network for “Energy Saving for All” Website,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_337.html,29.6.2016
966,2100EM15W,Replacement of Environmental Monitoring System for Kai Tak Tunnel,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_332.html,24.6.2016
967,1229EM16T,Quadrennial Term Contract for Provision of Maintenance Service and Modification Works for Closed Circuit Television Systems for Transport Department in Hong Kong Special Administrative Region,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_330.html,24.6.2016
968,2730EM15T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Escalator Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (Package One of TK16),/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_329.html,17.6.2016
969,2120EM15T,"Annual Term Contract for Maintenance of Heating, Ventilation and Air-conditioning Installations for Health Sector Venues in New Territories West Region",/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_328.html,17.6.2016
970,2397EM15T,"Annual Term Contract for Building Services Fitting-out, Replacement and Improvement Works for Health Sector Venues in Hong Kong Region and Outlying Islands",/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_331.html,17.6.2016
971,EMSSSD0515,Supply of Domestic Exhaust Fans to the Electrical and Mechanical Services Trading Fund,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_327.html,16.6.2016
972,1363EM15T,"Quadrennial Term Contract for Installation, Modification, Testing and Commissioning of Traffic Light and Traffic Aids Equipment in Hong Kong",/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_326.html,10.6.2016
973,2150EM15T,Triennial Term Contract for the Maintenance and Repair for Gondola Installation for Venues in Hong Kong Region Maintained by General Engineering Services Division and Venues Maintained by Airport & Vehicle Engineering Division of the Government of the HKSAR,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_324.html,3.6.2016
974,EMSSSD0815,Supply of Tyres for Government Vehicles to the Electrical and Mechanical Services Trading Fund (235/65R16C & 195/75R16C),/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_323.html,2.6.2016
975,EMSSSD0215,Supply of Carpets and Provision of Related Replacement Services to the Electrical and Mechanical Services Trading Fund,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_322.html,31.5.2016
976,1425EM16W,Replacement and Upgrading Works of Diesel Generator Sets and Associated Systems for the East Block of Pamela Youde Nethersole Eastern Hospital,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_325.html,20.5.2016
977,1043EM16W,Retrofitting of Calorifiers at Tseung Kwan O Hospital,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_321.html,6.5.2016
978,2664EM15T,Triennial Term Contract for Maintenance of Electrical and Mechanical Installations at Hong Kong Wetland Park,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_318.html,6.5.2016
979,2202EM15T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region and Hospital Authority (Package One of KO15),/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_317.html,29.4.2016
980,1011EM16T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Escalator Installations at Various Premises of the Government of the Hong Kong Special Administrative Region and Hospital Authority (Package One of KO16E),/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_316.html,29.4.2016
981,Q1365,Provision of Secretarial Service for Energy Saving Charter 2016 and Championship Scheme and Supporting Service for the Launching Ceremony,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_320.html,22.4.2016
982,1317EM16S,Maintenance of Video Wall Projection System at Central Government Offices (CGO),/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_319.html,22.4.2016
983,2370EM15T,Triennial Term Contract for the Maintenance and Repair of Burglar Alarm and Security Installations at Various Premises of Hong Kong Police Force,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_313.html,22.4.2016
984,2663EM15T,Triennial Term Contract for the Maintenance and Repair of Burglar Alarm and Security Installations at Various Premises of the Government of the Hong Kong Special Administrative Region – Package 6,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_312.html,8.4.2016
985,1003EM15T,Triennial Term Contract for Maintenance and Repair of Towngas Installations at Various Municipal Venues of the Government of the Hong Kong Special Administrative Region,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_311.html,8.4.2016
986,2645EM15W,Bulk Replacement of Air-cooled Chillers in Hospital Authority Venues (Batch 2),/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_314.html,8.4.2016
987,1012EM16T,30-Month Term Contract for the Comprehensive Maintenance and Repair of Escalator Installations at Various Premises of the Government of the Hong Kong Special Administrative Region and Hospital Authority (Package One of SC16E),/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_310.html,1.4.2016
988,1797EM15T,"Thirty-month Term Contract for Electrical Works for Change of Tenancy in Government Quarters in the Hong Kong Island, Kowloon & New Territories",/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_315.html,1.4.2016
989,2180EM14T,Triennial Term Contract for the Maintenance and Repair of Burglar Alarm and Security Installations at Various Premises of the Government of the Hong Kong Special Administrative Region – Package 3,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_308.html,18.3.2016
990,2017EM15T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region and Hospital Authority (Package Two of OT15),/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_307.html,11.3.2016
991,1862EM15T,Triennial Term Contract for Maintenance of Uninterruptible Power Supply (UPS) Systems at Various Government Venues (Phase 2),/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_306.html,11.3.2016
992,2402EM15T,"Triennial Term Contract for the Maintenance and Repair of Burglar Alarm and Security Installations at Various Premises of the Government of the Hong Kong Special Administrative Region and Hospital Authority (Health Sector Division, Municipal Sector Division and Transportation, Security and Central Services Division - Package 2A)",/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_305.html,4.3.2016
993,1368EM15T,"Triennial Term Contract for the Maintenance and Repair of, Alterations and Additions to, Fire Service Installations for Venues of Transport Department, Highways Department and Drainage Services Department",/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_301.html,26.2.2016
994,EMSD BDD/6-20/05,Contract for the Provision of Call Centre Service for the Information Service Centre (ISC) of the Electrical and Mechanical Services Department (EMSD),/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_309.html,23.2.2016
995,1894EM15W,Replacement of Stage Automation System at the Auditorium of Kwai Tsing Theatre,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_300.html,19.2.2016
996,2522EM15W,"Refurbishment of Hydrofoil Platform No. 4, 6 & 7 at Macau Ferry Terminal",/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_304.html,19.2.2016
997,1768EM15T,Biennial Term Contract for Provision of Closed Circuit Television Systems for Various Departments of the Government of the Hong Kong Special Administrative Region in the Hong Kong and Kowloon Regions,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_303.html,19.2.2016
998,1612EM15W,Replacement and Upgrading Works of Diesel Generator Sets and Associated Systems for the East Block of Pamela Youde Nethersole Eastern Hospital,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_302.html,19.2.2016
999,1190EM15T,Triennial Term Contract for Maintenance of Pumping Installations for Hong Kong Police Force and Independent Commission Against Corruption,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_299.html,12.2.2016
1000,2095EM15T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Escalator Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (Package One of TO15E),/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_294.html,29.1.2016
1001,1965EM15T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Escalator Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (Package One of FT15E),/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_295.html,29.1.2016
1002,EMSD_PD_003_2015,Provision of Energy Audit Services for Government Buildings to the Electrical and Mechanical Services Trading Fund,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_297.html,27.1.2016
1003,2609EM15M,Replacement of batteries for the Central Battery System in the Lo Wu Correctional Institution,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_298.html,22.1.2016
1004,1928EM15T,Quadrennial Term Contract for Maintenance of Security and Electronic Systems at Tai Lam Centre for Women,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_293.html,22.1.2016
1005,1692EM15W,Refurbishment of the Central to Mid-levels Escalator and Walkway System,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_292.html,22.1.2016
1006,2067EM15W,Construction for Connection of District Cooling System to the Air-conditioning System at Electrical and Mechanical Services Department Headquarters Building.,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_296.html,15.1.2016
1007,2121EM15T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region and Hospital Authority (Package Two of SC15),/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_291.html,8.1.2016
1008,1364EM15T,"Quadrennial Term Contract for Provision of Maintenance and Modification Works of Traffic Control and Surveillance System for Hong Kong – Shenzhen Western Corridor, Deep Bay Link and Yuen Long Highway",/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_290.html,8.1.2016
1009,1043EM15T,Triennial Term Contract for FM200 Cylinders Hydraulic Test at Hong Kong International Airport (NEC TSC OPTION A),/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_289.html,8.1.2016
1010,1608EM15T,Biennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region and Hospital Authority (Package One of AE15),/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_288.html,8.1.2016
1011,2094EM15T,Biennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region and Hospital Authority (Package One of FT15),/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_286.html,8.1.2016
1012,1149EM15T,"42-Month Term Contract for the Fault Attendance, Comprehensive Maintenance, Repair and Replacement of Special Lighting Systems at Various Premises of the Highways Department of the Government of the Hong Kong Special Administrative Region",/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_285.html,8.1.2016
1013,1156EM15T,"Triennial Term Contract for Maintenance of Heating, Ventilation and Air-conditioning Installations for Health Sector Venues in Hong Kong Region and Outlying Islands",/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_284.html,18.12.2015
1014,1037EM13W,Supply and Installation of “Stop-and-go” e-Payment System at Government Tolled Tunnels and Roads,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_283.html,18.12.2015
1015,1744EM15T,"Triennial Term Contract for Building Services Fitting-out, Replacement and Improvement Works to Health Sector Venues in New Territories East Region",/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_287.html,18.12.2015
1016,1203EM15T,"Biennial Term Contract for Engineering Services for E&M Installation and Other Services at Wo Hop Shek, Kwai Chung and Fu Shan Crematorium and Columbarium",/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_273.html,4.12.2015
1017,1201EM15T,Biennial Term Contract for Engineering Services for E&M Installation and Other Services at Diamond Hill and Cape Collinson Crematorium and Columbarium,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_272.html,4.12.2015
1018,EMU/T/2015/01,36-month Contract for the Provision of Security Guard Services for Electrical and Mechanical Services Department Headquarters,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_282.html,30.11.2015
1019,Q1333,2015 Energy Consumption Survey on Retail and Personal Service Segments,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_281.html,24.11.2015
1020,2565EM14T,"Triennial Term Contract for the Maintenance and Repair of Burglar Alarm and Security Installations at Various Premises of the Government of the Hong Kong Special Administrative Region, Electrical and Mechanical Services Department (General Engineering Services Division and Airport and Vehicle Engineering Division – Package Two)",/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_343.html,20.11.2015
1021,1814EM15T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region and Hospital Authority (Package Two of KO15),/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_270.html,20.11.2015
1022,1121EM15T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region and Hospital Authority (Package One of GE15),/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_268.html,13.11.2015
1023,2147EM15T,Biennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region and Hospital Authority (Package One of MT15),/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_267.html,6.11.2015
1024,2292EM15S,Maintenance of four (4) X-ray body scanners for CSD,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_271.html,6.11.2015
1025,1151EM15T,"Triennial Term Contract for Operation and Maintenance of Air-conditioning Installations for Hong Kong Police Force, Correctional Services Department, Hong Kong Independent Commission Against Corruption, Security Bureau, Highways Department and Transport Department in Kowloon for the Government of HKSAR.",/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_265.html,23.10.2015
1026,1807EM15W,Replacement of 31 Sets of Air-Handling Units at Wanchai Tower,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_266.html,16.10.2015
