url,Nature of Business,Location,Year of Establishment,Main Categories,Major Markets,Total Employees,Annual Turnover,Contact Person,Office Address,Country/Region,Brands,Position
https://sourcing.hktdc.com/en/Supplier-Store/Profile/VIT-INDO/1S00OYZ4P,,Indonesia,,"Clothing/ Garments, Fashion Accessories",,,,Rini Cahyani,"5th Floor, Wisma Argo Manunggal, Kav.22 Gatot Subroto, South Jakarta, Indonesia",Indonesia,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Wonder-Land-Wuxi-Co-Ltd/1S00P0BXY,,Chinese Mainland,,,,,,Zhanhua Zong,"1103, No. 813 Yinxiu Road, Binhu Distirct, Wuxi, J",Chinese Mainland,,Manager
https://sourcing.hktdc.com/en/Supplier-Store/Profile/WUXI-SUFU-APPAREL-CO-LTD/1X0AUD9O,,Chinese Mainland,,"Clothing/ Garments, Fashion, Eyewear & Accessories",,,,qiufang gu,"Donggang Town, Xishan District, Wuxi, China",Chinese Mainland,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/YIWU-BE-LUCKY-HANDBAG-CO-LTD/1S00OZ9NU,,Chinese Mainland,,"Bags, Handbags & Accessories",,,,Dr zhang yongxia,,Chinese Mainland,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/YIWU-CHENXING-GARMENT-CO-LTD/1S00OZ9L0,,Chinese Mainland,,Clothing/ Garments,,,,Dr YANG PING,,Chinese Mainland,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/YIWU-YUANMENG-IMP-EXP-CO-LTD/1S00P0JT2,,Chinese Mainland,,,,,,Wei Wu,"Room 820,Wealth mansion block B, Yiwu city, Zhejiang Province, China",Chinese Mainland,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yangzhou-Huijie-Apparel-Co-Ltd/1S00ONE0M,,Chinese Mainland,,Fashion Accessories,,,,Jim Qian,"B-707, No. 162, West Wenhui Road, Yangzhou City, Jiangsu, China",Chinese Mainland,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yangzhou-Shuangcheng-Apparel-Co-Ltd-/1S00P02TJ,,Chinese Mainland,,,,,,shu Zhou,"No. 18 Runyang South Road, Hanjiang District, Yangzhou, Jiangsu, China",Chinese Mainland,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yiwu-Weilai-Network-Technology-Co-Ltd/1S00OUUXF,,Chinese Mainland,,,,,,Dr Na Nuo,,Chinese Mainland,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yiwu-YL-Jewelry-Co-Ltd/1S00P0JUZ,,Chinese Mainland,,,,,,Jianhua Peng,"185,Jinlin North Road Yidong Industrial Park, China,",Chinese Mainland,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/ZHEJIANG-BEILINGDA-TEXTILE-CO-LTD/1S00P0WKG,,Chinese Mainland,,,,,,Dr FENG ZHAO,,Chinese Mainland,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhejiang-Zhuogu-Clothing-Company-Limited/1X09IE5P,,Chinese Mainland,,"Clothing/ Garments, Fashion, Eyewear & Accessories",,,,yuan ping ye,"NO.8 WUHAN ROAD,SHANGXI TOWN, YIWU CITY,ZHEJIANG PROVINCE, CHINA",Chinese Mainland,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/ZHUJI-DEJIA-KNITTING-CO-LTD/1S00OZ3DU,,Chinese Mainland,,"Socks, Legwears & Hosiery",,,,Dr Jaimie Jaimie,,Chinese Mainland,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zaozhuang-Longxiang-Knitting-Garments-Company-Limited/1S00OJUYC,,Chinese Mainland,,Clothing/ Garments,,,,Jevons Li,"Shuiguo Industrial Park, Shizhong, Zaozhuang, Shandong, China",Chinese Mainland,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/ZHEJIANG-GANGSHA-KNITTING-PRODCUTS-CO-LTD/1S00O74K8,,Chinese Mainland,,Clothing/ Garments,,,,Ms LINLIN SHI,,Chinese Mainland,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhejiang-Tianhui-Button-Co-Ltd/1S00OV4L5,,Chinese Mainland,,Fashion Accessories View details Factory & Facility,,,,Mr James Xu,,Chinese Mainland,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhejiang-Tianpai-Knitting-Co-Ltd/1S00O6YSQ,,Chinese Mainland,,"Textiles, Fabrics & Yarns View details Factory & Facility",,,,Ms Guo jun,,Chinese Mainland,,
