company_name,description,exhibit loc,url,full_url
"Beijing Guoda Energy Co., Ltd.",,"W3, W3-19B",/beijing/en/exhibitor-search.detail.html/beijing-guoda-energy-co-ltd.html#exhibitorheadline,https://ishc-cihe.hk.messefrankfurt.com/beijing/en/beijing/en/exhibitor-search.detail.html/beijing-guoda-energy-co-ltd.html#exhibitorheadline
Beijing Haolifa Valve Manufacturing Co Ltd,,"W2, W2-37C",/beijing/en/exhibitor-search.detail.html/beijing-haolifa-valve-manufacturing-co-ltd.html#exhibitorheadline,https://ishc-cihe.hk.messefrankfurt.com/beijing/en/beijing/en/exhibitor-search.detail.html/beijing-haolifa-valve-manufacturing-co-ltd.html#exhibitorheadline
"Beijing Hongxiang Century Plant Wood Co.,Ltd.",,,/beijing/en/exhibitor-search.detail.html/beijing-hongxiang-century-plant-wood-coltd.html#exhibitorheadline,https://ishc-cihe.hk.messefrankfurt.com/beijing/en/beijing/en/exhibitor-search.detail.html/beijing-hongxiang-century-plant-wood-coltd.html#exhibitorheadline
"BEIJING HONG YUAN TRADECO.,LTD.",,"E3, E3-19E",/beijing/en/exhibitor-search.detail.html/beijing-hong-yuan-tradecoltd.html#exhibitorheadline,https://ishc-cihe.hk.messefrankfurt.com/beijing/en/beijing/en/exhibitor-search.detail.html/beijing-hong-yuan-tradecoltd.html#exhibitorheadline
Beijing Huan Neng Hong Sheng Energy Saving Co Ltd,,"W3, W3-07C",/beijing/en/exhibitor-search.detail.html/beijing-huan-neng-hong-sheng-energy-saving-co-ltd.html#exhibitorheadline,https://ishc-cihe.hk.messefrankfurt.com/beijing/en/beijing/en/exhibitor-search.detail.html/beijing-huan-neng-hong-sheng-energy-saving-co-ltd.html#exhibitorheadline
Beijing Huatong Shengda HVAC Equipment Co Ltd,,"E1, E1-31C",/beijing/en/exhibitor-search.detail.html/beijing-huatong-shengda-hvac-equipment-co-ltd.html#exhibitorheadline,https://ishc-cihe.hk.messefrankfurt.com/beijing/en/beijing/en/exhibitor-search.detail.html/beijing-huatong-shengda-hvac-equipment-co-ltd.html#exhibitorheadline
"Beijing Jinghai HEAT Exchange Equipment Manufacture Co., Ltd.",,"W3, W3-10D",/beijing/en/exhibitor-search.detail.html/beijing-jinghai-heat-exchange-equipment-manufacture-co-ltd.html#exhibitorheadline,https://ishc-cihe.hk.messefrankfurt.com/beijing/en/beijing/en/exhibitor-search.detail.html/beijing-jinghai-heat-exchange-equipment-manufacture-co-ltd.html#exhibitorheadline
Beijing Jull Control Valves Co Ltd,,"W2, W2-21C",/beijing/en/exhibitor-search.detail.html/beijing-jull-control-valves-co-ltd.html#exhibitorheadline,https://ishc-cihe.hk.messefrankfurt.com/beijing/en/beijing/en/exhibitor-search.detail.html/beijing-jull-control-valves-co-ltd.html#exhibitorheadline
Beijing Pureone Technology Co Ltd,,"E2, E2-21B",/beijing/en/exhibitor-search.detail.html/beijing-pureone-technology-co-ltd.html#exhibitorheadline,https://ishc-cihe.hk.messefrankfurt.com/beijing/en/beijing/en/exhibitor-search.detail.html/beijing-pureone-technology-co-ltd.html#exhibitorheadline
"Beijing Shuidi IOT Technology Co., Ltd.",,"E3, E3-23C",/beijing/en/exhibitor-search.detail.html/beijing-shuidi-iot-technology-co-ltd.html#exhibitorheadline,https://ishc-cihe.hk.messefrankfurt.com/beijing/en/beijing/en/exhibitor-search.detail.html/beijing-shuidi-iot-technology-co-ltd.html#exhibitorheadline
"Beijing Shuoren Times Technology (STT) Co., Ltd.",,"W3, W3-20B",/beijing/en/exhibitor-search.detail.html/beijing-shuoren-times-technology-stt-co-ltd.html#exhibitorheadline,https://ishc-cihe.hk.messefrankfurt.com/beijing/en/beijing/en/exhibitor-search.detail.html/beijing-shuoren-times-technology-stt-co-ltd.html#exhibitorheadline
BEIJING SONGTIANCHENG TECHNOLOGY Co Ltd,,"W2, W2-12B",/beijing/en/exhibitor-search.detail.html/beijing-songtiancheng-technology-co-ltd.html#exhibitorheadline,https://ishc-cihe.hk.messefrankfurt.com/beijing/en/beijing/en/exhibitor-search.detail.html/beijing-songtiancheng-technology-co-ltd.html#exhibitorheadline
"Beijing Tianxing Shengshi Technology Co.,Ltd",,"W2, W2-21B",/beijing/en/exhibitor-search.detail.html/beijing-tianxing-shengshi-technology-coltd.html#exhibitorheadline,https://ishc-cihe.hk.messefrankfurt.com/beijing/en/beijing/en/exhibitor-search.detail.html/beijing-tianxing-shengshi-technology-coltd.html#exhibitorheadline
"Beijing Winning Thermo Control Equipment Co., Ltd.",,"W2, W2-52A",/beijing/en/exhibitor-search.detail.html/beijing-winning-thermo-control-equipment-co-ltd.html#exhibitorheadline,https://ishc-cihe.hk.messefrankfurt.com/beijing/en/beijing/en/exhibitor-search.detail.html/beijing-winning-thermo-control-equipment-co-ltd.html#exhibitorheadline
Beijing Zhongcheng Yongyuan Energy-saving and Environmental Protection Technology Co Ltd,,"E2, E2-19B+",/beijing/en/exhibitor-search.detail.html/beijing-zhongcheng-yongyuan-energy-saving-and-environmental-protection-technology-co-ltd.html#exhibitorheadline,https://ishc-cihe.hk.messefrankfurt.com/beijing/en/beijing/en/exhibitor-search.detail.html/beijing-zhongcheng-yongyuan-energy-saving-and-environmental-protection-technology-co-ltd.html#exhibitorheadline
"Beijing Zhongke Zenith Energy-Saving Tech Co.,Ltd.",,,/beijing/en/exhibitor-search.detail.html/beijing-zhongke-zenith-energy-saving-tech-coltd.html#exhibitorheadline,https://ishc-cihe.hk.messefrankfurt.com/beijing/en/beijing/en/exhibitor-search.detail.html/beijing-zhongke-zenith-energy-saving-tech-coltd.html#exhibitorheadline
Beijing Zhongke Zhiling Electronic Technology Co Ltd,,"W2, W2-46B",/beijing/en/exhibitor-search.detail.html/beijing-zhongke-zhiling-electronic-technology-co-ltd.html#exhibitorheadline,https://ishc-cihe.hk.messefrankfurt.com/beijing/en/beijing/en/exhibitor-search.detail.html/beijing-zhongke-zhiling-electronic-technology-co-ltd.html#exhibitorheadline
Beijing Zhongtian Hengyuan Environmental Protection Equipment Co Ltd,,"W2, W2-26A",/beijing/en/exhibitor-search.detail.html/beijing-zhongtian-hengyuan-environmental-protection-equipment-co-ltd.html#exhibitorheadline,https://ishc-cihe.hk.messefrankfurt.com/beijing/en/beijing/en/exhibitor-search.detail.html/beijing-zhongtian-hengyuan-environmental-protection-equipment-co-ltd.html#exhibitorheadline
Beiming Tianshi Energy Science and Technology (Beijing) Co Ltd,,"W3, W3-10A",/beijing/en/exhibitor-search.detail.html/beiming-tianshi-energy-science-and-technology-beijing-co-ltd.html#exhibitorheadline,https://ishc-cihe.hk.messefrankfurt.com/beijing/en/beijing/en/exhibitor-search.detail.html/beiming-tianshi-energy-science-and-technology-beijing-co-ltd.html#exhibitorheadline
"Beta Warm (Gaobeidian) Thermal Energy Technology Co., Ltd.",,"E1, E1-13A",/beijing/en/exhibitor-search.detail.html/beta-warm-gaobeidian-thermal-energy-technology-co-ltd.html#exhibitorheadline,https://ishc-cihe.hk.messefrankfurt.com/beijing/en/beijing/en/exhibitor-search.detail.html/beta-warm-gaobeidian-thermal-energy-technology-co-ltd.html#exhibitorheadline
Bitzer Refrigeration Technology (China) Co. Ltd.,,"E3, E3-19A",/beijing/en/exhibitor-search.detail.html/bitzer-refrigeration-technology-china-co-ltd.html#exhibitorheadline,https://ishc-cihe.hk.messefrankfurt.com/beijing/en/beijing/en/exhibitor-search.detail.html/bitzer-refrigeration-technology-china-co-ltd.html#exhibitorheadline
Botou Zhongke Automatic Control Valve Co Ltd,,"W3, W3-27B",/beijing/en/exhibitor-search.detail.html/botou-zhongke-automatic-control-valve-co-ltd.html#exhibitorheadline,https://ishc-cihe.hk.messefrankfurt.com/beijing/en/beijing/en/exhibitor-search.detail.html/botou-zhongke-automatic-control-valve-co-ltd.html#exhibitorheadline
"Bray (China) Controls Co., Ltd",,"W2, W2-02B",/beijing/en/exhibitor-search.detail.html/bray-china-controls-co-ltd.html#exhibitorheadline,https://ishc-cihe.hk.messefrankfurt.com/beijing/en/beijing/en/exhibitor-search.detail.html/bray-china-controls-co-ltd.html#exhibitorheadline
BS,,"E2, E2-01G",/beijing/en/exhibitor-search.detail.html/bs.html#exhibitorheadline,https://ishc-cihe.hk.messefrankfurt.com/beijing/en/beijing/en/exhibitor-search.detail.html/bs.html#exhibitorheadline
沧州暖胜电暖器有限公司,,,/beijing/en/exhibitor-search.detail.html/cangzhou-nuansheng-electric-heater-co-ltd.html#exhibitorheadline,https://ishc-cihe.hk.messefrankfurt.com/beijing/en/beijing/en/exhibitor-search.detail.html/cangzhou-nuansheng-electric-heater-co-ltd.html#exhibitorheadline
Changzhou Heighten Automation Equipment Co Ltd,,"W3, W3-20A",/beijing/en/exhibitor-search.detail.html/changzhou-heighten-automation-equipment-co-ltd.html#exhibitorheadline,https://ishc-cihe.hk.messefrankfurt.com/beijing/en/beijing/en/exhibitor-search.detail.html/changzhou-heighten-automation-equipment-co-ltd.html#exhibitorheadline
CHANGZHOU JINTAN HENGXU TECHNOLOGY COLTD,,"E3, E3-26C",/beijing/en/exhibitor-search.detail.html/changzhou-jintan-hengxu-technology-coltd.html#exhibitorheadline,https://ishc-cihe.hk.messefrankfurt.com/beijing/en/beijing/en/exhibitor-search.detail.html/changzhou-jintan-hengxu-technology-coltd.html#exhibitorheadline
"Changzhou O PLUS HVAC Co.,Ltd",,"E1, E1-11C",/beijing/en/exhibitor-search.detail.html/changzhou-o-plus-hvac-coltd.html#exhibitorheadline,https://ishc-cihe.hk.messefrankfurt.com/beijing/en/beijing/en/exhibitor-search.detail.html/changzhou-o-plus-hvac-coltd.html#exhibitorheadline
Changzhou Shenjia Metal Products Limited Company,,"E1, E1-01G",/beijing/en/exhibitor-search.detail.html/changzhou-shenjia-metal-products-limited-company.html#exhibitorheadline,https://ishc-cihe.hk.messefrankfurt.com/beijing/en/beijing/en/exhibitor-search.detail.html/changzhou-shenjia-metal-products-limited-company.html#exhibitorheadline
Changzhou Wamai Electromechanical Equipment Co Ltd,,"E2, E2-42",/beijing/en/exhibitor-search.detail.html/changzhou-wamai-electromechanical-equipment-co-ltd.html#exhibitorheadline,https://ishc-cihe.hk.messefrankfurt.com/beijing/en/beijing/en/exhibitor-search.detail.html/changzhou-wamai-electromechanical-equipment-co-ltd.html#exhibitorheadline
Changzhou Yongyi Water Supply Equipments Co Ltd,,"E1, E1-25A+",/beijing/en/exhibitor-search.detail.html/changzhou-yongyi-water-supply-equipments-co-ltd.html#exhibitorheadline,https://ishc-cihe.hk.messefrankfurt.com/beijing/en/beijing/en/exhibitor-search.detail.html/changzhou-yongyi-water-supply-equipments-co-ltd.html#exhibitorheadline
Changzhou Zhonghao Metal Products Co Ltd,,"E1, E1-26C",/beijing/en/exhibitor-search.detail.html/changzhou-zhonghao-metal-products-co-ltd.html#exhibitorheadline,https://ishc-cihe.hk.messefrankfurt.com/beijing/en/beijing/en/exhibitor-search.detail.html/changzhou-zhonghao-metal-products-co-ltd.html#exhibitorheadline
"Chengdu Kerui Metal Co., Ltd.",,"E1, E1-23B",/beijing/en/exhibitor-search.detail.html/chengdu-kerui-metal-co-ltd.html#exhibitorheadline,https://ishc-cihe.hk.messefrankfurt.com/beijing/en/beijing/en/exhibitor-search.detail.html/chengdu-kerui-metal-co-ltd.html#exhibitorheadline
