url,Nature of Business,Location,Year of Establishment,Main Categories,Major Markets,Total Employees,Brands,Contact Person,Position,Office Address,Country / Region,Annual Turnover
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Wolf-1834-Limited/1X051T0L?fairCode=te&locale=en,"Wholesaler, e-tailer",Hong Kong,,Packaging & Displaying Materials,Worldwide,,WOLF,Ms Ocfia Lau,Operations Director,"Rm 804A, Tower One Cheung Sha Wan Plaza 833 Cheung Sha Wan Road Kln., HK",Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/World-Light-Technology-Limited/1S00PED4B?fairCode=te&locale=en,,Hong Kong,,,,,,Anita Wan,PA,"Flat/Rm 01-02, 12/F, Phase II of Austin Tower, 152 Austin Road, Kowloon",Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Pierre-Lannier-Sarl/1X00I8VH?fairCode=te&locale=en,Manufacturer,France,1977.0,Watches & Clocks,"Africa, Australasia, Chinese Mainland, Eastern Europe, Hong Kong, Japan, Korea, Middle East, North America, Other Asian Countries, Southeast Asia, Taiwan, Western Europe",51 - 100,PIERRE LANNIER Watches Inhouse design Made in France Watchmaker View details Factories & Facilities Research & Development Our Watchmaker French Savoir-Faire Our Workshop French Watch Award Official licence obtained for the Elysee Palace Watch,Ms Laura Burgun,Export Director,BP 69 Ernolsheim-les-Saverne SAVERNE CEDEX France,France,"US$ 10,000,000 - 49,999,999"
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Riba-Watch-Suisse-Sarl/1X00I927?fairCode=te&locale=en,Manufacturer,Switzerland,1990.0,"Jewellery & Watch, Watches & Clocks","Middle East, North America, Western Europe",16 - 25,Optima ; RSW ; MUREX,Mr Rami Taher,Director,"17 Rue Bournot, CH-2400 Le Locle, Le Locle, 2400 Le Locle, Switzerland",Switzerland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/CIGA-DESIGN/1S00PD80S?fairCode=te&locale=en,,Hong Kong,,,,,,Shuyu Wang,,"Room 4301, Building A,Yonglang City Plaza Yonglang Fuguang Community, Taoyuan Street, Nanshan District",Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Burker-International/1S00PDIQC?fairCode=te&locale=en,,Netherlands,,,,,,Mr erkan dulkadir,,,Netherlands,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangzhou-Pinlun-Watch-Co-Ltd-/1S00ORL7U?fairCode=te&locale=en,,Chinese Mainland,,,,,,Crystal Chen,,"Room 1407, Hengsha Business Building, Jinshazhou, Baiyun District, Guangzhou City, Guangdong Provinc China",Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Lucky-Harvey-Guangzhou-Commercial-Co-Ltd-/1S00ORL8R?fairCode=te&locale=en,,Chinese Mainland,,,,,,Xiaolin Lin,,"301, Block B, Junfu International, Huihua Street, Xicha Road, Baiyun District, Guangzhou , Guangdong, China",Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/MAISON-DE-PRINCE-WATCHES-AND-SPARE-PARTS-TRADING/1S00OC28A?fairCode=te&locale=en,,United Arab Emirates,,,,,,Mr MOHAMED ELSAYED,,,United Arab Emirates,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Montres-Michel-Herbelin-SA/1X0F0GXR?fairCode=te&locale=en,Manufacturer,France,,Watches & Clocks,,,,Mr Benjamin Theurillat,International Sales Director /,"9 rue de la 1ere Armee _ Charquemont Doubs 25140, France",France,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Bomass-Int-l-Ltd/1X00I6G2?fairCode=te&locale=en,Export Agent,Hong Kong,2005.0,"Fashion Accessories, Jewellery & Watch, Watches & Clocks","Chinese Mainland, Eastern Europe, Hong Kong, Japan, Korea, Scandinavia, Southeast Asia, Taiwan, Western Europe",11 - 15,ARBUTUS,Ms Agnes Lau,Brand Manager,"Unit 704, Join-In Hang Sing Centre, 71-75 Container Port Road, Kwai Chung, New Territories, Hong Kong.",Hong Kong,"US$ 250,000 - 499,999"
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Concept-Watches-International-Limited/1S00PC60U?fairCode=te&locale=en,,Hong Kong,,,,,,Winnie Wu,,,Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/BODERRY-WATCH-CO-LIMITED/1S00P0IG6?fairCode=te&locale=en,,Chinese Mainland,,,,,,Mr Jiayuan Hou,,,Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Brandzstorm-USA-LLC/1S00PE389?fairCode=te&locale=en,,USA,,,,,,Ujjval Saraf,,"246 taxter road irvington, United States, United States, United States",USA,
