url,Nature of Business,Location,Year of Establishment,Main Categories,Contact Person,Position,Office Address,Country/Region,Major Markets,Total Employees,Annual Turnover,Brands
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Amaya-Exports-Private-Limited/1S00OY9BU,,India,,,Sushil Khaitan,Director,"Baraipur Road, Chhayani, Kalabaru, South Twenty Four Parganas, Baraipur, India",India,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Baoying-Qili-Crystal-Arts-Co-Ltd/1X08GOII,,Chinese Mainland,,"Awards, Gifts, Toys & Sports Supplies",Lucy Yuan,,"FACTORY, NO. 20 TIANPING JIANGPING ROAD, BAOYING COUNTY JIANGSU, Yangzhou",Chinese Mainland,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Chuzhou-Greenery-Toys-Co-Ltd-/1X07O2O6,"Exporter, Manufacturer","Chuzhou, Anhui, Chinese Mainland",,"Baby Toys, Plush & Stuffed Toys",Mr Yang Yong,,"Jianshe East Rd., 45# QuanJiao Anhui, China",Chinese Mainland,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/JMTEK-Technology-Zhongshan-Co-Ltd/1S00OZ92L,,Chinese Mainland,,Consumer Electronics,Niki Li,,"3F B3 and 3F B4 Chuangzhi Science Park, No.22 Xingpu Avenue East, Huangpu Town, Zhongshan City, Guangdong Province, Mainland China",Chinese Mainland,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Jianhu-Coso-Imp-Exp-Ltd/1X09HRDE,,Chinese Mainland,,"Awards, Gifts, Toys & Sports Supplies",Melody Pang,,224799中國江蘇省鹽城市建湖 縣冠華東路859號,Chinese Mainland,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Nekupto-s-r-o-/1X08YRGB,"Distributor, Exporter, Others",Czech Republic,1991,"Festive Supplies, Gifts / Souvenirs, Gifts, Toys & Sports Supplies, Home Products, Lights & Constructions, Homeware & Lifestyle Essentials, Stationery",Mr Martin Linek,Export Manager,Bedrichovicka 1654/72,Czech Republic,Worldwide,101 - 200,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/New-World-Home-Deco-Co-Ltd-/1S00OYNJS,,Chinese Mainland,,,Yu Ting,,"Guangzhouroad No17, Guangzhouroad No17, Shandong, China",Chinese Mainland,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/NINGBO-FENGBO-PAPER-PRODUCTS-CO-LTD-/1X0F0BZ4,,"Ningbo, Zhejiang, Chinese Mainland",,Lights,Miss Nancy Xu,,"ROOM 8312, FLOOR 3, BUILDING 2, NO.68 CHUNCHAO ROAD, ZHONGHE STREET, YINZHOU DISTRICT, NINGBO, CHINA",Chinese Mainland,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ningbo-Xiandao-Imp-Exp-Co-Ltd/1S00OY4OW,,Chinese Mainland,,,Alven Yan,,"No.7 Shahu Road, Zhenhai District, Ningbo, Zhejiang, China",Chinese Mainland,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/S-L-Packaging-Pvt-Ltd-/1X077YZ7,"Exporter, Manufacturer","West Bengal, India",2007,"Bags, Handbags & Accessories",Mr Sharad Saraf,Director,"Ground Floor, 131 Cotton Street, Kolkata 70007, India",India,Worldwide,26 - 50,,
