Company Name,Location,Booth,url
Marche Label & Printing Limited,Hong Kong,"['Booth: 5C-SC08C, 1B-B28   |   Treasure Hunt, Deluxe Gift Ideas   |   ']",/event/hkgiftspremiumfair/en/exhibitor/1S005M3B0
Marushin Sun Heart (HK) Limited,Hong Kong,"['Booth: 5C-SC08C, 1B-B28   |   Treasure Hunt, Deluxe Gift Ideas   |   ']",/event/hkgiftspremiumfair/en/exhibitor/1S005HGEE
Pyoneer Co Limited,Hong Kong,"['Booth: 5C-SC08C, 1B-B28   |   Treasure Hunt, Deluxe Gift Ideas   |   ']",/event/hkgiftspremiumfair/en/exhibitor/1S005JHG7
"Safe Power Printing & Box Mfg Co., Ltd.",Hong Kong,"['Booth: 5C-SC08C, 1B-B28   |   Treasure Hunt, Deluxe Gift Ideas   |   ']",/event/hkgiftspremiumfair/en/exhibitor/1S005M37C
Savewo Limited,Hong Kong,"['Booth: 5C-SC08C, 1B-B28   |   Treasure Hunt, Deluxe Gift Ideas   |   ']",/event/hkgiftspremiumfair/en/exhibitor/1S005M3TI
Solos Technology Limited,Hong Kong,"['Booth: 5C-SC08C, 1B-B28   |   Treasure Hunt, Deluxe Gift Ideas   |   ']",/event/hkgiftspremiumfair/en/exhibitor/1S005M3FO
"Chongqing Jianli Glassware Co.,Ltd",Chinese Mainland,"['Booth: 5C-SC08C, 1B-B28   |   Treasure Hunt, Deluxe Gift Ideas   |   ']",/event/hkgiftspremiumfair/en/exhibitor/1S005J9EL
"Bossing Int'l Co., Limited",Hong Kong,"['Booth: 5C-SC08C, 1B-B28   |   Treasure Hunt, Deluxe Gift Ideas   |   ']",/event/hkgiftspremiumfair/en/exhibitor/1S005DWYA
"Cangnan Fangzhou Houseware Co., Ltd.",Chinese Mainland,"['Booth: 5C-SC08C, 1B-B28   |   Treasure Hunt, Deluxe Gift Ideas   |   ']",/event/hkgiftspremiumfair/en/exhibitor/1S005MG8W
"Changzhou Greenforest Import & Export Co., Ltd.",Chinese Mainland,"['Booth: 5C-SC08C, 1B-B28   |   Treasure Hunt, Deluxe Gift Ideas   |   ']",/event/hkgiftspremiumfair/en/exhibitor/1S005EQ7P
