Name of Contract,Tendering Procedure,Contractor(s) & Address(es),Amount(HK$)/ Contract Award Date,Contractor(s),Address(es),Amount(HK$),Contract Award Date
"Design and Construction of Public Housing Development at Near Tan Kwai Tsuen Phases 1 and 2, Yuen Long (Contract No. 20240538)",Selective,"Unistress Building Construction Limited 10/F, Sui Ying Industrial Building, 1 Yuk Yat Street, To Kwa Wan, Kowloon, Hong Kong","4,698,000,000.00 4 May 2026",Unistress Building Construction Limited,"10/F, Sui Ying Industrial Building, 1 Yuk Yat Street, To Kwa Wan, Kowloon, Hong Kong","4,698,000,000.00",4 May 2026
"Construction of Public Housing Development at Ching Hiu Road, Sheung Shui (Contract No. 20250161)",Selective,"Gammon Building Construction Limited 22/F, Tower 1 and 2, The Quayside, 77 Hoi Bun Road, Kwun Tong, Kowloon, Hong Kong","737,167,130.00 4 May 2026",Gammon Building Construction Limited,"22/F, Tower 1 and 2, The Quayside, 77 Hoi Bun Road, Kwun Tong, Kowloon, Hong Kong","737,167,130.00",4 May 2026
Soft Landscape Works for Public Housing Development at Tung Chung Area 100 (Contract No. 20240506),Selective,"Blakedown (Hong Kong) Limited Room 411, 4/F, Block B, Sheung Shui Plaza, 3 Ka Fu Close, Sheung Shui, New Territories, Hong Kong","3,611,507.00 18 May 2026",Blakedown (Hong Kong) Limited,"Room 411, 4/F, Block B, Sheung Shui Plaza, 3 Ka Fu Close, Sheung Shui, New Territories, Hong Kong","3,611,507.00",18 May 2026
"District Term Contract for the Maintenance, Improvement and Vacant Flat Refurbishment for Wong Tai Sin, Tsing Yi and Tsuen Wan (4) 2026-2029 (Contract No. 20259172)",Selective,"Shui On Building Contractors Limited 13/F, New Kowloon Plaza, 38 Tai Kok Tsui Road, Tai Kok Tsui, Kowloon, Hong Kong","773,562,086.00 8 May 2026",Shui On Building Contractors Limited,"13/F, New Kowloon Plaza, 38 Tai Kok Tsui Road, Tai Kok Tsui, Kowloon, Hong Kong","773,562,086.00",8 May 2026
"District Term Contract for the Maintenance, Improvement and Vacant Flat Refurbishment for Kowloon East (3) 2026-2029 (Contract No. 20259174)",Selective,"Hong Kong Macau (Asia) Engineering Company Limited 1/F, Keswest Mansion, 193-195 Tong Mi Road, Mong Kok, Kowloon, Hong Kong","553,296,980.00 7 May 2026",Hong Kong Macau (Asia) Engineering Company Limited,"1/F, Keswest Mansion, 193-195 Tong Mi Road, Mong Kok, Kowloon, Hong Kong","553,296,980.00",7 May 2026
"District Term Contract for the Maintenance, Improvement and Vacant Flat Refurbishment for Wong Tai Sin, Tsing Yi and Tsuen Wan (1) 2026-2029 (Contract No. 20259176)",Selective,"Shui On Building Contractors Limited 13/F, New Kowloon Plaza, 38 Tai Kok Tsui Road, Tai Kok Tsui, Kowloon, Hong Kong","487,576,096.00 8 May 2026",Shui On Building Contractors Limited,"13/F, New Kowloon Plaza, 38 Tai Kok Tsui Road, Tai Kok Tsui, Kowloon, Hong Kong","487,576,096.00",8 May 2026
"Property Services Contract (PSA Mode) for Fu Tung Estate, Cheung Kwai Estate and Nga Ning Court",Selective,"Creative Property Services Consultants Limited Units E & F, 25/F, Block 2, Vigor Industrial Building, 49-53 Ta Chuen Ping Street, Kwai Chung, New Territories, Hong Kong","104,395,077.84 8 May 2026",Creative Property Services Consultants Limited,"Units E & F, 25/F, Block 2, Vigor Industrial Building, 49-53 Ta Chuen Ping Street, Kwai Chung, New Territories, Hong Kong","104,395,077.84",8 May 2026
