Name of Contract,Tendering Procedure,Contractor(s) & Address(es),Amount(HK$)/ Contract Award Date,Contractor(s),Address(es),Amount(HK$),Contract Award Date
Soft Landscape Works for Public Housing Development at Kai Tak Site 2B5 (Contract No. 20250268) Hiring of Venue for Conducting Appeal Hearings (Tender Ref. HAQ20250536) (Contract No. DC20250536),Selective Open,"Tsui Yuen Garden Flat B, 8/F, Block 3, Sheung Shui Centre, Sheung Shui, New Territories, Hong Kong United Conference Centre Limited 10/F, United Centre, 95 Queensway, Admiralty, Hong Kong","2,125,388.00 13 February 2026 1,276,000.00 23 February 2026","Tsui Yuen Garden Flat B, 8/F, Block 3, Sheung Shui Centre, Sheung Shui, New Territories, Hong Kong United Conference Centre Limited","10/F, United Centre, 95 Queensway, Admiralty, Hong Kong","2,125,388.00","13 February 2026 1,276,000.00 23 February 2026"
Security Service Contract for Ko Yee Estate,Selective,"China Overseas Property Services Limited Flat A, 19/F, China Overseas Building, 139 Hennessy Road, Wan Chai, Hong Kong","8,484,840.00 (1st Year Contract Sum) 23 February 2026",China Overseas Property Services Limited,"Flat A, 19/F, China Overseas Building, 139 Hennessy Road, Wan Chai, Hong Kong","8,484,840.00",(1st Year Contract Sum) 23 February 2026
