,ref,department,description,awardee,award_date,sum,period,url,start,end
0,RL25001,Environmental Protection Department,Second Follow-on Contract of Low-Level Radioactive Waste Storage Facility at Siu A Chau,ATAL ENGINEERING LIMITED,2026-06-01 00:00:00,"HK$89,880,000.00",120-month contract,https://www.epd.gov.hk/epd/english/news_events/notices/notices_260618.html,,
1,WRR25165,Environmental Protection Department,"Provision of the Services for Setting up and Operation of Recycling Stores in Public Rental Housing Estates (Follow-on Contracts) for Eastern District - Yiu Tung Estate, Hing Tung Estate, Yue Wan Estate, Siu Sai Wan Estate and Wan Tsui Estate (Item 1)",Youth Chain Limited,2026-05-01 00:00:00,"HK$13,553,000.00",16-month contract,https://www.epd.gov.hk/epd/english/news_events/notices/notices_260615.html,,
2,WRR25165,Environmental Protection Department,"Provision of the Services for Setting up and Operation of Recycling Stores in Public Rental Housing Estates (Follow-on Contracts) for Wong Tai Sin District - Choi Wan (I) Estate, Wang Tau Hom Estate, Chuk Yuen South Estate, Tsz Ching Estate, Tsz Man Estate and Tsz Lok Estate (Item 2)",East Kowloon District Residents' Committee Limited,2026-05-01 00:00:00,"HK$11,861,680.00",16-month contract,https://www.epd.gov.hk/epd/english/news_events/notices/notices_260615.html,,
3,WRR25165,Environmental Protection Department,"Provision of the Services for Setting up and Operation of Recycling Stores in Public Rental Housing Estates (Follow-on Contracts) for Kwun Tong District and the Designated Government Premises at On Yu Road - Shun Lee Estate, Kai Yip Estate, Yau Lai Estate, Ping Tin Estate, Sau Mau Ping (South) Estate, Choi Tak Estate, Upper Ngau Tau Kok Estate, Choi Ying Estate and the Designated Government Premises at On Yu Road (Item 3)",Hong Kong Community &amp; Construction Association Charitable Foundation Limited,2026-05-01 00:00:00,"HK$14,654,850.00",16-month contract,https://www.epd.gov.hk/epd/english/news_events/notices/notices_260615.html,,
4,WRR25165,Environmental Protection Department,"Provision of the Services for Setting up and Operation of Recycling Stores in Public Rental Housing Estates (Follow-on Contracts) for Kwai Tsing District - Cheung Hong Estate, Lai King Estate, Kwai Fong Estate, Tai Wo Hau Estate, On Yam Estate and Kwai Shing West Estate (Item 4)",WRR25165,2026-05-01 00:00:00,"HK$10,257,880.00",16-month contract,https://www.epd.gov.hk/epd/english/news_events/notices/notices_260615.html,,
5,WRR25165,Environmental Protection Department,Provision of the Services for Setting up and Operation of Recycling Stores in Public Rental Housing Estates (Follow-on Contracts) for Tsuen Wan District - Shek Wai Kok Estate and Lei Muk Shue (2) Estate (Item 5),Tsuen Wan Development Association Limited,2026-05-01 00:00:00,"HK$4,589,158.00",16-month contract,https://www.epd.gov.hk/epd/english/news_events/notices/notices_260615.html,,
6,WRR25165,Environmental Protection Department,Provision of the Services for Setting up and Operation of Recycling Stores in Public Rental Housing Estates (Follow-on Contracts) for North District - Queens Hill Estate and Ching Ho Estate (Item 6),Luen Heep Social Service Limited,2026-05-01 00:00:00,"HK$5,511,690.00",16-month contract,https://www.epd.gov.hk/epd/english/news_events/notices/notices_260615.html,,
7,WRR25165,Environmental Protection Department,"Provision of the Services for Setting up and Operation of Recycling Stores in Public Rental Housing Estates (Follow-on Contracts) for Sha Tin District (Item 7) and Sham Shui Po District (Item 12) - Sha Kok Estate, Shui Chuen O Estate, Chun Yeung Estate, Yan On Estate, Un Chau Estate, So Uk Estate and Pak Tin Estate",Christian Family Service Centre,2026-05-01 00:00:00,"HK$11,537,115.00",16-month contract,https://www.epd.gov.hk/epd/english/news_events/notices/notices_260615.html,,
8,WRR25165,Environmental Protection Department,"Provision of the Services for Setting up and Operation of Recycling Stores in Public Rental Housing Estates (Follow-on Contracts) for Tuen Mun District - On Ting Estate, Wu King Estate, Yan Tin Estate and Fu Tai Estate (Item 8)",New Territories West Power Social Service Limited,2026-05-01 00:00:00,"HK$8,830,300.00",16-month contract,https://www.epd.gov.hk/epd/english/news_events/notices/notices_260615.html,,
9,WRR25165,Environmental Protection Department,Provision of the Services for Setting up and Operation of Recycling Stores in Public Rental Housing Estates (Follow-on Contracts) for Sai Kung District - Sheung Tak Estate and Kin Ming Estate (Item 9),Tseung Kwan O Kai Fong Joint Association Limited,2026-05-01 00:00:00,"HK$4,677,000.00",16-month contract,https://www.epd.gov.hk/epd/english/news_events/notices/notices_260615.html,,
10,WRR25165,Environmental Protection Department,Provision of the Services for Setting up and Operation of Recycling Stores in Public Rental Housing Estates (Follow-on Contracts) for Islands District - Yat Tung (2) Estate and Ying Tung Estate (Item 10),OIWA LIMITED,2026-05-01 00:00:00,"HK$4,486,732.00",16-month contract,https://www.epd.gov.hk/epd/english/news_events/notices/notices_260615.html,,
11,WRR25165,Environmental Protection Department,Provision of the Services for Setting up and Operation of Recycling Stores in Public Rental Housing Estates (Follow-on Contracts) for Kowloon City District - Tak Long Estate (Item 11),Community Care Limited,2026-05-01 00:00:00,"HK$2,504,896.00",16-month contract,https://www.epd.gov.hk/epd/english/news_events/notices/notices_260615.html,,
12,WRR25165,Environmental Protection Department,Provision of the Services for Setting up and Operation of Recycling Stores in Public Rental Housing Estates (Follow-on Contracts) for Tai Po District - Tai Yuen Estate and Kwong Fuk Estate (Item 13),iRecycle Charity Foundation Limited,2026-05-01 00:00:00,"HK$4,751,220.00",16-month contract,https://www.epd.gov.hk/epd/english/news_events/notices/notices_260615.html,,
13,WRR25165,Environmental Protection Department,"Provision of the Services for Setting up and Operation of Recycling Stores in Public Rental Housing Estates (Follow-on Contracts) for Yuen Long District - Tin Wah Estate, Tin Yan Estate and Tin Heng Estate (Item 14)",Pumen Foundation Limited,2026-05-01 00:00:00,"HK$7,635,600.00",16-month contract,https://www.epd.gov.hk/epd/english/news_events/notices/notices_260615.html,,
14,WRR25155,Environmental Protection Department,Provision of Service for Supplying Electronic Point for GREEN$ Conversion in GREEN$ Mobile Application,AS Watson MoneyBack (HK) Limited,2026-04-01 00:00:00,"HK$9,000,000.0027 February 2026",30-month contract,https://www.epd.gov.hk/epd/english/news_events/notices/notices_260529.html,,
15,WRR25155,Environmental Protection Department,Provision of Service for Supplying Electronic Point for GREEN$ Conversion in GREEN$ Mobile Application,Alipay Payment Services (HK) Limited,2026-04-01 00:00:00,"HK$6,460,000.00",,https://www.epd.gov.hk/epd/english/news_events/notices/notices_260529.html,,
16,WRR25155,Environmental Protection Department,Provision of Service for Supplying Electronic Point for GREEN$ Conversion in GREEN$ Mobile Application,Carbon Wallet Company Limited,2026-04-01 00:00:00,"HK$3,078,645.00",,https://www.epd.gov.hk/epd/english/news_events/notices/notices_260529.html,,
17,RR25002,Environmental Protection Department,Waste Paper Pulping and Export Services,Zhou Zhi Limited,2026-04-01 00:00:00,"HK$ 1,200,000,000.00",60-month contract,https://www.epd.gov.hk/epd/english/news_events/notices/notices_260422.html,,
18,WMS25001,Environmental Protection Department,"Provision of Services for Collection, Treatment and Recycling of Waste Electrical and Electronic Equipment (Washing Machines) 2025",Vannex International Limited,2026-03-01 00:00:00,"HK$2,426,400.0016 January 2026",12-month contract,https://www.epd.gov.hk/epd/english/news_events/notices/notices_260327.html,,
19,TD25001,Environmental Protection Department,Contract No.: EP/SP/383/26 – Provision of Operation Services for North West New Territories Transfer Station,Canvest Environmental Protection Group Company Limited ,2026-02-01 00:00:00,"HK$476,947,143.50",60-month contract (14/09/2026 – 13/09/2031),https://www.epd.gov.hk/epd/english/news_events/notices/notices_260306.html,,
20,EP/SP/307/24,Environmental Protection Department,Sha Tin Transfer Station Third Follow-On Contract,Grandblue Canvest - Pekko Joint Venture,2026-01-01 00:00:00,"HK$1,497,956,678.00",10 years design-build-operate contract,https://www.epd.gov.hk/epd/english/news_events/notices/notices_260123.html,,
21,ASM25013,Environmental Protection Department,"Air Quality Monitoring Stations Contract No. 20 - Operation of Tap Mun, Tsuen Wan, Tung Chung and Yuen Long Air Quality Monitoring Stations",AECOM Asia Company Limited,2026-01-01 00:00:00,"HK$7,104,000.00",60-month contract,https://www.epd.gov.hk/epd/english/news_events/notices/notices_260116.html,,
0,DE/2026/08,Drainage Services Department,Upgrading of Electrical System at Sha Tin Main Sewage Pumping Station,Dunwell Engineering Company Limited,2026-05-27 00:00:00,"HK$8,900,000.00",,https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject446.html,2026-06-10 00:00:00,2027-08-04 00:00:00
1,DC/2026/02,Drainage Services Department,Improvement of Sewage Rising Mains in Shek O and Tui Min Hoi,EGIS-SMEDI Joint Venture,2026-06-04 00:00:00,"HK$28,980,950.00",,https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject444.html,2026-06-17 00:00:00,2030-10-17 00:00:00
2,DE/2026/05,Drainage Services Department,"Term Contract for Inspection, Repair, Overhaul and Testing of Electrical and Mechanical Installations at Various Sewage Treatment Works and Pumping Stations in New Territories West and New Territories North (2026-2029)",Shun Yuen Construction Company Limited,2026-05-21 00:00:00,"HK$239,233,660.23",,https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject443.html,2026-06-01 00:00:00,2030-05-31 00:00:00
3,DC/2025/10,Drainage Services Department,Shek Wu Hui Effluent Polishing Plant Stage 2 – Civil Works,Shun Yuen Construction Company Limited,2026-05-27 00:00:00,"HK$249,708,314.23",,https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject445.html,2026-06-01 00:00:00,2030-05-31 00:00:00
4,CE 38/2025 (SP),Drainage Services Department,Integrated Delivery Partner (IDP) Services for the Remaining Works of the Relocation of Sha Tin Sewage Treatment Works to Caverns – Design and Construction,REC Engineering Company Limited,2026-06-01 00:00:00,"HK$270,230,462.00",,https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject436.html,2026-08-14 00:00:00,2029-08-13 00:00:00
5,DE/2025/09,Drainage Services Department,"Term Contract for Inspection, Repair, Overhaul and Testing of Electrical and Mechanical Installations at Various Sewage Treatment Works and Pumping Stations in Sha Tin and Sai Kung (2026-2029)",Welcome-Riseway Joint Venture (Welcome Construction Company Limited-Riseway Construction Engineering Limited Joint Venture),2026-05-27 00:00:00,"HK$310,596,577.03",,https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject438.html,2026-06-01 00:00:00,2030-05-31 00:00:00
6,DE/2025/07,Drainage Services Department,Upgrading of Electrical and Mechanical Installations for Tai Po Tai Yuen Sewage Pumping Station Package III,Build King – Tsun Yip Joint Venture (Build King Civil Engineering Limited – Tsun Yip Civil Construction Company Limited Joint Venture),2026-06-12 00:00:00,"HK$2,112,639,927.00",,https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject437.html,2026-06-26 00:00:00,2031-04-01 00:00:00
7,DC/2025/01/F3/JR04,Drainage Services Department,Framework Contract for Drainage Maintenance and Construction in Hong Kong Island and Islands Districts (2026-2030) and Drainage Maintenance and Construction in Mainland North Districts (2027-2030) (Contract F3): Job Request No. JR04 – Regional Job Request for DCA/MN2,Best Build Construction Company Limited,2026-07-03 00:00:00,"HK$149,413,300.00",,https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject439.html,2026-07-17 00:00:00,2029-04-17 00:00:00
8,DC/2025/01/F2/JR03,Drainage Services Department,Framework Contract for Drainage Maintenance and Construction in Hong Kong Island and Islands Districts (2026-2030) and Drainage Maintenance and Construction in Mainland North Districts (2027-2030) (Contract F2): Job Request No. JR03 – Regional Job Request for DCA/HKI2,"REC-AEL JV (REC Engineering Company Limited – Associated Engineers, Limited Joint Venture)",2026-06-25 00:00:00,"HK$390,770,866.00",,https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject441.html,2026-08-09 00:00:00,2029-08-08 00:00:00
9,DC/2025/01/F3/JR01,Drainage Services Department,Framework Contract for Drainage Maintenance and Construction in Hong Kong Island and Islands Districts (2026-2030) and Drainage Maintenance and Construction in Mainland North Districts (2027-2030) (Contract F3): Job Request No. JR01 – Regional Job Request for DCA/HKI1,Keyway Engineering Limited,2026-07-31 00:00:00,"HK$16,175,000.00",,https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject440.html,2026-08-13 00:00:00,2029-01-28 00:00:00
10,DC/2025/01/F1/JR02,Drainage Services Department,Framework Contract for Drainage Maintenance and Construction in Hong Kong Island and Islands Districts (2026-2030) and Drainage Maintenance and Construction in Mainland North Districts (2027-2030) (Contract F1): Job Request No. JR02 – Regional Job Request for DCA/MN1,Riseway-Welcome JV (Riseway Construction Engineering Limited-Welcome Construction Company Limited Joint Venture); LCY–SCL JV (Law Chi Yip Construction Company Limited–Sinohydro Corporation Limited Joint Venture),2026-02-27 00:00:00,"HK$428,859,600.00",,https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject442.html,2026-02-27 00:00:00,2030-02-26 00:00:00
11,DE/2025/05,Drainage Services Department,Upgrading of High Voltage Effluent Pumping System at Sha Tin Sewage Treatment Works,CRBC-FD Joint Venture (China Road and Bridge Corporation-Full Dragon Construction Engineering Limited Joint Venture);Welcome-Riseway Joint Venture (Welcome Construction Company Limited-Riseway Construction Engineering Limited Joint Venture);Shun Yuen Construction Company Limited,2026-02-27 00:00:00,"HK$1,082,236,050.00",,https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject432.html,2026-02-27 00:00:00,2030-02-26 00:00:00
12,CE 31/2025(DS) – (F1-F3),Drainage Services Department,Framework Contract for Rehabilitation and Construction of Sewage Rising Mains – Investigation and/or Design and Construction (Contract F1-F3),ATAL Engineering Limited,2026-03-31 00:00:00,"HK$390,097,500.00",,https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject434.html,2026-05-01 00:00:00,2029-04-30 00:00:00
13,DE/2025/11,Drainage Services Department,Installation of Screw Pump No. 7 for To Kwa Wan Preliminary Treatment Works,"CEL - AEL JV (Joint Venture of Chevalier (Envirotech) Limited - Associated Engineers, Limited)",2026-02-05 00:00:00,"HK$387,031,693.00",,https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject433.html,2026-03-01 00:00:00,2029-08-31 00:00:00
14,DE/2025/01,Drainage Services Department,"Term Contract for Inspection, Maintenance and Overhaul of Electrical and Mechanical Installation at Stonecutters Island Sewage Treatment Works (2025 – 2028)",Hsin Chong Aster Building Services Limited,2026-01-23 00:00:00,"HK$271,840,848.00",,https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject430.html,2026-02-01 00:00:00,2029-01-31 00:00:00
15,CE 30/2025 (GE),Drainage Services Department,Engineer Inspections and Stability Assessment for Maintenance of DSD Slopes / Retaining Walls (2025 – 2030) – Investigation,Torishima (Hong Kong) Limited,2026-04-15 00:00:00,"HK$11,987,500.00",,https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject435.html,2026-04-22 00:00:00,2027-10-13 00:00:00
16,DC/2025/02/F1-F2,Drainage Services Department,Framework Contract for Building and Civil Maintenance and Minor Works to DSD Plants and Facilities (2026-2030) (Contract F1-F2),"The Jardine Engineering Corporation, Limited",2026-04-08 00:00:00,"HK$3,195,000.00",,https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject426.html,2026-04-21 00:00:00,2026-11-16 00:00:00
17,DC/2025/01/F1–F3,Drainage Services Department,Framework Contract for Drainage Maintenance and Construction in Hong Kong Island and Islands Districts (2026-2030) and Drainage Maintenance and Construction in Mainland North Districts (2027-2030) (Contract F1-F3),CRBC-FD Joint Venture (China Road and Bridge Corporation-Full Dragon Construction Engineering Limited Joint Venture),2026-05-21 00:00:00,"HK$293,760,378.15",,https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject427.html,2026-06-01 00:00:00,2030-05-31 00:00:00
18,DE/2025/02,Drainage Services Department,"Term Contract for Maintenance and Overhaul of E&M Installations at Sewage Treatment and Flood Protection Facilities in Hong Kong Island, Kowloon and Part of the New Territories (2026 – 2029)",WSP (Asia) Limited,2026-03-27 00:00:00,"HK$5,980,000.00",,https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject431.html,2026-04-10 00:00:00,2031-04-10 00:00:00
19,DE/2024/08,Drainage Services Department,"Term Contract for Overhaul, Maintenance, Testing and Plant Engineering Works of Electrical and Mechanical Installations at Various Sewage Treatment Facilities and Pumping Stations on Lantau and Outlying Islands",CE 31/2025(DS) - F1: Mannings – SMEDI JV;CE 31/2025(DS) - F2: Meinhardt Infrastructure and Environment Limited;CE 31/2025(DS) - F3: Wings & Associates Consulting Engineers Limited,2026-04-09 00:00:00,"HK$27,901,805.00",,https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject429.html,2026-04-16 00:00:00,2029-04-15 00:00:00
20,DE/2024/06,Drainage Services Department,Term Contract for Waste Disposal and Minor Civil Engineering Works at Various Sewage Treatment Works and Pumping Stations in the New Territories (2025–2028),REC-CEL JV (REC Engineering Company Limited-Chevalier (Envirotech) Limited Joint Venture),2025-06-16 00:00:00,"HK$3,494,721,442.80",,https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject428.html,2025-06-25 00:00:00,2031-04-26 00:00:00
21,DE/2025/04,Drainage Services Department,Upgrading of Screw Pump No. 6 for To Kwa Wan Preliminary Treatment Works and Step Screen No. 4 for Kwun Tong Preliminary Treatment Works,ATAL Engineering Limited,2025-09-22 00:00:00,"HK$132,869,976.00",,https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject425.html,2025-09-30 00:00:00,2030-01-28 00:00:00
22,DC/2025/07,Drainage Services Department,Relocation of Sha Tin Sewage Treatment Works to Caverns – Civil Works for Sewage Treatment Facilities and Associated Works,"Qingdao Spring Water-treatment Co., Ltd.",2025-09-22 00:00:00,"HK$423,308,395.00",,https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject424.html,2025-09-30 00:00:00,2030-01-28 00:00:00
23,DE/2024/13,Drainage Services Department,Relocation of Sha Tin Sewage Treatment Works to Caverns – Provision of Sludge Dewatering System,WCCL – PMPS JV (Welcome Construction Company Limited – PMPS Liner Technology (Hong Kong) Limited Joint Venture); Hing & Cheong Company Limited; BUDA Surveying Limited; Shun Yuen Construction Company Limited,2025-08-15 00:00:00,"HK$709,529,909.00",,https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject423.html,2025-08-15 00:00:00,2028-08-14 00:00:00
24,DE/2024/12,Drainage Services Department,Relocation of Sha Tin Sewage Treatment Works to Caverns – Provision of Biological Treatment System,Darwin Engineering Limited,2025-07-16 00:00:00,"HK$141,978,960.00",,https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject420.html,2025-07-25 00:00:00,2028-12-26 00:00:00
25,DE/2024/11,Drainage Services Department,Relocation of Sha Tin Sewage Treatment Works to Caverns – Provision of Primary Sedimentation System,ATAL Engineering Limited,2025-09-22 00:00:00,"HK$4,633,479,872.00",,https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject421.html,2025-09-30 00:00:00,2030-08-30 00:00:00
26,DE/2024/10,Drainage Services Department,Relocation of Sha Tin Sewage Treatment Works to Caverns – Electrical and Mechanical Works for Sewage Treatment Facilities and Associated Works,SUEZ Infrastructure (China) Company Limited,2025-12-03 00:00:00,"HK$302,256,040.00",,https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject422.html,2025-12-10 00:00:00,2030-04-09 00:00:00
27,DC/2024/12/F1-F4,Drainage Services Department,Framework Contract for Structural Improvement of Sewers and Stormwater Drains in Mainland South Districts (Contract F1-F4),Alchmex – STEC Joint Venture (Alchmex International Construction Limited – Shanghai Tunnel Engineering Co. Ltd. Joint Venture),2025-12-18 00:00:00,"HK$3,872,000,000.74",,https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject416.html,2025-12-30 00:00:00,2030-10-29 00:00:00
28,DC/2023/17,Drainage Services Department,West Kowloon and Tsuen Wan Village Sewerage – Phase 2 (Package 1),"Partner A's works: The Jardine Engineering Corporation, Limited; Partner B's works: Associated Engineers, Limited",2026-01-06 00:00:00,"HK$14,560,357.00",,https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject415.html,2026-01-19 00:00:00,2027-07-12 00:00:00
29,DE/2024/09,Drainage Services Department,Hung Shui Kiu Effluent Polishing Plant Phase 1 – E&M Works and Biological Treatment Building,Unison Construction Engineering Limited,2026-01-13 00:00:00,"HK$257,123,136.00",,https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject413.html,2026-02-01 00:00:00,2029-01-31 00:00:00
30,DC/2024/11,Drainage Services Department,Hung Shui Kiu Effluent Polishing Plant Phase 1 – Civil Works,China State – Best Build Joint Venture (China State Construction Engineering (Hong Kong) Limited – Best Build Construction Company Limited Joint Venture),2025-06-12 00:00:00,"HK$2,052,999,999.83",,https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject412.html,2025-06-25 00:00:00,2030-12-23 00:00:00
31,DE/2024/07,Drainage Services Department,Upgrading of Screw Pump No. 5 for To Kwa Wan Preliminary Treatment Works,Bestwise Envirotech Limited,2025-04-11 00:00:00,"HK$6,650,000.00",,https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject414.html,2025-04-23 00:00:00,2026-07-16 00:00:00
0,Contract No.: CV/2025/02,Civil Engineering and Development Department,"Landslip Prevention and Mitigation Programme, New Territories West and Lantau, Phase 1, Contract 2",CM Geotechnics Limited,2026-07-29 00:00:00,HK$270.64,,https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2398.html,,
1,Contract No.: CEDD/S/T/1/2026,Civil Engineering and Development Department,"Landslip Prevention and Mitigation Programme, Kowloon and New Territories West, Phase 1, Contract 2",Pan Kee Construction Limited,2026-07-14 00:00:00,HK$193.17,,https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2404.html,,
2,Contract No.: ND/2024/11,Civil Engineering and Development Department,"Landslip Prevention and Mitigation Programme, Ground Investigation Term Contract (2025-2028), Contract 5",Tysan Foundation Limited,2026-07-06 00:00:00,HK$32.03,,https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2392.html,,
3,Contract No.: GE/2025/29,Civil Engineering and Development Department,"Tung Chung New Town Extension – Infrastructure Works at Tung Chung Valley, Phase 2",CCC-CCECC-CR11G Joint Venture,2026-06-26 00:00:00,HK$792 million,,https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2410.html,,
4,Contract No.: YL/2024/03,Civil Engineering and Development Department,San Tin Technopole Phase 1 Stage 1 (East) – Contract 2 – Site Formation and Engineering Infrastructure Works,CRBC - MAYLON Joint Venture,2026-06-11 00:00:00,"HK$ 2,266.91",,https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2408.html,,
5,Contract No.: ND/2025/03,Civil Engineering and Development Department,Supply of Rock Mechanics Test System to the Civil Engineering and Development Department (This tender is covered by the Agreement on Government Procurement of the World Trade Organization and will not involve electronic auction.),Keao Limited,2026-06-10 00:00:00,HK$7.88,,https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2399.html,,
6,Contract No.: GE/2026/12,Civil Engineering and Development Department,Tung Chung New Town Extension - Infrastructure Works at Ying Hei Road and Tung Chung Waterfront Road,Richwell Engineering - Wang Kee Civil Joint Venture,2026-05-27 00:00:00,HK$634 million,,https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2405.html,,
7,Contract No.: GE/2025/25,Civil Engineering and Development Department,"Landslip Prevention and Mitigation Programme, Ground Investigation Term Contract (2025-2028), Contract 7",Fugro Geotechnical Services Limited,2026-05-13 00:00:00,HK$36.54,,https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2409.html,,
8,Contract No.: CEDD/S/T/11/2025,Civil Engineering and Development Department,Improvement to So Kwun Po Interchange,Build King – Richwell Engineering Joint Venture,2026-05-08 00:00:00,$1485.539M,,https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2397.html,,
9,Contract No.: NL/2025/09,Civil Engineering and Development Department,Provision of Time Domain Reflectometry Testing Services for the Public Works Laboratories – North Western and South-Western Areas (Term Contract),Castco Testing Centre Limited,2026-04-29 00:00:00,HK$3.38,,https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2391.html,,
10,Contract No.: GE/2025/27,Civil Engineering and Development Department,Supply of Compression Testing Machine for Covers to the Civil Engineering and Development Department (This tender is covered by the Agreement on Government Procurement of the World Trade Organization and will not involve electronic auction.),Great Safe Apparatus Limited,2026-04-15 00:00:00,HK$1.25,,https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2400.html,,
11,Contract No.: GE/2025/19,Civil Engineering and Development Department,Expansion of Aberdeen Typhoon Shelter,CCS Joint Venture,2026-04-09 00:00:00,"HK$ 1,395.15M",,https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2386.html,,
12,Contract No.: CEDD/S/T/7/2025,Civil Engineering and Development Department,San Tin Technopole Phase 1 Stage 1 (West) - Contract 3 - Site Formation and Engineering Infrastructure Works,Gammon - Richwell Engineering Joint Venture,2026-04-08 00:00:00,"$4,112.92",,https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2390.html,,
13,Contract No.: GE/2025/21,Civil Engineering and Development Department,"Landslip Prevention and Mitigation Programme, Ground Investigation Term Contract (2025-2028), Contract 8",Gold Ram Engineering & Development Limited,2026-03-30 00:00:00,HK $35.87M,,https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2389.html,,
14,Contract No.: GE/2025/33,Civil Engineering and Development Department,Supply of Pendulum Impact Testing Machine to the Civil Engineering and Development Department (This tender is covered by the Agreement on Government Procurement of the World Trade Organization and will not involve electronic auction.),Great Safe Apparatus Limited,2026-03-30 00:00:00,HK$1.988,,https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2395.html,,
15,Contract No.: ND/2025/04,Civil Engineering and Development Department,"Landslip Prevention and Mitigation Programme, Kowloon and New Territories East, Phase 1, Contract 4",A-City Workshop Limited,2026-03-25 00:00:00,HK$176.97,,https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2407.html,,
16,Contract No.: GE/2025/26,Civil Engineering and Development Department,Ground Investigation Works for Development of San Tin Technopole (Phase 2),Tysan Foundation Limited,2026-03-25 00:00:00,HK$27.50,,https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2394.html,,
17,Contract No.: GE/2025/12,Civil Engineering and Development Department,Yuen Long South New Development Area Second Phase Development – Contract 5 – Road Improvement Works at Tai Kei Leng Road and Yuen Ching Road,Tung Lee Civil Engineering Limited,2026-03-16 00:00:00,HK$301.78 million,,https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-1375.html,,
18,Contract No.: ND/2025/01,Civil Engineering and Development Department,Ground Investigation – New Territories East,Bachy Soletanche Group Limited,2026-02-27 00:00:00,HK$33.98 million,,https://www.cedd.gov.hk//eng/tender-notices/contracts/contracts-awarded/index-id-2382.html,,
