company name,location,Booth: 3C-D14   |   Public Hall - Beverages (Alcoholic)   |   ,,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Brand Name,Company Website,HKTDC Events,Certificates,Other Certificates,supplier_url,exhibitor_url,Company Background,Booth: 1B-A10   |   Public Hall - Sauces & Seasonings   |   
Exclusive J Company Limited,Hong Kong    |    Factory in France,,,"Wholesaler, Importer","Canned Food, Instant Food",Foie gras / Duck confit / Chalosse ham / Rillettes & Terrine,Maison Argaud,www.maisonargaud.hk,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026 HKTDC Hong Kong International Wine & Spirits Fair 2025 HKTDC Food Expo 2025 HKTDC Hong Kong International Wine and Spirits Fair 2024 HKTDC Food Expo 2024 HKTDC Food Expo 2023 HKTDC Food Expo 2022 HKTDC Food Expo 2021 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Exclusive-J-Company-Limited/1X0A29OL?fairCode=hkfoodexpo&locale=en,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S0063MJT?fairCode=hkfoodexpo&locale=en,"Since 1982 the Argaud family producer of artisan delicacies in the French Pyrenean foothills, in partnership with local farmers, has long raised the free-range ducks that go into its premium foie gras, while its confit, terrines and rillettes are all prepared using 100% natural ingredients, keeping traditional recipes and methods, with no added preservatives.",
Diverxu Limited,Hong Kong    |    Factory in Spain,,,"Importer, Wholesaler","Frozen Meat, Organic Food & Beverage, Snack, Canned Food, Cheese","A wide range of iberico ham, cheese and canned food from different region of Spain",DIVERXU,www.diverxu.com,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026 HKTDC World of Snacks 2026 HKTDC Hong Kong International Wine & Spirits Fair 2025 HKTDC Food Expo 2025 HKTDC World of Snacks 2025 HKTDC Hong Kong International Wine and Spirits Fair 2024 HKTDC Food Expo 2024 HKTDC World of Snacks 2024 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Diverxu-Limited/1X0AZ0QA?fairCode=hkfoodexpo&locale=en,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S0063K6Y?fairCode=hkfoodexpo&locale=en,"Diverxu is a company that specializes in promoting Spanish gastronomy, and is a specialist in Iberian ham. The company operates a wholesale and retail business of Spanish delicacies in Hong Kong, offering a wide range of Spanish Iberian ham, cheese and other products. Diverxu also stives for providing fusion recipes to make Spanish food more accessible and enjoyable to Hong Kong people.",
Tristar Industrial Ltd,Hong Kong    |    Factory in Netherlands,,,"Private Individual, Retailer, Importer, Wholesaler","Table Wine, Chocolate, Sparkling Wine, Cheese, Dried & Preserved Food","World Champion Cheese, Bio Premium Gold Medal cheese from the Netherlands.","Kaas Atelier,Hugo's Cheese",www.kaasatelier.org,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026 HKTDC World of Snacks 2026 HKTDC Hong Kong International Wine & Spirits Fair 2025 HKTDC Food Expo 2025 HKTDC World of Snacks 2025 HKTDC Hong Kong International Wine and Spirits Fair 2024 HKTDC Food Expo 2024 HKTDC World of Snacks 2024 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Tristar-Industrial-Ltd/1X03XZFO?fairCode=hkfoodexpo&locale=en,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S0063MNH?fairCode=hkfoodexpo&locale=en,"In 1966 Hugo, started working with Friesland Campina, based in Leeuwarden-Friesland. In Hong Kong, Hugo provides an excellent and exquisite range of Cheeses specially selected for the Hong Kong market. Drawing on nearly 60 years of tradition, savoir faire and cheeses passions, discover the art of Dutch & Belgian cheese with Kaas Atelier - Hugo's Cheese.",
Urban Dining Limited,Hong Kong    |    Factory in Chinese Mainland,,,"Distributor, Import Agent, Export Agent","Snack, Biscuit, Sauce, Tea, Candy, Dried Seafood, Snack, Biscuit, Sauce, Tea, Candy, Dried Seafood",Aged tangerine peels; tea.,Yong Gong Hao,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026 HKTDC Hong Kong International Tea Fair 2026 HKTDC Food Expo 2025 HKTDC Food Expo 2024 HKTDC Food Expo 2023,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Urban-Dining-Limited/1S00OFE3D?fairCode=hkfoodexpo&locale=en,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S00660EU?fairCode=hkfoodexpo&locale=en,Food and beverage business investment; food and beverage management.,
Great (HK) Investment Company Limited,Hong Kong,,,Importer,"Snack, Fruit Juice, Liqueur, Chocolate","Black Truffle Sauce, White Truffle Sauce, Blueberry Juice, Bilberry Juice, Vegan Chocolate, Dried Mango, Popcorn","Siam's Royal,Bonne,Pennii",,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026 HKTDC World of Snacks 2026 HKTDC Hong Kong International Wine & Spirits Fair 2025 HKTDC Food Expo 2025 HKTDC World of Snacks 2025 HKTDC Hong Kong International Wine and Spirits Fair 2024 HKTDC Food Expo 2024 HKTDC World of Snacks 2024 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Great-HK-Investment-Company-Limited/1X09T19O?fairCode=hkfoodexpo&locale=en,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S0063N5Y?fairCode=hkfoodexpo&locale=en,,
Ilifa Hong Kong Limited,Hong Kong,,,"Import Agent, Wholesaler","Functional Food, Coffee","ILIFA South African roasted flavoured coffee: 100% Arabica African coffee, artisan-roasted in South Africa for a smooth, full-bodied, aromatic cup. ILIFA African pure raw honey: from wild mono-floral, harvested seasonally from pristine grassland",ILIFA,www.ilifashop.com/zh-tw,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026 HKTDC Food Expo PRO 2026 HKTDC Food Expo 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/ILIFA-HONG-KONG-LIMITED/1S00P3T4V?fairCode=hkfoodexpo&locale=en,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S0063OP9?fairCode=hkfoodexpo&locale=en,"ILIFA HONG KONG LIMITED is a member of a dynamic global goods and services trading company. With an expansive network across nations in Southern Africa and Asia, ILIFA specialises in global sourcing, marketing, product distribution, strategic trading, and fostering international supply partnerships. Our dynamic portfolio currently encompasses key industries such as agriculture (foods), renewable energy, hospitality and construction. With its own brand ILIFA, which was conceived with the vision of encapsulating Africa's rich legacy and heritage, with the intention of sharing the exceptional qualities of the African continent with communities beyond its borders. We have curated an array of premium food and beverage products that align with our brand's essence and its significance, including African flavoured coffee and locally sourced pure raw honey. ILIFA aims to forge connections between African businesses and global markets.",
LY Drinks & Bites Limited,Hong Kong    |    Factory in Japan,,,"Distributor, Importer","Sake, Liqueur","Premium Japanese wholesale: LY Drinks & Bites Ltd supplies authentic Sakes, Craft Beers, and high-quality beverages directly to restaurants and shops. Experience seamless ""farm-to-table"" sourcing and elite quality for your business.","羽陽男山,福小町,金鶴,与謝娘,蒼天伝,温羅,伯楽星,瀨戶酒造店,飛鸞,盛田壯兵衛,山の寿",www.ottottohk.com,"Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026 HKTDC Food Expo 2025 HKTDC Food Expo 2024 HKTDC Food Expo 2023 Chic HK, Shenzhen HKTDC Food Expo 2022 HKTDC Simply Shopping Fest 2022 China International Import Expo, Shanghai - Hong Kong Merchandise Exhibition Show More",,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/LY-Drinks-Bites-Ltd/1X095LFU?fairCode=hkfoodexpo&locale=en,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S0063U8I?fairCode=hkfoodexpo&locale=en,"Established in 2015, LY Drinks & Bites Ltd is dedicated to sourcing and supplying the highest quality Japanese food and beverages. Our mission is simple: to bring the authentic flavors of Japan to our customers with uncompromising freshness and integrity. The Source of Our Quality Our strength lies in our direct heritage and ""farm-to-table"" philosophy. We maintain robust, tech-enabled relationships with a network of premier Japanese suppliers, farmers, and fisheries. By staying in constant contact with our producers, we eliminate unnecessary delays, ensuring that the freshest seasonal products are delivered to you in the fastest and most secure way possible. Effortless Ordering We believe that sourcing premium ingredients should be as enjoyable as eating them. Corporate Partners: Contact us directly via phone or email. Our team is committed to rapid response times to support your business needs. Individual Foodies: Shop instantly via WhatsApp or WeChat for a personalized, hassle-free experience. At LY Drinks & Bites, we believe the dining table is the ultimate space for connection and storytelling. Your Japanese food adventure begins with us.",
P & J Food HK Limited,Hong Kong    |    Factory in Hong Kong,,,"Wholesaler, Distributor, Importer, Retailer, Import Agent","Instant Food, Canned Food, Frozen Seafood, Frozen Meat, Dried & Preserved Food","Striploin, Cuberoll and Tomahawk steak, duroc pork and iberico pork from Spain. Lamb rack, Chicken mid-joint wings, soup, seafood and vegetarian food","Batalle,Black Opal,Natural Benefits,Ibercom,Superdrob,Miyazaki,Redoak,Albert daddy chef,Siu Gei Caa Lau",p-jfood.com,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026 HKTDC Food Expo PRO 2026 HKTDC Food Expo 2025 HKTDC Food Expo 2024 HKTDC Food Expo 2023,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/P-J-Food-HK-Limited/1X0B5KJT?fairCode=hkfoodexpo&locale=en,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S0063MKQ?fairCode=hkfoodexpo&locale=en,"P&J FOOD is a Hong Kong-based food importer and retailer established in 2018. Our mission is to provide high-quality, healthy food to our customers. Our product range includes frozen meat, seafood, vegetarian food, soup, juice, and beverages sourced from Australia, New Zealand, Spain, Japan, Taiwan, and Turkey. We are committed to providing products that are free from antibiotics and hormones, and that are sourced from responsible and sustainable suppliers. At P&J FOOD, we are passionate about what we do and strive to offer the best possible service and support to our customers.",
Georgian Vino Company,Hong Kong,,,Retailer,"Sparkling Wine, Liqueur, Table Wine, Liquor / Fortified Wine","Retail and wholesale of Georgian red & white wine, brand & whisky, chacha, icewine, dessert wine, honey, cheese, juice, Italian wines and Chinese Tea","Shumi,Atto Primo,Kakhuri Gvinis Marani,Bagrationi 1882,Kakhetian Traditional Winemaking,Jimsher,Quindi,Cheese Corner,Dugladze,Kapistoni,Suti Power,Shilda Winery",,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026 HKTDC Hong Kong International Wine & Spirits Fair 2025 HKTDC Food Expo 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Georgian-Vino-Company/1S00P3QGY?fairCode=hkfoodexpo&locale=en,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S0063VRW?fairCode=hkfoodexpo&locale=en,"Georgian Vino Company is a retail and wholesale company. We specialize in sourcing Georgia's fine wine, honey, cheese and juice. We are committed to promoting its 8,000 years tradition winemaking and natural honey. In addition, we have imported Italian wines and Mexico Padre Azul tequila.",
Koon Wah Food & Preserved Fruit Factory Limited,Hong Kong,,,"Wholesaler, Retailer","Snack, Biscuit, Candy","Regarding to our food products, we have over thousands of varieties ranging from preserved fruit, natural dried fruit, jerky, squid, nut and peanut, crispy food and dried seafood which providing high quality food and taste.",冠華食品 Koon Wah Food,www.koonwahfood.com.hk,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026 HKTDC Food Expo 2025 HKTDC Food Expo 2024 HKTDC Food Expo 2023 HKTDC Food Expo 2022 HKTDC Food Expo 2021 HKTDC Food Expo 2019 HKTDC Food Expo 2018 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Koon-Wah-Food-Preserved-Fruit-Fty-Ltd/1X05F6RR?fairCode=hkfoodexpo&locale=en,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S0063KH1?fairCode=hkfoodexpo&locale=en,"Koon Wah Food & Preserved Fruit Fty. Ltd. was founded in 1959 with its own production line in Hong Kong. In the same year, we established our first retail shop in Sham Shui Po, Kowloon. With a successful business running for more than 50 years, the company brand name of Koon Wah has been deeply planted into the hearts of each local and overseas customer. As a result of rapid business expansion, Koon Wah now owns five branch shops in Hong Kong. Our major markets are distributed in Hong Kong, China, U.S.A, South America, Australia and New Zealand. Regarding our food products, we have over thousands of varieties ranging from preserved fruit, natural dried fruit, jerked meat, crispy food and dried squid providing high quality foods and taste. To keep pace with the changing tastes of our customers, Koon Wah ensures the best food ingredients are selected to conserve the high quality, healthiness and freshness of the food product. Furthermore, we have created a new outlook of our food packaging, refurbished our retail shops and strive to satisfy the ever changing tastes and varieties of our food products. Koon Wah establishes itself as a modernized food product chain store which preserves its traditional aura.",
