url,Nature of Business,Location,Year of Establishment,Main Categories,Major Markets,Total Employees,Contact Person,Position,Office Address,Country/Region,Annual Turnover,Brands
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangdong-Kangdi-Packaging-Products-Co-Ltd-/1S00P1C66,,Chinese Mainland,,Plastic Packaging,,,Tao Kim,,"3, 4F, Haishuo Int'l Bldg, No.171, Beiwang Rd, Zhongtang, Dongguan, Guangdong, China",Chinese Mainland,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangdong-Risun-Print-By-Digital-Co-Ltd-/1S00ONQOA,,Chinese Mainland,,Paper Packaging,,,Zhang,CEO,"No. 3, Building B, Fuwang Street, Fusha Town, Zhongshan, Guangzhou, Guangdong, China",Chinese Mainland,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangdong-XinWei-New-Material-Technology-Co-Ltd-/1S00P2SZB,Manufacturer,"Guangzhou, Guangdong, Chinese Mainland",2021.0,"Gift Packaging, Gifts / Souvenirs, Metal Packaging, Packaging Materials, Stationery",Chinese Mainland,16 - 25,Miss Li keying,,"Room 903, Block 4, Ave Zengcheng Guangdong, Guangzhou china",Chinese Mainland,"US$ 100,000 - 249,999",XINWEI ISO9001 OEM ODM ESG Photosensitive Luminous EN-71 FDA Certificate Name Issued By Certificate Type Valid Date QUALITY MANAGEMENT SYSTEM CERTIFICATE CNAS ISO 9001 19 Aug 2024 - 18 Aug 2027
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangzhou-Colormark-Printing-and-Packaging-Ltd-/1X09ZMAW,"Exporter, Manufacturer, Wholesaler","Guangzhou, Guangdong, Chinese Mainland",2011.0,"Packaging Materials, Paper Packaging, Plastic Packaging, Printed Matters, Printing & Publishing Service, Printing Consumables, Stationery","Australasia, Chinese Mainland, Eastern Europe, Hong Kong, Japan, Korea, Middle East, North America, Other Asian Countries, Scandinavia, Southeast Asia, Taiwan, Western Europe, Worldwide",26 - 50,Miss Chan Keven,Sales Manager,"Area B,Floor 2,Kexuedadao NO. 72 Huangpu Distirct, Guangzhou, Guangdong, China",Chinese Mainland,"US$ 500,000 - 999,999 ODM OEM",
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangzhou-Shenghui-Nonwoven-Products-Co-Ltd-/1S00P03CX,"Exporter, Manufacturer","Guangzhou, Guangdong, Chinese Mainland",1995.0,"Bags, Handbags & Accessories, Homeware & Lifestyle Essentials, Packaging Materials, Plastic Packaging","Chinese Mainland, Eastern Europe, Hong Kong, Japan, Korea, North America, Southeast Asia, Taiwan, Western Europe, Worldwide",51 - 100,Ms May Su,,"No. 77, Shanghua First Street, Shenshan Salon Village, Jiangga, Guangzhou, Guangdong, China",Chinese Mainland,"US$ 5,000,000 - 9,999,999 View details Factory & Facility Research & Development Quality Control",
https://sourcing.hktdc.com/en/Supplier-Store/Profile/HAUR-TYI-PAPER-BAG-CO-LTD-/1S00OYNLM,,Taiwan,,"Packaging Services, Paper Packaging",,,Katy Lin,,"No.600, Zhong Zheng 2nd Street, Yong Kang Dist., Tainan City 71066, Taiwan",Taiwan,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Haining-Demei-Packing-products-Co-Ltd/1X091HE7,Manufacturer,"Jiaxing, Zhejiang, Chinese Mainland",2010.0,"Food & Beverage, Home Products, Lights & Constructions, Homeware & Lifestyle Essentials, Packaging Materials, Paper Packaging, Plastic Packaging","Central & South America, Chinese Mainland, Hong Kong, North America, Scandinavia, Western Europe",26 - 50 View details Factory & Facility,Mr Hai Lin,Sales Manager,"Sanjian Village South, Wangdian Town, Jiaxing City, Zhejiang, China",Chinese Mainland,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hua-De-Feng-Plastic-Packaging-Co-Ltd/1X03YN21,Manufacturer,"Foshan, Guangdong, Chinese Mainland",2004.0,"Bags, Handbags & Accessories, Gift Packaging, Gifts, Toys & Sports Supplies, Packaging Materials, Packaging Services, Paper Packaging, Printing & Packaging, Stationery & Office Equipment, Professional Services, Stationery","Chinese Mainland, Hong Kong, Japan, Worldwide",51 - 100,Ms ally lin,marketing,"12 Patou Road, Long Jiang Town, Foshan City, Guangdong 528318, China",Chinese Mainland,"US$ 1,000,000 - 4,999,999 ODM OEM View details Factory & Facility",
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Huizhou-ZhengXinYuan-Technology-Co-Ltd-/1S00P0VST,Manufacturer,"Shenzhen, Guangdong, Chinese Mainland",2001.0,,,201 - 500,Miss yiyang Yan,"Water-based ink, used in paper, cardboard, plastic film and other printing subst","Floor 3, Building B, Danshui River East Survey Sec Daling, Huiyang Economic Development Zone, Huizhou City, Huiyang, Guangdong, China 516000",Chinese Mainland,"US$ 250,000 - 499,999 labels Die cut plastic parts for new energy View details Quality Control",
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Jiangmen-City-Xinhui-Area-Keluo-Import-and-Export-Co-Ltd/1X08Z43L,"Exporter, Manufacturer","Jiangmen, Guangdong, Chinese Mainland",,"Food & Beverage, Gifts, Toys & Sports Supplies, Home Products, Lights & Constructions, Homeware & Lifestyle Essentials, Packaging Materials, Party Supplies","Eastern Europe, Western Europe",,Ms Amy Leung,,"Room101.Unit 7, No.18, Guifengdong Road, Xinhui Area, Jiangmen, Jiangmen",Chinese Mainland,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Longyou-Synponh-Packaging-Materials-Co-Ltd-/1S00P0ZWD,"Exporter, Manufacturer","Quzhou, Zhejiang, Chinese Mainland",2018.0,"Packaging Materials, Paper Packaging","Eastern Europe, Middle East, North America, Southeast Asia, Worldwide",51 - 100,Miss Rebecca Xu,Sales Manager,"26, Jinxing Avenue, Economic Development Zone, Longyou, Quzhou, Zhejiang, China 324400",Chinese Mainland,"US$ 10,000,000 - 49,999,999",Synponh View details Factory & Facility Research & Development Quality Control
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Meisheng-Packaging-Shenzhen-Co-Ltd-/1S00O9WJJ,,Chinese Mainland,,"Paper Packaging, Plastic Packaging",,,- Zheng,Sales Manager,"6-2, 1st And 2nd Floor, Egongling Industrial Park, Liulian Community, Pingdi Street, Shenzhen, Guangdong, China 518117",Chinese Mainland,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Qingdao-Deepack-Co-Ltd/1S00O713Q,"Exporter, Manufacturer","Qingdao, Shandong, Chinese Mainland",2014.0,Paper Packaging,"Central & South America, Eastern Europe, Hong Kong, Japan, Korea, Middle East, North America, Scandinavia, Western Europe, Worldwide",501 - 1000,Mr Michael Qiu,SALES MANAGER,"No.61 WANGXIN ROAD PROVINCIAL HIGH AND NEW TECHNOLOGY INDUSTRIAL DEVELOPMENT ZONE JIMO QINGDAO CITY,CHINA CHINA",Chinese Mainland,"US$ 50,000,000 - 99,999,999","GUCCI ,Estee Lauder,Chanel,Versace,Target,WALMART ISO9001 FSC CERTIFICATE advanced equipment Heidelberg UV printing machin Certificate Name Issued By Certificate Type Valid Date FSC BV FSC 02 Jun 2021 - 01 Jun 2026 iso9001 shandong guojian certification co.,ltd ISO 9001 26 Jul 2021 - 25 Jul 2024 sedex bv SEDEX 11 Oct 2022 - 12 Oct 2023 View details Factory & Facility Research & Development Quality Control FSC ISO9001"
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shandong-Yongxin-Import-Export-Co-Ltd-/1S00P1E9V,"Exporter, Manufacturer","Qingdao, Shandong, Chinese Mainland",2022.0,,"Australasia, Central & South America, Eastern Europe, Japan, Korea, Middle East, North America, Southeast Asia, Western Europe",51 - 100,Mr Shibing Zhao,Sales director,Room 1909 Building 2，NO 31 Longcheng Road Shibei district,Chinese Mainland,"US$ 5,000,000 - 9,999,999",BRIVERGLASS Design drawing Customize bottle Make label Make box Cap Decoration
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shanxi-Uni-Moon-Green-Paper-Co-Ltd/1X0AQP3U,"Exporter, Manufacturer","Jinzhong, Shanxi, Chinese Mainland",2013.0,"Packaging Materials, Paper Packaging, Printed Matters, Printing Consumables, Stationery","Africa, Australasia, Central & South America, Chinese Mainland, Eastern Europe, Hong Kong, Japan, Korea, Middle East, North America, Other Asian Countries, Scandinavia, Southeast Asia, Taiwan, Western Europe, Worldwide",101 - 200,Mr Zhiwei Zhao,Sales Manager,"Shanxi Uni-moon Green Paper Co.,Ltd. Nanchang Village Duancun Town, Pingyao County, Jinzhong City, Shanxi Province China",Chinese Mainland,,"Uni-moon Certificate Name Issued By Certificate Type Valid Date FDA Test Report Centre Testing International (Tianjin) Co., Ltd.Ltd. Others 12 Jul 2024 - 01 Apr 2035 REACH Test Report Cetre Testing Inernational (Tianjin) Co.,Ltd. Others 12 Jul 2024 - 01 Apr 2035 ROHS Test Report Centre Testing International (Tianjin) Co., Ltd. Others 09 Jul 2024 - 01 Apr 2034 SDS Test Report Cetre Testing Inernational (Tianjin) Co.,Ltd. Others 22 Jul 2024 - 31 Dec 2034 View details Factory & Facility"
https://sourcing.hktdc.com/en/Supplier-Store/Profile/ShenZhen-HuaMao-Printing-Company-Limited/1S00OTDFE,Manufacturer,"Shenzhen, Guangdong, Chinese Mainland",2007.0,"Educational Toys, Food & Beverage, Gift Packaging, Gifts, Toys & Sports Supplies, Jewellery & Watch, Packaging & Displaying Materials, Packaging Materials, Paper Packaging, Stationery","Australasia, Central & South America, Hong Kong, Japan, Korea, North America, Scandinavia, Worldwide",101 - 200,Miss Rachel CHEN,,"No.1 - No.3 Bldg, No.20 Wulian Road Long Xi Community,Longgang Street Longgang District,SZ, China",Chinese Mainland,"US$ 1,000,000 - 4,999,999 Innovation Integrity Being responsible Certificate Name Issued By Certificate Type Valid Date FSC SGS FSC 01 Dec 2016 - 30 Nov 2026 SEDEX Intertek SEDEX 06 Jan 2025 - 08 Jan 2026 View details Factory & Facility Research & Development Quality Control",
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-Caimei-Plus-Printing-Co-Ltd-/1S00ONSME,,Chinese Mainland,,"Paper Packaging, Printing & Publishing Service",,,Wendy,Manager,"1-11 Floor, Building 2, Dongweifeng New Material Industrial Park, No. 2 Shengjia Rd, Gaoqiao Community, Pingdi Stree Longgang District, Shenzhen, Guangdong 518117, Chi",Chinese Mainland,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/shenzhen-kingguand-Nameplate-Co-ltd/1X092SUU,Exporter,"Shenzhen, Guangdong, Chinese Mainland",2004.0,"Arts & Crafts, Clothing/ Garments, Fashion, Eyewear & Accessories, Gifts, Toys & Sports Supplies, Metal Packaging, Stationery","Africa, Australasia, Central & South America, Chinese Mainland, Hong Kong, Japan, Korea, Middle East, North America, Southeast Asia, Taiwan, Western Europe, Worldwide",51 - 100,Mr Sam Xing,G.Manager,"1-3/F, NO.9, Shabolong New Road, Pingshan New District, Shenzhen City, Shenzhen",Chinese Mainland,"US$ 250,000 - 499,999",Kingguand ODM OEM Certificate Name Issued By Certificate Type Valid Date ISO9001 - ISO 9001 - ISO14000 - - - Nqa.global assurance - - -
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Taotech-Digital-Technology-Co-Ltd-/1S00P2IQC,Manufacturer,"Zhongshan, Guangdong, Chinese Mainland",,"Apparel & Textile Machines, Printing & Packaging Equipment, Printing & Publishing Service, Printing Machines",,,Mr Matt Huang,SALES,"No.6-2, Jinhua Zhong Road, Shalang, Xiqu, Zhongshan, Guangdong, China",Chinese Mainland,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Wuahan-Xinhengyue-Industry-Trade-Co-Ltd-/1S00P0VTQ,,Chinese Mainland,,Paper Packaging,,,Lu Dan,General Manager,"No. 72, Hebaohu Road, Xingou Town, Dongxihu District, Wuhan City, Hubei Province, China",Chinese Mainland,,
