url,contact information,Country/Region,Address,Zip code,Company website
https://www.cantonfair.org.cn/en-US/shops/451692654734464#/,"['Basic Information', '', 'Company Name', '', 'Zhejiang Guangda Heyi Advanced Materials Co., Ltd.', '', 'Country/Region', '', 'China', '', 'Address', '', 'NO.28 WAITAI ROAD YAOZHUANG TOWN,JIASHAN COUNTY,JIA XING CITY,ZHE JIANG PROVINCE ,CHINA', '', 'Zip code', '', '314103', '', 'Company website', '', 'http://en.gooood.com.cn']",China,"NO.28 WAITAI ROAD YAOZHUANG TOWN,JIASHAN COUNTY,JIA XING CITY,ZHE JIANG PROVINCE ,CHINA",314103,http://en.gooood.com.cn
https://www.cantonfair.org.cn/en-US/shops/457127546294528#/,"['Basic Information', '', 'Company Name', '', 'Suzhou Hemudu E-commerce Co.,Ltd.', '', 'Country/Region', '', 'Anhui,China', '', 'Address', '', 'Room 416, Building 4, E-commerce Industrial Park, High-tech Zone, Suzhou city, Anhui Province', '', 'Zip code', '', '234000', '', 'Company website', '', '-']","Anhui,China","Room 416, Building 4, E-commerce Industrial Park, High-tech Zone, Suzhou city, Anhui Province",234000,-
https://www.cantonfair.org.cn/en-US/shops/451694960799072#/,"['Basic Information', '', 'Company Name', '', 'GUANGDONG WUQIANNIAN STATIONERY INDUSTRIAL CO.,LTD.', '', 'Country/Region', '', 'Guangdong,China', '', 'Address', '', 'LUXI INDUSTRIAL AREA, LUGANG TOWN, CHAONAN DISTRICT, SHANTOU', '', 'Zip code', '', '515146', '', 'Company website', '', 'http://www.wuqiannian.com']","Guangdong,China","LUXI INDUSTRIAL AREA, LUGANG TOWN, CHAONAN DISTRICT, SHANTOU",515146,http://www.wuqiannian.com
https://www.cantonfair.org.cn/en-US/shops/451693118348608#/,"['Basic Information', '', 'Company Name', '', 'HUIZHOU DELCHAM INDUSTRIAL CORPORATION LIMITED', '', 'Country/Region', '', 'Guangdong,China', '', 'Address', '', 'HI-TECH INDUSTRY ZONE, YONGSHI ROAD, SHIWAN TOWN, BOLUO COUNTY, HUIZHOU CITY, GUANGDONG PROVINCE, CHINA', '', 'Zip code', '', '516127', '', 'Company website', '', 'www.jeoly.com.cn']","Guangdong,China","HI-TECH INDUSTRY ZONE, YONGSHI ROAD, SHIWAN TOWN, BOLUO COUNTY, HUIZHOU CITY, GUANGDONG PROVINCE, CHINA",516127,www.jeoly.com.cn
https://www.cantonfair.org.cn/en-US/shops/451696903277760#/,"['Basic Information', '', 'Company Name', '', 'SHENZHEN S.Y. LABEL CO.,LTD', '', 'Country/Region', '', 'Guangdong,China', '', 'Address', '', ""BLock K,Licheng Industrial Park, Shajing Town, Bao'an District, Shenzhen,China"", '', 'Zip code', '', '518054', '', 'Company website', '', 'http://www.sylabels.com']","Guangdong,China","BLock K,Licheng Industrial Park, Shajing Town, Bao'an District, Shenzhen,China",518054,http://www.sylabels.com
https://www.cantonfair.org.cn/en-US/shops/451697941388576#/,"['Basic Information', '', 'Company Name', '', 'GUANGDONG BAOKE STATIONERY CO.,LTD.', '', 'Country/Region', '', 'Guangdong,China', '', 'Address', '', 'PEONY INDUSTRIAL ZONE,XIAYANG,JUWEI BRIGE OF XINHE,HEPING TOWN,CHAOYANG DISTRICT,SHANTOU CITY,GUANGDONG,CHINA.', '', 'Zip code', '', '515154', '', 'Company website', '', 'http://www.baokepen.com']","Guangdong,China","PEONY INDUSTRIAL ZONE,XIAYANG,JUWEI BRIGE OF XINHE,HEPING TOWN,CHAOYANG DISTRICT,SHANTOU CITY,GUANGDONG,CHINA.",515154,http://www.baokepen.com
https://www.cantonfair.org.cn/en-US/shops/521901245957888#/,"['Basic Information', '', 'Company Name', '', 'DUCKEY STATIONERY CO.,LTD', '', 'Country/Region', '', 'Zhejiang,China', '', 'Address', '', 'No.2388 Pengbei Avenue,Cluster District,Taizhou ,Zhejiang,China', '', 'Zip code', '', '318000', '', 'Company website', '', 'www.xiaojiya.com']","Zhejiang,China","No.2388 Pengbei Avenue,Cluster District,Taizhou ,Zhejiang,China",318000,www.xiaojiya.com
https://www.cantonfair.org.cn/en-US/shops/451698126531744#/,"['Basic Information', '', 'Company Name', '', 'Tonglu Top-pro Imp&Exp.Co.,Ltd.', '', 'Country/Region', '', 'Zhejiang,China', '', 'Address', '', 'DONGXI INDUSTRIAL PARK,FENSHUI TOWN,TONGLU COUNTY,ZHEJIANG PROV.CHINA', '', 'Zip code', '', '311519', '', 'Company website', '', 'http://www.toppen.cn']","Zhejiang,China","DONGXI INDUSTRIAL PARK,FENSHUI TOWN,TONGLU COUNTY,ZHEJIANG PROV.CHINA",311519,http://www.toppen.cn
https://www.cantonfair.org.cn/en-US/shops/451695068982624#/,"['Basic Information', '', 'Company Name', '', 'Zhejiang Delijia Stationery Co., Ltd', '', 'Country/Region', '', 'Zhejiang,China', '', 'Address', '', '#23 YUANDIAN ROAD YUANQIAO , HUANGYAN , TAIZHOU CITY, ZHEJIANG PROVINCE, CHINA', '', 'Zip code', '', '318025', '', 'Company website', '', 'http://www.delijia.com']","Zhejiang,China","#23 YUANDIAN ROAD YUANQIAO , HUANGYAN , TAIZHOU CITY, ZHEJIANG PROVINCE, CHINA",318025,http://www.delijia.com
https://www.cantonfair.org.cn/en-US/shops/451692166032672#/,"['Basic Information', '', 'Company Name', '', 'TONGLU IDO IMP & EXP CO.,LTD', '', 'Country/Region', '', 'Zhejiang,China', '', 'Address', '', 'Building No.5, Tianying Industry Area, Fenshui Town, Tonglu County, Hangzhou City, Zhejiang Prov. China', '', 'Zip code', '', '311519', '', 'Company website', '', 'http://www..ido-pen.cn']","Zhejiang,China","Building No.5, Tianying Industry Area, Fenshui Town, Tonglu County, Hangzhou City, Zhejiang Prov. China",311519,http://www..ido-pen.cn
https://www.cantonfair.org.cn/en-US/shops/527358819260384#/,"['Basic Information', '', 'Company Name', '', 'Sichuan Shengfa Electronic Technology Co., Ltd.', '', 'Country/Region', '', 'Sichuan,China', '', 'Address', '', 'PUAN INDUSTRIAL PARK, KAIJIANG COUNTY, DAZHOU CITY, SICHUAN PROVINCE', '', 'Zip code', '', '635200', '', 'Company website', '', '-']","Sichuan,China","PUAN INDUSTRIAL PARK, KAIJIANG COUNTY, DAZHOU CITY, SICHUAN PROVINCE",635200,-
https://www.cantonfair.org.cn/en-US/shops/451694155582752#/,"['Basic Information', '', 'Company Name', '', 'HF HIECO IMP & EXP CO.,LTD.', '', 'Country/Region', '', 'Anhui,China', '', 'Address', '', '384 JINZHAI ROAD,HEFEI,CHINA', '', 'Zip code', '', '230061', '', 'Company website', '', 'http://www.hfick.com.cn']","Anhui,China","384 JINZHAI ROAD,HEFEI,CHINA",230061,http://www.hfick.com.cn
https://www.cantonfair.org.cn/en-US/shops/451697705757792#/,"['Basic Information', '', 'Company Name', '', 'Shanghai Rock International Trading Co., Ltd.', '', 'Country/Region', '', 'Shanghai,China', '', 'Address', '', '18F, 82 BLDG., 1198 QINZHOU ROAD( NORTH ) SHANGHAI, P.R.CHINA', '', 'Zip code', '', '200233', '', 'Company website', '', 'http://www.rocktoolscn.com']","Shanghai,China","18F, 82 BLDG., 1198 QINZHOU ROAD( NORTH ) SHANGHAI, P.R.CHINA",200233,http://www.rocktoolscn.com
https://www.cantonfair.org.cn/en-US/shops/451694846426272#/,"['Basic Information', '', 'Company Name', '', 'TONGLU GUANGHUA STATIONERY CO.,LTD', '', 'Country/Region', '', 'Zhejiang,China', '', 'Address', '', 'DONGXI INDUSTRIAL PARK, FENSHUI TOWN, TONGLU COUNTY,HANGZHOU CHINA', '', 'Zip code', '', '311519', '', 'Company website', '', 'http://www.guanghuapen.com']","Zhejiang,China","DONGXI INDUSTRIAL PARK, FENSHUI TOWN, TONGLU COUNTY,HANGZHOU CHINA",311519,http://www.guanghuapen.com
https://www.cantonfair.org.cn/en-US/shops/451692993473760#/,"['Basic Information', '', 'Company Name', '', 'QINGDAO CHANGLONG STATIONERY CO.,LTD.', '', 'Country/Region', '', 'Shandong,China', '', 'Address', '', 'No. 21 XIANGJIANG 1st ROAD, HUANGDAO, QINGDAO,CHINA', '', 'Zip code', '', '266555', '', 'Company website', '', 'www.china-snowhite.com']","Shandong,China","No. 21 XIANGJIANG 1st ROAD, HUANGDAO, QINGDAO,CHINA",266555,www.china-snowhite.com
https://www.cantonfair.org.cn/en-US/shops/451698494352512#/,"['Basic Information', '', 'Company Name', '', 'WENZHOU HIGHPLUS STATIONERY GIFT CO., LTD.', '', 'Country/Region', '', 'Zhejiang,China', '', 'Address', '', 'QIANYAN ZHUANGYUAN STREET LONGWAN DISTRICT WENZHOU CHINA', '', 'Zip code', '', '325000', '', 'Company website', '', 'https://wzhighplus.en.alibaba.com/']","Zhejiang,China",QIANYAN ZHUANGYUAN STREET LONGWAN DISTRICT WENZHOU CHINA,325000,https://wzhighplus.en.alibaba.com/
https://www.cantonfair.org.cn/en-US/shops/451690502921568#/,"['Basic Information', '', 'Company Name', '', 'Fangda Packaging Co., Ltd. （Hebei, China）', '', 'Country/Region', '', 'Hebei,China', '', 'Address', '', 'NO.405, YUANSHI STREET, SHIJIAZHUANG CITY, HEBEI, CHINA', '', 'Zip code', '', '051130', '', 'Company website', '', 'http://www.fangdapack.com']","Hebei,China","NO.405, YUANSHI STREET, SHIJIAZHUANG CITY, HEBEI, CHINA",051130,http://www.fangdapack.com
https://www.cantonfair.org.cn/en-US/shops/451691955305665#/,"['Basic Information', '', 'Company Name', '', 'zhejiang wenhua stationery co.,ltd.', '', 'Country/Region', '', 'Zhejiang,China', '', 'Address', '', 'NO.1801 HAIFENG ROAD,LITTORAL INDUSTRIAL AREA,TAIZHOU ECONOMIC DEVELOPMENT ZONE,ZHEJIANG,CHINA', '', 'Zip code', '', '318014', '', 'Company website', '', 'Http://www.wenhuapaper.com']","Zhejiang,China","NO.1801 HAIFENG ROAD,LITTORAL INDUSTRIAL AREA,TAIZHOU ECONOMIC DEVELOPMENT ZONE,ZHEJIANG,CHINA",318014,Http://www.wenhuapaper.com
