company_name,description,exhibit loc,url,full_url
"BEIJING FEN-Z HUDONG CULTURE&COМMUNICATION Co.,LTD.",,"16, C35",/shenzhen/en/exhibitor-search.detail.html/beijing-fen-z-hudong-culturecomunication-coltd.html#exhibitorheadline,https://shenzhen-international-toy-and-hobby-fair.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/beijing-fen-z-hudong-culturecomunication-coltd.html#exhibitorheadline
Beijing Flyfinger Advertising Co. Ltd,,"16, C43",/shenzhen/en/exhibitor-search.detail.html/beijing-flyfinger-advertising-co-ltd.html#exhibitorheadline,https://shenzhen-international-toy-and-hobby-fair.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/beijing-flyfinger-advertising-co-ltd.html#exhibitorheadline
"Beijing Fugu Network Technology Co.,Ltd.","Founded in Beijing in 2018, Meicha is an e-commerce platform specialising in the collectible toy industry.In 2022, the company...","14, L12",/shenzhen/en/exhibitor-search.detail.html/beijing-fugu-network-technology-coltd.html#exhibitorheadline,https://shenzhen-international-toy-and-hobby-fair.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/beijing-fugu-network-technology-coltd.html#exhibitorheadline
"Beijing Qiao Artificial Intelligence Technology Co.,Ltd",,"14, K09",/shenzhen/en/exhibitor-search.detail.html/beijing-qiao-artificial-intelligence-technology-coltd.html#exhibitorheadline,https://shenzhen-international-toy-and-hobby-fair.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/beijing-qiao-artificial-intelligence-technology-coltd.html#exhibitorheadline
"Beijing Shengtongzhixing Education Technology Group Co.,Ltd.",,"15, F03",/shenzhen/en/exhibitor-search.detail.html/beijing-shengtongzhixing-education-technology-group-coltd.html#exhibitorheadline,https://shenzhen-international-toy-and-hobby-fair.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/beijing-shengtongzhixing-education-technology-group-coltd.html#exhibitorheadline
Beijing Wanwulizhi Culture Company Ltd.,,"14, N16",/shenzhen/en/exhibitor-search.detail.html/beijing-wanwulizhi-culture-company-ltd.html#exhibitorheadline,https://shenzhen-international-toy-and-hobby-fair.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/beijing-wanwulizhi-culture-company-ltd.html#exhibitorheadline
"Beijing Wenghaiyang Industry & Trading Co.,Ltd.",,"15, L18",/shenzhen/en/exhibitor-search.detail.html/beijing-wenghaiyang-industry--trading-coltd.html#exhibitorheadline,https://shenzhen-international-toy-and-hobby-fair.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/beijing-wenghaiyang-industry--trading-coltd.html#exhibitorheadline
"Beijing Wujie Creative Advertising Co.,Ltd.",Wujie Creative was established in Beijing in 2012 and launched the trendy toy brand UNIPOP in 2021. The company specialises...,"14, R16",/shenzhen/en/exhibitor-search.detail.html/beijing-wujie-creative-advertising-coltd.html#exhibitorheadline,https://shenzhen-international-toy-and-hobby-fair.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/beijing-wujie-creative-advertising-coltd.html#exhibitorheadline
"Bengbu Wan Lida digital color printing equipment co., LTD",,,/shenzhen/en/exhibitor-search.detail.html/bengbu-wan-lida-digital-color-printing-equipment-co-ltd.html#exhibitorheadline,https://shenzhen-international-toy-and-hobby-fair.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/bengbu-wan-lida-digital-color-printing-equipment-co-ltd.html#exhibitorheadline
BEVA,,"16, T04",/shenzhen/en/exhibitor-search.detail.html/beva.html#exhibitorheadline,https://shenzhen-international-toy-and-hobby-fair.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/beva.html#exhibitorheadline
