exhibitor_id,application_id,company_name,brand_name,products,booth,detail_url,source_page,source_position
E48F0BA9C02C78E1A6C98EC3308C14AE,250192,CHIA NAN UNIVERSITY OF PHARMACY & SCIENCE,,,TWTC Exhibition Hall 1 Educational Institution Inventions Area B0831a,https://www.inventaipei.com.tw/en/exhibitor/E48F0BA9C02C78E1ED8ED1298AA657F12605680E9E44D119/info.html?lt=data&vt=company-name&cr=14,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=1,14
CBAFEFCD9F0545905A72C73E86BBA71C,250030,"CHIEN-HUI CHEN & LI-CHIEN CHIEN & CHIEN-CHIUN CHEN , HUNG-SUNG CHEN",,,TWTC Exhibition Hall 1 Domestic Inventions Area B0337,https://www.inventaipei.com.tw/en/exhibitor/CBAFEFCD9F05459066806A8D929FD826BFB422A6A801970E/info.html?lt=data&vt=company-name&cr=15,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=1,15
0C54FD622B47C2B3464680897300B62F,250183,CHINA UNIVERSITY OF SCIENCE AND TECHNOLOGY,,,TWTC Exhibition Hall 1 Educational Institution Inventions Area B0730,https://www.inventaipei.com.tw/en/exhibitor/0C54FD622B47C2B3001DC65A97171A5D2605680E9E44D119/info.html?lt=data&vt=company-name&cr=16,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=1,16
76EDA983E94F0A5C0A91511A18BA2DDB,250621,CHINESE INNOVATION AND INVENTION SOCIETY,,,TWTC Exhibition Hall 1 Domestic Inventions Area B0206,https://www.inventaipei.com.tw/en/exhibitor/76EDA983E94F0A5C36DA45B5E62494EC2605680E9E44D119/info.html?lt=data&vt=company-name&cr=17,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=1,17
B05B6BC003337384FBF1E20A82E640B7,250149,"COOLING Industrial Co., Ltd.","庫林工業有限公司/COOLING Industrial Co., Ltd.",,TWTC Exhibition Hall 1 Domestic Inventions Area B0219a,https://www.inventaipei.com.tw/en/exhibitor/B05B6BC003337384F0C1AFF6C3DCB5322605680E9E44D119/info.html?lt=data&vt=company-name&cr=18,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=1,18
991E3AC2B20CFA80650A4993BE011F2B,250709,COPYRIGHT HOLDER'S ASSOCIATION OF CHINESE TAIPEI,,,TWTC Exhibition Hall 1 Domestic Inventions Area B0305a,https://www.inventaipei.com.tw/en/exhibitor/991E3AC2B20CFA806697AD94C40F6A502605680E9E44D119/info.html?lt=data&vt=company-name&cr=19,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=1,19
98E1824AB9AC37A09A5326BBC4B4E27B,250049,"CPC Corporation, Taiwan (TW) Refining & Manufacturing Research Institute",台灣中油/CPC,,TWTC Exhibition Hall 1 Domestic Inventions Area B0313a,https://www.inventaipei.com.tw/en/exhibitor/98E1824AB9AC37A03850172EAD3EFF252605680E9E44D119/info.html?lt=data&vt=company-name&cr=20,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=1,20
13DBCE88B2AF7F1E10AE362BAD471183,250078,CTBC University of Science and Technology,,,TWTC Exhibition Hall 1 Educational Institution Inventions Area B1032,https://www.inventaipei.com.tw/en/exhibitor/13DBCE88B2AF7F1EFAC96287C0FAA8682605680E9E44D119/info.html?lt=data&vt=company-name&cr=21,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=1,21
FCDFB630E2BBF7D28748F03EBADF3F13,250076,Central Taiwan (TW) University of Science and Technology,,,TWTC Exhibition Hall 1 Educational Institution Inventions Area B0825a,https://www.inventaipei.com.tw/en/exhibitor/FCDFB630E2BBF7D2A7D903B86563BA1D2605680E9E44D119/info.html?lt=data&vt=company-name&cr=22,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=1,22
D3E5E8E1E0B91E36C56ED8F6CD4680CD,250184,Chang Gung University,,,TWTC Exhibition Hall 1 Educational Institution Inventions Area B0816,https://www.inventaipei.com.tw/en/exhibitor/D3E5E8E1E0B91E364F43D48AC6F6F7F92605680E9E44D119/info.html?lt=data&vt=company-name&cr=23,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=1,23
2BF968A093C698492932B0D0C24B9410,250073,Chang Gung University of Science and Technology,長庚學校財團法人長庚科技大學/Chang Gung University of Science and Technology,,TWTC Exhibition Hall 1 Educational Institution Inventions Area B0824,https://www.inventaipei.com.tw/en/exhibitor/2BF968A093C698496C3EBEDC573BED4A2605680E9E44D119/info.html?lt=data&vt=company-name&cr=24,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=1,24
8AA328FE260C11F383B7EC74E52190BF,250047,Changhua Christian Medical Foundation Changhua Christian Hospital,,,TWTC Exhibition Hall 1 Domestic Inventions Area B0420,https://www.inventaipei.com.tw/en/exhibitor/8AA328FE260C11F367232C78B50403902605680E9E44D119/info.html?lt=data&vt=company-name&cr=25,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=1,25
F5C8E0F961613CB217448048337B63CC,250077,Chaoyang University of Technology,,,TWTC Exhibition Hall 1 Educational Institution Inventions Area B1019a,https://www.inventaipei.com.tw/en/exhibitor/F5C8E0F961613CB2C88EBD7A171032F42605680E9E44D119/info.html?lt=data&vt=company-name&cr=26,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=1,26
2602C2CE90133B991D903335BAAC5EE2,250176,Cheng Shiu University,,,TWTC Exhibition Hall 1 Educational Institution Inventions Area B1031a,https://www.inventaipei.com.tw/en/exhibitor/2602C2CE90133B9905FC0A3F899C63572605680E9E44D119/info.html?lt=data&vt=company-name&cr=27,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=1,27
3750ED58DCAC989C22FF527CBBA9584A,250190,"Chi-Ying Senior High School, Taoyuan City , Taiwan",,,TWTC Exhibition Hall 1 Educational Institution Inventions Area B0426,https://www.inventaipei.com.tw/en/exhibitor/3750ED58DCAC989C9D98A8EE1D138EC22605680E9E44D119/info.html?lt=data&vt=company-name&cr=28,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=1,28
