exhibitor_id,company_name,country,stand_number,address,profile_description,product_categories,logo_url,profile_url,source_position
490706,ALLU FINDLAN OY,INDONESIA,~D2~D2-9104,Rukan Mutiara Taman Palem Blok A20 No. 27 Jalan Lingkar Luar Kamal Raya Kel. Cengkareng Timur - Kec. Cengkareng Jakarta Barat,"PT. Alluxindo Pratama Sukses is an official distributor of ALLU products from Finland. Which is a company selling screening and crushing bucket attachments with high-quality, fuel-efficient and time-efficient. PT. Alluxindo Pratama Sukses has been established for 14 years. And during that time we have always helped large companies in providing the best solutions with our products, both screening and crushing processes. Because we are always one step ahead.","Bucket Wheel Excavator,Coal preparation plants & cutting machines,Construction, Contracting,Continuous Mining Machines,Crushers & Pulverisers,Cutting Machines,Scrapers Screen",https://eec.informamarkets-info.com/oga/profile/upload/2025/07/01/D-series_round_sticker_page-0001_2025-07-01_20250701113154A936.jpg,https://exhibitors.informamarkets-info.com/event/MIN2026/en-US/exhibitor/490706/allu-findlan-oy,11
491518,Altrak 1978,INDONESIA,~OS~OS-12,,"PT Altrak 1978 is a leading Indonesian distributor of premium heavy equipment, power generation systems, and industrial machinery. Since 1978, the company has provided world-class products, genuine parts, and comprehensive after-sales services to the construction, mining, agriculture, energy, marine, and industrial sectors through its nationwide network.",Others,https://eec.informamarkets-info.com/oga/profile/upload/2026/07/07/blob_2026-07-07_20260707150320A712.png,https://exhibitors.informamarkets-info.com/event/MIN2026/en-US/exhibitor/491518/altrak-1978,12
484364,ANGELSWING INC,KOREA,~B3~B3-525,"1402, 311 Gangnamdae-ro, Seocho-gu, Seoul","Angelswing is an integrated autonomous drone operations and drone data platform company that helps mining operators and contractors monitor large-scale sites more efficiently and consistently. By combining automated drone stations with a cloud-based data platform, Angelswing delivers an end-to-end workflow covering autonomous data capture, processing, analysis, and reporting. The solution enables repeatable aerial monitoring while reducing the operational effort required to conduct routine site surveys. The automated drone station performs scheduled flight missions with minimal field intervention, supporting consistent data collection across active mining environments. Captured data is automatically transferred to the platform and transformed into structured outputs including orthomosaics, 3D models, point clouds, and terrain information. Through a centralized platform, users can access site information remotely, compare changes over time, and maintain visibility across multiple locations. Historical and current datasets can be managed in one environment, enabling more standardized and scalable monitoring practices. The integrated solution supports a range of mining use cases including stockpile monitoring, volume analysis, excavation tracking, haul road observation, environmental monitoring, and periodic operational reporting. Standardized aerial data collection and centralized management help teams improve visibility and support faster decision-making. Designed to integrate into existing workflows, Angelswing supports both autonomous drone deployment and broader digital transformation initiatives without requiring significant operational changes. At Mining Indonesia, Angelswing presents a new approach to mine monitoring—combining autonomous aerial data collection with centralized data intelligence to enable continuous site visibility across the project lifecycle.","Automation,Computers & Software,Software,Surveying and Engineering Instruments and Equipment,Others",https://eec.informamarkets-info.com/oga/profile/upload/2026/06/15/blob_2026-06-15_20260615093516A600.png,https://exhibitors.informamarkets-info.com/event/MIN2026/en-US/exhibitor/484364/angelswing-inc,13
491605,"Anhui Aode Mining Machinery & Technology Co.,Ltd.",CHINA,CHINA - JINFAIR~A1~A1-120,,"Aode Mining has been a leading manufacturer of mining machine accessories for over 16 years, specializing in high-quality cutting and drilling tools. With a strong focus on innovation and reliability, we are committed to delivering superior products and services that support the growth of the mining industry.","Auger Mining Equipment,Coal preparation plants & cutting machines,Construction, Contracting,Continuous Mining Machines,Cutting Machines,Longwall Mining Equipment,Metals & Special Alloys,Teeth-Excavator,Tools",https://eec.informamarkets-info.com/oga/profile/upload/2026/07/27/blob_2026-07-27_20260727180437A351.png,https://exhibitors.informamarkets-info.com/event/MIN2026/en-US/exhibitor/491605/anhui-aode-mining-machinery-technology-co-ltd,14
491512,"Anhui Tengchang Construction Machinery Co., Ltd",CHINA,CHINA - G&Ruita~D2~D2-9541,,"Anhui Tengchang Construction Machinery Co., Ltd， Is a professional engaged in the design and development of construction machinery products, manufacturing and sales of private high-tech enterprises, the company covers an area of 22,579 square metres, a building area of 13,800 square metres, bringing together 68 industry professionals, was established at the beginning of the efforts to practice ""technology-based, market-oriented, quality as the core of the"" corporate mission.",Others,https://eec.informamarkets-info.com/oga/profile/upload/2026/07/01/blob_2026-07-01_20260701163243A132.png,https://exhibitors.informamarkets-info.com/event/MIN2026/en-US/exhibitor/491512/anhui-tengchang-construction-machinery-co-ltd,15
491440,"Anhui Xinma Foundry Technology Co., Ltd.",CHINA,CHINA - G&Ruita~B3~B3-5624,,"Anhui Xinma Foundry Technology Co., Ltd. is located in Heli Park, National Economic and Technological Development Zone, Ningguo City. The company has a registered capital of 32.5 million yuan, covers an area of over 100000 square meters, has a standardized factory building of over 50000 square meters, has a casting capacity of 100000 tons, has established a provincial-level enterprise technology center, and has established an industry university research cooperation base with Hefei University of Technology. We have a team of professional and technical talents with over 20 years of experience as the core, including 2 professor level senior engineers, 6 senior engineers, and 15 engineers. The company is led by the combination of wear-resistant material technology and grinding technology, integrating scientific research, design, development, manufacturing, and technical services. a complete set of production equipment such as a iron mold coated sand casting production line, a boxless mold casting production line,a Desa extrusion molding automatic production line, tempering and quenching integrated automatic heat treatment production line, trolley type heat treatment electric furnaces.a complete set of physicochemical testing equipment such as direct reading spectrometers,hardness testers impact testing machines,chemical analysis instruments, metallographic microscopes. The company has successively received honorary titles such as “High tech Enterprise”, “National Top 10 Famous Brands of Wear resistant Materials”, “Top 10 Enterprises in the Capital of Wear resistant Casting in China”, “Top 50 Foundry Industry in Anhui Province”, “Famous Trademark in Anhui Province”, “Anhui Famous Brand Product”, and “Province Specialized, Refined, Special, and New Enterprise”. Our company’s leading products: chromium series wear-resistant balls, wear-resistant cylpebs, mill liners, crusher hammers and other wear-resistant spare parts.","Castings,Metals & Special Alloys",https://eec.informamarkets-info.com/oga/profile/upload/2026/07/27/blob_2026-07-27_20260727180706A370.png,https://exhibitors.informamarkets-info.com/event/MIN2026/en-US/exhibitor/491440/anhui-xinma-foundry-technology-co-ltd,16
491451,"Anping Red Star Wire Mesh Mfg Co., Ltd",CHINA,CHINA - CCPITMSC~D2~D2-9022,,"Red Star is a production-oriented company with 35 years of experience in designing, researching, and developing mining screen media. For 35 years, Red Star has had over 1000 customer service entities worldwide. With products including metal mesh, polyurethane screens, self-cleaning screens and so on, Red Star serves for large ore producers, equipment manufacturers, and mining service providers.",Others,https://eec.informamarkets-info.com/oga/profile/upload/2026/07/20/blob_2026-07-20_20260720210919A433.png,https://exhibitors.informamarkets-info.com/event/MIN2026/en-US/exhibitor/491451/anping-red-star-wire-mesh-mfg-co-ltd,17
491534,"Anshan Qiangang Machinery Manufacturing Co., Ltd.",CHINA,CHINA - G&Ruita~D1~D1-8141,,"Founded in 2002, Anshan Qiangang Machinery Manufacturing Co., Ltd. is located in Anshan City, Liaoning Province, China. We are a professional manufacturer of high‑quality crushing and screening equipment. The company focuses on the R&D and manufacturing of mining equipment, and provides professional solutions and complete supporting products. Our main products cover various crushers, vibrating screens, feeders and supporting equipment for production lines. The company owns a number of invention patents, and has been successively honored as High-Tech Enterprise and Specialized, Sophisticated, Unique and New Enterprise. Adhering to the tenet of “Quality determines destiny, integrity creates the future”, we serve customers worldwide.","Crushers & Pulverisers,Feeders & Breakers,Loaders & Feeders,Preparation Equipment,Vibrators",https://eec.informamarkets-info.com/oga/profile/upload/2026/07/09/blob_2026-07-09_20260709235440A785.png,https://exhibitors.informamarkets-info.com/event/MIN2026/en-US/exhibitor/491534/anshan-qiangang-machinery-manufacturing-co-ltd,18
491579,"ANSHAN ZIZHU HIGH-TECH EQUIPMENT INTERNATIONAL MANAGEMENT CO.,LTD",CHINA,CHINA - CCPITMSC~D2~D2-9709,,"Liaoning Zizhu High-Tech Equipment Co., Ltd. was founded in 2011. It is an integrated comprehensive enterprise integrating the R&D, production, sales, after-sales service, equipment leasing and foundation construction of piling machinery and agricultural machinery. The company’s core product portfolio covers more than ten types of piling equipment, agricultural machinery and attachments, including Multi-functional Static Pressure Sheet Pile Drivers, Hydraulic Impact Hammers, Hydraulic Vibratory Hammers, S-TRD construction machines, Diaphragm Wall Trench Cutters, Tracked Machinery Transporters, and other related products.",Others,https://eec.informamarkets-info.com/oga/profile/upload/2026/08/03/blob_2026-08-03_20260803182206A031.png,https://exhibitors.informamarkets-info.com/event/MIN2026/en-US/exhibitor/491579/anshan-zizhu-high-tech-equipment-international-management-co-ltd,19
486291,ANVAL,SINGAPORE,~D1~D1-9129,"23 Lorong Telok #02-01, 049035","Anval is a global leader in designing and manufacturing high-performance valves, feeders, airlocks, and—most recently—screw conveyors. With over 40 years of engineering expertise rooted in our heritage with Australian thermal processing specialist Ansac, we have been a trusted supplier of our flagship RFS valves to major Western Australian mining sites since our inception. Today, we continue to deliver top-tier equipment built specifically for the global heavy mineral and mining industries. Mining operations demand equipment that won't fail under pressure. The Anval product range is engineered for extreme durability, offering absolute sealing and reliable bulk material handling in high-temperature, high-pressure, and highly abrasive environments. From heavy mineral extraction to dust collection and handling sticky or irregular ores, our simple, robust designs ensure minimal maintenance and reduced plant downtime. Standing firmly behind our heavy-duty engineering, Anval proudly offers a unique 5-Year Warranty to ensure effortless, peace-of-mind operation in the toughest conditions. Our extensive portfolio is fully customizable for the demanding requirements of the mining sector. Key product series include: - RFS Series: Our legacy ultra-heavy-duty absolute airlock featuring a ceramic-embedded rotor. Proven for decades across Western Australia's toughest mining sites, it is specifically designed for high-wear, high-temperature applications and highly abrasive minerals. - RH Series: Heavy-duty rotary airlocks and feeders engineered to maintain reliable solids feeding even under harsh operating conditions. - DH Series: Heavy-duty double flap dump valves designed for effective material discharge and positive sealing when dealing with large, irregular particle shapes. - SC Series: Our latest product line expansion, featuring robust screw conveyors engineered for the precise and efficient handling of bulk materials and raw ore. Extreme Durability! Effortless Operation!","Conveyer Systems,Feeders & Breakers,Valves",https://eec.informamarkets-info.com/oga/profile/upload/2026/07/27/blob_2026-07-27_20260727181233A393.png,https://exhibitors.informamarkets-info.com/event/MIN2026/en-US/exhibitor/486291/anval,20
