,url,Nature of Business,Location,Main Categories,Contact Person,Position,Office Address,Country/Region,Major Markets,Total Employees,Year of Establishment,Annual Turnover,Brands
635,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Signature-Global-Limited/1X0AB2S2,"Buying Office, Retailer, Wholesaler",Hong Kong,"Fine Jewellery, Jewellery & Watch, Loose Stones & Raw Materials, Synthetic Diamonds & Gemstones Jewellery",Mr Mohit Kumar Jain,Director,RM 23 UNIT A2 9/F KAISER ESTATE BLOCK 1 41 MAN YUE STREET HUNGHOM HONG KONG,Hong Kong,"Central & South America, Chinese Mainland, Hong Kong, Other Asian Countries, Worldwide",,,,Signature entrepreneur natural gemstones no treatment goods jewellery tourmaline emerald gems
636,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Spikes-Gems-Jewellery-Co-/1X009QO6,"Manufacturer, Wholesaler",Hong Kong,"Jewellery & Watch, Loose Stones & Raw Materials",Mr Eric Lee,Sales Manager,"Flat C, 6/F, Cheerful Comm. Bldg, 116-118 Ma Tau Wai Rd, Hung Hom, Kln, HK",Hong Kong,"Eastern Europe, Scandinavia, Southeast Asia, Western Europe",6 - 10 ODM OEM,1996,,
637,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Star-Diam-Limited/1X009QQ4,"Exporter, Manufacturer",Hong Kong,"Jewellery & Watch, Loose Stones & Raw Materials",Mr Nimit Shah Shah,Managing Director,"Hong Kong Hart Avenue Plaza, 5-9 Hart Avenue, Tsim Sha Tsui, Kowloon, Hong Kong.",Hong Kong,Worldwide,,,,
638,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Merit-Impex-Limited/1S00O2GPH,"Exporter, Importer, Wholesaler",Hong Kong,Loose Stones & Raw Materials,Mr BHAVEN JHAVERI,DIRECTOR,"FLAT 603, 6/F, ORIENTAL CENTRE CHATHAM ROAD SOUTH 67-71 TSIM SHA TSUI Hong Kong SAR",Hong Kong,Hong Kong,1 - 5,2021,"US$ 500,000 - 999,999 DIAMOND FANCY GIA Certificate Name Issued By Certificate Type Valid Date Responsible Jewellery Council Responsible Jewellery Council Others 09 May 2023 - 09 May 2026",
639,https://sourcing.hktdc.com/en/Supplier-Store/Profile/V-K-Gems/1X009STV,"Exporter, Importer, Wholesaler",Hong Kong,"Jewellery & Watch, Loose Stones & Raw Materials",Mr Kumar Arun Bumb,Proprietor,"Rm 1107, 11/F Peninsula Sq 18 Sung On St Hunghom Kowloon",Hong Kong,"Korea, Other Asian Countries, Taiwan",1 - 5,1987,"US$ 1,000,000 - 4,999,999 View details Factory & Facility",
640,https://sourcing.hktdc.com/en/Supplier-Store/Profile/V-S-Diamonds-HK-Company-Limited/1X08ZK2A,"Buying Office, Exporter, Importer, Retailer, Wholesaler",Hong Kong,"Jewellery & Watch, Loose Stones & Raw Materials",Mr Rajesh Bhora,,"Suite A, 8/F, Tung Fai Bldg, 27-27A Cameron Road,",Hong Kong,"Hong Kong, Southeast Asia",,2014,,
641,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Viva-Impex-Limited/1X07QXHS,"Manufacturer, Wholesaler",Hong Kong,"Jewellery & Watch, Loose Stones & Raw Materials",Mr Shah Ruchir,Director,"Unit 2, 13th Floor, Chevalier House, 45-51 Chatham Road South, Tsim Sha Tsui, Kowloon, Hong Kong",Hong Kong,Worldwide,1 - 5,2011,"US$ 10,000,000 - 49,999,999 assorted diamonds well cut diamonds",
642,https://sourcing.hktdc.com/en/Supplier-Store/Profile/William-Opal-Co/1X03XAZ7,"Exporter, Manufacturer, Wholesaler",Hong Kong,"Decoration & Crafts, Fine Jewellery, Jewellery & Watch, Loose Stones & Raw Materials",Mr William Wong,Manager,"Room A1 - 19, 1/F., Hang Fung Industrial Building Phase 1, No. 2G, Hok Yuen Street, Hung Hom, Kln., Hong Kong",Hong Kong,"Central & South America, Japan, Korea, Taiwan",1 - 5,2001,"US$ 50,000 - 99,999",
643,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Wing-Li-Opal-Company/1X03XAIO,Manufacturer,Hong Kong,"Jewellery & Watch, Loose Stones & Raw Materials",Mr Mei Sim Ma,Manager,"Flat C1, 9/F, Tsim Sha Tsui Mansion, 87 Nathan Road, Tsim Sha Tsui, Kowloon, Hong Kong",Hong Kong,"Chinese Mainland, Japan, North America",1 - 5,2004,"US$ 100,000 - 249,999 View details Factory & Facility",
644,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yavorskyy-Co-Limited/1X08Y8B1,Wholesaler,Hong Kong,,Mrs Munisa Mohamed Arif,Business Manager,"Suite 1301/1332 Prince's Building, 10 Chater Road, Central",Hong Kong,"Central & South America, Hong Kong, North America, Other Asian Countries, Taiwan, Western Europe, Worldwide",,2007,,
645,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Abhinav-Gems-Co-Ltd/1X00BI5D,"Exporter, Manufacturer","Osaka, Japan","Jewellery & Watch, Loose Stones & Raw Materials",Mr Mr. Dipak Jhaveri Jhaveri,President,"Japan 6FC-D 4-9-18 Kitano-Cho, Chuo-Ku, Kobe , Japan.",Japan,Worldwide,,,,
646,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Akoya-Pearl-Co-Ltd/1X00NKTJ,"Exporter, Manufacturer","Hyogo, Japan","Fine Jewellery, Jewellery & Watch, Loose Stones & Raw Materials",Mr Takashi Ueda,,"1-6-26 Yamamoto-Dori, Chuo-Ku, Kobe City 650-0003, Japan",Japan,Worldwide,,,,
647,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Amit-Trading-Co-Ltd/1X00BHMZ,"Exporter, Wholesaler","Tokyo, Japan","Fine Jewellery, Jewellery & Watch, Loose Stones & Raw Materials",Mr Dori Chitayat,Managing Director,"Amit Trading Co Ltd 4-9-5-5F Roppongi, Minato-ku Tokyo, 106-0032 JAPAN",Japan,Worldwide,11 - 15,1970,"US$ 5,000,000 - 9,999,999",
648,https://sourcing.hktdc.com/en/Supplier-Store/Profile/An-Ken-Coral-Jewellery-Co-Ltd/1X00CUH1,"Exporter, Manufacturer, Wholesaler","New Taipei City, Taiwan","Fine Jewellery, Jewellery & Watch, Loose Stones & Raw Materials",Mr Pei Ken Chang,Manager,"7F, No.2, Lane 447, Jilin Rd., Zhongshan District, Taipei City 104, Taiwan",Taiwan,"Chinese Mainland, Eastern Europe, Hong Kong, Japan, Korea, Other Asian Countries, Scandinavia, Southeast Asia, Taiwan, Western Europe",1 - 5,2006,"US$ 100,000,000 - 249,999,999",AK Coral
649,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ande-Gem-Inc-/1S00OMCOO,,USA,,Mrs Julie Yeung,,,USA,,,,,
650,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Anmol-Gems-Ltd/1X00BHNY,"Exporter, Manufacturer","Hyogo, Japan","Fine Jewellery, Jewellery & Watch, Loose Stones & Raw Materials",Mr Shah Shekhar,Director,"3-2-8 Kitano-Cho, Chuo-Ku, Kobe 650-0002, Japan Japan.",Japan,Hong Kong,,,,
651,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Arham-International-Gems/1X08YJVK,"Exporter, Importer, Manufacturer, Retailer, Wholesaler","Rajasthan, India","Fine Jewellery, Jewellery & Watch, Loose Stones & Raw Materials",Mr Jinendra Kumar Munot,Proprietor,"1387, partanion Ka Rasta, johri Bazar, Jaipur, Rajasthan,",India,"Chinese Mainland, Hong Kong, Worldwide",16 - 25,,,arham ODM OEM
652,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Australia-Pearls/1X00BIF3,"Exporter, Wholesaler",France,"Costume & Fashion Jewellery, Fashion Accessories, Fashion, Eyewear & Accessories, Fine Jewellery, Jewellery & Watch, Loose Stones & Raw Materials",Mrs Giuseppina AUTORE,Owner,1 Place Masséna NICE France,France,Worldwide,1 - 5,,,
653,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Better-Star-Jewelry-Henan-Co-Ltd/1S00OYXWF,,Chinese Mainland,,Mu Kai,,"No.109, 1st FL., Podium building AB, Zensun International Plaza, Zhengzhou, Henan, Mainland China",Chinese Mainland,,,,,
654,https://sourcing.hktdc.com/en/Supplier-Store/Profile/MTB-Brazil-Paraiba-Mine/1X08H4L3,Others,Brazil,,Miss Ananda Ferreira,,"Pra?a Arnaldo Bezerra, 138, Parelhas 59360000, Brazil Parelhas",Brazil,Worldwide,,,,
655,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Butterfly-Gem-Jewelry-Co-Ltd/1S00O7H9S,,Japan,,Chen Xiao Dong,,"Room501, Fujiwara Building, 3-10-5 Taoto, Taitoku",Japan,,,,,
656,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Champion-Pearl-Co-Ltd/1X00BII0,"Exporter, Manufacturer","Hyogo, Japan","Fine Jewellery, Jewellery & Watch, Loose Stones & Raw Materials",Mr Miyamoto Yukito Azuma,,"Japan Chuo-Ku, Kobe, Hyogo, Japan.",Japan,"Chinese Mainland, Hong Kong",,,,
657,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Continental-Pearl-Co-Ltd/1X00BHYN,"Exporter, Manufacturer","Hyogo, Japan","Fine Jewellery, Jewellery & Watch, Loose Stones & Raw Materials",Mr Shah Ankit Ankit,Director,"Japan Chuoku, Kobe, 650-0002, Japan.",Japan,,,,,
658,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Coscia-srl/1X07U4ZP,"Distributor, Exporter, Manufacturer, Trade/Industrial Organisation",Italy,"Fine Jewellery, Jewellery & Watch, Loose Stones & Raw Materials",Mrs Ornella Di Mauro,Marketing Controller,"c/o Centro orafo ""Il Tarì"" - Zona A.S.I. Sud Marcianise, 81025 Italy Italy",Italy,Worldwide,,,,
659,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Enterprise-Pearl-Gems-Ltd/1X0AALNM,"Exporter, Manufacturer","Hyogo, Japan","Fine Jewellery, Jewellery & Watch, Loose Stones & Raw Materials",Mr Jhaveri Shrenik,,"301 Kitano Hills 1-7-23, Yamamoto-Dori Chuo-Ku, Kobe City, Hyogo 650-0003 Japan",Japan,,,,,
660,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Gem-Paradise/1X00A7A5,Exporter,Sri Lanka,"Jewellery & Watch, Loose Stones & Raw Materials",Mr. A.H.M. Imtizam Imtizam,Proprietor,"Sri Lanka Galle Road, Colombo-3, Colombo-3, Sri Lanka.",Sri Lanka,"Central & South America, Eastern Europe, North America, Scandinavia, Western Europe",11 - 15 Certificate Name Issued By Certificate Type Valid Date Ruby award - Most beautiful gem studded jewellery - - - Third place - Large category - Gem & Jewellery sector (NCE Export awards 2004) - - - Bronze - Gem Exports (Achiever Awards 2003) - - -,1989,,
661,https://sourcing.hktdc.com/en/Supplier-Store/Profile/HENAN-LILIANG-DIAMOND-CO-LTD/1X0ANDNA,"Exporter, Manufacturer","Shangqiu, Henan, Chinese Mainland",,Mr Huaiwei Gao,Manager,"Guangzhou Road(M Section), Hi-New-Tech Development Area, Zhecheng, Shangqiu City, Henan Province, China",Chinese Mainland,,,,,
662,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hi-Line-Trading-Pvt-Ltd/1X009I8A,"Exporter, Manufacturer",Sri Lanka,"Jewellery & Watch, Loose Stones & Raw Materials",Mr Mr. Sidiek Sidiek,Manager,"496, R. A. De Mel Mawatha, Colombo-3, Colombo-3, Sri Lanka.",Sri Lanka,"North America, Worldwide",,,,
663,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Imakei-Pearl-Co-Ltd/1X00BIXL,Exporter,"Hyogo, Japan",,Ms Maria Tse,Sales Executive,"2 Chome 6-15 Yamamoto-Dori, Chuo-Ku, Kobe 650-0003, Japan Japan.",Japan,Worldwide,,,,
664,https://sourcing.hktdc.com/en/Supplier-Store/Profile/K-Otsuki-Pearl-Co-Ltd/1X08XLDW,"Exporter, Manufacturer","Osaka, Japan","Fine Jewellery, Gifts / Souvenirs, Jewellery & Watch, Loose Stones & Raw Materials",Mr Ryutaro Kuroda,General Manager Of President's Office,"4-1,MINATOJIMA-NAKAMACHI, 6-CHOME, CHUO-KU,KOBE, Kobe",Japan,,,,,
665,https://sourcing.hktdc.com/en/Supplier-Store/Profile/K-G-H-JEWELLERY-LTD/1X00CBOF,Manufacturer,Israel,,Mr Eitan Konig,Export Manager,"8, Dov Friedman St., Ramat Gan 52503, Israel Ramat Gan, Israel.",Israel,"Australasia, Chinese Mainland, Eastern Europe, Japan, North America, Western Europe ODM OEM",,1986,,
666,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Kaneko-Pearl-Co-Ltd/1X00BLAZ,"Exporter, Manufacturer","Hyogo, Japan","Fine Jewellery, Jewellery & Watch, Loose Stones & Raw Materials",Mr Shigeru Kitakata,Manager,"15-31, Sumiyoshi Honmachi 3-Chome, Higashinada-ku, Kobe 658-0051, Japan",Japan,Worldwide,201 - 500,1931,"US$ 10,000,000 - 49,999,999 View details Factory & Facility",
667,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Kansai-Shinju-Co-Ltd/1X00BJ3C,"Exporter, Manufacturer","Hyogo, Japan","Jewellery & Watch, Loose Stones & Raw Materials",Mr J Sameer,Sales and Promoter,"Rm 305, 9-10, Yamamoto-Dori, 2 Chome, Chuo-Ku, Kobe 650-0003",Japan,Worldwide,1 - 5,,,
668,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Kishore-Motiwala/1X0AB9NM,"Exporter, Manufacturer, Wholesaler","Rajasthan, India","Jewellery & Watch, Loose Stones & Raw Materials",Mr Kishore Sharma,PROPRIETOR,"1221, JAI MATA JI BHAWAN, ACHAR WALI GALI, GOPAL JI RASTA, JOHARI BAZAR, JAIPUR",India,,,,,
