id,exhibitor_name,country,booth_numbers,exhibitor_urn,supplier_urn,virtual_booth_url,contact_url,source_position,source_url
d9b5d62bbafd49a7a8f9ca5424f3a89e,"Shenzhen Trendwoo Tech. Co., Ltd.",Chinese Mainland,"""1E-A18""",1S0063983,1X09110X,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S0063983/?source=vep&eoFairFiscalYear=2627&eoFairId=hkelectronicsfairae,14,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor-list?pageNum=1&pageSize=50
37f177ac1d58495a916ead6a195c3793,"Shenzhen Wodefeng Technology Co., Ltd",Chinese Mainland,"""1A-B10""",1S00638HD,1S00ODZA7,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S00638HD/?source=vep&eoFairFiscalYear=2627&eoFairId=hkelectronicsfairae,15,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor-list?pageNum=1&pageSize=50
f9d5e471736748f0816031dfa9556819,Guangzhou Rigal Electronics Company Limited,Chinese Mainland,"""1D-D07""",1S0064IT3,1X08S4RX,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S0064IT3/?source=vep&eoFairFiscalYear=2627&eoFairId=hkelectronicsfairae,16,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor-list?pageNum=1&pageSize=50
0f33b1af2d514c9587b1f765ed316991,"Guangzhou Ads Audio Science & Technology Co., Ltd.",Chinese Mainland,"""1D-A13""",1S0064GLT,1X00EX81,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S0064GLT/?source=vep&eoFairFiscalYear=2627&eoFairId=hkelectronicsfairae,17,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor-list?pageNum=1&pageSize=50
ac2527187d504d2ba82037bfd7c32248,"Ningbo Careline Electric Appliance Co., Ltd.",Chinese Mainland,"""1B-C14""",1S0067GS8,1X0AQ9RI,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S0067GS8/?source=vep&eoFairFiscalYear=2627&eoFairId=hkelectronicsfairae,18,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor-list?pageNum=1&pageSize=50
fc9ce1b7b0bf49df9b3451f13ebecd5b,"Shenzhen MIJIDI Technology Co., Ltd.",Chinese Mainland,"""1A-F14""",1S0064MJT,1S00OUXTO,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S0064MJT/?source=vep&eoFairFiscalYear=2627&eoFairId=hkelectronicsfairae,19,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor-list?pageNum=1&pageSize=50
959dee69f6064b7b8cce2c18f7038ad0,"Guangzhou Jie Li Electron Co., Ltd.",Chinese Mainland,"""1E-D07""",1S00682B1,1S00OBCK0,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S00682B1/?source=vep&eoFairFiscalYear=2627&eoFairId=hkelectronicsfairae,20,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor-list?pageNum=1&pageSize=50
7f3e4f0f7993489c9c63e958d1e2758d,"Shenzhen Canjing Electronics Co., Ltd.",Chinese Mainland,"""1D-A19""",1S0064RQ3,1X05GTVQ,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S0064RQ3/?source=vep&eoFairFiscalYear=2627&eoFairId=hkelectronicsfairae,21,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor-list?pageNum=1&pageSize=50
0122d7e6ebe24bec84fd2d9e89c1c8b3,"Shenzhen Chuangwei Electronic Appliance Tech Co., Ltd.",Chinese Mainland,"""1C-C13""",1S00639RI,1X05UODN,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S00639RI/?source=vep&eoFairFiscalYear=2627&eoFairId=hkelectronicsfairae,22,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor-list?pageNum=1&pageSize=50
bf6d025e875f46508a01ebd428e3f5dd,"Shenzhen Kingstar Technology Co., Ltd.",Chinese Mainland,"""1B-D02""",1S00639ZU,1X0B3HBA,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S00639ZU/?source=vep&eoFairFiscalYear=2627&eoFairId=hkelectronicsfairae,23,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor-list?pageNum=1&pageSize=50
420bf701a46d431a936632703f3bb4a8,Dongguan VIP-TEK Enterprise Limited,Chinese Mainland,"""1E-B07""",1S0064RWL,1S00P7N8P,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S0064RWL/?source=vep&eoFairFiscalYear=2627&eoFairId=hkelectronicsfairae,24,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor-list?pageNum=1&pageSize=50
91d20bc883bc415091b821ab876757ce,"Fujian Zhenhong Electronic Technology Co., Ltd.",Chinese Mainland,"""1E-E25""",1S0064NWP,1S00OMZ3S,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S0064NWP/?source=vep&eoFairFiscalYear=2627&eoFairId=hkelectronicsfairae,25,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor-list?pageNum=1&pageSize=50
d72b2ab5f54643928db9b403a37244a3,"HTP (Suzhou) Optoelectronic Technology Co., Ltd.",Chinese Mainland,"""1E-D17""",1S0064TBA,1X088KIU,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S0064TBA/?source=vep&eoFairFiscalYear=2627&eoFairId=hkelectronicsfairae,26,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor-list?pageNum=1&pageSize=50
ff812e4783254f69b78927c79a2146e7,"Hangzhou Yuan Ye Imp. & Exp. Co., Ltd.",Chinese Mainland,"""1A-D06""",1S0064GMQ,1S00OXVJK,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S0064GMQ/?source=vep&eoFairFiscalYear=2627&eoFairId=hkelectronicsfairae,27,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor-list?pageNum=1&pageSize=50
